<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPT,5,20210204,110000,1.47,1.47,1.47,1.47,10,0
OPT,5,20210204,110500,1.47,1.47,1.47,1.47,700,0
OPT,5,20210205,110000,1.46,1.46,1.46,1.46,10,0
OPT,5,20210209,110000,1.44,1.44,1.44,1.44,10,0
OPT,5,20210210,150000,1.33,1.33,1.33,1.33,100,0
OPT,5,20210211,110000,1.32,1.32,1.32,1.32,100,0
OPT,5,20210215,110000,1.2,1.2,1.2,1.2,23735,0
OPT,5,20210215,150000,1.2,1.2,1.2,1.2,1700,0
OPT,5,20210217,112500,1.2,1.2,1.2,1.2,100,0
OPT,5,20210219,110000,1.3,1.3,1.3,1.3,100,0
OPT,5,20210226,110000,1.3,1.3,1.3,1.3,1050,0
OPT,5,20210226,111000,1.3,1.3,1.3,1.3,300,0
OPT,5,20210226,150000,1.25,1.25,1.25,1.25,2300,0
OPT,5,20210301,110000,1.29,1.29,1.29,1.29,1422,0
OPT,5,20210301,150000,1.47,1.47,1.47,1.47,14738,0
OPT,5,20210301,150500,1.47,1.47,1.47,1.47,3358,0
OPT,5,20210301,152000,1.47,1.47,1.47,1.47,742,0
OPT,5,20210302,150000,1.52,1.52,1.52,1.52,700,0
OPT,5,20210303,110000,1.75,1.75,1.75,1.75,7760,0
OPT,5,20210303,111000,1.75,1.75,1.75,1.75,700,0
OPT,5,20210303,112500,1.75,1.75,1.75,1.75,2500,0
OPT,5,20210303,150000,1.75,1.75,1.75,1.75,1000,0
OPT,5,20210304,110000,1.75,1.75,1.75,1.75,1610,0
OPT,5,20210305,110000,1.75,1.75,1.75,1.75,11,0
OPT,5,20210305,110500,1.75,1.75,1.75,1.75,3300,0
OPT,5,20210305,111000,1.75,1.75,1.75,1.75,400,0
OPT,5,20210305,111500,1.75,1.75,1.75,1.75,2500,0
OPT,5,20210305,150000,1.85,1.85,1.85,1.85,2890,0
OPT,5,20210308,110000,2,2,2,2,548,0
OPT,5,20210308,110500,2,2,2,2,236,0
OPT,5,20210308,150000,2.1,2.1,2.1,2.1,1110,0
OPT,5,20210308,150500,2.1,2.1,2.1,2.1,190,0
OPT,5,20210308,152000,2.1,2.1,2.1,2.1,4373,0
OPT,5,20210309,110000,2.2,2.2,2.2,2.2,9888,0
OPT,5,20210309,110500,2.2,2.2,2.2,2.2,6002,0
OPT,5,20210309,111000,2.2,2.2,2.2,2.2,367,0
OPT,5,20210309,150000,2.2,2.2,2.2,2.2,260,0
OPT,5,20210310,110000,2.5,2.5,2.5,2.5,5863,0
OPT,5,20210310,111500,2.5,2.5,2.5,2.5,3000,0
OPT,5,20210310,150000,2.5,2.5,2.5,2.5,640,0
OPT,5,20210311,110000,2.3,2.3,2.3,2.3,50,0
OPT,5,20210311,150000,2.3,2.3,2.3,2.3,4566,0
OPT,5,20210312,110000,2.3,2.3,2.3,2.3,150,0
OPT,5,20210312,150000,2.3,2.3,2.3,2.3,4776,0
OPT,5,20210315,110000,2.3,2.3,2.3,2.3,2045,0
OPT,5,20210315,150000,2.12,2.12,2.12,2.12,13450,0
OPT,5,20210316,110000,2.3,2.3,2.3,2.3,150,0
OPT,5,20210316,111000,2.3,2.3,2.3,2.3,5000,0
OPT,5,20210316,150000,2.3,2.3,2.3,2.3,2500,0
OPT,5,20210317,110000,2.3,2.3,2.3,2.3,429,0
OPT,5,20210317,110500,2.3,2.3,2.3,2.3,3,0
OPT,5,20210317,150000,2.26,2.26,2.26,2.26,60,0
OPT,5,20210317,150500,2.26,2.26,2.26,2.26,1000,0
OPT,5,20210317,152500,2.26,2.26,2.26,2.26,10,0
OPT,5,20210318,110000,2.42,2.42,2.42,2.42,400,0
OPT,5,20210318,150000,2.4,2.4,2.4,2.4,500,0
OPT,5,20210319,110000,2.42,2.42,2.42,2.42,152,0
OPT,5,20210319,150000,2.16,2.16,2.16,2.16,16500,0
OPT,5,20210319,150500,2.16,2.16,2.16,2.16,4450,0
OPT,5,20210319,152000,2.16,2.16,2.16,2.16,500,0
OPT,5,20210322,110000,2.22,2.22,2.22,2.22,330,0
OPT,5,20210322,112500,2.22,2.22,2.22,2.22,170,0
OPT,5,20210322,150000,2.16,2.16,2.16,2.16,9953,0
OPT,5,20210323,110000,2.16,2.16,2.16,2.16,5,0
OPT,5,20210323,112000,2.16,2.16,2.16,2.16,4995,0
OPT,5,20210323,151000,2.16,2.16,2.16,2.16,1500,0
OPT,5,20210325,110000,2.18,2.18,2.18,2.18,10,0
OPT,5,20210325,150000,2.18,2.18,2.18,2.18,2195,0
OPT,5,20210325,150500,2.18,2.18,2.18,2.18,2000,0
OPT,5,20210325,152500,2.18,2.18,2.18,2.18,750,0
