<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUT,5,20210204,100000,1.23,1.26,1.23,1.26,2000,0
OUT,5,20210204,100500,1.24,1.25,1.24,1.25,3920,0
OUT,5,20210204,103000,1.2,1.25,1.2,1.25,2085,0
OUT,5,20210204,153500,1.21,1.25,1.21,1.25,4000,0
OUT,5,20210205,091000,1.25,1.25,1.25,1.25,645,0
OUT,5,20210205,091500,1.25,1.27,1.25,1.27,2990,0
OUT,5,20210205,093000,1.27,1.28,1.27,1.28,6355,0
OUT,5,20210205,102000,1.23,1.23,1.23,1.23,790,0
OUT,5,20210205,102500,1.2,1.26,1.19,1.26,4050,0
OUT,5,20210205,110000,1.24,1.25,1.24,1.25,1667,0
OUT,5,20210205,124000,1.2,1.2,1.2,1.2,500,0
OUT,5,20210205,132000,1.2,1.2,1.2,1.2,200,0
OUT,5,20210205,132500,1.2,1.2,1.19,1.19,3308,0
OUT,5,20210205,133000,1.19,1.19,1.19,1.19,2000,0
OUT,5,20210205,133500,1.19,1.19,1.19,1.19,3000,0
OUT,5,20210205,134500,1.18,1.18,1,1,2637,0
OUT,5,20210205,135000,1.22,1.22,1.22,1.22,32,0
OUT,5,20210205,135500,1.19,1.22,1.19,1.22,3035,0
OUT,5,20210205,140000,1.22,1.22,1.22,1.22,6000,0
OUT,5,20210205,140500,1.22,1.22,1.22,1.22,6000,0
OUT,5,20210205,141000,1.22,1.23,1.22,1.22,6023,0
OUT,5,20210205,141500,1.14,1.14,1.14,1.14,1500,0
OUT,5,20210205,142500,1.15,1.21,1.15,1.21,2413,0
OUT,5,20210205,143000,1.21,1.21,1.21,1.21,2000,0
OUT,5,20210205,143500,1.23,1.23,1.23,1.23,33,0
OUT,5,20210205,150000,1.22,1.25,1.2,1.25,18975,0
OUT,5,20210205,151000,1.25,1.25,1.25,1.25,1430,0
OUT,5,20210205,151500,1.25,1.26,1.25,1.26,1000,0
OUT,5,20210205,155000,1.26,1.28,1.26,1.28,3627,0
OUT,5,20210205,155500,1.29,1.29,1.29,1.29,60,0
OUT,5,20210205,160500,1.29,1.38,1.29,1.38,5400,0
OUT,5,20210205,161500,1.36,1.48,1.36,1.48,3991,0
OUT,5,20210205,162500,1.46,1.46,1.46,1.46,3000,0
OUT,5,20210205,163500,1.48,1.48,1.48,1.48,2322,0
OUT,5,20210205,164000,1.5,1.5,1.5,1.5,2000,0
OUT,5,20210205,164500,1.5,1.5,1.5,1.5,8000,0
OUT,5,20210208,090000,1.51,1.55,1.51,1.55,4948,0
OUT,5,20210208,090500,1.55,1.66,1.55,1.66,2023,0
OUT,5,20210208,091500,1.63,1.63,1.63,1.63,4000,0
OUT,5,20210208,092500,1.6,1.6,1.5,1.6,12935,0
OUT,5,20210208,095500,1.59,1.6,1.59,1.6,1088,0
OUT,5,20210208,105000,1.59,1.63,1.59,1.63,4425,0
OUT,5,20210208,105500,1.63,1.63,1.63,1.63,75,0
OUT,5,20210208,110500,1.63,1.65,1.63,1.65,2000,0
OUT,5,20210208,113500,1.65,1.65,1.65,1.65,250,0
OUT,5,20210208,120500,1.59,1.62,1.59,1.62,3318,0
OUT,5,20210208,123000,1.6,1.6,1.6,1.6,500,0
OUT,5,20210208,150000,1.51,1.51,1.49,1.49,1500,0
OUT,5,20210208,164000,1.49,1.49,1.43,1.43,5000,0
OUT,5,20210208,164500,1.51,1.51,1.51,1.51,50,0
OUT,5,20210209,090000,1.53,1.53,1.53,1.53,50,0
OUT,5,20210209,104500,1.43,1.43,1.35,1.35,1400,0
OUT,5,20210209,105000,1.45,1.52,1.45,1.52,1958,0
OUT,5,20210209,105500,1.43,1.52,1.41,1.51,3630,0
OUT,5,20210209,111500,1.5,1.51,1.5,1.51,110,0
OUT,5,20210209,114500,1.41,1.47,1.35,1.47,1520,0
OUT,5,20210209,134000,1.47,1.51,1.47,1.51,2000,0
OUT,5,20210209,134500,1.51,1.56,1.51,1.56,2220,0
OUT,5,20210209,161000,1.42,1.42,1.42,1.42,1420,0
OUT,5,20210209,161500,1.52,1.52,1.52,1.52,20,0
OUT,5,20210209,164000,1.51,1.56,1.51,1.56,6410,0
OUT,5,20210209,164500,1.56,1.57,1.45,1.57,3520,0
