<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OVI,5,20210204,093000,2.56,2.56,2.56,2.56,891,0
OVI,5,20210204,093500,2.55,2.55,2.55,2.55,392,0
OVI,5,20210204,111500,2.55,2.55,2.55,2.55,580,0
OVI,5,20210204,133000,2.57,2.57,2.57,2.57,30,0
OVI,5,20210204,134000,2.6,2.6,2.6,2.6,60,0
OVI,5,20210204,143000,2.6,2.6,2.6,2.6,191,0
OVI,5,20210204,150500,2.57,2.57,2.57,2.57,570,0
OVI,5,20210204,155500,2.58,2.58,2.58,2.58,400,0
OVI,5,20210205,113500,2.6,2.679,2.6,2.679,300,0
OVI,5,20210205,114000,2.65,2.65,2.65,2.65,499,0
OVI,5,20210205,125000,2.65,2.65,2.65,2.65,101,0
OVI,5,20210205,151500,2.62,2.62,2.62,2.62,42,0
OVI,5,20210205,160000,2.62,2.62,2.62,2.62,70,0
OVI,5,20210208,090000,2.679,2.679,2.679,2.679,3,0
OVI,5,20210208,090500,2.679,2.679,2.679,2.679,497,0
OVI,5,20210208,091000,2.748,2.748,2.748,2.748,50,0
OVI,5,20210208,094500,2.748,2.748,2.748,2.748,300,0
OVI,5,20210208,124500,2.728,2.74,2.728,2.74,2600,0
OVI,5,20210208,130000,2.73,2.73,2.73,2.73,300,0
OVI,5,20210208,135500,2.603,2.603,2.6,2.6,2782,0
OVI,5,20210208,141500,2.6,2.6,2.6,2.6,580,0
OVI,5,20210208,151500,2.67,2.67,2.67,2.67,283,0
OVI,5,20210208,164500,2.67,2.67,2.67,2.67,67,0
OVI,5,20210209,090000,2.55,2.55,2.55,2.55,2609,0
OVI,5,20210209,090500,2.55,2.55,2.55,2.55,74,0
OVI,5,20210209,093500,2.521,2.521,2.521,2.521,50,0
OVI,5,20210209,101500,2.53,2.53,2.53,2.53,528,0
OVI,5,20210209,102000,2.53,2.53,2.53,2.53,472,0
OVI,5,20210209,112500,2.537,2.537,2.537,2.537,300,0
OVI,5,20210209,131000,2.59,2.59,2.59,2.59,140,0
OVI,5,20210209,133500,2.59,2.6,2.59,2.6,1833,0
OVI,5,20210209,134500,2.728,2.736,2.728,2.736,1028,0
OVI,5,20210209,135000,2.736,2.78,2.736,2.78,1724,0
OVI,5,20210209,140000,2.78,2.78,2.78,2.78,150,0
OVI,5,20210209,150500,2.66,2.7,2.66,2.7,926,0
OVI,5,20210210,095000,2.66,2.66,2.62,2.62,483,0
OVI,5,20210210,122000,2.65,2.65,2.65,2.65,150,0
OVI,5,20210210,124000,2.65,2.65,2.65,2.65,250,0
OVI,5,20210210,125500,2.688,2.688,2.688,2.688,331,0
OVI,5,20210210,130000,2.62,2.62,2.62,2.62,616,0
OVI,5,20210210,140500,2.61,2.61,2.61,2.61,377,0
OVI,5,20210210,152000,2.61,2.61,2.6,2.6,2825,0
OVI,5,20210211,090000,2.686,2.686,2.686,2.686,400,0
OVI,5,20210211,091500,2.686,2.686,2.686,2.686,292,0
OVI,5,20210211,092000,2.686,2.686,2.686,2.686,1588,0
OVI,5,20210211,094500,2.68,2.68,2.68,2.68,380,0
OVI,5,20210211,105000,2.556,2.556,2.556,2.556,10,0
OVI,5,20210211,115500,2.679,2.679,2.679,2.679,500,0
OVI,5,20210211,120000,2.679,2.679,2.679,2.679,1100,0
OVI,5,20210211,164500,2.6,2.6,2.6,2.6,1658,0
OVI,5,20210212,090000,2.6795,2.6795,2.6795,2.6795,600,0
OVI,5,20210212,090500,2.6795,2.6795,2.6795,2.6795,497,0
OVI,5,20210212,091500,2.6,2.6,2.6,2.6,1022,0
OVI,5,20210212,095500,2.6,2.6,2.6,2.6,300,0
OVI,5,20210212,101500,2.6,2.67,2.6,2.67,200,0
OVI,5,20210212,102500,2.67,2.67,2.67,2.67,194,0
OVI,5,20210212,104500,2.563,2.563,2.563,2.563,125,0
OVI,5,20210212,120000,2.67,2.7,2.67,2.7,2190,0
OVI,5,20210212,120500,2.7,2.78,2.7,2.78,100,0
OVI,5,20210212,130500,2.66,2.66,2.66,2.66,376,0
OVI,5,20210212,131000,2.57,2.57,2.57,2.57,600,0
OVI,5,20210212,140000,2.6995,2.6995,2.6995,2.6995,100,0
OVI,5,20210212,150000,2.5755,2.5755,2.5755,2.5755,400,0
OVI,5,20210212,150500,2.5755,2.5755,2.575,2.575,1084,0
OVI,5,20210212,164500,2.59,2.59,2.59,2.59,200,0
OVI,5,20210215,092500,2.692,2.692,2.692,2.692,20,0
OVI,5,20210215,094000,2.69,2.69,2.69,2.69,449,0
OVI,5,20210215,101000,2.685,2.685,2.685,2.685,10,0
OVI,5,20210215,122500,2.601,2.601,2.601,2.601,400,0
