<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXY,5,20210204,090000,1.1,1.1,1.1,1.1,11,0
OXY,5,20210204,104500,1.06,1.06,1.04,1.04,1410,0
OXY,5,20210204,105000,1.06,1.06,1.06,1.06,11,0
OXY,5,20210204,140500,1.06,1.06,1.06,1.06,939,0
OXY,5,20210204,141500,1.06,1.06,1.06,1.06,200,0
OXY,5,20210204,164500,1.09,1.09,1.09,1.09,320,0
OXY,5,20210205,093500,1.08,1.09,1.08,1.09,220,0
OXY,5,20210205,094500,1.04,1.04,1.03,1.03,1867,0
OXY,5,20210205,095000,1.02,1.08,1.02,1.08,9195,0
OXY,5,20210205,161500,1.07,1.07,1.07,1.07,45,0
OXY,5,20210205,164500,1.07,1.07,1.07,1.07,120,0
OXY,5,20210208,090000,1,1.07,1,1.07,2550,0
OXY,5,20210208,092500,1.07,1.07,1.07,1.07,100,0
OXY,5,20210208,110500,1.07,1.07,1.07,1.07,61,0
OXY,5,20210209,090000,1.06,1.06,1.06,1.06,50,0
OXY,5,20210209,110000,1.02,1.02,1.02,1.02,500,0
OXY,5,20210209,114500,1.03,1.03,1.03,1.03,1000,0
OXY,5,20210209,122000,1.03,1.03,1.03,1.03,961,0
OXY,5,20210209,123500,1.05,1.05,1.05,1.05,105,0
OXY,5,20210209,153500,1.02,1.02,1.01,1.01,925,0
OXY,5,20210209,154000,1.05,1.05,1.05,1.05,670,0
OXY,5,20210210,090000,1.05,1.05,1.05,1.05,150,0
OXY,5,20210210,093000,1.05,1.07,1.05,1.07,1725,0
OXY,5,20210210,094000,1.07,1.07,1.07,1.07,324,0
OXY,5,20210210,102000,1.08,1.08,1.08,1.08,20,0
OXY,5,20210210,104000,1.08,1.08,1.08,1.08,1369,0
OXY,5,20210210,104500,1.1,1.1,1.1,1.1,10,0
OXY,5,20210210,105000,1.1,1.1,1.1,1.1,2944,0
OXY,5,20210210,105500,1.12,1.12,1.12,1.12,10,0
OXY,5,20210210,115500,1.09,1.12,1.09,1.12,869,0
OXY,5,20210210,150500,1.09,1.09,1.05,1.05,3790,0
OXY,5,20210210,151000,1.09,1.09,1.09,1.09,109,0
OXY,5,20210211,090500,1.08,1.08,1.08,1.08,50,0
OXY,5,20210211,101000,1.07,1.07,1.07,1.07,90,0
OXY,5,20210211,131000,1.05,1.05,1.05,1.05,92,0
OXY,5,20210211,133500,1.03,1.03,1.03,1.03,1000,0
OXY,5,20210211,134000,1.03,1.03,1.03,1.03,1000,0
OXY,5,20210211,142000,1.05,1.05,1.05,1.05,1009,0
OXY,5,20210211,143500,1.07,1.07,1.07,1.07,50,0
OXY,5,20210211,152500,1.07,1.07,1.07,1.07,5000,0
OXY,5,20210211,160500,1.05,1.05,1.03,1.03,2105,0
OXY,5,20210211,161000,1.03,1.03,1.03,1.03,395,0
OXY,5,20210211,163000,1.07,1.07,1.07,1.07,122,0
OXY,5,20210211,164500,1.07,1.07,1.07,1.07,100,0
OXY,5,20210212,100500,1.03,1.03,1.03,1.03,1600,0
OXY,5,20210212,145000,1.06,1.06,1.06,1.06,5,0
OXY,5,20210212,151500,1.03,1.03,1.03,1.03,510,0
OXY,5,20210212,153000,1.06,1.06,1.06,1.06,150,0
OXY,5,20210212,164500,1.06,1.07,1.06,1.07,415,0
OXY,5,20210215,090000,1.07,1.07,1.07,1.07,35,0
OXY,5,20210215,102500,1.06,1.06,1.06,1.06,100,0
OXY,5,20210215,142000,1.06,1.06,1.06,1.06,25,0
OXY,5,20210215,163000,1.03,1.03,1.03,1.03,225,0
OXY,5,20210215,164000,1.03,1.03,1.03,1.03,1369,0
OXY,5,20210216,090000,1.06,1.06,1.06,1.06,200,0
OXY,5,20210216,105500,1.03,1.03,1.02,1.02,3800,0
OXY,5,20210216,110500,1.01,1.01,1,1,6000,0
OXY,5,20210216,111000,1.05,1.05,1.05,1.05,105,0
OXY,5,20210216,121000,1.05,1.05,1.05,1.05,645,0
OXY,5,20210216,121500,1.05,1.05,1.05,1.05,355,0
OXY,5,20210216,131000,1.02,1.02,1.02,1.02,385,0
OXY,5,20210216,150500,1.04,1.04,1.04,1.04,850,0
OXY,5,20210216,164500,1.05,1.05,1.05,1.05,260,0
OXY,5,20210217,090000,1.05,1.05,1.05,1.05,100,0
OXY,5,20210217,092000,1.05,1.05,1.05,1.05,473,0
OXY,5,20210217,092500,1.05,1.05,1.05,1.05,477,0
OXY,5,20210217,131000,1.04,1.04,1.04,1.04,250,0
OXY,5,20210217,140500,1.04,1.04,1.04,1.04,256,0
OXY,5,20210217,152500,1.04,1.04,1.04,1.04,10,0
OXY,5,20210217,160000,1.04,1.04,1.04,1.04,655,0
OXY,5,20210217,164500,1.04,1.04,1.04,1.04,100,0
OXY,5,20210218,090000,1.04,1.04,1.04,1.04,175,0
OXY,5,20210218,122500,1.02,1.02,1.02,1.02,122,0
OXY,5,20210218,123000,1.04,1.04,1.04,1.04,875,0
OXY,5,20210218,140000,1.02,1.02,1.02,1.02,684,0
OXY,5,20210218,140500,1.02,1.02,1.02,1.02,950,0
OXY,5,20210218,141500,1.02,1.02,1.01,1.01,7684,0
OXY,5,20210218,142500,1.01,1.01,1.01,1.01,2138,0
OXY,5,20210218,143500,1.04,1.05,1.04,1.05,260,0
OXY,5,20210218,160500,1.02,1.02,1.02,1.02,1205,0
OXY,5,20210218,161000,1.01,1.01,1,1,1795,0
OXY,5,20210218,164500,1.04,1.04,1.04,1.04,1250,0
OXY,5,20210219,090500,1.04,1.04,1.04,1.04,60,0
OXY,5,20210219,112000,1.05,1.05,1.05,1.05,60,0
OXY,5,20210219,121500,1.02,1.02,1.02,1.02,180,0
OXY,5,20210219,144500,1.04,1.04,1.04,1.04,750,0
OXY,5,20210219,151000,1.05,1.05,1.05,1.05,50,0
OXY,5,20210222,091000,1.04,1.04,1.04,1.04,104,0
OXY,5,20210222,092500,1.01,1.01,1,1,4445,0
OXY,5,20210222,094500,1.03,1.03,1.03,1.03,50,0
OXY,5,20210222,100500,1.03,1.03,1.03,1.03,1000,0
OXY,5,20210222,101000,1.03,1.03,1.03,1.03,650,0
OXY,5,20210222,103000,1,1,1,1,1624,0
OXY,5,20210222,104000,1,1,1,1,800,0
OXY,5,20210222,112000,1,1,1,1,190,0
OXY,5,20210222,113000,1,1,1,1,200,0
OXY,5,20210222,115500,1,1,1,1,186,0
OXY,5,20210222,122500,1.03,1.04,1.03,1.04,862,0
OXY,5,20210223,100500,1.03,1.03,1.03,1.03,100,0
OXY,5,20210223,151000,1.01,1.01,1.01,1.01,300,0
OXY,5,20210223,164500,1.03,1.03,1.03,1.03,700,0
OXY,5,20210224,091000,1.01,1.01,1.01,1.01,100,0
OXY,5,20210224,122500,1.01,1.02,1.01,1.02,10350,0
OXY,5,20210224,143000,1.01,1.01,1.01,1.01,1350,0
OXY,5,20210224,151500,1.02,1.02,1.02,1.02,400,0
OXY,5,20210225,092500,1.01,1.01,1.01,1.01,100,0
OXY,5,20210225,121000,1,1,0.99,0.99,1650,0
OXY,5,20210225,140500,0.99,0.99,0.99,0.99,500,0
OXY,5,20210225,164500,1.01,1.01,1.01,1.01,120,0
OXY,5,20210226,090500,0.99,0.99,0.99,0.99,1600,0
OXY,5,20210226,091500,1.01,1.01,1.01,1.01,150,0
OXY,5,20210226,092000,0.99,0.99,0.98,0.98,3050,0
OXY,5,20210226,100000,0.955,0.955,0.905,0.905,3200,0
OXY,5,20210226,100500,0.975,0.975,0.975,0.975,100,0
OXY,5,20210226,103000,0.975,1,0.975,1,650,0
OXY,5,20210301,090000,0.98,0.98,0.98,0.98,100,0
OXY,5,20210301,104000,0.98,0.98,0.98,0.98,1479,0
OXY,5,20210301,113000,0.985,0.995,0.985,0.995,555,0
OXY,5,20210301,151000,0.98,0.98,0.93,0.93,3185,0
OXY,5,20210301,151500,0.92,0.92,0.92,0.92,300,0
OXY,5,20210301,152000,0.92,0.92,0.92,0.92,220,0
OXY,5,20210301,153000,0.92,0.92,0.92,0.92,2000,0
OXY,5,20210301,153500,0.92,0.92,0.92,0.92,4295,0
OXY,5,20210301,160000,0.97,0.99,0.97,0.99,550,0
OXY,5,20210302,152000,0.95,0.95,0.95,0.95,20,0
OXY,5,20210302,154500,0.95,0.95,0.95,0.95,80,0
OXY,5,20210302,160000,0.99,0.99,0.99,0.99,30,0
OXY,5,20210303,095000,1,1,1,1,5,0
OXY,5,20210303,104000,0.975,1,0.975,1,1623,0
OXY,5,20210303,143500,1,1.01,1,1.01,5972,0
OXY,5,20210303,144000,1.01,1.01,1.01,1.01,3784,0
OXY,5,20210303,144500,1.09,1.09,1.09,1.09,50,0
OXY,5,20210303,151500,1.05,1.09,1.05,1.09,704,0
OXY,5,20210303,155000,1.09,1.09,1.09,1.09,58,0
OXY,5,20210303,155500,1.05,1.05,1.05,1.05,1000,0
OXY,5,20210303,160500,1.05,1.05,1.05,1.05,795,0
OXY,5,20210303,161000,1.04,1.09,1.04,1.09,530,0
OXY,5,20210304,090500,1.09,1.09,1.09,1.09,50,0
OXY,5,20210304,120000,1.02,1.02,1.02,1.02,920,0
OXY,5,20210304,121000,1.01,1.01,1,1,1800,0
OXY,5,20210304,122000,0.99,0.99,0.99,0.99,1000,0
OXY,5,20210304,122500,0.99,0.99,0.99,0.99,3885,0
OXY,5,20210304,124000,1.06,1.06,1.06,1.06,35,0
OXY,5,20210305,110000,0.99,0.99,0.95,0.95,3265,0
OXY,5,20210305,110500,1,1,1,1,30,0
OXY,5,20210305,120500,0.99,0.99,0.99,0.99,1000,0
OXY,5,20210305,121500,0.99,1,0.99,1,30,0
OXY,5,20210308,090500,0.99,0.99,0.99,0.99,50,0
OXY,5,20210308,101500,0.97,0.97,0.97,0.97,350,0
OXY,5,20210308,110000,0.95,0.95,0.9,0.9,13639,0
OXY,5,20210308,110500,0.92,0.92,0.92,0.92,14770,0
OXY,5,20210308,111500,0.92,0.92,0.92,0.92,2000,0
OXY,5,20210308,112500,0.92,0.92,0.92,0.92,1630,0
OXY,5,20210308,113000,0.95,0.95,0.95,0.95,95,0
OXY,5,20210308,122000,0.925,0.925,0.925,0.925,850,0
OXY,5,20210308,143500,0.95,0.95,0.95,0.95,205,0
OXY,5,20210308,150000,0.935,0.935,0.93,0.93,11000,0
OXY,5,20210308,154000,0.95,0.95,0.95,0.95,5,0
