<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OZE,5,20210204,090000,3.28,3.28,3.24,3.24,1700,0
OZE,5,20210204,090500,3.24,3.34,3.24,3.34,155,0
OZE,5,20210204,091000,3.22,3.34,3.22,3.34,719,0
OZE,5,20210204,091500,3.24,3.24,3.24,3.24,422,0
OZE,5,20210204,095500,3.26,3.26,3.26,3.26,1397,0
OZE,5,20210204,100000,3.26,3.34,3.24,3.34,4400,0
OZE,5,20210204,100500,3.36,3.56,3.36,3.46,10301,0
OZE,5,20210204,101000,3.48,3.48,3.44,3.44,3357,0
OZE,5,20210204,101500,3.46,3.46,3.46,3.46,10,0
OZE,5,20210204,103000,3.38,3.4,3.38,3.4,2024,0
OZE,5,20210204,103500,3.38,3.38,3.38,3.38,476,0
OZE,5,20210204,104500,3.38,3.42,3.38,3.42,1524,0
OZE,5,20210204,105000,3.4,3.4,3.4,3.4,750,0
OZE,5,20210204,105500,3.42,3.42,3.42,3.42,1190,0
OZE,5,20210204,110000,3.42,3.46,3.42,3.42,4244,0
OZE,5,20210204,111500,3.4,3.4,3.4,3.4,456,0
OZE,5,20210204,112500,3.4,3.44,3.4,3.44,400,0
OZE,5,20210204,113000,3.4,3.4,3.4,3.4,1534,0
OZE,5,20210204,114000,3.44,3.46,3.44,3.46,580,0
OZE,5,20210204,120500,3.44,3.44,3.4,3.4,1295,0
OZE,5,20210204,121000,3.4,3.44,3.38,3.44,6000,0
OZE,5,20210204,121500,3.44,3.44,3.44,3.44,666,0
OZE,5,20210204,122000,3.44,3.46,3.44,3.46,3987,0
OZE,5,20210204,122500,3.48,3.48,3.48,3.48,5151,0
OZE,5,20210204,123000,3.48,3.48,3.48,3.48,100,0
OZE,5,20210204,124000,3.4,3.44,3.4,3.44,1512,0
OZE,5,20210204,124500,3.42,3.46,3.42,3.46,900,0
OZE,5,20210204,125000,3.44,3.44,3.44,3.44,300,0
OZE,5,20210204,130000,3.44,3.44,3.42,3.42,550,0
OZE,5,20210204,130500,3.4,3.4,3.4,3.4,300,0
OZE,5,20210204,131000,3.42,3.44,3.42,3.44,105,0
OZE,5,20210204,132000,3.42,3.42,3.42,3.42,450,0
OZE,5,20210204,132500,3.42,3.46,3.42,3.46,2588,0
OZE,5,20210204,133000,3.48,3.52,3.48,3.52,5843,0
OZE,5,20210204,133500,3.52,3.52,3.48,3.48,1457,0
OZE,5,20210204,134000,3.5,3.54,3.5,3.54,9291,0
OZE,5,20210204,134500,3.54,3.54,3.52,3.52,1804,0
OZE,5,20210204,135500,3.52,3.54,3.52,3.52,8932,0
OZE,5,20210204,140000,3.5,3.54,3.5,3.54,6347,0
OZE,5,20210204,140500,3.54,3.54,3.54,3.54,8,0
OZE,5,20210204,141500,3.52,3.52,3.5,3.5,977,0
OZE,5,20210204,142000,3.5,3.56,3.5,3.54,3494,0
OZE,5,20210204,143000,3.56,3.56,3.56,3.56,2905,0
OZE,5,20210204,143500,3.52,3.52,3.52,3.52,60,0
OZE,5,20210204,144000,3.52,3.52,3.52,3.52,2050,0
OZE,5,20210204,145500,3.54,3.54,3.54,3.54,250,0
OZE,5,20210204,150000,3.54,3.54,3.54,3.54,549,0
OZE,5,20210204,150500,3.54,3.54,3.54,3.54,788,0
OZE,5,20210204,151000,3.54,3.54,3.54,3.54,212,0
OZE,5,20210204,151500,3.54,3.56,3.54,3.56,2500,0
OZE,5,20210204,152000,3.52,3.52,3.52,3.52,1480,0
OZE,5,20210204,153000,3.54,3.54,3.54,3.54,75,0
OZE,5,20210204,153500,3.54,3.54,3.54,3.54,568,0
OZE,5,20210204,154000,3.52,3.52,3.5,3.5,2288,0
OZE,5,20210204,154500,3.52,3.54,3.52,3.54,1414,0
OZE,5,20210204,155000,3.5,3.54,3.5,3.54,1734,0
OZE,5,20210204,155500,3.54,3.56,3.54,3.56,4867,0
OZE,5,20210204,160000,3.56,3.56,3.54,3.54,4780,0
OZE,5,20210204,160500,3.54,3.56,3.54,3.56,4520,0
OZE,5,20210204,161000,3.54,3.58,3.54,3.58,6431,0
OZE,5,20210204,161500,3.58,3.76,3.58,3.74,41020,0
OZE,5,20210204,162000,3.7,3.72,3.68,3.7,13217,0
OZE,5,20210204,162500,3.66,3.8,3.66,3.74,20830,0
OZE,5,20210204,163000,3.76,3.84,3.76,3.76,24077,0
OZE,5,20210204,163500,3.82,3.86,3.8,3.84,24225,0
OZE,5,20210204,164000,3.84,3.92,3.82,3.92,49040,0
OZE,5,20210204,164500,3.92,3.94,3.9,3.94,40363,0
OZE,5,20210205,090000,3.86,3.86,3.64,3.72,24309,0
OZE,5,20210205,090500,3.74,3.76,3.64,3.66,8944,0
OZE,5,20210205,091000,3.68,3.68,3.5,3.58,11729,0
OZE,5,20210205,091500,3.64,3.68,3.64,3.68,1810,0
OZE,5,20210205,092000,3.66,3.7,3.66,3.66,4665,0
OZE,5,20210205,092500,3.66,3.66,3.6,3.6,7785,0
OZE,5,20210205,093500,3.66,3.7,3.66,3.68,4491,0
OZE,5,20210205,094000,3.66,3.68,3.66,3.68,409,0
OZE,5,20210205,094500,3.62,3.62,3.6,3.6,1800,0
OZE,5,20210205,095000,3.62,3.62,3.62,3.62,100,0
OZE,5,20210205,095500,3.62,3.68,3.62,3.68,3300,0
OZE,5,20210205,100500,3.66,3.66,3.66,3.66,736,0
OZE,5,20210205,101000,3.66,3.68,3.66,3.68,1622,0
OZE,5,20210205,101500,3.66,3.66,3.6,3.62,7736,0
OZE,5,20210205,102000,3.6,3.6,3.52,3.54,16076,0
OZE,5,20210205,102500,3.54,3.54,3.5,3.5,18214,0
OZE,5,20210205,103000,3.52,3.56,3.52,3.56,2600,0
OZE,5,20210205,104000,3.52,3.54,3.5,3.5,6990,0
OZE,5,20210205,104500,3.5,3.5,3.46,3.46,6227,0
OZE,5,20210205,105000,3.44,3.5,3.4,3.5,5623,0
OZE,5,20210205,105500,3.46,3.52,3.46,3.52,1262,0
OZE,5,20210205,110000,3.54,3.56,3.5,3.5,2110,0
OZE,5,20210205,110500,3.52,3.52,3.52,3.52,288,0
OZE,5,20210205,111000,3.56,3.56,3.56,3.56,692,0
OZE,5,20210205,111500,3.56,3.56,3.56,3.56,958,0
OZE,5,20210205,112000,3.56,3.56,3.56,3.56,1835,0
OZE,5,20210205,112500,3.58,3.58,3.54,3.54,2800,0
OZE,5,20210205,113000,3.56,3.56,3.5,3.5,8000,0
OZE,5,20210205,114000,3.5,3.5,3.5,3.5,500,0
OZE,5,20210205,114500,3.5,3.5,3.5,3.5,150,0
OZE,5,20210205,115000,3.5,3.5,3.5,3.5,1192,0
OZE,5,20210205,115500,3.5,3.5,3.5,3.5,20000,0
OZE,5,20210205,120000,3.5,3.5,3.5,3.5,758,0
OZE,5,20210205,120500,3.54,3.56,3.54,3.56,6550,0
OZE,5,20210205,122000,3.52,3.52,3.52,3.52,1000,0
OZE,5,20210205,123000,3.52,3.52,3.52,3.52,800,0
OZE,5,20210205,123500,3.5,3.56,3.5,3.56,517,0
OZE,5,20210205,125000,3.52,3.52,3.52,3.52,559,0
OZE,5,20210205,125500,3.52,3.52,3.5,3.5,5841,0
OZE,5,20210205,130000,3.52,3.56,3.52,3.56,2000,0
OZE,5,20210205,132000,3.52,3.54,3.5,3.54,2600,0
OZE,5,20210205,132500,3.5,3.5,3.5,3.5,500,0
OZE,5,20210205,133000,3.52,3.52,3.5,3.5,2474,0
OZE,5,20210205,133500,3.52,3.52,3.52,3.52,736,0
OZE,5,20210205,134000,3.5,3.58,3.5,3.58,8141,0
OZE,5,20210205,134500,3.56,3.6,3.56,3.6,2300,0
OZE,5,20210205,135000,3.58,3.6,3.58,3.58,6917,0
OZE,5,20210205,135500,3.6,3.64,3.6,3.64,855,0
OZE,5,20210205,140000,3.62,3.64,3.62,3.64,200,0
OZE,5,20210205,141500,3.62,3.62,3.56,3.56,5551,0
OZE,5,20210205,143500,3.56,3.56,3.56,3.56,5700,0
OZE,5,20210205,145000,3.58,3.58,3.56,3.56,1020,0
OZE,5,20210205,151000,3.56,3.56,3.54,3.54,536,0
OZE,5,20210205,152000,3.54,3.56,3.5,3.56,3231,0
OZE,5,20210205,153000,3.52,3.52,3.52,3.52,1000,0
OZE,5,20210205,153500,3.56,3.56,3.54,3.56,4140,0
OZE,5,20210205,155000,3.52,3.52,3.5,3.5,6916,0
OZE,5,20210205,160000,3.56,3.56,3.56,3.56,999,0
OZE,5,20210205,161500,3.52,3.52,3.52,3.52,1500,0
OZE,5,20210205,162000,3.52,3.52,3.52,3.52,345,0
OZE,5,20210205,162500,3.56,3.56,3.5,3.5,1100,0
OZE,5,20210205,163500,3.54,3.54,3.54,3.54,1190,0
OZE,5,20210205,164000,3.5,3.54,3.5,3.5,8877,0
OZE,5,20210205,164500,3.5,3.54,3.5,3.54,1497,0
OZE,5,20210208,090000,3.54,3.54,3.5,3.5,1500,0
OZE,5,20210208,090500,3.56,3.56,3.5,3.5,1050,0
OZE,5,20210208,091000,3.5,3.5,3.44,3.44,3744,0
OZE,5,20210208,091500,3.44,3.44,3.4,3.44,5044,0
OZE,5,20210208,092000,3.54,3.54,3.54,3.54,292,0
OZE,5,20210208,092500,3.54,3.54,3.54,3.54,188,0
OZE,5,20210208,094000,3.52,3.52,3.52,3.52,300,0
OZE,5,20210208,094500,3.52,3.52,3.5,3.52,2569,0
OZE,5,20210208,095500,3.5,3.52,3.5,3.52,708,0
OZE,5,20210208,102000,3.52,3.52,3.52,3.52,1710,0
OZE,5,20210208,104000,3.46,3.46,3.46,3.46,10,0
OZE,5,20210208,104500,3.46,3.46,3.46,3.46,100,0
OZE,5,20210208,105000,3.5,3.5,3.5,3.5,256,0
OZE,5,20210208,112500,3.48,3.48,3.48,3.48,461,0
OZE,5,20210208,113000,3.46,3.46,3.46,3.46,339,0
OZE,5,20210208,115500,3.46,3.46,3.46,3.46,1351,0
OZE,5,20210208,130500,3.46,3.46,3.46,3.46,244,0
OZE,5,20210208,133000,3.46,3.46,3.44,3.44,1000,0
OZE,5,20210208,133500,3.44,3.44,3.42,3.42,7000,0
OZE,5,20210208,134000,3.42,3.46,3.4,3.4,6796,0
OZE,5,20210208,134500,3.4,3.4,3.4,3.4,204,0
OZE,5,20210208,135500,3.44,3.44,3.44,3.44,250,0
OZE,5,20210208,140000,3.44,3.48,3.44,3.48,96,0
OZE,5,20210208,140500,3.46,3.46,3.46,3.46,540,0
OZE,5,20210208,141000,3.48,3.48,3.48,3.48,800,0
OZE,5,20210208,151500,3.44,3.44,3.4,3.4,4913,0
OZE,5,20210208,152000,3.4,3.4,3.4,3.4,3135,0
OZE,5,20210208,152500,3.4,3.4,3.4,3.4,3000,0
OZE,5,20210208,153500,3.44,3.44,3.44,3.44,50,0
OZE,5,20210208,162500,3.44,3.44,3.44,3.44,1549,0
OZE,5,20210208,163500,3.46,3.54,3.46,3.54,17585,0
OZE,5,20210208,164500,3.54,3.54,3.54,3.54,3826,0
OZE,5,20210209,091000,3.54,3.54,3.54,3.54,946,0
OZE,5,20210209,091500,3.56,3.56,3.56,3.56,1010,0
OZE,5,20210209,092000,3.54,3.54,3.54,3.54,2854,0
OZE,5,20210209,094000,3.5,3.52,3.5,3.52,550,0
OZE,5,20210209,094500,3.52,3.52,3.52,3.52,500,0
OZE,5,20210209,101000,3.52,3.52,3.52,3.52,1000,0
OZE,5,20210209,102500,3.52,3.56,3.52,3.54,3682,0
OZE,5,20210209,103500,3.54,3.54,3.5,3.5,2368,0
OZE,5,20210209,105000,3.5,3.5,3.5,3.5,309,0
OZE,5,20210209,112000,3.5,3.5,3.46,3.46,3500,0
OZE,5,20210209,112500,3.46,3.46,3.42,3.42,3300,0
OZE,5,20210209,113000,3.42,3.42,3.42,3.42,188,0
OZE,5,20210209,114000,3.5,3.5,3.5,3.5,400,0
OZE,5,20210209,115000,3.52,3.52,3.52,3.52,17800,0
OZE,5,20210209,123000,3.54,3.54,3.54,3.54,1742,0
OZE,5,20210209,124000,3.56,3.6,3.56,3.58,8345,0
OZE,5,20210209,124500,3.58,3.58,3.58,3.58,1955,0
OZE,5,20210209,125000,3.58,3.64,3.58,3.64,8809,0
OZE,5,20210209,125500,3.6,3.66,3.6,3.66,13000,0
OZE,5,20210209,130000,3.66,3.68,3.62,3.68,8027,0
OZE,5,20210209,130500,3.62,3.62,3.62,3.62,300,0
OZE,5,20210209,131000,3.62,3.62,3.62,3.62,500,0
OZE,5,20210209,131500,3.62,3.62,3.62,3.62,75,0
OZE,5,20210209,132000,3.62,3.62,3.6,3.6,1562,0
OZE,5,20210209,132500,3.6,3.6,3.6,3.6,151,0
OZE,5,20210209,133000,3.6,3.6,3.6,3.6,700,0
OZE,5,20210209,141500,3.6,3.62,3.6,3.62,3229,0
OZE,5,20210209,143500,3.6,3.6,3.6,3.6,250,0
OZE,5,20210209,144000,3.62,3.66,3.62,3.66,1000,0
OZE,5,20210209,144500,3.6,3.6,3.6,3.6,500,0
OZE,5,20210209,151000,3.6,3.6,3.6,3.6,4216,0
OZE,5,20210209,152500,3.64,3.7,3.6,3.6,10690,0
OZE,5,20210209,153500,3.6,3.7,3.6,3.7,1050,0
OZE,5,20210209,154000,3.56,3.56,3.56,3.56,1,0
OZE,5,20210209,154500,3.68,3.68,3.56,3.68,1357,0
OZE,5,20210209,155500,3.68,3.68,3.68,3.68,200,0
OZE,5,20210209,160500,3.66,3.68,3.66,3.68,1390,0
OZE,5,20210209,162000,3.6,3.6,3.6,3.6,2000,0
OZE,5,20210209,163500,3.6,3.6,3.6,3.6,1000,0
OZE,5,20210209,164500,3.6,3.66,3.6,3.66,1772,0
OZE,5,20210210,090000,3.6,3.6,3.6,3.6,1000,0
OZE,5,20210210,090500,3.6,3.7,3.6,3.7,1640,0
