<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
P24,5,20210204,090000,0.278,0.292,0.278,0.286,292300,0
P24,5,20210204,090500,0.29,0.29,0.278,0.278,96605,0
P24,5,20210204,091000,0.272,0.276,0.272,0.276,7318,0
P24,5,20210204,091500,0.274,0.28,0.27,0.28,122884,0
P24,5,20210204,092000,0.28,0.28,0.278,0.278,4200,0
P24,5,20210204,092500,0.272,0.272,0.262,0.262,35635,0
P24,5,20210204,093000,0.264,0.264,0.26,0.262,81347,0
P24,5,20210204,093500,0.262,0.272,0.262,0.262,31000,0
P24,5,20210204,094000,0.262,0.27,0.262,0.264,1450,0
P24,5,20210204,094500,0.266,0.27,0.266,0.27,7748,0
P24,5,20210204,095000,0.27,0.274,0.27,0.272,9607,0
P24,5,20210204,100000,0.274,0.274,0.266,0.266,18600,0
P24,5,20210204,100500,0.274,0.274,0.274,0.274,4901,0
P24,5,20210204,101000,0.264,0.27,0.264,0.27,6191,0
P24,5,20210204,101500,0.264,0.264,0.26,0.26,87825,0
P24,5,20210204,102000,0.26,0.26,0.256,0.256,35452,0
P24,5,20210204,103000,0.258,0.26,0.24,0.24,184398,0
P24,5,20210204,103500,0.242,0.256,0.242,0.256,40250,0
P24,5,20210204,104000,0.25,0.256,0.248,0.256,11436,0
P24,5,20210204,104500,0.256,0.256,0.256,0.256,3243,0
P24,5,20210204,105000,0.25,0.25,0.25,0.25,8500,0
P24,5,20210204,105500,0.256,0.256,0.256,0.256,256,0
P24,5,20210204,110000,0.256,0.256,0.256,0.256,2432,0
P24,5,20210204,111000,0.246,0.246,0.246,0.246,2700,0
P24,5,20210204,112000,0.248,0.258,0.248,0.258,10750,0
P24,5,20210204,112500,0.25,0.25,0.25,0.25,10000,0
P24,5,20210204,113000,0.25,0.25,0.25,0.25,10000,0
P24,5,20210204,113500,0.25,0.25,0.25,0.25,167,0
P24,5,20210204,115500,0.254,0.254,0.248,0.254,1945,0
P24,5,20210204,120500,0.254,0.254,0.252,0.254,15173,0
P24,5,20210204,122000,0.254,0.254,0.252,0.252,8800,0
P24,5,20210204,122500,0.256,0.256,0.256,0.256,500,0
P24,5,20210204,125000,0.256,0.256,0.256,0.256,1858,0
P24,5,20210204,125500,0.252,0.252,0.252,0.252,10000,0
P24,5,20210204,130000,0.252,0.252,0.252,0.252,2417,0
P24,5,20210204,131000,0.252,0.252,0.252,0.252,6897,0
P24,5,20210204,131500,0.252,0.252,0.25,0.25,62737,0
P24,5,20210204,132000,0.25,0.25,0.248,0.248,41149,0
P24,5,20210204,133000,0.246,0.246,0.246,0.246,24500,0
P24,5,20210204,133500,0.246,0.246,0.246,0.246,7635,0
P24,5,20210204,134000,0.246,0.246,0.246,0.246,2777,0
P24,5,20210204,134500,0.246,0.246,0.246,0.246,5569,0
P24,5,20210204,135000,0.25,0.25,0.25,0.25,333,0
P24,5,20210204,140000,0.246,0.246,0.244,0.244,6781,0
P24,5,20210204,141500,0.244,0.244,0.244,0.244,1000,0
P24,5,20210204,142000,0.246,0.246,0.24,0.24,150000,0
P24,5,20210204,142500,0.242,0.248,0.242,0.242,37556,0
P24,5,20210204,143500,0.242,0.242,0.242,0.242,8653,0
P24,5,20210204,144000,0.242,0.242,0.242,0.242,7347,0
P24,5,20210204,144500,0.242,0.242,0.242,0.242,500,0
P24,5,20210204,145000,0.242,0.248,0.242,0.248,27750,0
P24,5,20210204,150000,0.246,0.248,0.242,0.248,7440,0
P24,5,20210204,150500,0.246,0.248,0.246,0.248,10000,0
P24,5,20210204,151000,0.248,0.25,0.248,0.25,29758,0
P24,5,20210204,151500,0.25,0.25,0.25,0.25,17641,0
P24,5,20210204,152000,0.254,0.254,0.254,0.254,2100,0
P24,5,20210204,152500,0.25,0.25,0.242,0.242,33213,0
P24,5,20210204,155000,0.242,0.242,0.242,0.242,20000,0
P24,5,20210204,155500,0.248,0.248,0.248,0.248,10000,0
P24,5,20210204,160000,0.242,0.242,0.242,0.242,14464,0
P24,5,20210204,161500,0.242,0.244,0.24,0.244,94402,0
P24,5,20210204,162000,0.244,0.244,0.244,0.244,4967,0
P24,5,20210204,162500,0.244,0.248,0.244,0.248,31160,0
P24,5,20210204,163500,0.242,0.242,0.24,0.24,11173,0
P24,5,20210204,164500,0.24,0.244,0.238,0.244,65361,0
P24,5,20210205,090000,0.252,0.258,0.25,0.258,81741,0
P24,5,20210205,090500,0.25,0.25,0.246,0.246,6276,0
P24,5,20210205,091500,0.246,0.256,0.246,0.256,35691,0
P24,5,20210205,092000,0.258,0.258,0.254,0.254,7000,0
P24,5,20210205,093000,0.246,0.246,0.242,0.242,27000,0
P24,5,20210205,093500,0.254,0.254,0.254,0.254,10000,0
P24,5,20210205,094000,0.242,0.242,0.242,0.242,4000,0
P24,5,20210205,094500,0.246,0.252,0.246,0.252,10000,0
P24,5,20210205,095000,0.254,0.254,0.25,0.25,18000,0
P24,5,20210205,095500,0.25,0.25,0.25,0.25,4152,0
P24,5,20210205,101000,0.252,0.254,0.252,0.254,18000,0
P24,5,20210205,102000,0.256,0.264,0.256,0.262,133517,0
P24,5,20210205,104000,0.26,0.26,0.26,0.26,3834,0
P24,5,20210205,104500,0.26,0.26,0.26,0.26,3834,0
P24,5,20210205,105000,0.25,0.25,0.24,0.24,115737,0
P24,5,20210205,105500,0.25,0.25,0.24,0.24,21100,0
P24,5,20210205,110000,0.24,0.24,0.24,0.24,10000,0
P24,5,20210205,112500,0.25,0.25,0.25,0.25,1000,0
P24,5,20210205,114000,0.25,0.25,0.25,0.25,23988,0
P24,5,20210205,115500,0.242,0.242,0.242,0.242,12700,0
P24,5,20210205,121000,0.242,0.242,0.242,0.242,86,0
P24,5,20210205,122000,0.242,0.242,0.242,0.242,9399,0
P24,5,20210205,124000,0.25,0.25,0.25,0.25,4233,0
P24,5,20210205,125500,0.25,0.25,0.25,0.25,1670,0
P24,5,20210205,135500,0.248,0.248,0.248,0.248,5000,0
P24,5,20210205,144000,0.244,0.244,0.244,0.244,3925,0
P24,5,20210205,144500,0.248,0.248,0.248,0.248,1560,0
P24,5,20210205,145500,0.248,0.248,0.248,0.248,2450,0
P24,5,20210205,150000,0.244,0.244,0.242,0.242,20000,0
P24,5,20210205,150500,0.242,0.242,0.242,0.242,16199,0
P24,5,20210205,151500,0.24,0.24,0.24,0.24,9366,0
P24,5,20210205,152500,0.24,0.24,0.24,0.24,4300,0
P24,5,20210205,155500,0.248,0.248,0.248,0.248,600,0
P24,5,20210205,160500,0.242,0.242,0.24,0.24,35263,0
P24,5,20210205,161000,0.242,0.242,0.242,0.242,700,0
P24,5,20210205,161500,0.24,0.24,0.24,0.24,11892,0
P24,5,20210205,163500,0.24,0.242,0.24,0.242,4734,0
P24,5,20210205,164000,0.24,0.24,0.24,0.24,6475,0
P24,5,20210205,164500,0.248,0.248,0.24,0.248,5200,0
P24,5,20210208,090000,0.25,0.25,0.236,0.236,8520,0
P24,5,20210208,090500,0.236,0.24,0.23,0.24,86568,0
P24,5,20210208,091000,0.232,0.232,0.23,0.23,32852,0
P24,5,20210208,091500,0.232,0.232,0.232,0.232,2000,0
P24,5,20210208,092000,0.234,0.236,0.234,0.236,2578,0
P24,5,20210208,092500,0.232,0.232,0.232,0.232,5152,0
P24,5,20210208,093000,0.23,0.23,0.228,0.23,39256,0
P24,5,20210208,094000,0.228,0.228,0.228,0.228,9348,0
P24,5,20210208,094500,0.228,0.23,0.228,0.23,19188,0
P24,5,20210208,095000,0.234,0.238,0.234,0.238,15886,0
P24,5,20210208,101500,0.234,0.234,0.232,0.232,3500,0
P24,5,20210208,102000,0.232,0.232,0.232,0.232,16734,0
P24,5,20210208,104000,0.236,0.236,0.236,0.236,8000,0
P24,5,20210208,104500,0.236,0.238,0.236,0.238,8888,0
P24,5,20210208,105000,0.236,0.236,0.236,0.236,1413,0
P24,5,20210208,105500,0.236,0.236,0.236,0.236,5290,0
