<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
P2B,5,20210205,091500,0.192,0.192,0.192,0.192,100,0
P2B,5,20210205,101500,0.18,0.18,0.166,0.166,5730,0
P2B,5,20210205,102000,0.17,0.17,0.17,0.17,5000,0
P2B,5,20210205,130000,0.176,0.19,0.1705,0.185,19010,0
P2B,5,20210205,134000,0.17,0.17,0.17,0.17,10000,0
P2B,5,20210208,090000,0.179,0.179,0.179,0.179,6000,0
P2B,5,20210208,091500,0.178,0.178,0.178,0.178,2000,0
P2B,5,20210208,092500,0.178,0.178,0.178,0.178,200,0
P2B,5,20210208,101000,0.178,0.178,0.178,0.178,2790,0
P2B,5,20210208,111500,0.1785,0.179,0.1785,0.179,7900,0
P2B,5,20210208,120000,0.1715,0.175,0.171,0.171,2080,0
P2B,5,20210208,130000,0.178,0.178,0.178,0.178,200,0
P2B,5,20210208,132500,0.18,0.18,0.18,0.18,400,0
P2B,5,20210208,145000,0.182,0.188,0.182,0.188,300,0
P2B,5,20210208,160000,0.188,0.188,0.188,0.188,90,0
P2B,5,20210208,160500,0.188,0.188,0.188,0.188,1200,0
P2B,5,20210208,161500,0.188,0.188,0.188,0.188,450,0
P2B,5,20210208,164000,0.188,0.188,0.188,0.188,6260,0
P2B,5,20210209,090000,0.195,0.195,0.195,0.195,1500,0
P2B,5,20210209,093000,0.1945,0.195,0.1945,0.195,1000,0
P2B,5,20210209,100000,0.19,0.19,0.19,0.19,542,0
P2B,5,20210209,101000,0.195,0.195,0.195,0.195,410,0
P2B,5,20210209,102500,0.19,0.19,0.19,0.19,458,0
P2B,5,20210209,160000,0.19,0.19,0.19,0.19,142,0
P2B,5,20210209,164500,0.194,0.196,0.19,0.19,13206,0
P2B,5,20210210,090000,0.18,0.18,0.18,0.18,1000,0
P2B,5,20210210,121500,0.188,0.19,0.188,0.19,10160,0
P2B,5,20210210,122500,0.19,0.19,0.19,0.19,9530,0
P2B,5,20210210,154000,0.19,0.19,0.175,0.175,6016,0
P2B,5,20210210,160000,0.184,0.186,0.184,0.186,500,0
P2B,5,20210210,160500,0.186,0.19,0.186,0.19,800,0
P2B,5,20210210,162500,0.19,0.19,0.19,0.19,9200,0
P2B,5,20210211,120500,0.1945,0.1945,0.1945,0.1945,200,0
P2B,5,20210211,131000,0.1945,0.1945,0.1945,0.1945,800,0
P2B,5,20210211,140500,0.1945,0.1945,0.1945,0.1945,1200,0
P2B,5,20210211,154500,0.1905,0.1905,0.1905,0.1905,200,0
P2B,5,20210211,164500,0.19,0.19,0.19,0.19,1000,0
P2B,5,20210212,092500,0.186,0.186,0.186,0.186,200,0
P2B,5,20210212,093000,0.184,0.184,0.184,0.184,200,0
P2B,5,20210212,093500,0.182,0.182,0.182,0.182,200,0
P2B,5,20210212,094000,0.18,0.18,0.176,0.176,800,0
P2B,5,20210212,094500,0.175,0.175,0.175,0.175,4320,0
P2B,5,20210212,121000,0.185,0.198,0.185,0.198,13008,0
P2B,5,20210212,123000,0.18,0.18,0.18,0.18,1200,0
P2B,5,20210212,123500,0.198,0.198,0.198,0.198,10,0
P2B,5,20210212,134000,0.178,0.178,0.176,0.176,500,0
P2B,5,20210212,145500,0.19,0.19,0.19,0.19,1000,0
P2B,5,20210215,102000,0.178,0.178,0.178,0.178,7100,0
P2B,5,20210215,124000,0.18,0.18,0.18,0.18,4200,0
P2B,5,20210215,131000,0.18,0.18,0.18,0.18,1000,0
P2B,5,20210215,134000,0.18,0.18,0.18,0.18,6695,0
P2B,5,20210215,151500,0.18,0.18,0.18,0.18,8105,0
P2B,5,20210215,162000,0.178,0.178,0.178,0.178,6695,0
P2B,5,20210216,090000,0.178,0.178,0.178,0.178,2500,0
P2B,5,20210216,095500,0.18,0.18,0.18,0.18,11000,0
P2B,5,20210216,110500,0.18,0.18,0.18,0.18,9000,0
P2B,5,20210216,115500,0.178,0.178,0.178,0.178,4400,0
P2B,5,20210216,121000,0.176,0.176,0.174,0.174,1200,0
P2B,5,20210216,151000,0.178,0.178,0.178,0.178,600,0
