<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
P2C,5,20210204,090000,13.5,13.5,13.5,13.5,10,0
P2C,5,20210204,091000,13.17,13.17,12.93,12.93,1000,0
P2C,5,20210204,092000,13.288,13.3,13.288,13.3,50,0
P2C,5,20210204,093500,13.3,13.49,13.3,13.49,50,0
P2C,5,20210204,100000,13.01,13.01,13.01,13.01,100,0
P2C,5,20210204,101500,13.01,13.01,13,13,170,0
P2C,5,20210204,102000,12.95,13,12.95,13,520,0
P2C,5,20210204,104000,13.06,13.06,13.06,13.06,277,0
P2C,5,20210204,112000,13.49,13.49,13.49,13.49,50,0
P2C,5,20210204,120500,13.48,13.5,13.48,13.5,250,0
P2C,5,20210204,121000,13.6,13.6,13.6,13.6,96,0
P2C,5,20210204,122000,13.49,13.5,13.49,13.5,180,0
P2C,5,20210204,132000,13.5,13.5,13.5,13.5,520,0
P2C,5,20210204,143500,13.57,13.58,13.57,13.58,150,0
P2C,5,20210204,152500,13.5,13.5,13.5,13.5,500,0
P2C,5,20210204,154500,13.496,13.496,13.496,13.496,70,0
P2C,5,20210204,164500,13.59,13.59,13.59,13.59,20,0
P2C,5,20210205,091000,13.6,13.6,13.6,13.6,5,0
P2C,5,20210205,092500,13.61,13.61,13.59,13.59,450,0
P2C,5,20210205,094500,13.8,13.8,13.8,13.8,14,0
P2C,5,20210205,103000,13.76,13.76,13.76,13.76,30,0
P2C,5,20210205,103500,13.7,13.7,13.7,13.7,375,0
P2C,5,20210205,105000,13.7,13.77,13.7,13.77,385,0
P2C,5,20210205,111000,13.59,13.59,13.59,13.59,30,0
P2C,5,20210205,120000,13.59,13.59,13.59,13.59,47,0
P2C,5,20210205,122500,13.6,13.6,13.6,13.6,103,0
P2C,5,20210205,140500,13.75,13.75,13.75,13.75,375,0
P2C,5,20210205,155000,13.74,13.74,13.74,13.74,80,0
P2C,5,20210205,161000,13.75,13.75,13.75,13.75,3,0
P2C,5,20210205,164500,13.75,13.75,13.75,13.75,185,0
P2C,5,20210208,093500,13.85,13.85,13.85,13.85,60,0
P2C,5,20210208,095500,13.71,13.71,13.7,13.7,60,0
P2C,5,20210208,100500,13.71,13.71,13.71,13.71,38,0
P2C,5,20210208,110000,13.71,13.71,13.7,13.7,46,0
P2C,5,20210208,112500,13.702,13.702,13.7,13.7,448,0
P2C,5,20210208,115500,13.61,13.61,13.59,13.59,119,0
P2C,5,20210208,122500,13.59,13.59,13.59,13.59,60,0
P2C,5,20210208,131000,13.62,13.62,13.61,13.61,200,0
P2C,5,20210208,132500,13.59,13.59,13.59,13.59,788,0
P2C,5,20210208,155000,13.6,13.6,13.6,13.6,30,0
P2C,5,20210208,163000,13.59,13.59,13.55,13.55,174,0
P2C,5,20210208,164500,13.55,13.55,13.55,13.55,57,0
P2C,5,20210209,091000,13.55,13.55,13.45,13.45,520,0
P2C,5,20210209,100500,13.31,13.31,13.31,13.31,50,0
P2C,5,20210209,103500,13.6,13.78,13.6,13.78,30,0
P2C,5,20210209,111500,13.4,13.4,13.4,13.4,50,0
P2C,5,20210209,123500,13.4,13.4,13.3,13.3,194,0
P2C,5,20210209,124000,13.3,13.3,13.15,13.15,385,0
P2C,5,20210209,124500,13.1,13.1,13,13,1415,0
P2C,5,20210209,131000,13,13,13,13,171,0
P2C,5,20210209,131500,13,13,13,13,320,0
P2C,5,20210209,134000,13,13,13,13,250,0
P2C,5,20210209,135500,13,13,13,13,4390,0
P2C,5,20210209,140000,12.9,12.9,12.9,12.9,100,0
P2C,5,20210209,142000,13,13,13,13,15,0
P2C,5,20210209,143000,13,13,13,13,5,0
P2C,5,20210209,155500,13.3,13.3,13.3,13.3,20,0
P2C,5,20210209,160500,13.3,13.3,13.3,13.3,3,0
P2C,5,20210210,090000,13.1,13.1,13.1,13.1,31,0
P2C,5,20210210,091000,13.1,13.1,12.81,12.81,371,0
P2C,5,20210210,092000,12.9,13,12.9,13,170,0
P2C,5,20210210,092500,12.99,12.99,12.99,12.99,50,0
P2C,5,20210210,093000,12.99,12.99,12.9,12.9,189,0
P2C,5,20210210,095500,12.9,12.9,12.9,12.9,250,0
P2C,5,20210210,100500,13,13,13,13,193,0
P2C,5,20210210,103000,13,13,12.8,12.8,561,0
P2C,5,20210210,105000,12.81,12.81,12.81,12.81,10,0
P2C,5,20210210,112000,12.81,12.81,12.8,12.8,125,0
P2C,5,20210210,130000,12.85,12.85,12.85,12.85,100,0
P2C,5,20210210,131000,12.85,12.85,12.85,12.85,100,0
P2C,5,20210210,131500,12.9,12.9,12.9,12.9,47,0
P2C,5,20210210,132000,12.8,12.8,12.8,12.8,175,0
P2C,5,20210210,134000,12.81,12.81,12.81,12.81,129,0
P2C,5,20210210,140000,12.85,12.85,12.85,12.85,175,0
P2C,5,20210210,142500,12.81,12.81,12.8,12.8,149,0
P2C,5,20210210,144500,12.9,12.9,12.9,12.9,10,0
P2C,5,20210210,155000,12.8,12.8,12.8,12.8,300,0
P2C,5,20210210,160000,12.8,12.8,12.8,12.8,180,0
P2C,5,20210210,160500,12.8,12.8,12.8,12.8,22,0
P2C,5,20210210,161500,12.8,12.8,12.7,12.7,478,0
P2C,5,20210210,162000,12.71,12.71,12.7,12.7,485,0
P2C,5,20210210,162500,12.59,12.59,12.59,12.59,50,0
P2C,5,20210210,163000,12.61,12.61,12.61,12.61,20,0
P2C,5,20210210,163500,12.61,12.7,12.61,12.7,107,0
P2C,5,20210210,164500,12.88,12.88,12.88,12.88,50,0
P2C,5,20210211,090500,12.85,12.85,12.85,12.85,10,0
P2C,5,20210211,092500,12.84,12.85,12.84,12.85,145,0
P2C,5,20210211,093500,12.75,12.75,12.61,12.61,150,0
P2C,5,20210211,094500,12.61,12.61,12.5,12.5,548,0
P2C,5,20210211,095500,12.5,12.5,12.33,12.33,300,0
P2C,5,20210211,100000,12.74,12.74,12.74,12.74,4,0
P2C,5,20210211,101000,12.4,12.74,12.4,12.74,123,0
P2C,5,20210211,103500,12.52,12.52,12.418,12.418,230,0
P2C,5,20210211,105500,12.75,12.75,12.75,12.75,425,0
P2C,5,20210211,110000,12.8,12.8,12.8,12.8,440,0
P2C,5,20210211,111000,12.85,13,12.85,13,814,0
P2C,5,20210211,111500,13.1,13.1,12.85,12.85,436,0
P2C,5,20210211,121000,12.85,12.85,12.85,12.85,119,0
P2C,5,20210211,122000,12.9,12.9,12.9,12.9,140,0
P2C,5,20210211,131000,12.55,12.55,12.55,12.55,400,0
P2C,5,20210211,135500,12.94,12.95,12.94,12.95,50,0
P2C,5,20210211,143500,12.7,12.7,12.55,12.55,1270,0
P2C,5,20210211,144000,12.5,12.5,12.46,12.5,371,0
P2C,5,20210211,152500,12.5,12.5,12.43,12.43,50,0
P2C,5,20210211,163000,12.65,12.65,12.65,12.65,100,0
P2C,5,20210211,163500,12.69,12.75,12.69,12.75,147,0
P2C,5,20210211,164000,12.75,12.84,12.75,12.84,225,0
P2C,5,20210211,164500,12.88,12.88,12.88,12.88,50,0
P2C,5,20210212,090000,12.45,12.45,12.45,12.45,1920,0
P2C,5,20210212,090500,12.5,12.5,12.44,12.44,225,0
P2C,5,20210212,091500,12.35,12.35,12.35,12.35,50,0
P2C,5,20210212,092500,12.44,12.5,12.35,12.5,200,0
P2C,5,20210212,093500,12.5,12.5,12.5,12.5,100,0
P2C,5,20210212,094000,12.5,12.5,12.5,12.5,192,0
P2C,5,20210212,095000,12.49,12.49,12.49,12.49,70,0
P2C,5,20210212,095500,12.36,12.5,12.1,12.1,1761,0
P2C,5,20210212,100000,12.48,12.48,12.48,12.48,100,0
P2C,5,20210212,104500,12.5,12.5,12.5,12.5,150,0
P2C,5,20210212,110500,12.5,12.5,12.5,12.5,40,0
P2C,5,20210212,113000,12.45,12.45,12.45,12.45,10,0
P2C,5,20210212,120000,12.48,12.48,12.48,12.48,28,0
P2C,5,20210212,122000,12.26,12.26,12.25,12.25,125,0
P2C,5,20210212,123000,12.124,12.124,12.122,12.122,266,0
P2C,5,20210212,130000,12.33,12.33,12.122,12.122,355,0
P2C,5,20210212,130500,12.49,12.49,12.49,12.49,150,0
P2C,5,20210212,142000,12.48,12.48,12.48,12.48,24,0
P2C,5,20210212,142500,12.48,12.48,12.48,12.48,19,0
P2C,5,20210212,155500,12.44,12.44,12.44,12.44,85,0
P2C,5,20210212,162000,12.37,12.37,12.25,12.25,265,0
P2C,5,20210212,163000,12.25,12.25,12.25,12.25,35,0
P2C,5,20210215,090000,12.428,12.43,12.428,12.43,88,0
P2C,5,20210215,090500,12.448,12.5,12.42,12.428,1264,0
P2C,5,20210215,091500,12.4,13,12.4,13,1235,0
P2C,5,20210215,092000,13,13,13,13,72,0
P2C,5,20210215,092500,12.55,12.6,12.51,12.6,460,0
P2C,5,20210215,093000,12.6,12.6,12.6,12.6,318,0
P2C,5,20210215,093500,12.63,12.63,12.6,12.6,185,0
P2C,5,20210215,095000,12.98,12.98,12.98,12.98,20,0
P2C,5,20210215,100000,12.98,12.98,12.98,12.98,130,0
P2C,5,20210215,102000,12.96,12.96,12.96,12.96,36,0
P2C,5,20210215,104500,12.94,12.95,12.94,12.95,120,0
P2C,5,20210215,105000,12.95,12.96,12.95,12.96,300,0
P2C,5,20210215,110500,12.96,12.98,12.96,12.98,1000,0
P2C,5,20210215,112000,12.98,12.98,12.886,12.886,113,0
P2C,5,20210215,112500,12.8,12.8,12.7,12.7,263,0
P2C,5,20210215,113500,12.7,12.7,12.7,12.7,15,0
P2C,5,20210215,114500,12.7,12.7,12.7,12.7,1170,0
P2C,5,20210215,115000,12.7,12.7,12.7,12.7,42,0
P2C,5,20210215,120500,12.7,12.7,12.7,12.7,50,0
P2C,5,20210215,122000,12.7,12.7,12.7,12.7,183,0
P2C,5,20210215,123000,12.79,12.79,12.79,12.79,150,0
P2C,5,20210215,125000,12.79,12.79,12.79,12.79,51,0
P2C,5,20210215,131000,12.71,12.71,12.66,12.66,387,0
P2C,5,20210215,131500,12.66,12.66,12.66,12.66,256,0
P2C,5,20210215,133500,12.66,12.66,12.66,12.66,105,0
P2C,5,20210215,134000,12.66,12.9,12.66,12.85,760,0
P2C,5,20210215,141500,12.848,12.848,12.848,12.848,50,0
P2C,5,20210215,144500,12.85,12.85,12.85,12.85,66,0
P2C,5,20210215,154000,12.64,12.64,12.64,12.64,490,0
P2C,5,20210215,161000,12.84,12.84,12.84,12.84,428,0
P2C,5,20210215,161500,12.85,12.9,12.85,12.9,845,0
P2C,5,20210215,162000,12.89,12.89,12.89,12.89,1765,0
P2C,5,20210215,164500,12.7,12.9,12.7,12.9,247,0
P2C,5,20210216,093500,12.89,12.89,12.89,12.89,154,0
P2C,5,20210216,104500,12.69,12.69,12.68,12.68,500,0
P2C,5,20210216,111000,12.8,12.8,12.8,12.8,22,0
P2C,5,20210216,120000,12.8,12.8,12.8,12.8,140,0
P2C,5,20210216,120500,12.75,12.75,12.75,12.75,200,0
P2C,5,20210216,121000,12.69,12.69,12.6,12.6,190,0
P2C,5,20210216,125000,12.56,12.56,12.56,12.56,70,0
P2C,5,20210216,130500,12.506,12.506,12.506,12.506,90,0
P2C,5,20210216,131000,12.506,12.506,12.506,12.506,60,0
