<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBB,5,20210204,110000,1.06,1.06,1.06,1.06,20,0
PBB,5,20210205,110000,1.06,1.06,1.06,1.06,20,0
PBB,5,20210212,110000,1.1,1.1,1.1,1.1,100,0
PBB,5,20210215,110000,1.1,1.1,1.1,1.1,20,0
PBB,5,20210215,150000,1.1,1.1,1.1,1.1,280,0
PBB,5,20210216,150000,1.1,1.1,1.1,1.1,20,0
PBB,5,20210217,110000,1.1,1.1,1.1,1.1,10,0
PBB,5,20210218,110000,1.1,1.1,1.1,1.1,10,0
PBB,5,20210219,110000,1.1,1.1,1.1,1.1,10,0
PBB,5,20210219,150000,1.15,1.15,1.15,1.15,112,0
PBB,5,20210222,150000,1.15,1.15,1.15,1.15,378,0
PBB,5,20210315,150000,1.25,1.25,1.25,1.25,220,0
PBB,5,20210316,110000,1.25,1.25,1.25,1.25,20,0
PBB,5,20210317,110000,1.25,1.25,1.25,1.25,20,0
PBB,5,20210318,150000,1.25,1.25,1.25,1.25,20,0
PBB,5,20210319,110000,1.25,1.25,1.25,1.25,30,0
PBB,5,20210325,110000,1.3,1.3,1.3,1.3,340,0
PBB,5,20210326,110000,1.3,1.3,1.3,1.3,20,0
