<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBT,5,20210204,100500,1.41,1.41,1.41,1.41,10,0
PBT,5,20210204,120000,1.33,1.33,1.32,1.32,800,0
PBT,5,20210205,091000,1.3,1.3,1.3,1.3,165,0
PBT,5,20210208,093000,1.31,1.31,1.31,1.31,10,0
PBT,5,20210208,102500,1.38,1.44,1.38,1.44,2142,0
PBT,5,20210208,105500,1.44,1.44,1.44,1.44,345,0
PBT,5,20210208,131500,1.43,1.44,1.43,1.44,14883,0
PBT,5,20210208,132000,1.45,1.45,1.45,1.45,1000,0
PBT,5,20210208,142500,1.45,1.51,1.45,1.51,2220,0
PBT,5,20210208,143500,1.51,1.51,1.51,1.51,280,0
PBT,5,20210208,144000,1.51,1.51,1.51,1.51,70,0
PBT,5,20210208,154000,1.5,1.5,1.5,1.5,6000,0
PBT,5,20210208,161000,1.5,1.5,1.5,1.5,10000,0
PBT,5,20210208,164500,1.5,1.5,1.5,1.5,1270,0
PBT,5,20210209,090000,1.5,1.5,1.5,1.5,5000,0
PBT,5,20210209,121000,1.48,1.56,1.48,1.56,49947,0
PBT,5,20210209,121500,1.56,1.6,1.56,1.6,1816,0
PBT,5,20210209,142500,1.54,1.54,1.54,1.54,1000,0
PBT,5,20210209,143000,1.54,1.54,1.54,1.54,325,0
PBT,5,20210209,145000,1.54,1.59,1.54,1.59,4081,0
PBT,5,20210209,145500,1.59,1.6,1.59,1.6,8300,0
PBT,5,20210209,162000,1.6,1.6,1.6,1.6,357,0
PBT,5,20210209,164500,1.68,1.68,1.68,1.68,10,0
PBT,5,20210210,091500,1.68,1.68,1.68,1.68,46,0
PBT,5,20210210,124000,1.65,1.65,1.65,1.65,10,0
PBT,5,20210210,141500,1.6,1.67,1.42,1.67,1982,0
PBT,5,20210211,090000,1.5,1.5,1.5,1.5,140,0
PBT,5,20210211,090500,1.5,1.5,1.5,1.5,41,0
PBT,5,20210211,095500,1.5,1.5,1.5,1.5,100,0
PBT,5,20210211,142500,1.49,1.65,1.49,1.59,12915,0
PBT,5,20210211,143000,1.59,1.66,1.59,1.66,7975,0
PBT,5,20210211,143500,1.64,1.64,1.64,1.64,150,0
PBT,5,20210211,144000,1.52,1.58,1.52,1.58,450,0
PBT,5,20210211,144500,1.58,1.58,1.58,1.58,200,0
PBT,5,20210211,145000,1.58,1.59,1.58,1.59,4000,0
PBT,5,20210211,150000,1.5,1.5,1.46,1.46,450,0
PBT,5,20210211,150500,1.44,1.52,1.44,1.52,534,0
PBT,5,20210211,151000,1.54,1.54,1.54,1.54,19,0
PBT,5,20210211,154500,1.54,1.54,1.54,1.54,802,0
PBT,5,20210211,164500,1.5,1.5,1.49,1.49,2416,0
PBT,5,20210212,090000,1.6,1.6,1.6,1.6,900,0
PBT,5,20210212,103500,1.54,1.54,1.54,1.54,200,0
PBT,5,20210212,115000,1.49,1.49,1.49,1.49,100,0
PBT,5,20210212,115500,1.48,1.48,1.45,1.45,900,0
PBT,5,20210212,131500,1.54,1.54,1.54,1.54,500,0
PBT,5,20210212,134500,1.54,1.54,1.54,1.54,400,0
PBT,5,20210212,135500,1.52,1.52,1.52,1.52,600,0
PBT,5,20210212,154500,1.46,1.46,1.45,1.45,1500,0
