<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDG,5,20210204,090000,88.01,88.01,88.01,88.01,61,0
PDG,5,20210204,092500,88,88,88,88,30,0
PDG,5,20210204,093000,88.2,88.2,88.2,88.2,15,0
PDG,5,20210204,094500,89.96,90,89.96,90,14,0
PDG,5,20210204,100000,89.99,90,89.99,90,10,0
PDG,5,20210204,100500,90,90,90,90,192,0
PDG,5,20210204,113500,90,90,90,90,5,0
PDG,5,20210204,130500,89,89,88.5,88.5,100,0
PDG,5,20210204,132000,88.5,88.5,88.5,88.5,70,0
PDG,5,20210204,133000,88.2,88.2,84.2,87,580,0
PDG,5,20210204,134000,87,87,87,87,5,0
PDG,5,20210204,140000,87,87,87,87,62,0
PDG,5,20210204,141500,88,88,88,88,5,0
PDG,5,20210204,142000,88,88,88,88,100,0
PDG,5,20210204,145500,88.38,88.4,82.2,85,1393,0
PDG,5,20210204,150000,85.5,85.5,85.5,85.5,30,0
PDG,5,20210204,151000,85.9,86,85.5,85.5,175,0
PDG,5,20210204,151500,86,86,86,86,188,0
PDG,5,20210204,154000,87,87.5,87,87.5,21,0
PDG,5,20210204,154500,87.3,87.3,87.3,87.3,13,0
PDG,5,20210204,155500,86.2,86.2,86.2,86.2,50,0
PDG,5,20210204,161500,87.2,87.2,87.2,87.2,7,0
PDG,5,20210204,162000,87.2,87.2,87.2,87.2,13,0
PDG,5,20210204,164500,86,86,86,86,81,0
PDG,5,20210205,090000,85,85,85,85,100,0
PDG,5,20210205,091500,85.1,85.1,85.1,85.1,30,0
PDG,5,20210205,092000,85.1,85.1,85,85,112,0
PDG,5,20210205,092500,85,85,85,85,3,0
PDG,5,20210205,093500,84.3,84.3,83,83,404,0
PDG,5,20210205,094000,85,85,84.9,84.9,25,0
PDG,5,20210205,094500,85,85,85,85,271,0
PDG,5,20210205,101500,86.3,87.5,86.3,87.5,264,0
PDG,5,20210205,103500,87.3,87.3,87.3,87.3,2,0
PDG,5,20210205,113500,87.3,87.5,87.3,87.5,130,0
PDG,5,20210205,115500,87.5,87.5,87.5,87.5,21,0
PDG,5,20210205,120000,87.5,87.5,87.5,87.5,10,0
PDG,5,20210205,122500,87.9,88,87.9,88,30,0
PDG,5,20210205,123500,87.1,87.1,87,87,13,0
PDG,5,20210205,130000,87,87.4,87,87.4,50,0
PDG,5,20210205,131000,87.4,87.4,87.4,87.4,33,0
PDG,5,20210205,131500,86.5,86.5,85,85,250,0
PDG,5,20210205,132000,86,86,85,85,311,0
PDG,5,20210205,132500,84.3,84.3,84,84.1,280,0
PDG,5,20210205,133000,86,86,86,86,31,0
PDG,5,20210205,145500,85.99,86,85.99,86,99,0
PDG,5,20210205,151000,86,86,86,86,22,0
PDG,5,20210205,151500,86.45,86.45,86.3,86.3,157,0
PDG,5,20210205,152000,86.6,86.6,86.6,86.6,12,0
PDG,5,20210205,160000,86.6,86.6,86.6,86.6,8,0
PDG,5,20210205,163000,86,86,86,86,112,0
PDG,5,20210205,164000,87.2,87.2,87.2,87.2,2,0
PDG,5,20210205,164500,87.19,87.19,87.19,87.19,6,0
PDG,5,20210208,090000,87,87,87,87,20,0
PDG,5,20210208,090500,87,87,87,87,23,0
PDG,5,20210208,092500,87,88.3,87,88,120,0
PDG,5,20210208,095000,88.02,88.02,88.02,88.02,11,0
PDG,5,20210208,111000,88.7,88.8,88.7,88.8,150,0
PDG,5,20210208,112500,88.8,88.8,88.8,88.8,207,0
PDG,5,20210208,114500,88.03,88.03,86.1,86.1,200,0
PDG,5,20210208,124000,86.1,86.1,86,86,22,0
PDG,5,20210208,132000,88.4,88.4,88.4,88.4,20,0
PDG,5,20210208,144500,88.36,88.36,88.36,88.36,100,0
PDG,5,20210208,160500,88,88,88,88,20,0
PDG,5,20210208,163500,88,88,87.99,88,200,0
PDG,5,20210208,164500,86,88,85.43,88,144,0
PDG,5,20210209,091500,88,88,88,88,15,0
PDG,5,20210209,092000,87.99,87.99,87.99,87.99,25,0
PDG,5,20210209,093500,87.99,87.99,87.99,87.99,15,0
PDG,5,20210209,100000,86.1,86.1,86.1,86.1,5,0
PDG,5,20210209,100500,85.3,85.3,85.03,85.04,26,0
PDG,5,20210209,101000,85.03,85.03,85.03,85.03,1,0
PDG,5,20210209,101500,87.8,87.8,87.8,87.8,5,0
PDG,5,20210209,112000,85.5,85.5,85.5,85.5,20,0
PDG,5,20210209,115500,86.9,86.9,86.9,86.9,10,0
PDG,5,20210209,120500,86.49,86.49,86.49,86.49,15,0
PDG,5,20210209,121000,86.49,86.49,86.49,86.49,12,0
PDG,5,20210209,133500,86.4,86.4,86.4,86.4,10,0
PDG,5,20210209,143500,86.4,86.4,86.4,86.4,15,0
PDG,5,20210209,155000,86.3,86.3,86.3,86.3,10,0
PDG,5,20210209,160000,86.1,86.1,86.1,86.1,12,0
PDG,5,20210209,162000,86.3,86.3,86.3,86.3,1,0
PDG,5,20210209,164500,86.1,86.1,86.1,86.1,3,0
PDG,5,20210210,090000,84.6,84.6,84.6,84.6,45,0
PDG,5,20210210,092500,85,85,83.22,83.22,305,0
PDG,5,20210210,094500,85,85,85,85,5,0
PDG,5,20210210,101000,85,85,85,85,30,0
PDG,5,20210210,111500,84.9,84.98,84.9,84.98,43,0
PDG,5,20210210,113000,85,85,85,85,57,0
PDG,5,20210210,114500,84.99,84.99,84.99,84.99,14,0
PDG,5,20210210,124500,84.9,84.9,84.9,84.9,10,0
PDG,5,20210210,131000,84.9,84.9,84.9,84.9,15,0
PDG,5,20210210,134000,84.2,84.2,84.2,84.2,25,0
PDG,5,20210210,144000,84.9,84.9,84.9,84.9,16,0
PDG,5,20210210,151000,84.9,84.9,84.9,84.9,58,0
PDG,5,20210210,151500,84.5,84.5,84.1,84.1,20,0
PDG,5,20210210,152000,84.1,84.1,84.02,84.02,37,0
PDG,5,20210210,152500,84.9,84.9,84.9,84.9,14,0
PDG,5,20210210,155000,84.11,84.11,84.03,84.03,174,0
PDG,5,20210210,160000,84.04,84.04,84.04,84.04,10,0
PDG,5,20210210,164000,84.04,84.04,84.04,84.04,60,0
PDG,5,20210210,164500,84.04,84.04,84.04,84.04,10,0
PDG,5,20210211,090000,85.5,85.5,85.5,85.5,5,0
PDG,5,20210211,092500,85.7,85.9,85.7,85.9,87,0
PDG,5,20210211,093000,86,86,86,86,23,0
PDG,5,20210211,093500,86,86,86,86,27,0
PDG,5,20210211,094000,85.7,85.7,85.7,85.7,7,0
PDG,5,20210211,100500,85.7,85.7,85.7,85.7,20,0
PDG,5,20210211,110500,86.1,86.1,86.1,86.1,7,0
PDG,5,20210211,111000,86.3,86.3,86.3,86.3,3,0
PDG,5,20210211,111500,86.3,86.4,86.3,86.4,3,0
PDG,5,20210211,112500,86.4,86.4,86.4,86.4,8,0
PDG,5,20210211,114500,86.4,86.4,86.4,86.4,65,0
PDG,5,20210211,115500,86.4,86.4,86.4,86.4,8,0
PDG,5,20210211,132500,86.4,86.4,86.4,86.4,15,0
PDG,5,20210211,135500,86.8,86.9,86.8,86.9,10,0
PDG,5,20210211,143000,86.9,86.9,86.9,86.9,20,0
PDG,5,20210211,144000,86.9,86.9,86.9,86.9,28,0
PDG,5,20210211,153000,86.7,86.7,86.7,86.7,15,0
PDG,5,20210211,153500,86,86,86,86,84,0
PDG,5,20210211,154000,86.2,86.2,86.2,86.2,20,0
PDG,5,20210211,161000,86.7,86.7,86.7,86.7,1,0
PDG,5,20210211,161500,86.9,86.9,86.9,86.9,24,0
PDG,5,20210211,162500,87.49,87.49,87.49,87.49,2,0
PDG,5,20210211,163500,87,87,87,87,8,0
PDG,5,20210211,164000,87.48,87.48,87.48,87.48,1,0
PDG,5,20210211,164500,87.47,87.47,87.47,87.47,18,0
PDG,5,20210212,090000,87,87,87,87,20,0
PDG,5,20210212,092500,86,86,86,86,11,0
PDG,5,20210212,093000,87,87.89,87,87.89,62,0
PDG,5,20210212,094000,88,88,88,88,10,0
PDG,5,20210212,095000,88,88.8,88,88.8,50,0
PDG,5,20210212,095500,86.02,86.02,85,85,500,0
PDG,5,20210212,100500,88.4,88.4,85.5,85.5,27,0
PDG,5,20210212,101000,85,85,85,85,135,0
PDG,5,20210212,102000,85,85,85,85,10,0
PDG,5,20210212,103500,85,85,85,85,10,0
PDG,5,20210212,104000,85,85,85,85,10,0
PDG,5,20210212,110000,84.9,85,83,83,1409,0
PDG,5,20210212,111000,84.01,84.01,84.01,84.01,15,0
PDG,5,20210212,113000,85.69,85.69,85.69,85.69,1,0
PDG,5,20210212,113500,84.01,84.01,84.01,84.01,5,0
PDG,5,20210212,114000,85.69,85.69,85.69,85.69,1,0
PDG,5,20210212,114500,85.69,88.34,85.69,88.34,118,0
PDG,5,20210212,120500,85,85,85,85,5,0
PDG,5,20210212,122500,85,85,85,85,100,0
PDG,5,20210212,123000,84.3,84.3,84.02,84.02,60,0
PDG,5,20210212,130000,86.8,86.8,86.8,86.8,10,0
PDG,5,20210212,130500,86.8,86.8,86.8,86.8,1,0
PDG,5,20210212,132000,85,85,85,85,10,0
PDG,5,20210212,133500,85,85,85,85,89,0
PDG,5,20210212,134000,85,85,85,85,11,0
PDG,5,20210212,140000,86.88,86.88,86.88,86.88,14,0
PDG,5,20210212,150000,85,85,85,85,73,0
PDG,5,20210212,154000,86.79,86.79,86.79,86.79,1,0
PDG,5,20210212,155500,84.79,86.78,83.5,86.78,689,0
PDG,5,20210212,164500,86.39,86.39,86.39,86.39,15,0
PDG,5,20210215,090000,88,88.2,82,82,893,0
PDG,5,20210215,090500,85,85.68,85,85.68,15,0
PDG,5,20210215,091000,85.68,86,85.68,86,263,0
PDG,5,20210215,092000,85.7,85.7,85.7,85.7,2,0
PDG,5,20210215,092500,86,86.7,86,86.7,61,0
PDG,5,20210215,094000,85.3,85.3,85.3,85.3,4,0
PDG,5,20210215,095500,85.3,85.3,85.2,85.2,30,0
PDG,5,20210215,100500,85.2,85.2,85,85,40,0
PDG,5,20210215,102000,84.95,84.95,84.95,84.95,8,0
PDG,5,20210215,102500,84.95,84.95,84.95,84.95,15,0
PDG,5,20210215,110500,84.95,85,84.95,85,102,0
PDG,5,20210215,111500,85,85,85,85,49,0
PDG,5,20210215,112000,85,85,85,85,20,0
PDG,5,20210215,112500,85,85,85,85,10,0
PDG,5,20210215,113000,86.4,86.4,86.4,86.4,1,0
PDG,5,20210215,114500,85,85,85,85,30,0
PDG,5,20210215,115000,85.15,85.15,85,85,148,0
PDG,5,20210215,115500,86.29,86.3,86.29,86.3,50,0
PDG,5,20210215,120000,85.01,85.02,85,85.02,160,0
PDG,5,20210215,122500,86.29,86.29,86.29,86.29,8,0
PDG,5,20210215,123000,86.28,86.28,86.28,86.28,14,0
PDG,5,20210215,123500,85,85,85,85,100,0
PDG,5,20210215,125500,84.95,84.95,84.95,84.95,19,0
PDG,5,20210215,130500,85,85,85,85,12,0
PDG,5,20210215,131000,86.18,86.18,86.18,86.18,16,0
PDG,5,20210215,131500,86.18,86.18,86.18,86.18,4,0
PDG,5,20210215,134500,86.19,86.19,86.19,86.19,14,0
