<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFD,5,20210204,110000,0.58,0.58,0.58,0.58,8600,0
PFD,5,20210204,110500,0.58,0.58,0.58,0.58,1300,0
PFD,5,20210204,150000,0.57,0.57,0.57,0.57,17510,0
PFD,5,20210205,110000,0.6,0.6,0.6,0.6,12000,0
PFD,5,20210205,150000,0.555,0.555,0.555,0.555,9700,0
PFD,5,20210208,110000,0.61,0.61,0.61,0.61,13858,0
PFD,5,20210209,110000,0.58,0.58,0.58,0.58,1820,0
PFD,5,20210209,150000,0.56,0.56,0.56,0.56,3990,0
PFD,5,20210210,110000,0.57,0.57,0.57,0.57,1642,0
PFD,5,20210210,150000,0.57,0.57,0.57,0.57,46500,0
PFD,5,20210211,110000,0.56,0.56,0.56,0.56,450,0
PFD,5,20210211,150000,0.57,0.57,0.57,0.57,20000,0
PFD,5,20210211,150500,0.57,0.57,0.57,0.57,323,0
PFD,5,20210212,110000,0.56,0.56,0.56,0.56,3040,0
PFD,5,20210212,111500,0.56,0.56,0.56,0.56,1500,0
PFD,5,20210212,150000,0.49,0.49,0.49,0.49,48400,0
PFD,5,20210212,151000,0.49,0.49,0.49,0.49,20000,0
PFD,5,20210212,151500,0.49,0.49,0.49,0.49,2196,0
PFD,5,20210212,152000,0.49,0.49,0.49,0.49,6200,0
PFD,5,20210212,152500,0.49,0.49,0.49,0.49,48104,0
PFD,5,20210215,150000,0.51,0.51,0.51,0.51,5100,0
PFD,5,20210215,151000,0.51,0.51,0.51,0.51,2150,0
PFD,5,20210215,152000,0.51,0.51,0.51,0.51,20000,0
PFD,5,20210216,110000,0.52,0.52,0.52,0.52,1000,0
PFD,5,20210216,150000,0.51,0.51,0.51,0.51,20000,0
PFD,5,20210217,110000,0.5,0.5,0.5,0.5,8000,0
PFD,5,20210217,112000,0.5,0.5,0.5,0.5,2251,0
PFD,5,20210217,112500,0.5,0.5,0.5,0.5,100,0
PFD,5,20210217,150000,0.5,0.5,0.5,0.5,2100,0
PFD,5,20210218,110000,0.55,0.55,0.55,0.55,2200,0
PFD,5,20210219,110000,0.54,0.54,0.54,0.54,1200,0
PFD,5,20210219,150000,0.54,0.54,0.54,0.54,5170,0
PFD,5,20210222,110000,0.5,0.5,0.5,0.5,11000,0
PFD,5,20210222,110500,0.5,0.5,0.5,0.5,700,0
PFD,5,20210222,150000,0.5,0.5,0.5,0.5,6984,0
PFD,5,20210222,151500,0.5,0.5,0.5,0.5,994,0
PFD,5,20210223,110000,0.44,0.44,0.44,0.44,3321,0
PFD,5,20210223,150000,0.5,0.5,0.5,0.5,200,0
PFD,5,20210223,150500,0.5,0.5,0.5,0.5,2000,0
PFD,5,20210224,110000,0.5,0.5,0.5,0.5,900,0
PFD,5,20210225,110000,0.5,0.5,0.5,0.5,50,0
PFD,5,20210226,110000,0.46,0.46,0.46,0.46,2216,0
PFD,5,20210301,110000,0.498,0.498,0.498,0.498,1000,0
PFD,5,20210302,110000,0.486,0.486,0.486,0.486,2025,0
PFD,5,20210303,110000,0.498,0.498,0.498,0.498,100,0
PFD,5,20210304,150000,0.49,0.49,0.49,0.49,100,0
PFD,5,20210308,150000,0.48,0.48,0.48,0.48,250,0
PFD,5,20210308,150500,0.48,0.48,0.48,0.48,539,0
PFD,5,20210308,151000,0.48,0.48,0.48,0.48,2000,0
PFD,5,20210310,110000,0.48,0.48,0.48,0.48,100,0
PFD,5,20210311,110000,0.45,0.45,0.45,0.45,2700,0
PFD,5,20210311,111500,0.45,0.45,0.45,0.45,1100,0
PFD,5,20210312,110000,0.43,0.43,0.43,0.43,4000,0
PFD,5,20210312,150000,0.43,0.43,0.43,0.43,8060,0
PFD,5,20210312,150500,0.43,0.43,0.43,0.43,6019,0
