<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFM,5,20210204,150000,3.52,3.52,3.52,3.52,1,0
PFM,5,20210205,110000,3.26,3.26,3.26,3.26,181,0
PFM,5,20210208,150000,3.26,3.26,3.26,3.26,20,0
PFM,5,20210209,110000,3.26,3.26,3.26,3.26,20,0
PFM,5,20210211,110000,3.26,3.26,3.26,3.26,99,0
PFM,5,20210212,110000,3.1,3.1,3.1,3.1,4,0
PFM,5,20210215,110000,3,3,3,3,4,0
PFM,5,20210215,150000,3,3,3,3,26,0
PFM,5,20210217,110000,3,3,3,3,10,0
PFM,5,20210218,110000,3.1,3.1,3.1,3.1,100,0
PFM,5,20210219,110000,3.1,3.1,3.1,3.1,50,0
PFM,5,20210219,110500,3.1,3.1,3.1,3.1,50,0
PFM,5,20210222,110000,3.1,3.1,3.1,3.1,20,0
PFM,5,20210223,110000,3.1,3.1,3.1,3.1,630,0
PFM,5,20210304,110000,3.38,3.38,3.38,3.38,200,0
PFM,5,20210304,111000,3.38,3.38,3.38,3.38,141,0
PFM,5,20210304,111500,3.38,3.38,3.38,3.38,59,0
PFM,5,20210304,112500,3.38,3.38,3.38,3.38,100,0
PFM,5,20210304,150000,3.38,3.38,3.38,3.38,200,0
PFM,5,20210305,110000,3.12,3.12,3.12,3.12,4,0
PFM,5,20210305,150000,2.96,2.96,2.96,2.96,50,0
PFM,5,20210308,110000,2.96,2.96,2.96,2.96,168,0
PFM,5,20210308,150000,2.96,2.96,2.96,2.96,200,0
PFM,5,20210309,150000,3,3,3,3,48,0
PFM,5,20210310,110000,3.4,3.4,3.4,3.4,20,0
PFM,5,20210311,110000,3.5,3.5,3.5,3.5,30,0
PFM,5,20210311,150000,3.5,3.5,3.5,3.5,824,0
PFM,5,20210312,110000,3.5,3.5,3.5,3.5,15,0
PFM,5,20210315,150000,3.5,3.5,3.5,3.5,844,0
PFM,5,20210316,110000,3.48,3.48,3.48,3.48,3,0
PFM,5,20210317,110000,3.44,3.44,3.44,3.44,104,0
PFM,5,20210317,150000,2.98,2.98,2.98,2.98,210,0
PFM,5,20210318,150000,2.96,2.96,2.96,2.96,515,0
PFM,5,20210319,110000,2.96,2.96,2.96,2.96,4,0
PFM,5,20210322,110000,2.96,2.96,2.96,2.96,361,0
PFM,5,20210323,110000,2.36,2.36,2.36,2.36,487,0
PFM,5,20210323,150000,2.8,2.8,2.8,2.8,487,0
PFM,5,20210324,110000,2.94,2.94,2.94,2.94,100,0
PFM,5,20210325,110000,2.8,2.8,2.8,2.8,3557,0
