<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIT,5,20210204,100000,1.69,1.7,1.69,1.7,500,0
PIT,5,20210204,100500,1.71,1.71,1.71,1.71,200,0
PIT,5,20210204,101000,1.71,1.72,1.71,1.72,500,0
PIT,5,20210204,101500,1.72,1.72,1.72,1.72,300,0
PIT,5,20210204,163500,1.71,1.74,1.71,1.74,2000,0
PIT,5,20210204,164500,1.74,1.76,1.74,1.76,1000,0
PIT,5,20210205,091000,1.76,1.76,1.76,1.76,1490,0
PIT,5,20210205,091500,1.77,1.77,1.76,1.76,810,0
PIT,5,20210205,124000,1.68,1.68,1.68,1.68,200,0
PIT,5,20210205,124500,1.76,1.76,1.76,1.76,6,0
PIT,5,20210205,125500,1.75,1.76,1.75,1.76,590,0
PIT,5,20210205,130000,1.76,1.77,1.76,1.77,2187,0
PIT,5,20210205,130500,1.78,1.78,1.78,1.78,1,0
PIT,5,20210205,135500,1.78,1.79,1.78,1.79,5490,0
PIT,5,20210205,140500,1.79,1.8,1.79,1.8,802,0
PIT,5,20210205,141500,1.82,1.86,1.82,1.86,310,0
PIT,5,20210205,142000,1.88,1.89,1.8,1.8,23078,0
PIT,5,20210205,142500,1.8,1.8,1.8,1.8,23,0
PIT,5,20210205,143000,1.86,1.86,1.86,1.86,282,0
PIT,5,20210205,152000,1.87,1.87,1.87,1.87,250,0
PIT,5,20210205,152500,1.87,1.87,1.87,1.87,1250,0
PIT,5,20210205,153000,1.81,1.81,1.81,1.81,2477,0
PIT,5,20210205,160000,1.76,1.76,1.76,1.76,1000,0
PIT,5,20210205,161500,1.8,1.83,1.8,1.83,1200,0
PIT,5,20210205,164500,1.74,1.74,1.74,1.74,13000,0
PIT,5,20210208,091000,1.74,1.84,1.74,1.84,101,0
PIT,5,20210208,091500,1.74,1.74,1.74,1.74,1512,0
PIT,5,20210208,114500,1.78,1.8,1.78,1.8,5000,0
PIT,5,20210208,115000,1.8,1.8,1.79,1.8,5500,0
