<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLG,5,20210204,090000,0.47,0.47,0.47,0.47,20,0
PLG,5,20210204,101500,0.438,0.456,0.42,0.456,5055,0
PLG,5,20210204,105500,0.42,0.42,0.42,0.42,1500,0
PLG,5,20210204,111500,0.422,0.422,0.422,0.422,3000,0
PLG,5,20210204,120000,0.449,0.449,0.449,0.449,55,0
PLG,5,20210204,123500,0.422,0.449,0.42,0.449,9261,0
PLG,5,20210204,160000,0.43,0.43,0.418,0.418,2,0
PLG,5,20210204,161000,0.43,0.43,0.43,0.43,44,0
PLG,5,20210205,090000,0.43,0.43,0.41,0.41,5008,0
PLG,5,20210205,091000,0.412,0.412,0.412,0.412,3000,0
PLG,5,20210205,093000,0.423,0.423,0.423,0.423,4069,0
PLG,5,20210205,100500,0.414,0.414,0.414,0.414,2500,0
PLG,5,20210205,103500,0.424,0.424,0.424,0.424,5000,0
PLG,5,20210205,122000,0.414,0.414,0.414,0.414,45,0
PLG,5,20210205,122500,0.414,0.414,0.41,0.41,10200,0
PLG,5,20210205,123000,0.4,0.4,0.345,0.398,67167,0
PLG,5,20210205,123500,0.398,0.41,0.398,0.41,17646,0
PLG,5,20210205,124000,0.408,0.408,0.408,0.408,1935,0
PLG,5,20210205,124500,0.39,0.39,0.39,0.39,4766,0
PLG,5,20210205,125000,0.39,0.39,0.39,0.39,3565,0
PLG,5,20210205,125500,0.398,0.42,0.398,0.42,5000,0
PLG,5,20210205,131500,0.416,0.416,0.416,0.416,7000,0
PLG,5,20210205,140500,0.416,0.416,0.416,0.416,5000,0
PLG,5,20210205,144000,0.41,0.41,0.41,0.41,2428,0
PLG,5,20210205,150000,0.4,0.4,0.4,0.4,405,0
PLG,5,20210205,150500,0.4,0.4,0.4,0.4,3000,0
PLG,5,20210205,151000,0.39,0.39,0.39,0.39,4669,0
PLG,5,20210205,152000,0.39,0.39,0.39,0.39,55,0
PLG,5,20210205,153000,0.376,0.376,0.362,0.362,16882,0
PLG,5,20210205,153500,0.37,0.37,0.37,0.37,4500,0
PLG,5,20210205,154500,0.393,0.393,0.393,0.393,894,0
PLG,5,20210205,155000,0.389,0.389,0.389,0.389,2000,0
PLG,5,20210205,155500,0.38,0.38,0.38,0.38,5000,0
PLG,5,20210205,161000,0.379,0.38,0.379,0.38,1939,0
PLG,5,20210205,161500,0.376,0.376,0.363,0.363,5735,0
PLG,5,20210205,162500,0.37,0.37,0.37,0.37,8000,0
PLG,5,20210205,163000,0.37,0.37,0.37,0.37,4000,0
PLG,5,20210205,164000,0.406,0.416,0.406,0.416,2500,0
PLG,5,20210208,100000,0.4,0.4,0.4,0.4,1000,0
PLG,5,20210208,101000,0.413,0.413,0.413,0.413,78,0
PLG,5,20210208,101500,0.413,0.413,0.413,0.413,2000,0
PLG,5,20210208,104000,0.38,0.38,0.38,0.38,1000,0
PLG,5,20210208,104500,0.38,0.38,0.38,0.38,1000,0
PLG,5,20210208,112000,0.39,0.39,0.39,0.39,2000,0
PLG,5,20210208,113000,0.39,0.39,0.39,0.39,22,0
PLG,5,20210208,115500,0.4,0.4,0.4,0.4,20000,0
PLG,5,20210208,120000,0.4,0.4,0.4,0.4,500,0
PLG,5,20210208,123000,0.4,0.4,0.4,0.4,2960,0
PLG,5,20210208,125000,0.4,0.4,0.4,0.4,2501,0
PLG,5,20210208,133500,0.39,0.39,0.38,0.38,3500,0
PLG,5,20210208,134000,0.38,0.38,0.38,0.38,100,0
PLG,5,20210208,152500,0.38,0.38,0.38,0.38,920,0
PLG,5,20210208,153500,0.38,0.38,0.38,0.38,500,0
PLG,5,20210208,160500,0.38,0.38,0.38,0.38,900,0
PLG,5,20210208,164500,0.39,0.39,0.39,0.39,1000,0
PLG,5,20210209,091500,0.41,0.412,0.41,0.412,500,0
PLG,5,20210209,111500,0.38,0.38,0.38,0.38,5000,0
PLG,5,20210209,124000,0.4,0.4,0.4,0.4,111,0
PLG,5,20210209,155500,0.376,0.376,0.372,0.372,3000,0
PLG,5,20210209,161000,0.4,0.4,0.4,0.4,1,0
PLG,5,20210210,090000,0.4,0.4,0.4,0.4,30,0
PLG,5,20210210,093000,0.375,0.375,0.375,0.375,2400,0
PLG,5,20210210,094000,0.399,0.399,0.399,0.399,111,0
PLG,5,20210210,100500,0.399,0.4,0.399,0.4,3000,0
PLG,5,20210210,104000,0.375,0.4,0.375,0.4,1311,0
PLG,5,20210210,112000,0.4,0.4,0.4,0.4,5000,0
PLG,5,20210210,114000,0.378,0.4,0.378,0.4,1711,0
PLG,5,20210210,115000,0.4,0.4,0.4,0.4,3000,0
PLG,5,20210210,121500,0.378,0.378,0.362,0.362,10000,0
PLG,5,20210210,122500,0.399,0.412,0.399,0.412,5000,0
PLG,5,20210210,123500,0.412,0.412,0.411,0.411,2000,0
PLG,5,20210210,135500,0.4,0.42,0.4,0.42,4500,0
PLG,5,20210210,164500,0.39,0.39,0.39,0.39,1550,0
PLG,5,20210211,102500,0.418,0.418,0.418,0.418,20,0
PLG,5,20210211,125000,0.4,0.418,0.4,0.418,3500,0
PLG,5,20210211,164000,0.392,0.392,0.383,0.383,5000,0
PLG,5,20210211,164500,0.41,0.41,0.41,0.41,111,0
PLG,5,20210212,090000,0.409,0.409,0.409,0.409,300,0
PLG,5,20210212,091500,0.406,0.414,0.406,0.414,5000,0
PLG,5,20210212,092000,0.414,0.42,0.414,0.42,7000,0
PLG,5,20210212,092500,0.42,0.42,0.42,0.42,3000,0
PLG,5,20210212,093000,0.42,0.42,0.42,0.42,2500,0
PLG,5,20210212,095000,0.42,0.42,0.42,0.42,2500,0
PLG,5,20210212,095500,0.42,0.42,0.42,0.42,1500,0
PLG,5,20210212,101000,0.42,0.42,0.42,0.42,6875,0
