<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLI,5,20210204,090000,29.9,29.9,29.3,29.3,359,0
PLI,5,20210204,090500,29.4,29.4,29,29,775,0
PLI,5,20210204,091000,29.1,29.1,29.1,29.1,22,0
PLI,5,20210204,091500,29.1,29.1,28.5,28.6,1014,0
PLI,5,20210204,092000,29,29,29,29,65,0
PLI,5,20210204,092500,29.3,29.3,29.3,29.3,70,0
PLI,5,20210204,093500,29.4,29.4,29.1,29.1,510,0
PLI,5,20210204,094500,29.4,29.4,29.4,29.4,100,0
PLI,5,20210204,095000,29.1,29.1,29,29,50,0
PLI,5,20210204,100000,29,29,29,29,10,0
PLI,5,20210204,100500,29,29,28.8,28.8,300,0
PLI,5,20210204,101000,28.8,28.8,28.8,28.8,40,0
PLI,5,20210204,101500,28.8,28.8,28.7,28.7,130,0
PLI,5,20210204,102500,28.6,28.6,28.5,28.5,355,0
PLI,5,20210204,103000,28.8,29.2,28.8,29.2,127,0
PLI,5,20210204,103500,29.1,29.2,29.1,29.2,176,0
PLI,5,20210204,104000,29.2,29.4,29.1,29.4,686,0
PLI,5,20210204,104500,29.5,29.5,29.5,29.5,150,0
PLI,5,20210204,105000,29.5,29.9,29.5,29.9,2542,0
PLI,5,20210204,105500,29.6,29.6,29.6,29.6,145,0
PLI,5,20210204,110000,29.9,30,29.9,30,171,0
PLI,5,20210204,111000,29.6,29.6,29.6,29.6,77,0
PLI,5,20210204,112000,29.8,29.9,29.8,29.9,140,0
PLI,5,20210204,114000,29.8,29.9,29.8,29.9,360,0
PLI,5,20210204,114500,29.9,29.9,29.9,29.9,44,0
PLI,5,20210204,115000,29.9,30.5,29.9,30.5,3857,0
PLI,5,20210204,115500,30.5,30.9,30.5,30.9,1496,0
PLI,5,20210204,120000,30.6,30.9,30.6,30.8,611,0
PLI,5,20210204,120500,30.6,30.6,30.5,30.5,142,0
PLI,5,20210204,122000,30.5,30.5,30.5,30.5,15,0
PLI,5,20210204,122500,30.1,30.5,30.1,30.5,101,0
PLI,5,20210204,123500,30,30,29.6,29.6,380,0
PLI,5,20210204,124500,30,30,30,30,50,0
PLI,5,20210204,125000,29.6,29.6,29.6,29.6,50,0
PLI,5,20210204,125500,29.6,29.6,29.6,29.6,18,0
PLI,5,20210204,130000,29.9,29.9,29.9,29.9,350,0
PLI,5,20210204,132000,29.5,29.5,29.5,29.5,140,0
PLI,5,20210204,133000,30,30,30,30,55,0
PLI,5,20210204,133500,30,30,30,30,198,0
PLI,5,20210204,141500,30.3,30.3,30.3,30.3,30,0
PLI,5,20210204,143000,30.3,30.3,30.3,30.3,20,0
PLI,5,20210204,144500,30.3,30.5,30.3,30.5,380,0
PLI,5,20210204,153500,30.4,30.5,30.4,30.5,150,0
PLI,5,20210204,154000,30.5,30.5,30.5,30.5,20,0
PLI,5,20210204,155500,30.5,30.5,30.5,30.5,26,0
PLI,5,20210204,160000,30.6,30.6,30,30,179,0
PLI,5,20210204,160500,30,30,30,30,39,0
PLI,5,20210204,162000,30.6,30.6,30.6,30.6,176,0
PLI,5,20210204,162500,30.6,30.6,30.6,30.6,15,0
PLI,5,20210204,163500,30,30,30,30,110,0
PLI,5,20210204,164500,29.8,31,29.7,31,429,0
PLI,5,20210205,090000,30.7,30.7,30.7,30.7,22,0
PLI,5,20210205,091500,29.6,29.6,29.2,29.2,185,0
PLI,5,20210205,092000,30.4,30.6,30,30,830,0
PLI,5,20210205,093000,29.9,29.9,29.9,29.9,25,0
PLI,5,20210205,094000,30,30,29.9,29.9,100,0
PLI,5,20210205,100000,30,30,30,30,85,0
PLI,5,20210205,110000,29.9,29.9,29.9,29.9,30,0
PLI,5,20210205,112000,30,30,30,30,30,0
PLI,5,20210205,114000,29.9,29.9,29.9,29.9,100,0
PLI,5,20210205,115000,30,30,30,30,5,0
PLI,5,20210205,122000,29.7,29.7,29,29,1189,0
PLI,5,20210205,125000,29.7,29.7,29.7,29.7,55,0
PLI,5,20210205,125500,29.7,29.7,29.7,29.7,25,0
PLI,5,20210205,131000,29.5,29.6,28.8,28.9,2516,0
PLI,5,20210205,131500,29,29,29,29,120,0
PLI,5,20210205,132000,29,29,29,29,20,0
PLI,5,20210205,132500,28.8,28.8,28.7,28.7,400,0
PLI,5,20210205,133000,29,29,29,29,4,0
PLI,5,20210205,133500,29.3,29.3,29.3,29.3,87,0
PLI,5,20210205,134000,29.4,29.4,29.4,29.4,90,0
PLI,5,20210205,134500,29.5,29.5,29.5,29.5,68,0
PLI,5,20210205,135000,29.5,29.9,29.5,29.9,800,0
PLI,5,20210205,135500,29.9,30.5,29.9,30.5,100,0
PLI,5,20210205,140000,30.5,30.9,30.5,30.9,1356,0
PLI,5,20210205,153000,30,30,29.8,29.8,1050,0
PLI,5,20210205,153500,29.9,29.9,29.8,29.8,1029,0
PLI,5,20210205,154000,30.6,30.6,30.6,30.6,45,0
PLI,5,20210205,161000,30.6,30.6,29.6,29.6,21,0
PLI,5,20210205,163500,30.1,30.1,30.1,30.1,63,0
PLI,5,20210205,164000,29.6,29.6,29.6,29.6,5,0
PLI,5,20210205,164500,30.1,30.1,29,29,1148,0
PLI,5,20210208,090000,30.1,30.1,30,30,205,0
PLI,5,20210208,090500,30,30,30,30,55,0
PLI,5,20210208,091500,29.9,29.9,29.9,29.9,48,0
PLI,5,20210208,092500,29.9,29.9,29.9,29.9,40,0
PLI,5,20210208,095500,29.9,29.9,29.9,29.9,100,0
PLI,5,20210208,101000,29.9,29.9,29.9,29.9,30,0
PLI,5,20210208,102000,29.8,29.8,29.8,29.8,50,0
PLI,5,20210208,104000,29.8,29.8,29.8,29.8,34,0
PLI,5,20210208,105000,29.8,29.9,29.8,29.9,105,0
PLI,5,20210208,115500,29.8,29.8,29.8,29.8,26,0
PLI,5,20210208,120000,29.8,29.8,29.8,29.8,15,0
