<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLM,5,20210204,090000,1.04,1.04,1.04,1.04,300,0
PLM,5,20210204,090500,1.02,1.02,1.02,1.02,1500,0
PLM,5,20210204,091000,1,1,0.97,0.97,5100,0
PLM,5,20210204,091500,0.955,1.04,0.955,1.04,3951,0
PLM,5,20210204,093500,0.99,0.99,0.99,0.99,100,0
PLM,5,20210204,100000,0.99,0.99,0.99,0.99,2600,0
PLM,5,20210204,101000,0.97,0.97,0.97,0.97,1910,0
PLM,5,20210204,103000,0.99,1.02,0.99,1.02,430,0
PLM,5,20210204,110500,1.02,1.02,1.02,1.02,977,0
PLM,5,20210204,114500,1.01,1.03,1.01,1.03,5000,0
PLM,5,20210204,123000,1,1.04,1,1.04,15999,0
PLM,5,20210204,123500,1.04,1.13,1.04,1.07,85417,0
PLM,5,20210204,124000,1.1,1.11,1.07,1.11,49197,0
PLM,5,20210204,124500,1.1,1.11,1.05,1.05,39519,0
PLM,5,20210204,125000,1.07,1.07,1.02,1.07,63198,0
PLM,5,20210204,125500,1.06,1.08,1.06,1.06,22222,0
PLM,5,20210204,130500,1.06,1.09,1.06,1.08,10080,0
PLM,5,20210204,131000,1.08,1.1,1.08,1.1,12966,0
PLM,5,20210204,132000,1.08,1.08,1.08,1.08,318,0
PLM,5,20210204,132500,1.09,1.09,1.09,1.09,2000,0
PLM,5,20210204,133000,1.08,1.08,1.06,1.06,4681,0
PLM,5,20210204,133500,1.08,1.09,1.08,1.09,9400,0
PLM,5,20210204,134000,1.08,1.08,1.06,1.06,3719,0
PLM,5,20210204,134500,1.06,1.08,1.05,1.08,7981,0
PLM,5,20210204,135000,1.05,1.05,1.05,1.05,8675,0
PLM,5,20210204,135500,1.08,1.08,1.08,1.08,5780,0
PLM,5,20210204,140000,1.04,1.04,1.04,1.04,3000,0
PLM,5,20210204,140500,1.06,1.09,1.05,1.08,29904,0
PLM,5,20210204,141000,1.05,1.06,1.04,1.06,12540,0
PLM,5,20210204,142000,1.06,1.06,1.06,1.06,2060,0
PLM,5,20210204,142500,1.06,1.07,1.06,1.07,5229,0
PLM,5,20210204,143000,1.07,1.07,1.07,1.07,4571,0
PLM,5,20210204,144500,1.07,1.07,1.07,1.07,66,0
PLM,5,20210204,145000,1.07,1.07,1.05,1.05,4889,0
PLM,5,20210204,150500,1.05,1.05,1.05,1.05,1015,0
PLM,5,20210204,151500,1.07,1.1,1.07,1.1,9000,0
PLM,5,20210204,154000,1.08,1.09,1.07,1.07,7980,0
PLM,5,20210204,155500,1.07,1.07,1.03,1.07,35590,0
PLM,5,20210204,160000,1.07,1.07,1.07,1.07,6645,0
PLM,5,20210204,160500,1.07,1.07,1.07,1.07,474,0
PLM,5,20210204,161000,1.05,1.05,1.05,1.05,199,0
PLM,5,20210204,161500,1.05,1.07,1.04,1.07,27476,0
PLM,5,20210204,162000,1.04,1.07,1.04,1.07,5916,0
PLM,5,20210204,163000,1.04,1.04,1.04,1.04,3000,0
PLM,5,20210204,163500,1.04,1.04,1.04,1.04,19315,0
PLM,5,20210204,164000,1.03,1.03,1.03,1.03,10000,0
PLM,5,20210204,164500,1.02,1.02,1.01,1.01,28277,0
PLM,5,20210205,090000,1.03,1.05,1.03,1.05,2903,0
PLM,5,20210205,090500,1.05,1.05,1.05,1.05,4097,0
PLM,5,20210205,091000,1.03,1.03,1.03,1.03,500,0
PLM,5,20210205,091500,1.03,1.04,1.03,1.04,3300,0
PLM,5,20210205,092000,1.02,1.02,1.02,1.02,1000,0
PLM,5,20210205,094000,1.02,1.02,1.02,1.02,500,0
PLM,5,20210205,094500,1.02,1.02,0.97,0.97,18251,0
PLM,5,20210205,095000,0.97,0.97,0.97,0.97,500,0
PLM,5,20210205,095500,0.985,1,0.985,1,12571,0
PLM,5,20210205,100500,0.985,0.985,0.985,0.985,254,0
PLM,5,20210205,101500,1,1,1,1,380,0
PLM,5,20210205,102500,1.03,1.03,1.03,1.03,4620,0
PLM,5,20210205,103000,1.01,1.02,1.01,1.02,6500,0
PLM,5,20210205,103500,1.02,1.02,1.02,1.02,10092,0
PLM,5,20210205,104500,1.03,1.03,1.02,1.02,12000,0
PLM,5,20210205,105500,1.02,1.02,1.02,1.02,1500,0
PLM,5,20210205,111000,1.02,1.02,1.02,1.02,362,0
PLM,5,20210205,111500,1.02,1.02,1.02,1.02,800,0
PLM,5,20210205,114000,1.02,1.02,1.02,1.02,138,0
PLM,5,20210205,114500,1.03,1.03,1.03,1.03,371,0
PLM,5,20210205,115500,1.03,1.03,1.03,1.03,4500,0
PLM,5,20210205,120500,1.01,1.01,1.01,1.01,11482,0
PLM,5,20210205,121000,1.03,1.03,1.03,1.03,16,0
PLM,5,20210205,121500,1.01,1.01,1,1,29000,0
PLM,5,20210205,142500,1,1,1,1,100,0
PLM,5,20210205,155000,1.02,1.02,1.02,1.02,1700,0
PLM,5,20210205,161000,1.01,1.01,1,1,2800,0
PLM,5,20210205,161500,0.99,0.99,0.985,0.985,7071,0
PLM,5,20210205,162000,0.985,1.04,0.98,1.04,13301,0
PLM,5,20210205,162500,0.98,0.98,0.975,0.975,6506,0
PLM,5,20210205,163000,0.98,0.98,0.98,0.98,3920,0
PLM,5,20210205,163500,0.98,0.98,0.98,0.98,14322,0
PLM,5,20210205,164000,0.98,0.98,0.98,0.98,2500,0
PLM,5,20210205,164500,0.975,0.975,0.96,0.96,14258,0
PLM,5,20210208,090000,0.99,0.99,0.99,0.99,61,0
PLM,5,20210208,091500,0.99,0.99,0.99,0.99,300,0
PLM,5,20210208,092500,0.965,0.965,0.965,0.965,1737,0
PLM,5,20210208,093000,0.965,0.965,0.95,0.95,7722,0
PLM,5,20210208,094500,0.955,0.955,0.955,0.955,2000,0
PLM,5,20210208,102000,0.96,0.96,0.955,0.955,5000,0
PLM,5,20210208,102500,0.99,0.99,0.955,0.99,162,0
PLM,5,20210208,111000,0.99,0.99,0.99,0.99,1007,0
PLM,5,20210208,122500,0.96,0.96,0.96,0.96,3115,0
PLM,5,20210208,125500,0.96,0.96,0.96,0.96,774,0
