<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNT,5,20210204,093500,70,70,69,69,610,0
PNT,5,20210204,094500,68.5,68.5,68.5,68.5,44,0
PNT,5,20210204,095000,68.5,68.5,68.5,68.5,40,0
PNT,5,20210204,100500,68.5,68.5,68.5,68.5,26,0
PNT,5,20210204,113500,68.5,68.5,68.5,68.5,40,0
PNT,5,20210204,115500,68.5,68.5,68.5,68.5,20,0
PNT,5,20210204,121000,69,69,69,69,115,0
PNT,5,20210204,124500,69,69,69,69,59,0
PNT,5,20210204,125000,69,69,69,69,23,0
PNT,5,20210204,132000,69,69,69,69,14,0
PNT,5,20210204,153500,69,69,69,69,27,0
PNT,5,20210204,154000,69,69,69,69,27,0
PNT,5,20210205,091000,68.5,68.5,68.5,68.5,2,0
PNT,5,20210205,093000,69,69,69,69,15,0
PNT,5,20210205,110000,69.5,69.5,69.5,69.5,5,0
PNT,5,20210205,113500,70,71,70,71,150,0
PNT,5,20210205,124000,69.5,69.5,69.5,69.5,54,0
PNT,5,20210205,164500,69.5,69.5,69.5,69.5,50,0
PNT,5,20210208,094000,69,69,67,67,125,0
PNT,5,20210208,123500,69.5,69.5,69.5,69.5,6,0
PNT,5,20210208,145500,70,70,70,70,30,0
PNT,5,20210208,150000,70.5,70.5,70.5,70.5,50,0
PNT,5,20210209,090000,70.5,70.5,70.5,70.5,5,0
PNT,5,20210209,090500,70,70,70,70,35,0
PNT,5,20210209,091500,70,70,70,70,15,0
PNT,5,20210209,143000,70.5,70.5,70.5,70.5,18,0
PNT,5,20210209,154000,70,70,70,70,67,0
PNT,5,20210209,155000,70,70,70,70,5,0
PNT,5,20210209,162500,70.5,70.5,70.5,70.5,8,0
PNT,5,20210210,093000,69.5,69.5,67,67,455,0
PNT,5,20210210,093500,67,67,67,67,45,0
PNT,5,20210210,095000,67.5,67.5,67.5,67.5,22,0
PNT,5,20210210,100500,67.5,67.5,67,67,563,0
PNT,5,20210210,104000,69.5,69.5,69.5,69.5,15,0
PNT,5,20210210,140000,68,68,68,68,18,0
PNT,5,20210210,164500,69.5,69.5,69.5,69.5,1,0
PNT,5,20210211,091500,69.5,69.5,69.5,69.5,14,0
PNT,5,20210211,095000,68,68,68,68,15,0
PNT,5,20210211,105500,68,68,68,68,100,0
PNT,5,20210211,130500,69.5,69.5,69.5,69.5,14,0
PNT,5,20210211,144000,69.5,69.5,69.5,69.5,13,0
PNT,5,20210211,163000,69,69,69,69,20,0
PNT,5,20210212,090000,69.5,69.5,69.5,69.5,11,0
PNT,5,20210212,101500,68.5,68.5,68.5,68.5,75,0
PNT,5,20210212,104500,68.5,68.5,68,68,238,0
PNT,5,20210212,122500,69.5,69.5,69.5,69.5,5,0
PNT,5,20210212,124000,69,69,69,69,90,0
PNT,5,20210215,090500,68.5,68.5,68.5,68.5,10,0
PNT,5,20210215,091500,68.5,68.5,68.5,68.5,50,0
PNT,5,20210215,092500,69,69,69,69,20,0
PNT,5,20210215,094000,69,69,69,69,19,0
PNT,5,20210215,102500,69,69,69,69,20,0
PNT,5,20210215,105000,69,69,69,69,27,0
PNT,5,20210215,110500,69.5,69.5,69.5,69.5,9,0
PNT,5,20210215,113500,70,70,70,70,9,0
PNT,5,20210215,121000,70.5,70.5,70.5,70.5,112,0
PNT,5,20210215,122500,70.5,70.5,70.5,70.5,38,0
PNT,5,20210215,123500,71,71,71,71,263,0
PNT,5,20210215,124500,71,71,71,71,518,0
PNT,5,20210215,125000,71,71,71,71,1,0
PNT,5,20210216,090000,71,71,71,71,1,0
PNT,5,20210216,093000,71,71,71,71,25,0
PNT,5,20210216,105000,71,71,71,71,58,0
PNT,5,20210216,130000,70,70,70,70,20,0
PNT,5,20210216,142000,70.5,71,70.5,71,50,0
PNT,5,20210217,090500,70.5,70.5,70.5,70.5,20,0
PNT,5,20210217,122500,70,71.5,70,71,662,0
PNT,5,20210217,123500,71.5,73.5,71.5,73,2283,0
PNT,5,20210217,124000,73,73,73,73,50,0
PNT,5,20210217,124500,72.5,72.5,72,72,130,0
PNT,5,20210217,130000,71.5,71.5,71,71,54,0
PNT,5,20210217,130500,70.5,70.5,70,70,125,0
PNT,5,20210217,131000,70.5,70.5,70.5,70.5,100,0
PNT,5,20210217,131500,70,70,70,70,37,0
PNT,5,20210217,133500,69.5,69.5,69.5,69.5,55,0
PNT,5,20210217,134000,70,70,70,70,45,0
PNT,5,20210217,141500,70,70,69,69,92,0
PNT,5,20210217,144000,69,69,69,69,100,0
PNT,5,20210217,144500,69,69,69,69,8,0
PNT,5,20210217,152000,69,69,69,69,35,0
PNT,5,20210217,155000,70,70,70,70,34,0
PNT,5,20210217,161500,69,69,69,69,100,0
PNT,5,20210217,164500,69,69,69,69,50,0
PNT,5,20210218,091500,68.5,68.5,68,68,130,0
PNT,5,20210218,093000,69,69,69,69,80,0
PNT,5,20210218,101500,69,69,69,69,100,0
PNT,5,20210218,102500,69,69,69,69,100,0
PNT,5,20210218,110500,70,70,70,70,94,0
PNT,5,20210218,114000,71,71,71,71,100,0
PNT,5,20210218,144000,70.5,70.5,70.5,70.5,150,0
PNT,5,20210218,154500,70,70,70,70,200,0
PNT,5,20210218,155000,70,70,70,70,200,0
PNT,5,20210218,161500,71,71,71,71,152,0
PNT,5,20210218,164500,71.5,71.5,71.5,71.5,1,0
PNT,5,20210219,091000,70.5,70.5,70.5,70.5,2,0
PNT,5,20210219,101000,70,70.5,70,70.5,268,0
PNT,5,20210219,130000,70,70,70,70,393,0
PNT,5,20210219,130500,70,71.5,70,71.5,832,0
PNT,5,20210219,131000,71.5,71.5,71.5,71.5,3,0
PNT,5,20210219,131500,71.5,73.5,71.5,72.5,2609,0
PNT,5,20210219,132000,72.5,73.5,72,73,4114,0
PNT,5,20210219,132500,73,73,72,72,398,0
PNT,5,20210219,133000,72,72,72,72,345,0
PNT,5,20210219,133500,73,73.5,72,73.5,918,0
PNT,5,20210219,134000,74,74,74,74,32,0
PNT,5,20210219,134500,74,75,74,75,1113,0
PNT,5,20210219,135000,75,75,73.5,73.5,223,0
PNT,5,20210219,135500,73.5,73.5,71.5,72.5,493,0
PNT,5,20210219,140000,72,72.5,72,72.5,52,0
PNT,5,20210219,140500,72.5,72.5,72.5,72.5,56,0
PNT,5,20210219,141000,72.5,72.5,72.5,72.5,20,0
PNT,5,20210219,141500,72.5,72.5,72.5,72.5,84,0
PNT,5,20210219,142000,72.5,72.5,72.5,72.5,16,0
PNT,5,20210219,142500,72.5,73.5,72.5,73.5,311,0
PNT,5,20210219,143500,73.5,74,73.5,74,208,0
PNT,5,20210219,144500,74,74,74,74,18,0
PNT,5,20210219,145500,73.5,73.5,72.5,72.5,430,0
PNT,5,20210219,150000,72.5,72.5,72.5,72.5,59,0
PNT,5,20210219,151500,72,72,72,72,42,0
PNT,5,20210219,155000,73,73,73,73,15,0
PNT,5,20210219,161000,73.5,74,73.5,73.5,210,0
PNT,5,20210219,164500,72.5,74,72.5,74,1142,0
PNT,5,20210222,090000,75,76.5,75,76.5,1430,0
PNT,5,20210222,091000,75,75,75,75,124,0
PNT,5,20210222,091500,75.5,75.5,75.5,75.5,50,0
PNT,5,20210222,092500,75.5,75.5,74,75,1161,0
PNT,5,20210222,093500,75,75,75,75,130,0
PNT,5,20210222,094000,76,76,76,76,650,0
PNT,5,20210222,095000,75,75,75,75,45,0
PNT,5,20210222,095500,75,75,74.5,74.5,14,0
PNT,5,20210222,100000,75,75,75,75,50,0
PNT,5,20210222,100500,76,76,76,76,40,0
PNT,5,20210222,101000,76,76,76,76,20,0
PNT,5,20210222,103000,75,75,75,75,13,0
PNT,5,20210222,103500,75,75,74.5,74.5,283,0
PNT,5,20210222,104000,75,75,75,75,17,0
PNT,5,20210222,104500,75.5,75.5,75.5,75.5,50,0
PNT,5,20210222,105000,76,76,76,76,290,0
PNT,5,20210222,105500,76,76,76,76,125,0
PNT,5,20210222,110500,76,76,76,76,200,0
PNT,5,20210222,112500,76,76,75.5,75.5,300,0
PNT,5,20210222,114000,76,76,76,76,50,0
PNT,5,20210222,115500,76,76,76,76,4,0
PNT,5,20210222,121500,76,76,76,76,120,0
PNT,5,20210222,123500,76,76,75.5,75.5,160,0
PNT,5,20210222,130500,76,76,76,76,48,0
PNT,5,20210222,131500,76,76,76,76,24,0
PNT,5,20210222,132000,76.5,76.5,76.5,76.5,100,0
PNT,5,20210222,132500,76.5,76.5,76.5,76.5,115,0
PNT,5,20210222,133500,76.5,76.5,76.5,76.5,112,0
PNT,5,20210222,134500,76.5,76.5,76.5,76.5,30,0
PNT,5,20210222,143500,76.5,76.5,76.5,76.5,15,0
PNT,5,20210222,144000,76.5,76.5,76,76,64,0
PNT,5,20210222,144500,76.5,76.5,76,76,145,0
PNT,5,20210222,145000,76.5,76.5,76,76,55,0
PNT,5,20210222,155000,76,76,76,76,182,0
PNT,5,20210222,155500,76,76,76,76,150,0
PNT,5,20210222,161000,76.5,76.5,76,76,106,0
PNT,5,20210222,161500,76,76,76,76,35,0
PNT,5,20210222,162000,76,76,76,76,35,0
PNT,5,20210222,162500,76,76,76,76,70,0
PNT,5,20210223,091000,76.5,76.5,76.5,76.5,28,0
PNT,5,20210223,091500,76,76.5,76,76.5,330,0
PNT,5,20210223,092000,76.5,76.5,76.5,76.5,20,0
PNT,5,20210223,100000,76,76,76,76,201,0
PNT,5,20210223,100500,76,76,76,76,19,0
PNT,5,20210223,101500,76,76.5,76,76.5,60,0
PNT,5,20210223,103000,76,76,76,76,25,0
PNT,5,20210223,114500,76,76,76,76,64,0
PNT,5,20210223,115000,76,76,76,76,14,0
PNT,5,20210223,122000,76,76,76,76,30,0
PNT,5,20210223,123500,76,76,76,76,67,0
PNT,5,20210223,130500,76,76,76,76,30,0
PNT,5,20210223,132000,76,76,76,76,107,0
PNT,5,20210223,135000,76,76,76,76,15,0
PNT,5,20210223,135500,76,76,76,76,48,0
PNT,5,20210223,140500,76,76,76,76,50,0
PNT,5,20210223,141500,76,76,76,76,150,0
PNT,5,20210223,142500,76,76,76,76,30,0
PNT,5,20210223,143000,76,76,76,76,193,0
PNT,5,20210223,144000,75.5,75.5,75.5,75.5,40,0
PNT,5,20210223,145000,75.5,75.5,75,75,393,0
PNT,5,20210223,150000,75,75,75,75,27,0
PNT,5,20210223,151000,75,75,75,75,200,0
PNT,5,20210223,151500,75.5,75.5,75.5,75.5,50,0
PNT,5,20210223,155500,75.5,75.5,75,75,600,0
PNT,5,20210223,160000,75,75,75,75,87,0
PNT,5,20210223,160500,73.5,73.5,73.5,73.5,10,0
PNT,5,20210223,164500,75,75,75,75,1,0
PNT,5,20210224,094000,75.5,77.5,75.5,77.5,2000,0
PNT,5,20210224,095000,77,77,77,77,55,0
PNT,5,20210224,103500,76,76,76,76,50,0
PNT,5,20210224,110500,76.5,77,76.5,77,130,0
PNT,5,20210224,114500,76.5,76.5,76.5,76.5,14,0
PNT,5,20210224,115000,76.5,76.5,76.5,76.5,36,0
PNT,5,20210224,134500,77,77,77,77,14,0
PNT,5,20210224,140500,77,77,77,77,15,0
PNT,5,20210224,153000,77,77,77,77,70,0
PNT,5,20210224,164500,77,77,77,77,67,0
PNT,5,20210225,090500,77,77,77,77,75,0
PNT,5,20210225,093000,77,77,77,77,28,0
PNT,5,20210225,093500,77,77,76,76,349,0
PNT,5,20210225,100500,75.5,75.5,75.5,75.5,86,0
PNT,5,20210225,102000,75.5,75.5,75.5,75.5,75,0
PNT,5,20210225,111000,75,75,74,74,336,0
PNT,5,20210225,113500,74,74.5,74,74.5,675,0
PNT,5,20210225,120000,74,74,73.5,73.5,57,0
PNT,5,20210225,124500,74,74,74,74,78,0
PNT,5,20210225,130000,75.5,75.5,75.5,75.5,16,0
PNT,5,20210225,130500,77,77,77,77,80,0
PNT,5,20210225,131000,77,77,77,77,26,0
PNT,5,20210225,133000,74,74,74,74,10,0
PNT,5,20210225,141500,76,76,76,76,40,0
PNT,5,20210225,142000,76.5,76.5,76.5,76.5,25,0
PNT,5,20210225,164500,76.5,76.5,76.5,76.5,85,0
PNT,5,20210226,091500,74,74,73,73,107,0
PNT,5,20210226,094000,74,74,74,74,58,0
PNT,5,20210226,094500,76,76,76,76,11,0
PNT,5,20210226,100000,74.5,74.5,74,74,349,0
PNT,5,20210226,100500,74,74,74,74,100,0
PNT,5,20210226,104000,74,74,74,74,66,0
PNT,5,20210226,104500,74,74,74,74,9,0
PNT,5,20210226,114500,74,74,74,74,27,0
PNT,5,20210226,145000,73.5,73.5,73,73,100,0
PNT,5,20210226,150000,73.5,74,73.5,74,30,0
PNT,5,20210226,153000,73,73,73,73,30,0
PNT,5,20210226,154000,73,73,73,73,6,0
PNT,5,20210226,154500,72.5,72.5,71.5,71.5,118,0
PNT,5,20210226,155000,71.5,71.5,71.5,71.5,29,0
PNT,5,20210226,160500,72,72,72,72,30,0
PNT,5,20210226,161000,71.5,71.5,71.5,71.5,30,0
PNT,5,20210226,164000,73,73.5,73,73.5,86,0
PNT,5,20210301,090500,77,77,77,77,10,0
PNT,5,20210301,130000,76,76,76,76,13,0
PNT,5,20210301,134500,76,76,76,76,10,0
PNT,5,20210301,144000,76,76,76,76,17,0
PNT,5,20210301,160000,76,76,76,76,28,0
PNT,5,20210301,164000,77,77,77,77,25,0
PNT,5,20210302,093000,76.5,76.5,76,76,82,0
PNT,5,20210302,112500,74,74,74,74,40,0
PNT,5,20210302,120000,74,74,73.5,73.5,40,0
PNT,5,20210302,123500,74,74,74,74,40,0
PNT,5,20210302,131500,74,74,74,74,45,0
PNT,5,20210302,134000,75.5,76,75.5,76,130,0
PNT,5,20210303,090000,76,76,76,76,35,0
PNT,5,20210303,144000,74,74,74,74,33,0
PNT,5,20210303,163500,76,76,76,76,14,0
PNT,5,20210304,092500,75,75,75,75,150,0
PNT,5,20210304,102000,75.5,75.5,75.5,75.5,24,0
PNT,5,20210304,110000,74.5,74.5,74.5,74.5,20,0
PNT,5,20210304,133000,75,75.5,75,75.5,12,0
PNT,5,20210305,090000,75,75,75,75,13,0
PNT,5,20210305,111500,74.5,74.5,74.5,74.5,28,0
PNT,5,20210305,113000,74.5,74.5,74,74,445,0
PNT,5,20210305,162500,75,77,75,77,1000,0
PNT,5,20210305,164000,76.5,76.5,76.5,76.5,40,0
PNT,5,20210305,164500,76.5,76.5,76.5,76.5,211,0
PNT,5,20210308,090000,77,77,77,77,122,0
PNT,5,20210308,091000,77,77,77,77,8,0
PNT,5,20210308,093500,77,77,77,77,302,0
PNT,5,20210308,104500,77,77,77,77,11,0
PNT,5,20210308,110500,77,77,77,77,2,0
PNT,5,20210308,114000,76,76,76,76,11,0
PNT,5,20210308,122500,77,77,77,77,60,0
PNT,5,20210308,134000,78,78,78,78,77,0
PNT,5,20210308,135500,78,78.5,78,78.5,1054,0
PNT,5,20210308,140000,78.5,79,78.5,79,709,0
PNT,5,20210308,143000,79,79.5,79,79.5,130,0
PNT,5,20210308,144000,79.5,80,79.5,80,1900,0
PNT,5,20210308,144500,80,80,80,80,1100,0
PNT,5,20210308,145500,80,80,80,80,433,0
PNT,5,20210308,151000,80,80,80,80,221,0
PNT,5,20210308,151500,80,80,80,80,20,0
PNT,5,20210308,152000,80,80,80,80,285,0
PNT,5,20210308,152500,80,80,80,80,10,0
PNT,5,20210308,154000,80,80,80,80,550,0
PNT,5,20210308,154500,80,80,80,80,378,0
PNT,5,20210308,163500,82.5,82.5,82.5,82.5,29,0
PNT,5,20210308,164000,82.5,82.5,82.5,82.5,21,0
PNT,5,20210308,164500,82,82,81.5,81.5,320,0
PNT,5,20210309,093500,81.5,81.5,81.5,81.5,10,0
PNT,5,20210309,102500,81.5,81.5,81.5,81.5,40,0
PNT,5,20210309,123500,82,83,82,83,89,0
PNT,5,20210309,125000,83.5,83.5,83.5,83.5,6,0
PNT,5,20210310,090000,81,81,79,80,350,0
PNT,5,20210310,093000,80,80,80,80,24,0
PNT,5,20210310,103000,80.5,80.5,80.5,80.5,20,0
PNT,5,20210310,105000,81,81.5,81,81.5,293,0
PNT,5,20210310,105500,81.5,81.5,80,80,343,0
PNT,5,20210310,110000,81.5,81.5,81.5,81.5,25,0
PNT,5,20210310,113500,81.5,81.5,81.5,81.5,36,0
PNT,5,20210310,120000,81,81,81,81,25,0
PNT,5,20210310,120500,81.5,81.5,81.5,81.5,64,0
PNT,5,20210310,121000,81.5,81.5,81.5,81.5,35,0
PNT,5,20210310,121500,81.5,81.5,81,81,150,0
PNT,5,20210310,124500,81.5,81.5,81.5,81.5,25,0
PNT,5,20210310,130500,82,82,81.5,81.5,100,0
PNT,5,20210310,131500,81.5,81.5,81.5,81.5,74,0
PNT,5,20210310,132000,82.5,82.5,82.5,82.5,275,0
PNT,5,20210310,160000,82.5,82.5,78,78,1000,0
PNT,5,20210310,160500,80,80,80,80,25,0
PNT,5,20210310,161500,81,81,81,81,25,0
PNT,5,20210310,163500,80,81,80,81,117,0
PNT,5,20210310,164000,81,81,81,81,20,0
PNT,5,20210310,164500,81,81,81,81,8,0
PNT,5,20210311,090000,82.5,82.5,82,82,50,0
PNT,5,20210311,103000,82,82,82,82,6,0
PNT,5,20210311,104000,82,82,82,82,19,0
PNT,5,20210311,110500,82,83,82,83,232,0
PNT,5,20210311,113500,83,83,83,83,4,0
PNT,5,20210311,115000,82,82,82,82,50,0
PNT,5,20210311,124500,82,82,82,82,28,0
PNT,5,20210311,130500,82,82,82,82,11,0
PNT,5,20210312,090500,80,80,79.5,79.5,154,0
PNT,5,20210312,091500,80,80,80,80,15,0
PNT,5,20210312,092000,80.5,81.5,80.5,81.5,125,0
PNT,5,20210312,102000,82.5,84,82.5,84,80,0
PNT,5,20210312,102500,82,82,82,82,5,0
PNT,5,20210312,111500,83,83,83,83,45,0
PNT,5,20210312,123500,83,83,83,83,60,0
PNT,5,20210312,144500,83,83,83,83,23,0
PNT,5,20210312,164500,82.5,82.5,82.5,82.5,41,0
PNT,5,20210315,090000,84,84,84,84,50,0
PNT,5,20210315,090500,84,84,84,84,3,0
PNT,5,20210315,102000,83.5,83.5,83.5,83.5,31,0
PNT,5,20210315,105000,81,81,81,81,27,0
PNT,5,20210315,112000,81,81,81,81,135,0
PNT,5,20210315,112500,82,82,82,82,7,0
PNT,5,20210315,123500,82,82,82,82,80,0
PNT,5,20210315,132000,81.5,81.5,81.5,81.5,200,0
PNT,5,20210315,133500,83,83,83,83,12,0
PNT,5,20210315,134500,83,83,83,83,43,0
PNT,5,20210315,160000,83.5,83.5,83.5,83.5,4,0
PNT,5,20210315,162000,83.5,83.5,83.5,83.5,110,0
PNT,5,20210315,164500,83.5,84,83.5,84,306,0
PNT,5,20210316,093000,83.5,83.5,83.5,83.5,2,0
PNT,5,20210316,102000,83.5,84,83.5,84,24,0
PNT,5,20210316,102500,84.5,85,84.5,85,211,0
PNT,5,20210316,130000,84,85,84,85,825,0
PNT,5,20210316,131000,85,85,85,85,232,0
PNT,5,20210316,132500,85,85,83.5,85,334,0
PNT,5,20210316,153000,84,84,84,84,100,0
PNT,5,20210316,154000,83.5,83.5,83.5,83.5,115,0
PNT,5,20210316,155500,85,85,85,85,100,0
PNT,5,20210317,090000,85,85,85,85,45,0
PNT,5,20210317,092500,85,85,85,85,648,0
PNT,5,20210317,101000,85.5,85.5,85,85,39,0
PNT,5,20210317,101500,85,85,85,85,13,0
PNT,5,20210317,110500,85,85,85,85,30,0
PNT,5,20210317,111500,85,85,85,85,20,0
PNT,5,20210317,123500,85,85,85,85,129,0
PNT,5,20210317,132500,85,85,85,85,39,0
PNT,5,20210317,134000,85.5,85.5,85.5,85.5,100,0
PNT,5,20210317,134500,85,85,85,85,100,0
PNT,5,20210317,140000,85,85,85,85,54,0
PNT,5,20210317,141000,85,85,85,85,68,0
