<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRO,5,20210204,101500,4.72,4.72,4.72,4.72,100,0
PRO,5,20210204,104500,4.64,4.64,4.64,4.64,10,0
PRO,5,20210204,160500,4.72,4.72,4.72,4.72,722,0
PRO,5,20210204,164500,4.82,5,4.82,5,715,0
PRO,5,20210205,090000,4.84,4.84,4.84,4.84,338,0
PRO,5,20210205,090500,5,5,5,5,320,0
PRO,5,20210205,092000,5,5,5,5,354,0
PRO,5,20210205,101500,5,5,5,5,50,0
PRO,5,20210205,102500,4.98,4.98,4.98,4.98,550,0
PRO,5,20210205,110000,4.9,4.9,4.86,4.86,600,0
PRO,5,20210205,111500,4.98,4.98,4.98,4.98,415,0
PRO,5,20210205,114000,4.92,4.92,4.88,4.88,939,0
PRO,5,20210205,140000,4.98,4.98,4.98,4.98,100,0
PRO,5,20210208,090000,4.96,4.98,4.96,4.98,400,0
PRO,5,20210208,090500,4.98,5.05,4.98,5.05,650,0
PRO,5,20210208,091500,5.05,5.05,5.05,5.05,320,0
PRO,5,20210208,092000,5.05,5.1,5.05,5.1,230,0
PRO,5,20210208,102500,5.3,5.3,5.3,5.3,520,0
PRO,5,20210208,110500,5.3,5.3,5.3,5.3,900,0
PRO,5,20210208,111000,5.3,5.3,5.3,5.3,600,0
PRO,5,20210208,113000,5.3,5.4,5.3,5.4,350,0
PRO,5,20210208,120500,5.4,5.4,5.4,5.4,250,0
PRO,5,20210208,123000,5.4,5.4,5.4,5.4,450,0
PRO,5,20210208,130000,5.4,5.4,5.4,5.4,100,0
PRO,5,20210208,152000,5.25,5.25,5.25,5.25,70,0
PRO,5,20210208,163500,5.25,5.25,5,5,3599,0
PRO,5,20210208,164500,5.15,5.15,5.15,5.15,5,0
PRO,5,20210209,090000,5.45,5.45,5.45,5.45,217,0
PRO,5,20210209,094000,5.05,5.25,5.05,5.25,1155,0
PRO,5,20210209,095000,5.1,5.1,5,5,3070,0
PRO,5,20210209,103500,5,5,5,5,996,0
PRO,5,20210209,105000,5,5,5,5,362,0
PRO,5,20210209,134500,4.96,4.96,4.96,4.96,5,0
PRO,5,20210209,155500,5.05,5.05,5.05,5.05,1,0
PRO,5,20210209,164500,5,5,5,5,450,0
PRO,5,20210210,094500,5.05,5.05,5.05,5.05,149,0
PRO,5,20210210,095000,5.15,5.15,5.15,5.15,390,0
PRO,5,20210210,095500,5.2,5.2,5.2,5.2,250,0
PRO,5,20210210,114000,5.2,5.2,5.2,5.2,11,0
PRO,5,20210210,130000,5.15,5.25,5.15,5.25,395,0
PRO,5,20210210,140000,5.2,5.2,5.2,5.2,400,0
PRO,5,20210210,161500,5.1,5.1,5,5,1000,0
PRO,5,20210210,164500,5.2,5.2,5.2,5.2,99,0
PRO,5,20210211,103500,5.05,5.05,5,5,600,0
PRO,5,20210211,105000,5.1,5.1,5.1,5.1,40,0
PRO,5,20210211,143500,5.05,5.05,5,5,1200,0
PRO,5,20210211,144000,5.1,5.1,5.1,5.1,1,0
PRO,5,20210211,145000,5,5,5,5,905,0
PRO,5,20210211,145500,5,5,5,5,2258,0
PRO,5,20210211,150000,5,5,5,5,1631,0
PRO,5,20210211,151500,5.1,5.2,5.1,5.2,2500,0
PRO,5,20210211,152500,5.15,5.15,5.15,5.15,150,0
PRO,5,20210211,154000,5.4,5.4,5.4,5.4,110,0
PRO,5,20210211,154500,5.45,5.45,5.45,5.45,1,0
PRO,5,20210211,155500,5.35,5.35,5.35,5.35,900,0
PRO,5,20210211,161000,5.35,5.35,5.35,5.35,1100,0
PRO,5,20210211,162000,5.35,5.35,5.35,5.35,320,0
PRO,5,20210211,164500,5.45,5.45,5.45,5.45,4428,0
PRO,5,20210212,092500,5.4,5.4,5.4,5.4,332,0
PRO,5,20210212,105000,5.25,5.4,5.2,5.4,579,0
PRO,5,20210212,105500,5.2,5.2,5.2,5.2,310,0
PRO,5,20210212,111500,5.4,5.4,5.4,5.4,1,0
