<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRS,5,20210204,110500,7.55,7.55,7.55,7.55,12,0
PRS,5,20210205,164000,7.45,7.45,7.45,7.45,5,0
PRS,5,20210208,090500,7.65,7.65,7.65,7.65,500,0
PRS,5,20210208,111000,7.6,7.6,7.6,7.6,10,0
PRS,5,20210208,133000,7.6,7.6,7.6,7.6,71,0
PRS,5,20210208,155000,7.6,7.6,7.6,7.6,198,0
PRS,5,20210209,102500,7.65,7.65,7.65,7.65,5,0
PRS,5,20210209,143500,7.5,7.5,7.4,7.4,1285,0
PRS,5,20210210,101000,7.4,7.4,7.4,7.4,5,0
PRS,5,20210211,101000,7.4,7.4,7.4,7.4,5,0
PRS,5,20210212,120000,7.4,7.4,7.4,7.4,5,0
PRS,5,20210215,102500,7.4,7.4,7.4,7.4,5,0
PRS,5,20210215,113000,7.3,7.3,6.1,6.45,1278,0
PRS,5,20210215,113500,7,7.45,7,7.45,635,0
PRS,5,20210216,090000,7.45,7.45,7.45,7.45,790,0
PRS,5,20210216,141000,7.45,7.45,7.45,7.45,10,0
PRS,5,20210303,090000,7.5,7.5,7.5,7.5,8,0
PRS,5,20210304,121000,7.3,7.3,7.3,7.3,5,0
PRS,5,20210308,111500,7.3,7.3,7.3,7.3,5,0
PRS,5,20210309,105500,7.3,7.3,7.3,7.3,5,0
PRS,5,20210310,113500,7.25,7.25,7.25,7.25,5,0
PRS,5,20210322,152500,7.25,7.25,7.25,7.25,5,0
PRS,5,20210323,123500,7.25,7.4,7.25,7.4,356,0
PRS,5,20210323,153500,7.3,7.3,7.2,7.2,303,0
PRS,5,20210323,154000,7.2,7.35,7.2,7.35,248,0
PRS,5,20210324,100000,7.1,7.1,7,7,1300,0
PRS,5,20210324,101500,7,7,6.9,6.9,305,0
PRS,5,20210324,102500,6.7,6.7,6.6,6.6,5428,0
PRS,5,20210324,110000,6.25,6.25,6,6,500,0
PRS,5,20210324,115000,6.5,7,6.5,7,1868,0
PRS,5,20210324,115500,7,7.3,7,7,710,0
PRS,5,20210324,120500,7,7,7,7,780,0
PRS,5,20210324,121500,7,7,7,7,50,0
PRS,5,20210324,122500,6.8,6.8,6.8,6.8,200,0
PRS,5,20210324,123000,7,7.15,7,7.15,905,0
PRS,5,20210324,125500,7,7,7,7,230,0
PRS,5,20210324,142000,6.8,6.8,6.6,6.6,5000,0
PRS,5,20210324,143500,6.65,6.65,6.5,6.5,5150,0
PRS,5,20210324,151500,6.4,6.4,6.3,6.3,5531,0
PRS,5,20210324,162000,6.3,6.3,6.3,6.3,100,0
PRS,5,20210324,163500,6.3,6.95,6.3,6.95,1000,0
PRS,5,20210325,090000,6.95,6.95,6.95,6.95,144,0
