<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSH,5,20210204,090000,13.388,13.39,13.388,13.39,316,0
PSH,5,20210204,090500,13.4,13.4,13.39,13.39,106,0
PSH,5,20210204,093500,13.21,13.21,13.05,13.05,1171,0
PSH,5,20210204,094000,13.06,13.41,13.05,13.41,1101,0
PSH,5,20210204,094500,13.1,13.1,13.1,13.1,300,0
PSH,5,20210204,103500,13.1,13.1,13.1,13.1,430,0
PSH,5,20210204,104000,13.1,13.1,13.1,13.1,70,0
PSH,5,20210204,104500,13.1,13.1,13.1,13.1,34,0
PSH,5,20210204,105500,13.1,13.1,13.1,13.1,250,0
PSH,5,20210204,110000,13.1,13.1,13.1,13.1,156,0
PSH,5,20210204,111000,13.1,13.1,13.1,13.1,583,0
PSH,5,20210204,131500,13.15,13.15,13.1,13.1,270,0
PSH,5,20210204,133000,13.1,13.1,13.1,13.1,300,0
PSH,5,20210204,135500,13.2,13.2,13.2,13.2,98,0
PSH,5,20210204,140000,13.2,13.2,13.2,13.2,2,0
PSH,5,20210204,143500,13.15,13.15,13.15,13.15,75,0
PSH,5,20210204,144000,13.15,13.15,13.1,13.1,107,0
PSH,5,20210204,144500,13.06,13.06,13,13,3190,0
PSH,5,20210204,145000,13,13,13,13,130,0
PSH,5,20210204,150000,13,13,12.97,12.97,660,0
PSH,5,20210204,150500,12.97,12.97,12.97,12.97,37,0
PSH,5,20210204,151500,13.15,13.15,13.15,13.15,3,0
PSH,5,20210204,154000,13.15,13.15,13.15,13.15,120,0
PSH,5,20210204,160000,12.99,12.99,12.99,12.99,100,0
PSH,5,20210204,161000,12.99,12.99,12.99,12.99,350,0
PSH,5,20210204,162500,13,13,12.99,12.99,150,0
PSH,5,20210204,163500,12.99,12.99,12.99,12.99,100,0
PSH,5,20210204,164000,12.97,12.97,12.97,12.97,250,0
PSH,5,20210204,164500,12.95,12.95,12.95,12.95,376,0
PSH,5,20210205,090000,12.96,12.96,12.95,12.95,148,0
PSH,5,20210205,090500,12.95,12.95,12.95,12.95,162,0
