<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSM,5,20210204,110000,0.58,0.58,0.58,0.58,2091,0
PSM,5,20210205,110000,0.7,0.7,0.7,0.7,1053,0
PSM,5,20210205,150000,0.77,0.77,0.77,0.77,500,0
PSM,5,20210208,110000,0.77,0.77,0.77,0.77,6867,0
PSM,5,20210208,150000,0.775,0.775,0.775,0.775,800,0
PSM,5,20210209,110000,0.8,0.8,0.8,0.8,150,0
PSM,5,20210211,110000,0.7,0.7,0.7,0.7,715,0
PSM,5,20210212,110000,0.7,0.7,0.7,0.7,5050,0
PSM,5,20210216,150000,0.65,0.65,0.65,0.65,750,0
PSM,5,20210216,152000,0.65,0.65,0.65,0.65,1000,0
PSM,5,20210219,110000,0.6,0.6,0.6,0.6,830,0
PSM,5,20210222,110000,0.65,0.65,0.65,0.65,260,0
PSM,5,20210224,150000,0.54,0.54,0.54,0.54,2247,0
PSM,5,20210224,150500,0.54,0.54,0.54,0.54,400,0
PSM,5,20210304,110000,0.452,0.452,0.452,0.452,1100,0
PSM,5,20210304,150000,0.55,0.55,0.55,0.55,900,0
PSM,5,20210304,152000,0.55,0.55,0.55,0.55,920,0
PSM,5,20210308,110000,0.635,0.635,0.635,0.635,10,0
PSM,5,20210310,110000,0.555,0.555,0.555,0.555,720,0
PSM,5,20210310,150000,0.555,0.555,0.555,0.555,1680,0
PSM,5,20210311,110000,0.645,0.645,0.645,0.645,100,0
PSM,5,20210311,150000,0.645,0.645,0.645,0.645,500,0
PSM,5,20210317,150000,0.55,0.55,0.55,0.55,910,0
PSM,5,20210317,150500,0.55,0.55,0.55,0.55,400,0
PSM,5,20210324,110000,0.55,0.55,0.55,0.55,500,0
