<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTE,5,20210204,090000,1.195,1.195,1.195,1.195,6000,0
PTE,5,20210204,090500,1.195,1.23,1.195,1.23,4459,0
PTE,5,20210204,091000,1.23,1.23,1.23,1.23,1300,0
PTE,5,20210204,095000,1.14,1.14,1.14,1.14,30,0
PTE,5,20210204,100500,1.21,1.21,1.21,1.21,111,0
PTE,5,20210204,103500,1.21,1.21,1.21,1.21,2438,0
PTE,5,20210204,105500,1.21,1.25,1.21,1.25,17415,0
PTE,5,20210204,112500,1.16,1.25,1.1,1.25,3033,0
PTE,5,20210204,130000,1.13,1.13,1.13,1.13,30,0
PTE,5,20210204,134000,1.22,1.22,1.22,1.22,11,0
PTE,5,20210204,164000,1.15,1.22,1.15,1.22,53,0
PTE,5,20210205,090000,1.22,1.22,1.22,1.22,1166,0
PTE,5,20210205,091000,1.22,1.22,1.22,1.22,534,0
PTE,5,20210205,091500,1.22,1.22,1.22,1.22,100,0
PTE,5,20210205,095000,1.15,1.15,1.15,1.15,1860,0
PTE,5,20210205,095500,1.15,1.23,1.15,1.23,666,0
PTE,5,20210205,101500,1.23,1.23,1.23,1.23,3411,0
PTE,5,20210205,112500,1.13,1.23,1.06,1.23,2011,0
PTE,5,20210205,141500,1.21,1.23,1.21,1.23,1620,0
PTE,5,20210205,143500,1.22,1.22,1.22,1.22,2450,0
PTE,5,20210208,090000,1.23,1.26,1.23,1.26,5900,0
PTE,5,20210208,090500,1.26,1.3,1.26,1.3,1079,0
PTE,5,20210208,091000,1.25,1.29,1.25,1.29,800,0
PTE,5,20210208,092000,1.2,1.29,1.2,1.29,1637,0
PTE,5,20210208,092500,1.29,1.29,1.29,1.29,1135,0
PTE,5,20210208,093000,1.295,1.295,1.295,1.295,2300,0
PTE,5,20210208,093500,1.29,1.3,1.22,1.3,6600,0
PTE,5,20210208,104500,1.29,1.3,1.29,1.3,17211,0
PTE,5,20210208,124000,1.29,1.3,1.29,1.3,1050,0
PTE,5,20210208,130500,1.3,1.3,1.3,1.3,1200,0
PTE,5,20210208,131000,1.25,1.25,1.25,1.25,100,0
PTE,5,20210208,132500,1.3,1.3,1.3,1.3,111,0
PTE,5,20210208,160000,1.26,1.28,1.11,1.26,15022,0
PTE,5,20210208,162500,1.23,1.23,1.23,1.23,100,0
PTE,5,20210208,164000,1.23,1.23,1.23,1.23,1000,0
PTE,5,20210208,164500,1.14,1.23,1.135,1.23,2200,0
PTE,5,20210209,090000,1.2,1.2,1.2,1.2,200,0
PTE,5,20210209,092000,1.14,1.2,1.14,1.2,533,0
PTE,5,20210209,093000,1.19,1.19,1.19,1.19,500,0
PTE,5,20210209,093500,1.14,1.2,1.13,1.19,9345,0
PTE,5,20210209,094000,1.13,1.14,1.055,1.14,16011,0
PTE,5,20210209,094500,1.14,1.14,1.14,1.14,1500,0
PTE,5,20210209,095500,1.08,1.14,1.08,1.14,700,0
PTE,5,20210209,100000,1.14,1.14,1.14,1.14,1789,0
PTE,5,20210209,100500,1.14,1.14,1.14,1.14,211,0
PTE,5,20210209,101000,1.14,1.17,1.14,1.14,2211,0
PTE,5,20210209,102000,1.085,1.085,1.085,1.085,1000,0
PTE,5,20210209,103000,1.085,1.085,1.085,1.085,700,0
PTE,5,20210209,103500,1.085,1.14,1.085,1.14,5389,0
PTE,5,20210209,111500,1.1,1.1,1.1,1.1,2026,0
PTE,5,20210209,122500,1.14,1.14,1.14,1.14,11,0
PTE,5,20210209,134500,1.14,1.14,1.14,1.14,2600,0
PTE,5,20210209,140000,1.1,1.1,1.1,1.1,1000,0
PTE,5,20210209,142500,1.095,1.095,1.095,1.095,2974,0
PTE,5,20210209,143500,1.095,1.095,1.095,1.095,600,0
PTE,5,20210209,145500,1.095,1.12,1.095,1.12,3848,0
PTE,5,20210209,160500,1.115,1.12,1.115,1.12,4000,0
PTE,5,20210209,161500,1.12,1.12,1.12,1.12,500,0
PTE,5,20210209,164500,1.115,1.115,1.115,1.115,1600,0
PTE,5,20210210,090000,1.145,1.145,1.115,1.115,1100,0
PTE,5,20210210,091000,1.145,1.145,1.145,1.145,11,0
PTE,5,20210210,091500,1.145,1.16,1.145,1.16,2382,0
PTE,5,20210210,104000,1.16,1.16,1.16,1.16,100,0
PTE,5,20210210,105500,1.11,1.11,1.1,1.1,4000,0
PTE,5,20210210,110500,1.15,1.15,1.08,1.14,1015,0
PTE,5,20210210,111000,1.13,1.13,1.13,1.13,1000,0
