<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTN,5,20210204,134000,0.84,0.845,0.84,0.845,2000,0
PTN,5,20210204,134500,0.805,0.805,0.805,0.805,1000,0
PTN,5,20210204,152000,0.805,0.805,0.805,0.805,1250,0
PTN,5,20210204,152500,0.8,0.8,0.8,0.8,2500,0
PTN,5,20210205,092000,0.81,0.845,0.81,0.845,2501,0
PTN,5,20210205,112500,0.8,0.8,0.8,0.8,2500,0
PTN,5,20210205,113000,0.8,0.8,0.8,0.8,7500,0
PTN,5,20210205,114500,0.81,0.845,0.81,0.845,2501,0
PTN,5,20210205,120000,0.8,0.845,0.8,0.845,5001,0
PTN,5,20210208,092500,0.83,0.83,0.82,0.82,10000,0
PTN,5,20210208,093000,0.845,0.85,0.845,0.85,2958,0
PTN,5,20210208,094500,0.88,0.88,0.88,0.88,100,0
PTN,5,20210208,112000,0.88,0.88,0.88,0.88,24,0
PTN,5,20210208,124000,0.88,0.88,0.88,0.88,1000,0
PTN,5,20210208,145500,0.88,0.9,0.88,0.9,23385,0
PTN,5,20210208,150000,0.93,0.93,0.93,0.93,1,0
PTN,5,20210208,152000,0.835,0.835,0.8,0.8,6343,0
PTN,5,20210208,152500,0.8,0.8,0.8,0.8,3657,0
PTN,5,20210208,154000,0.85,0.85,0.85,0.85,5000,0
PTN,5,20210209,095000,0.83,0.83,0.83,0.83,2410,0
PTN,5,20210209,113000,0.82,0.82,0.82,0.82,280,0
PTN,5,20210209,154000,0.83,0.83,0.83,0.83,2000,0
PTN,5,20210210,090000,0.845,0.845,0.845,0.845,9,0
PTN,5,20210210,104500,0.82,0.82,0.82,0.82,400,0
PTN,5,20210210,111000,0.82,0.82,0.82,0.82,1262,0
PTN,5,20210211,135000,0.8,0.8,0.8,0.8,3686,0
PTN,5,20210211,141000,0.8,0.8,0.8,0.8,3409,0
PTN,5,20210211,143000,0.8,0.8,0.8,0.8,1,0
PTN,5,20210211,144500,0.8,0.82,0.8,0.82,5945,0
PTN,5,20210212,124500,0.84,0.84,0.84,0.84,100,0
PTN,5,20210212,133500,0.84,0.84,0.84,0.84,1003,0
PTN,5,20210212,134500,0.84,0.84,0.84,0.84,58,0
PTN,5,20210212,162000,0.81,0.81,0.81,0.81,5028,0
PTN,5,20210215,094000,0.82,0.82,0.82,0.82,513,0
PTN,5,20210215,113500,0.83,0.83,0.83,0.83,1058,0
PTN,5,20210215,114000,0.84,0.85,0.84,0.85,1000,0
PTN,5,20210215,122000,0.84,0.84,0.84,0.84,1000,0
PTN,5,20210215,124000,0.84,0.84,0.84,0.84,1541,0
PTN,5,20210216,100000,0.81,0.81,0.81,0.81,450,0
PTN,5,20210216,101000,0.82,0.82,0.82,0.82,1914,0
PTN,5,20210216,145500,0.84,0.84,0.84,0.84,4,0
PTN,5,20210216,152500,0.81,0.81,0.8,0.8,10000,0
PTN,5,20210217,102000,0.81,0.85,0.81,0.85,5192,0
PTN,5,20210217,111500,0.83,0.83,0.83,0.83,450,0
PTN,5,20210217,164000,0.81,0.81,0.81,0.81,700,0
PTN,5,20210217,164500,0.81,0.81,0.81,0.81,95,0
PTN,5,20210218,104500,0.81,0.81,0.81,0.81,450,0
PTN,5,20210218,111000,0.83,0.83,0.83,0.83,260,0
PTN,5,20210218,121000,0.8,0.8,0.8,0.8,140,0
PTN,5,20210218,154500,0.83,0.83,0.83,0.83,90,0
PTN,5,20210219,115000,0.8,0.8,0.8,0.8,100,0
PTN,5,20210219,121500,0.82,0.82,0.82,0.82,1000,0
PTN,5,20210219,163500,0.82,0.83,0.82,0.83,2200,0
PTN,5,20210219,164000,0.83,0.9,0.83,0.9,5208,0
PTN,5,20210222,092500,0.9,0.9,0.9,0.9,1990,0
PTN,5,20210222,093500,0.92,0.92,0.92,0.92,8,0
PTN,5,20210222,094000,0.9,0.9,0.9,0.9,240,0
PTN,5,20210222,095500,0.915,0.915,0.915,0.915,1000,0
