<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PYL,5,20210204,090000,0.1895,0.1895,0.1895,0.1895,12500,0
PYL,5,20210204,091000,0.184,0.184,0.1802,0.1802,42000,0
PYL,5,20210204,091500,0.1802,0.1894,0.18,0.1894,35969,0
PYL,5,20210204,092000,0.1894,0.1894,0.1894,0.1894,2624,0
PYL,5,20210204,094500,0.1821,0.1821,0.1821,0.1821,3000,0
PYL,5,20210204,100000,0.1821,0.1821,0.177,0.177,58973,0
PYL,5,20210204,102500,0.18,0.18,0.18,0.18,2000,0
PYL,5,20210204,103500,0.18,0.18,0.18,0.18,10000,0
PYL,5,20210204,110000,0.18,0.18,0.18,0.18,10000,0
PYL,5,20210204,113000,0.181,0.181,0.181,0.181,3464,0
PYL,5,20210204,114000,0.18,0.18,0.18,0.18,15000,0
PYL,5,20210204,114500,0.177,0.177,0.177,0.177,25000,0
PYL,5,20210204,122500,0.1768,0.1768,0.1768,0.1768,5341,0
PYL,5,20210204,123000,0.18,0.18,0.18,0.18,2500,0
PYL,5,20210204,135500,0.177,0.177,0.1768,0.1768,13922,0
PYL,5,20210204,142500,0.1799,0.1799,0.1799,0.1799,2200,0
PYL,5,20210204,143500,0.1797,0.1797,0.1797,0.1797,300,0
PYL,5,20210204,144000,0.1797,0.1797,0.1797,0.1797,1000,0
PYL,5,20210204,145500,0.1797,0.1798,0.1797,0.1798,8000,0
PYL,5,20210204,150500,0.1768,0.1768,0.1768,0.1768,4487,0
PYL,5,20210204,153500,0.1796,0.1796,0.1796,0.1796,3500,0
PYL,5,20210204,154000,0.18,0.18,0.18,0.18,10000,0
PYL,5,20210204,155000,0.18,0.18,0.18,0.18,2000,0
PYL,5,20210204,160500,0.18,0.18,0.18,0.18,1000,0
PYL,5,20210205,090000,0.182,0.182,0.182,0.182,800,0
PYL,5,20210205,091000,0.182,0.182,0.182,0.182,20050,0
PYL,5,20210205,092000,0.182,0.182,0.182,0.182,1200,0
PYL,5,20210205,113500,0.18,0.182,0.18,0.182,20000,0
PYL,5,20210205,115000,0.1733,0.1733,0.1733,0.1733,4400,0
PYL,5,20210205,120500,0.1799,0.1799,0.1799,0.1799,1000,0
PYL,5,20210205,122500,0.1733,0.1733,0.1733,0.1733,2000,0
PYL,5,20210205,131000,0.176,0.176,0.176,0.176,2000,0
PYL,5,20210205,131500,0.176,0.176,0.176,0.176,8000,0
PYL,5,20210205,134000,0.1779,0.1779,0.1779,0.1779,5400,0
PYL,5,20210205,140000,0.174,0.174,0.174,0.174,5800,0
PYL,5,20210205,142000,0.174,0.174,0.174,0.174,14000,0
PYL,5,20210205,143000,0.1733,0.1733,0.1733,0.1733,200,0
PYL,5,20210205,150000,0.1733,0.1733,0.1733,0.1733,4800,0
PYL,5,20210205,153000,0.1732,0.1732,0.1732,0.1732,5000,0
PYL,5,20210205,155500,0.1799,0.1799,0.1799,0.1799,1000,0
PYL,5,20210205,162000,0.1799,0.1799,0.1799,0.1799,2000,0
PYL,5,20210205,164500,0.1734,0.1734,0.1734,0.1734,2000,0
PYL,5,20210208,090000,0.18,0.18,0.1732,0.1732,12522,0
PYL,5,20210208,090500,0.18,0.18,0.18,0.18,200,0
PYL,5,20210208,092500,0.1734,0.1734,0.1734,0.1734,2535,0
PYL,5,20210208,101000,0.1734,0.1734,0.1725,0.1725,76943,0
PYL,5,20210208,103500,0.1701,0.1701,0.1701,0.1701,18411,0
PYL,5,20210208,104000,0.17,0.17,0.167,0.167,27000,0
PYL,5,20210208,104500,0.1655,0.1655,0.1634,0.1634,67589,0
PYL,5,20210208,105000,0.1759,0.1759,0.1759,0.1759,1,0
PYL,5,20210208,124500,0.17,0.17,0.17,0.17,5000,0
PYL,5,20210208,131000,0.168,0.168,0.168,0.168,55057,0
PYL,5,20210208,133000,0.168,0.168,0.168,0.168,776,0
PYL,5,20210208,135500,0.1756,0.1756,0.1756,0.1756,150,0
PYL,5,20210208,150000,0.1681,0.1681,0.168,0.168,14666,0
PYL,5,20210208,150500,0.168,0.168,0.168,0.168,2000,0
PYL,5,20210208,162500,0.1685,0.1685,0.168,0.168,12000,0
PYL,5,20210208,163000,0.168,0.168,0.168,0.168,29501,0
PYL,5,20210208,164000,0.168,0.168,0.168,0.168,499,0
PYL,5,20210208,164500,0.1756,0.1756,0.1756,0.1756,742,0
PYL,5,20210209,090000,0.1756,0.1786,0.1756,0.178,33797,0
PYL,5,20210209,091500,0.178,0.178,0.1756,0.1756,11999,0
PYL,5,20210209,104000,0.1756,0.1756,0.164,0.164,17847,0
PYL,5,20210209,110000,0.1789,0.1789,0.1789,0.1789,3054,0
PYL,5,20210209,111000,0.1789,0.1789,0.1789,0.1789,550,0
PYL,5,20210209,112000,0.17,0.17,0.17,0.17,2000,0
PYL,5,20210209,121500,0.1759,0.1799,0.1759,0.1799,20000,0
PYL,5,20210209,124500,0.174,0.174,0.174,0.174,2000,0
PYL,5,20210209,125500,0.174,0.174,0.174,0.174,1126,0
PYL,5,20210209,155500,0.178,0.178,0.178,0.178,3000,0
PYL,5,20210209,163000,0.178,0.178,0.178,0.178,500,0
PYL,5,20210210,090000,0.1799,0.1799,0.1799,0.1799,7000,0
PYL,5,20210210,091500,0.1798,0.1798,0.1798,0.1798,1800,0
PYL,5,20210210,093000,0.178,0.178,0.178,0.178,4780,0
PYL,5,20210210,102500,0.1744,0.1744,0.1727,0.1727,6062,0
PYL,5,20210210,103000,0.1727,0.1727,0.1727,0.1727,1987,0
PYL,5,20210210,111500,0.1727,0.1727,0.1727,0.1727,1000,0
PYL,5,20210210,114000,0.1727,0.1727,0.1727,0.1727,5416,0
PYL,5,20210210,131000,0.1727,0.1727,0.1727,0.1727,600,0
PYL,5,20210210,151500,0.1676,0.1676,0.1676,0.1676,13000,0
PYL,5,20210210,154000,0.1727,0.1727,0.1727,0.1727,2000,0
PYL,5,20210210,155000,0.1727,0.1727,0.1727,0.1727,2350,0
PYL,5,20210210,162000,0.1727,0.1727,0.1727,0.1727,1000,0
PYL,5,20210210,163000,0.1727,0.176,0.1727,0.176,2999,0
PYL,5,20210210,163500,0.1797,0.1797,0.1797,0.1797,3500,0
PYL,5,20210210,164500,0.1675,0.1675,0.1675,0.1675,1,0
PYL,5,20210211,090000,0.172,0.172,0.172,0.172,100,0
PYL,5,20210211,091000,0.172,0.172,0.172,0.172,4000,0
PYL,5,20210211,094000,0.172,0.172,0.17,0.17,11000,0
PYL,5,20210211,103500,0.17,0.17,0.168,0.168,1825,0
PYL,5,20210211,104500,0.168,0.168,0.167,0.167,24485,0
PYL,5,20210211,105000,0.1663,0.1663,0.1633,0.1633,40000,0
PYL,5,20210211,110000,0.1634,0.1634,0.1634,0.1634,37854,0
PYL,5,20210211,111000,0.1636,0.1636,0.1635,0.1635,51611,0
PYL,5,20210211,111500,0.1687,0.1687,0.1635,0.1635,60793,0
PYL,5,20210211,112000,0.163,0.163,0.163,0.163,600,0
PYL,5,20210211,121000,0.164,0.164,0.164,0.164,11000,0
PYL,5,20210211,121500,0.167,0.167,0.167,0.167,1000,0
PYL,5,20210211,122500,0.1677,0.168,0.1677,0.168,30000,0
PYL,5,20210211,123000,0.168,0.168,0.168,0.168,17000,0
PYL,5,20210211,124500,0.168,0.168,0.168,0.168,37,0
PYL,5,20210211,141000,0.17,0.17,0.17,0.17,1963,0
PYL,5,20210211,144000,0.17,0.17,0.17,0.17,15037,0
PYL,5,20210211,154000,0.172,0.172,0.172,0.172,6000,0
PYL,5,20210211,161500,0.172,0.172,0.172,0.172,2500,0
PYL,5,20210211,162000,0.17,0.17,0.17,0.17,19,0
PYL,5,20210211,164000,0.1651,0.1651,0.1651,0.1651,6481,0
PYL,5,20210212,090000,0.17,0.17,0.17,0.17,8446,0
PYL,5,20210212,092000,0.17,0.17,0.17,0.17,3204,0
PYL,5,20210212,093000,0.1639,0.1639,0.1616,0.1616,35400,0
PYL,5,20210212,093500,0.1615,0.1699,0.1611,0.1699,23081,0
PYL,5,20210212,094500,0.1699,0.1699,0.1699,0.1699,3000,0
PYL,5,20210212,101000,0.1636,0.1636,0.1618,0.1618,22732,0
PYL,5,20210212,101500,0.1699,0.1699,0.1699,0.1699,11000,0
PYL,5,20210212,102000,0.1698,0.17,0.1619,0.17,105127,0
PYL,5,20210212,102500,0.1719,0.172,0.1719,0.172,13000,0
PYL,5,20210212,103000,0.172,0.178,0.172,0.178,20000,0
PYL,5,20210212,104000,0.17,0.178,0.17,0.178,2031,0
PYL,5,20210212,105000,0.1768,0.1768,0.1768,0.1768,1,0
PYL,5,20210212,105500,0.1768,0.1768,0.1768,0.1768,10000,0
PYL,5,20210212,110000,0.1768,0.1768,0.1768,0.1768,26000,0
PYL,5,20210212,112500,0.1768,0.179,0.1768,0.179,14294,0
PYL,5,20210212,114500,0.179,0.18,0.179,0.18,32355,0
PYL,5,20210212,115000,0.1839,0.1839,0.1839,0.1839,11979,0
PYL,5,20210212,120000,0.18,0.18,0.18,0.18,6000,0
PYL,5,20210212,120500,0.18,0.18,0.175,0.175,7000,0
PYL,5,20210212,122000,0.183,0.183,0.183,0.183,9885,0
PYL,5,20210212,122500,0.183,0.183,0.183,0.183,1115,0
PYL,5,20210212,123000,0.183,0.183,0.183,0.183,1000,0
PYL,5,20210212,124000,0.183,0.1849,0.183,0.1849,8885,0
PYL,5,20210212,124500,0.1849,0.186,0.1849,0.186,12730,0
PYL,5,20210212,125000,0.181,0.1876,0.18,0.1876,21100,0
PYL,5,20210212,125500,0.1876,0.1876,0.1876,0.1876,1284,0
PYL,5,20210212,131000,0.1876,0.1876,0.1875,0.1875,1976,0
PYL,5,20210212,131500,0.182,0.182,0.182,0.182,20000,0
PYL,5,20210212,132000,0.18,0.18,0.175,0.175,64421,0
PYL,5,20210212,135000,0.18,0.18,0.18,0.18,1272,0
PYL,5,20210212,143500,0.184,0.184,0.184,0.184,2992,0
PYL,5,20210212,152000,0.183,0.183,0.183,0.183,10000,0
PYL,5,20210212,152500,0.18,0.18,0.18,0.18,1000,0
