<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QON,5,20210204,090000,17.1,17.1,16.3,16.3,298,0
QON,5,20210204,100500,16.6,16.6,16.6,16.6,60,0
QON,5,20210204,102000,16.6,16.6,16.6,16.6,120,0
QON,5,20210204,105500,16.9,17,16.9,17,245,0
QON,5,20210204,122500,16.9,16.9,16.9,16.9,80,0
QON,5,20210204,123000,17,17,17,17,30,0
QON,5,20210205,103000,17,17,17,17,10,0
QON,5,20210205,164000,16.9,16.9,16.6,16.6,226,0
QON,5,20210208,101000,16.6,16.6,16.6,16.6,12,0
QON,5,20210208,120500,16.1,16.1,16.1,16.1,75,0
QON,5,20210208,150500,15.7,15.7,15.1,15.1,570,0
QON,5,20210208,153000,16,16.1,16,16.1,100,0
QON,5,20210208,163500,15.9,15.9,15.9,15.9,100,0
QON,5,20210208,164000,15.9,15.9,15.9,15.9,51,0
QON,5,20210209,090000,15.1,15.1,15.1,15.1,188,0
QON,5,20210209,092000,15.4,15.4,15.1,15.1,250,0
QON,5,20210209,092500,15.1,15.1,15.1,15.1,50,0
QON,5,20210209,102500,15.8,15.8,15.8,15.8,25,0
QON,5,20210209,103000,15.8,15.8,15.8,15.8,50,0
QON,5,20210209,105000,15.8,15.8,15.8,15.8,25,0
QON,5,20210209,114000,15.8,15.8,15.8,15.8,676,0
QON,5,20210209,115500,16.3,16.3,16.3,16.3,65,0
QON,5,20210209,120500,16.9,17,16.9,17,230,0
QON,5,20210209,121500,17,17,17,17,30,0
QON,5,20210209,122000,17,17,17,17,231,0
QON,5,20210209,164500,15.7,17.2,15.7,17.2,22,0
QON,5,20210210,090000,17.3,17.3,17.3,17.3,1,0
QON,5,20210210,091000,17.3,17.4,17.3,17.4,60,0
QON,5,20210210,113500,17.2,17.2,17.2,17.2,30,0
QON,5,20210211,090000,15.8,15.8,15.8,15.8,45,0
QON,5,20210211,124500,16.5,16.5,16.5,16.5,77,0
QON,5,20210211,125500,16.9,16.9,16.9,16.9,75,0
QON,5,20210211,131500,17,17,17,17,50,0
QON,5,20210211,132000,17,17,17,17,75,0
QON,5,20210211,140500,16.5,16.5,15.8,15.8,1000,0
QON,5,20210211,162000,16,16,16,16,160,0
QON,5,20210211,164000,16,16,16,16,1,0
QON,5,20210211,164500,16.9,16.9,16.9,16.9,29,0
QON,5,20210212,090000,16,16,16,16,200,0
QON,5,20210212,142000,16.4,16.4,16,16,150,0
QON,5,20210212,142500,15.9,15.9,15.9,15.9,100,0
QON,5,20210212,155000,16,16.7,16,16.7,145,0
QON,5,20210212,155500,16.8,16.8,16.8,16.8,95,0
QON,5,20210212,160000,16.2,16.2,16,16,55,0
QON,5,20210212,164500,16.7,16.7,16.7,16.7,25,0
QON,5,20210215,101500,16.7,16.7,16.7,16.7,80,0
QON,5,20210215,102000,16.7,16.7,16.7,16.7,37,0
QON,5,20210215,164500,16.5,16.5,16.5,16.5,85,0
QON,5,20210216,090000,16.3,16.3,15.7,15.7,1170,0
QON,5,20210216,090500,15.4,16.5,15.4,16.5,15,0
QON,5,20210216,104000,15.9,15.9,15.9,15.9,127,0
QON,5,20210216,151000,15.9,15.9,15.9,15.9,81,0
QON,5,20210216,152500,15.9,15.9,15.9,15.9,18,0
QON,5,20210216,153000,16,16,16,16,50,0
QON,5,20210216,162500,16.1,16.1,16.1,16.1,150,0
QON,5,20210217,090000,15.9,15.9,15.3,15.3,873,0
QON,5,20210217,090500,15.6,15.6,15.6,15.6,17,0
QON,5,20210217,103500,15.5,15.5,15.5,15.5,153,0
QON,5,20210217,111500,15.4,15.4,15.2,15.2,1133,0
QON,5,20210217,112500,15.2,15.2,15.1,15.1,1716,0
QON,5,20210217,121000,15.1,15.1,15.1,15.1,100,0
QON,5,20210217,124500,15.5,15.5,15.1,15.1,1347,0
QON,5,20210217,131500,15.1,15.1,15,15,927,0
QON,5,20210217,145500,15.1,15.1,15,15,370,0
QON,5,20210217,151000,15,15,15,15,400,0
QON,5,20210217,152500,15.5,15.5,15.5,15.5,100,0
QON,5,20210217,164500,15.7,15.7,15.7,15.7,2,0
QON,5,20210218,105500,15.5,15.5,15,15,330,0
QON,5,20210218,111500,16,16,16,16,2,0
QON,5,20210219,090000,14.7,14.7,14.2,14.2,1385,0
QON,5,20210219,090500,14.5,14.5,14,14,1000,0
QON,5,20210219,092500,15,15,15,15,102,0
QON,5,20210219,093000,14.6,15.6,14.1,15.6,2521,0
QON,5,20210219,093500,14,14,14,14,300,0
QON,5,20210219,094000,15,15,15,15,300,0
QON,5,20210219,103000,14.9,14.9,14.9,14.9,70,0
QON,5,20210219,113500,14.8,15.4,14.8,15.4,745,0
QON,5,20210219,114000,15.4,15.8,15.4,15.8,500,0
