<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QRT,5,20210204,102500,1.72,1.72,1.72,1.72,590,0
QRT,5,20210204,132000,1.7,1.7,1.7,1.7,20,0
QRT,5,20210208,164500,1.8,1.8,1.8,1.8,50,0
QRT,5,20210209,090500,1.65,1.65,1.65,1.65,260,0
QRT,5,20210209,115000,1.75,1.75,1.75,1.75,30,0
QRT,5,20210210,102500,1.7,1.7,1.7,1.7,10,0
QRT,5,20210215,092000,1.6,1.6,1.6,1.6,480,0
QRT,5,20210215,154500,1.65,1.65,1.65,1.65,615,0
QRT,5,20210216,100500,1.75,1.75,1.75,1.75,50,0
QRT,5,20210216,130000,1.6,1.6,1.6,1.6,755,0
QRT,5,20210217,121500,1.6,1.6,1.6,1.6,1000,0
QRT,5,20210217,152500,1.6,1.6,1.6,1.6,750,0
QRT,5,20210218,090500,1.6,1.6,1.6,1.6,10,0
QRT,5,20210222,105500,1.65,1.65,1.65,1.65,50,0
QRT,5,20210224,103500,1.7,1.7,1.7,1.7,10,0
QRT,5,20210311,100000,1.61,1.61,1.6,1.6,70,0
QRT,5,20210311,114000,1.61,1.61,1.61,1.61,10,0
QRT,5,20210311,141500,1.61,1.61,1.61,1.61,130,0
QRT,5,20210312,093000,1.7,1.7,1.7,1.7,50,0
QRT,5,20210312,105000,1.6,1.6,1.6,1.6,340,0
QRT,5,20210315,151500,1.6,1.6,1.6,1.6,184,0
QRT,5,20210318,151500,1.6,1.6,1.6,1.6,635,0
QRT,5,20210319,105500,1.5,1.5,1.5,1.5,365,0
QRT,5,20210322,102000,1.51,1.51,1.51,1.51,15,0
QRT,5,20210323,090000,1.6,1.6,1.6,1.6,285,0
QRT,5,20210326,115000,1.46,1.46,1.46,1.46,59986,0
