<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBS,5,20210204,090000,6.7,6.7,6.7,6.7,10,0
RBS,5,20210204,092500,6.6,6.6,6.6,6.6,2,0
RBS,5,20210204,095000,6.55,6.55,6.55,6.55,340,0
RBS,5,20210204,101500,6.55,6.55,6.55,6.55,93,0
RBS,5,20210204,112000,6.5,6.5,6.5,6.5,118,0
RBS,5,20210204,123000,6.5,6.5,6.5,6.5,100,0
RBS,5,20210204,125000,6.4,6.4,6.4,6.4,230,0
RBS,5,20210204,142500,6.4,6.4,6.4,6.4,238,0
RBS,5,20210204,145000,6.5,6.5,6.5,6.5,100,0
RBS,5,20210204,145500,6.6,6.6,6.6,6.6,200,0
RBS,5,20210205,090500,6.65,6.65,6.65,6.65,2,0
RBS,5,20210205,103500,6.65,6.65,6.65,6.65,100,0
RBS,5,20210205,164500,6.6,6.6,6.6,6.6,320,0
RBS,5,20210208,092500,6.7,6.7,6.7,6.7,2,0
RBS,5,20210208,094000,6.7,6.7,6.7,6.7,247,0
RBS,5,20210208,095500,6.7,6.7,6.7,6.7,153,0
RBS,5,20210208,100500,6.8,6.8,6.8,6.8,7,0
RBS,5,20210208,113500,6.8,6.9,6.8,6.9,400,0
RBS,5,20210208,114000,6.9,6.95,6.9,6.95,10,0
RBS,5,20210208,123500,6.95,7.1,6.95,7.1,828,0
RBS,5,20210208,124000,7,7,7,7,32,0
RBS,5,20210208,124500,6.65,6.65,6.65,6.65,5,0
RBS,5,20210208,144000,6.6,6.6,6.1,6.1,2463,0
RBS,5,20210208,145000,6.1,6.1,5.75,5.75,700,0
RBS,5,20210208,145500,6.6,6.95,6.6,6.95,460,0
RBS,5,20210209,090000,6.7,7.45,6.7,7.45,1000,0
RBS,5,20210209,090500,6.9,6.9,6.9,6.9,2,0
RBS,5,20210209,092500,6.65,6.85,6.65,6.85,395,0
RBS,5,20210209,093000,6.85,6.85,6.85,6.85,200,0
RBS,5,20210209,103500,6.65,6.65,6.6,6.6,200,0
RBS,5,20210209,110500,6.6,6.85,6.5,6.85,770,0
RBS,5,20210209,111000,6.4,6.4,6.4,6.4,1,0
RBS,5,20210209,111500,6.4,6.6,6.35,6.6,404,0
RBS,5,20210209,112000,6.65,6.85,6.6,6.85,635,0
RBS,5,20210209,113000,6.85,6.9,6.85,6.9,160,0
RBS,5,20210210,102500,6.8,7,6.8,7,700,0
RBS,5,20210210,103000,7.1,7.15,7.1,7.15,200,0
RBS,5,20210210,103500,7.15,7.2,7.15,7.2,150,0
RBS,5,20210210,151500,7,7,6.7,7,410,0
RBS,5,20210210,152000,7,7.15,7,7.15,700,0
RBS,5,20210211,115000,6.9,6.9,6.8,6.8,330,0
RBS,5,20210211,121000,6.55,6.55,6.05,6.05,980,0
RBS,5,20210211,121500,6.05,6.9,6,6.85,1305,0
RBS,5,20210211,130000,6.55,6.95,6.55,6.95,810,0
RBS,5,20210211,133000,6.85,7.05,6.85,7.05,645,0
RBS,5,20210211,133500,7.05,7.3,7.05,7.3,485,0
RBS,5,20210211,134000,7.2,7.3,7.2,7.3,255,0
RBS,5,20210211,141000,7.05,7.05,6.75,7.05,720,0
RBS,5,20210211,141500,7.05,7.25,7.05,7.25,300,0
RBS,5,20210212,095500,7.15,7.15,7.15,7.15,186,0
RBS,5,20210212,100000,7.1,7.1,7.1,7.1,295,0
RBS,5,20210212,100500,6.95,7,6.85,7,410,0
RBS,5,20210212,115500,7,7.25,7,7.25,700,0
RBS,5,20210212,132500,6.95,6.95,6.9,6.9,325,0
RBS,5,20210212,135000,7.15,7.15,7.15,7.15,10,0
RBS,5,20210212,155000,6.9,6.9,6.8,6.8,330,0
RBS,5,20210212,161000,6.9,6.9,6.9,6.9,25,0
RBS,5,20210215,091500,6.9,6.9,6.9,6.9,433,0
RBS,5,20210215,093500,6.7,6.7,6.6,6.6,500,0
RBS,5,20210215,094000,6.9,6.9,6.9,6.9,5,0
RBS,5,20210215,114500,6.6,6.6,6.6,6.6,50,0
RBS,5,20210215,122500,6.6,6.6,6.6,6.6,15,0
RBS,5,20210215,123500,6.6,6.8,6.5,6.8,385,0
RBS,5,20210215,161500,6.7,6.7,6.7,6.7,60,0
RBS,5,20210216,092000,6.7,6.85,6.7,6.85,60,0
RBS,5,20210216,093500,6.75,6.8,6.75,6.8,365,0
RBS,5,20210216,095000,6.8,6.8,6.8,6.8,40,0
RBS,5,20210216,155500,6.7,6.8,6.3,6.8,600,0
RBS,5,20210216,160000,6.1,6.1,6.1,6.1,10,0
RBS,5,20210216,160500,6.1,6.6,6.05,6.6,510,0
RBS,5,20210216,163500,6.05,6.6,6,6.6,330,0
RBS,5,20210216,164500,6.6,6.6,6.6,6.6,100,0
RBS,5,20210217,090000,6.6,6.6,6.6,6.6,2,0
RBS,5,20210217,100500,6.5,6.5,6.05,6.5,365,0
RBS,5,20210217,104500,6.2,6.4,6.2,6.4,705,0
RBS,5,20210217,111500,6.4,6.4,6.4,6.4,25,0
RBS,5,20210217,112000,6.4,6.4,6.4,6.4,45,0
RBS,5,20210217,114000,6.45,6.6,6.45,6.6,865,0
RBS,5,20210218,091500,6.6,6.6,6.6,6.6,2,0
RBS,5,20210218,101500,6.05,6.05,6.05,6.05,100,0
RBS,5,20210218,102000,6.05,6.55,6,6.55,510,0
RBS,5,20210218,151500,6.45,6.45,6.05,6.45,360,0
RBS,5,20210219,090500,6.35,6.35,6.35,6.35,2,0
RBS,5,20210219,121500,6.1,6.1,6,6,307,0
RBS,5,20210219,122500,6.2,6.25,6.2,6.25,373,0
RBS,5,20210219,123000,6.25,6.25,6.25,6.25,2,0
RBS,5,20210219,124000,6,6.3,6,6.3,445,0
RBS,5,20210219,142000,5.95,6.2,5.55,6.2,1210,0
RBS,5,20210219,142500,5.6,5.6,5.55,5.55,6746,0
RBS,5,20210219,143000,5.95,5.95,5.95,5.95,30,0
RBS,5,20210219,144000,5.55,5.55,5.55,5.55,300,0
RBS,5,20210219,144500,5.85,5.85,5.85,5.85,150,0
RBS,5,20210219,145500,5.85,5.9,5.85,5.9,60,0
RBS,5,20210222,090000,5.55,5.55,5.5,5.5,1200,0
RBS,5,20210222,091000,5.8,5.8,5.8,5.8,10,0
RBS,5,20210222,092000,5.95,5.95,5.95,5.95,10,0
RBS,5,20210222,101000,5.85,5.85,5.85,5.85,250,0
RBS,5,20210222,101500,5.85,6,5.85,6,25,0
RBS,5,20210222,123000,5.9,5.9,5.9,5.9,260,0
RBS,5,20210222,124500,5.9,5.95,5.9,5.95,10,0
RBS,5,20210222,150500,5.9,5.9,5.9,5.9,418,0
RBS,5,20210222,151500,6,6,6,6,10,0
RBS,5,20210223,092500,6.05,6.05,6.05,6.05,1,0
RBS,5,20210223,133500,6,6.05,6,6.05,410,0
RBS,5,20210224,101500,6.2,6.2,6.2,6.2,2,0
RBS,5,20210225,091500,6.1,6.1,6.1,6.1,2,0
RBS,5,20210225,143000,6.05,6.15,6.05,6.15,563,0
RBS,5,20210225,143500,6.3,6.35,6.3,6.35,410,0
RBS,5,20210226,094500,6.2,6.2,6.2,6.2,30,0
RBS,5,20210226,104500,6.2,6.3,5.9,6.3,360,0
RBS,5,20210226,113500,6,6,6,6,25000,0
RBS,5,20210226,114500,6.3,6.3,6.3,6.3,10,0
RBS,5,20210301,091000,6.3,6.3,6.3,6.3,2,0
RBS,5,20210301,095000,6.2,6.2,6.2,6.2,2,0
RBS,5,20210302,094500,6.2,6.2,6.2,6.2,2,0
RBS,5,20210302,114500,5.95,5.95,5.9,5.9,430,0
RBS,5,20210302,115000,6.1,6.1,6.1,6.1,30,0
RBS,5,20210302,122500,6.1,6.1,6.1,6.1,5,0
RBS,5,20210302,145000,6.15,6.15,6.15,6.15,330,0
RBS,5,20210302,145500,6.3,6.3,6.3,6.3,10,0
RBS,5,20210302,154500,6.15,6.15,6.15,6.15,20,0
RBS,5,20210302,155500,6,6,6,6,335,0
RBS,5,20210302,163500,6.05,6.25,6.05,6.25,1000,0
RBS,5,20210302,164500,6.3,6.3,6.3,6.3,10,0
RBS,5,20210303,090500,6.25,6.3,6.25,6.3,170,0
RBS,5,20210303,164000,6.1,6.1,6.1,6.1,330,0
RBS,5,20210304,090000,6.3,6.3,6.3,6.3,5,0
RBS,5,20210304,092000,6.25,6.25,6.25,6.25,5,0
RBS,5,20210304,094000,6.25,6.25,6.25,6.25,300,0
RBS,5,20210305,092500,6.2,6.2,6.2,6.2,2,0
RBS,5,20210305,093500,6.05,6.15,6,6.15,395,0
RBS,5,20210308,160500,6,6,5.9,5.9,418,0
RBS,5,20210309,092000,6.05,6.15,6.05,6.15,76,0
RBS,5,20210310,091500,5.95,5.95,5.9,5.9,308,0
RBS,5,20210310,092500,5.9,5.9,5.9,5.9,65,0
RBS,5,20210310,094500,5.9,5.9,5.9,5.9,350,0
RBS,5,20210310,095000,5.9,5.9,5.9,5.9,90,0
RBS,5,20210310,095500,5.9,5.9,5.9,5.9,110,0
RBS,5,20210310,103500,5.9,5.9,5.9,5.9,300,0
RBS,5,20210310,135000,5.8,5.8,5.8,5.8,40,0
RBS,5,20210310,135500,5.95,6.3,5.95,6.3,1035,0
RBS,5,20210310,140000,6.05,6.2,5.6,6.2,520,0
