<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCA,5,20210204,090000,13,13,13,13,42,0
RCA,5,20210204,091000,12.9,12.9,12.9,12.9,46,0
RCA,5,20210204,091500,12.8,12.8,12.8,12.8,15,0
RCA,5,20210204,093000,12,12,12,12,146,0
RCA,5,20210204,093500,12,12.7,10.4,10.4,244,0
RCA,5,20210204,094000,10.4,10.4,10.4,10.4,220,0
RCA,5,20210204,094500,10.5,10.5,10.5,10.5,100,0
RCA,5,20210204,095500,10.6,10.6,10.5,10.5,150,0
RCA,5,20210204,100000,10.5,10.5,10.4,10.4,440,0
RCA,5,20210204,101500,10.4,10.4,10.4,10.4,140,0
RCA,5,20210204,102500,10.4,10.4,10.4,10.4,57,0
RCA,5,20210204,103000,10.5,10.5,10.4,10.4,350,0
RCA,5,20210204,103500,10.4,10.5,10.4,10.5,1471,0
RCA,5,20210204,104000,10.5,10.5,10.5,10.5,377,0
RCA,5,20210204,104500,10.5,10.5,10.5,10.5,75,0
RCA,5,20210204,114000,10.4,10.4,10.4,10.4,150,0
RCA,5,20210204,114500,10.4,10.4,10.4,10.4,60,0
RCA,5,20210204,115000,10.4,10.4,10.4,10.4,1,0
RCA,5,20210204,130500,10.4,10.4,10.4,10.4,128,0
RCA,5,20210204,134000,10.4,10.4,10.4,10.4,120,0
RCA,5,20210204,145000,10.4,10.4,10.4,10.4,28,0
RCA,5,20210204,154500,10.4,10.4,10.4,10.4,20,0
RCA,5,20210204,164500,10.4,10.4,10.4,10.4,30,0
RCA,5,20210205,090000,10.5,10.5,10.5,10.5,105,0
RCA,5,20210205,092500,10.5,10.5,10.5,10.5,194,0
RCA,5,20210205,095000,10,10,10,10,155,0
RCA,5,20210205,100000,10,10,9.42,9.42,250,0
RCA,5,20210205,100500,9.42,9.42,9.42,9.42,5,0
RCA,5,20210205,101000,9.4,9.4,8.4,8.4,2835,0
RCA,5,20210205,102500,9.2,9.35,9.2,9.35,170,0
RCA,5,20210205,103500,9.35,9.35,9.35,9.35,70,0
RCA,5,20210205,104500,9.35,9.35,9.35,9.35,300,0
RCA,5,20210205,105000,9,9,8.5,8.5,200,0
RCA,5,20210205,110000,8.61,8.61,8.6,8.6,575,0
RCA,5,20210205,110500,8.6,8.6,8.4,8.4,1475,0
RCA,5,20210205,114000,8.5,8.5,8.5,8.5,100,0
RCA,5,20210205,120000,8.5,8.9,8.5,8.9,260,0
RCA,5,20210205,120500,8.9,9.48,8.9,9.48,395,0
RCA,5,20210205,121000,9.49,9.49,9.49,9.49,125,0
RCA,5,20210205,123000,9.5,9.5,9.5,9.5,40,0
RCA,5,20210205,123500,8.51,8.51,8.51,8.51,45,0
RCA,5,20210205,125000,8.51,8.51,8.51,8.51,140,0
RCA,5,20210205,125500,8.51,8.51,8.5,8.5,130,0
RCA,5,20210205,135000,9.4,9.4,9.4,9.4,5,0
RCA,5,20210205,141000,9.4,9.4,9.4,9.4,200,0
RCA,5,20210205,141500,9,10.6,9,10.6,1306,0
RCA,5,20210205,143000,10.6,10.6,10.6,10.6,10,0
RCA,5,20210205,164000,10,10.55,10,10.55,200,0
RCA,5,20210205,164500,10.6,10.6,10.6,10.6,5,0
RCA,5,20210208,090000,10.4,10.6,10.4,10.6,155,0
RCA,5,20210208,092500,12.48,12.48,12.4,12.4,703,0
RCA,5,20210208,093000,12.4,12.4,12.4,12.4,150,0
RCA,5,20210208,093500,12,12,11.9,11.9,1029,0
RCA,5,20210208,094000,11.8,11.8,10.6,11.75,1112,0
RCA,5,20210208,094500,11.74,11.74,11.74,11.74,100,0
RCA,5,20210208,102000,11,11,11,11,25,0
RCA,5,20210208,103000,10.7,10.7,10.6,10.6,245,0
RCA,5,20210208,103500,10.6,10.6,10.6,10.6,175,0
RCA,5,20210208,104000,11,11,11,11,340,0
RCA,5,20210208,113500,10.85,10.85,9.2,9.2,2,0
RCA,5,20210208,115500,10.8,10.8,10.8,10.8,1,0
RCA,5,20210208,121000,10.8,10.85,10.8,10.85,181,0
RCA,5,20210208,141500,10.1,10.84,9.32,10.84,327,0
RCA,5,20210208,164500,10.84,10.84,10.83,10.83,56,0
RCA,5,20210209,090000,10.98,10.98,10.98,10.98,17,0
RCA,5,20210209,092500,9.4,9.4,9.1,9.1,487,0
