<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDG,5,20210204,090000,3.4,3.4,3.4,3.4,41,0
RDG,5,20210204,094500,3.4,3.4,3.4,3.4,300,0
RDG,5,20210204,102500,3.5,3.5,3.5,3.5,5,0
RDG,5,20210204,112500,3.4,3.4,3.4,3.4,1,0
RDG,5,20210204,120000,3.5,3.5,3.5,3.5,18,0
RDG,5,20210204,121500,3.5,3.5,3.5,3.5,18,0
RDG,5,20210204,145500,3.4,3.4,3.38,3.38,1082,0
RDG,5,20210204,154000,3.4,3.42,3.36,3.36,41,0
RDG,5,20210205,095500,3.44,3.44,3.44,3.44,20,0
RDG,5,20210205,100000,3.46,3.5,3.46,3.5,150,0
RDG,5,20210205,101000,3.5,3.56,3.5,3.56,1456,0
RDG,5,20210205,103500,3.52,3.52,3.52,3.52,1000,0
RDG,5,20210205,110500,3.52,3.52,3.5,3.5,1128,0
RDG,5,20210205,113500,3.5,3.5,3.5,3.5,600,0
RDG,5,20210205,115500,3.5,3.5,3.5,3.5,2038,0
RDG,5,20210205,120000,3.6,3.62,3.6,3.62,900,0
RDG,5,20210205,154000,3.5,3.5,3.5,3.5,100,0
RDG,5,20210205,161000,3.5,3.58,3.48,3.58,2222,0
RDG,5,20210208,090000,3.58,3.58,3.58,3.58,84,0
RDG,5,20210208,101500,3.58,3.62,3.58,3.62,2133,0
RDG,5,20210208,102000,3.64,3.76,3.64,3.76,41,0
RDG,5,20210208,105000,3.62,3.76,3.5,3.76,351,0
RDG,5,20210208,105500,3.76,3.76,3.76,3.76,386,0
RDG,5,20210208,133000,3.68,3.7,3.68,3.7,2659,0
RDG,5,20210208,155500,3.6,3.6,3.6,3.6,360,0
RDG,5,20210208,164500,3.64,3.64,3.64,3.64,78,0
RDG,5,20210209,090000,3.66,3.66,3.66,3.66,116,0
RDG,5,20210209,091500,3.68,3.7,3.68,3.7,200,0
RDG,5,20210209,094000,3.66,3.66,3.54,3.54,951,0
RDG,5,20210209,151000,3.54,3.54,3.54,3.54,22,0
RDG,5,20210209,162000,3.54,3.54,3.54,3.54,126,0
RDG,5,20210209,164000,3.6,3.62,3.6,3.62,501,0
RDG,5,20210209,164500,3.64,3.64,3.64,3.64,20,0
RDG,5,20210210,092000,3.66,3.66,3.66,3.66,300,0
RDG,5,20210210,095500,3.68,3.7,3.68,3.7,4883,0
RDG,5,20210210,100000,3.7,3.7,3.7,3.7,1439,0
RDG,5,20210210,101000,3.7,3.84,3.7,3.84,3622,0
RDG,5,20210210,101500,3.84,3.86,3.84,3.86,126,0
RDG,5,20210210,103000,3.86,3.88,3.86,3.88,610,0
RDG,5,20210210,103500,3.9,3.9,3.9,3.9,13,0
RDG,5,20210210,104000,3.9,3.9,3.9,3.9,204,0
RDG,5,20210210,105500,3.9,3.9,3.9,3.9,276,0
RDG,5,20210210,110500,3.9,3.94,3.9,3.94,1057,0
RDG,5,20210210,111000,3.86,3.96,3.86,3.96,1006,0
RDG,5,20210210,112500,3.94,3.94,3.94,3.94,235,0
RDG,5,20210210,141000,3.88,3.88,3.88,3.88,406,0
RDG,5,20210210,164500,3.82,3.82,3.82,3.82,200,0
RDG,5,20210211,090000,4,4,3.98,4,407,0
RDG,5,20210211,090500,4,4.14,4,4,2155,0
RDG,5,20210211,091000,4.14,4.14,4.14,4.14,8,0
RDG,5,20210211,091500,4.08,4.08,4.08,4.08,300,0
RDG,5,20210211,092000,4.04,4.12,4.04,4.12,255,0
RDG,5,20210211,092500,4.04,4.04,4.04,4.04,200,0
RDG,5,20210211,093500,4.04,4.04,4.04,4.04,200,0
RDG,5,20210211,094000,4.12,4.14,4.12,4.14,150,0
RDG,5,20210211,094500,4.12,4.12,4.12,4.12,30,0
RDG,5,20210211,105000,4.02,4.02,3.8,3.8,1160,0
RDG,5,20210211,105500,3.8,3.8,3.8,3.8,40,0
RDG,5,20210211,110000,4.06,4.06,4.06,4.06,1,0
RDG,5,20210211,111000,4.06,4.06,4.06,4.06,310,0
RDG,5,20210211,111500,4.1,4.1,4.1,4.1,246,0
RDG,5,20210211,121500,4.1,4.1,4.1,4.1,154,0
RDG,5,20210211,122500,4.1,4.1,4.1,4.1,346,0
RDG,5,20210211,133500,4,4,4,4,1000,0
RDG,5,20210211,141000,4.08,4.08,4.08,4.08,3,0
RDG,5,20210211,151500,4.08,4.08,4.08,4.08,297,0
RDG,5,20210211,152500,4.08,4.08,4.08,4.08,89,0
RDG,5,20210211,164500,4.06,4.06,4.06,4.06,100,0
RDG,5,20210212,090000,4.08,4.08,4.02,4.02,371,0
RDG,5,20210212,090500,4.08,4.08,4.08,4.08,7,0
RDG,5,20210212,091000,4.02,4.02,3.94,3.94,228,0
RDG,5,20210212,092500,3.92,3.92,3.9,3.9,2128,0
