<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDS,5,20210204,090000,2.15,2.15,2.15,2.15,78,0
RDS,5,20210204,093500,2.16,2.16,2.16,2.16,500,0
RDS,5,20210204,110000,2.17,2.17,2.17,2.17,3,0
RDS,5,20210204,121000,2.17,2.18,2.17,2.18,1997,0
RDS,5,20210204,121500,2.19,2.19,2.19,2.19,500,0
RDS,5,20210204,124000,2.19,2.19,2.19,2.19,83,0
RDS,5,20210204,124500,2.2,2.2,2.2,2.2,4,0
RDS,5,20210204,125000,2.2,2.23,2.2,2.23,558,0
RDS,5,20210204,125500,2.23,2.27,2.23,2.27,1108,0
RDS,5,20210204,130500,2.28,2.28,2.28,2.28,5,0
RDS,5,20210204,131500,2.28,2.28,2.28,2.28,540,0
RDS,5,20210204,132000,2.28,2.28,2.28,2.28,700,0
RDS,5,20210204,133000,2.27,2.27,2.27,2.27,1200,0
RDS,5,20210204,133500,2.28,2.28,2.28,2.28,1050,0
RDS,5,20210204,134000,2.28,2.29,2.28,2.29,2505,0
RDS,5,20210204,134500,2.3,2.37,2.3,2.37,5226,0
RDS,5,20210204,135500,2.34,2.34,2.34,2.34,454,0
RDS,5,20210204,140000,2.34,2.34,2.34,2.34,930,0
RDS,5,20210204,142000,2.34,2.34,2.34,2.34,1200,0
RDS,5,20210204,143000,2.35,2.35,2.35,2.35,400,0
RDS,5,20210204,144000,2.36,2.36,2.36,2.36,1200,0
RDS,5,20210204,145000,2.35,2.35,2.35,2.35,200,0
RDS,5,20210204,152000,2.35,2.35,2.35,2.35,80,0
RDS,5,20210204,161000,2.34,2.34,2.34,2.34,550,0
RDS,5,20210204,162500,2.31,2.31,2.3,2.3,2000,0
RDS,5,20210204,164500,2.3,2.3,2.3,2.3,450,0
RDS,5,20210205,091500,2.22,2.22,2.22,2.22,770,0
RDS,5,20210205,094000,2.22,2.22,2.22,2.22,1000,0
RDS,5,20210205,104000,2.28,2.3,2.28,2.3,382,0
RDS,5,20210205,120000,2.25,2.25,2.25,2.25,500,0
RDS,5,20210205,120500,2.24,2.24,2.24,2.24,500,0
RDS,5,20210205,162000,2.26,2.26,2.26,2.26,375,0
RDS,5,20210205,162500,2.26,2.26,2.26,2.26,355,0
RDS,5,20210205,164500,2.31,2.31,2.31,2.31,3,0
RDS,5,20210208,090000,2.24,2.24,2.21,2.21,3675,0
RDS,5,20210208,090500,2.21,2.21,2.2,2.2,6695,0
RDS,5,20210208,091000,2.16,2.2,2.13,2.2,13800,0
RDS,5,20210208,092500,2.2,2.2,2.2,2.2,2405,0
RDS,5,20210208,093500,2.2,2.2,2.2,2.2,600,0
RDS,5,20210208,095000,2.16,2.16,2.16,2.16,10200,0
RDS,5,20210208,095500,2.2,2.2,2.16,2.16,10604,0
RDS,5,20210208,105000,2.2,2.2,2.2,2.2,360,0
RDS,5,20210208,110000,2.2,2.2,2.2,2.2,1080,0
RDS,5,20210208,112000,2.16,2.16,2.12,2.12,16861,0
RDS,5,20210208,112500,2.19,2.19,2.19,2.19,1000,0
RDS,5,20210208,115500,2.19,2.19,2.19,2.19,457,0
RDS,5,20210208,122500,2.13,2.13,2.1,2.1,11010,0
RDS,5,20210208,124000,2.13,2.13,2.1,2.1,6555,0
RDS,5,20210208,130500,2.13,2.13,2.13,2.13,5500,0
RDS,5,20210208,141500,2.16,2.16,2.16,2.16,100,0
RDS,5,20210208,142000,2.16,2.17,2.16,2.17,1420,0
RDS,5,20210208,145500,2.15,2.15,2.1,2.1,9743,0
RDS,5,20210208,151500,2.11,2.11,2.1,2.1,1050,0
RDS,5,20210208,161000,2.15,2.15,2.15,2.15,1000,0
RDS,5,20210208,161500,2.17,2.18,2.17,2.18,3875,0
RDS,5,20210208,162000,2.18,2.18,2.18,2.18,400,0
RDS,5,20210208,162500,2.15,2.15,2.1,2.13,24620,0
RDS,5,20210208,163500,2.16,2.17,2.16,2.17,1400,0
RDS,5,20210209,090000,2.16,2.16,2.1,2.1,2539,0
RDS,5,20210209,092500,2.1,2.1,2.1,2.1,600,0
RDS,5,20210209,093500,2.16,2.16,2.16,2.16,200,0
RDS,5,20210209,094500,2.13,2.13,2.06,2.06,19857,0
RDS,5,20210209,100000,2.07,2.07,2.03,2.03,12780,0
