<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REM,5,20210208,110000,0.226,0.226,0.226,0.226,6900,0
REM,5,20210208,150500,0.268,0.268,0.268,0.268,43300,0
REM,5,20210208,152000,0.268,0.268,0.268,0.268,2202,0
REM,5,20210209,110500,0.268,0.268,0.268,0.268,500,0
REM,5,20210209,111000,0.268,0.268,0.268,0.268,1000,0
REM,5,20210209,150000,0.268,0.268,0.268,0.268,5010,0
REM,5,20210210,150000,0.22,0.22,0.22,0.22,8260,0
REM,5,20210210,152500,0.22,0.22,0.22,0.22,8740,0
REM,5,20210211,110000,0.23,0.23,0.23,0.23,4000,0
REM,5,20210212,110000,0.22,0.22,0.22,0.22,9730,0
REM,5,20210212,150000,0.22,0.22,0.22,0.22,500,0
REM,5,20210216,150000,0.2,0.2,0.2,0.2,9000,0
REM,5,20210216,152000,0.2,0.2,0.2,0.2,30,0
REM,5,20210217,110000,0.2,0.2,0.2,0.2,1000,0
REM,5,20210217,111000,0.2,0.2,0.2,0.2,2740,0
REM,5,20210217,111500,0.2,0.2,0.2,0.2,2260,0
REM,5,20210217,112000,0.2,0.2,0.2,0.2,5230,0
REM,5,20210218,110000,0.197,0.197,0.197,0.197,54400,0
REM,5,20210218,150000,0.196,0.196,0.196,0.196,12000,0
REM,5,20210219,110000,0.196,0.196,0.196,0.196,1523,0
REM,5,20210219,150000,0.18,0.18,0.18,0.18,5877,0
REM,5,20210223,110000,0.21,0.21,0.21,0.21,22000,0
REM,5,20210223,110500,0.21,0.21,0.21,0.21,2900,0
REM,5,20210223,112000,0.21,0.21,0.21,0.21,4900,0
REM,5,20210223,150000,0.2,0.2,0.2,0.2,44000,0
REM,5,20210223,150500,0.2,0.2,0.2,0.2,10000,0
REM,5,20210224,150000,0.2,0.2,0.2,0.2,2500,0
REM,5,20210225,110000,0.2,0.2,0.2,0.2,2000,0
REM,5,20210226,110000,0.18,0.18,0.18,0.18,4600,0
REM,5,20210226,150000,0.18,0.18,0.18,0.18,5400,0
REM,5,20210302,150000,0.2,0.2,0.2,0.2,9066,0
REM,5,20210303,110000,0.19,0.19,0.19,0.19,5000,0
REM,5,20210303,150000,0.18,0.18,0.18,0.18,2000,0
REM,5,20210304,110000,0.181,0.181,0.181,0.181,4500,0
REM,5,20210304,150000,0.18,0.18,0.18,0.18,4747,0
REM,5,20210305,150000,0.17,0.17,0.17,0.17,12606,0
REM,5,20210305,150500,0.17,0.17,0.17,0.17,2894,0
REM,5,20210305,151500,0.17,0.17,0.17,0.17,700,0
REM,5,20210308,110000,0.19,0.19,0.19,0.19,2000,0
REM,5,20210308,150000,0.156,0.156,0.156,0.156,61006,0
REM,5,20210308,150500,0.156,0.156,0.156,0.156,10000,0
REM,5,20210308,151000,0.156,0.156,0.156,0.156,40000,0
REM,5,20210308,151500,0.156,0.156,0.156,0.156,5700,0
REM,5,20210309,110000,0.164,0.164,0.164,0.164,9000,0
REM,5,20210309,110500,0.164,0.164,0.164,0.164,2274,0
REM,5,20210309,111000,0.164,0.164,0.164,0.164,3000,0
REM,5,20210309,111500,0.164,0.164,0.164,0.164,3000,0
REM,5,20210309,112000,0.164,0.164,0.164,0.164,5000,0
REM,5,20210309,150000,0.164,0.164,0.164,0.164,9726,0
REM,5,20210310,110000,0.18,0.18,0.18,0.18,31479,0
REM,5,20210310,111000,0.18,0.18,0.18,0.18,1599,0
REM,5,20210310,150000,0.18,0.18,0.18,0.18,2551,0
REM,5,20210311,110000,0.179,0.179,0.179,0.179,1000,0
REM,5,20210311,150000,0.177,0.177,0.177,0.177,8000,0
REM,5,20210312,150000,0.151,0.151,0.151,0.151,89272,0
REM,5,20210312,150500,0.151,0.151,0.151,0.151,20300,0
REM,5,20210312,151000,0.151,0.151,0.151,0.151,29400,0
REM,5,20210312,151500,0.151,0.151,0.151,0.151,21260,0
REM,5,20210312,152000,0.151,0.151,0.151,0.151,2000,0
REM,5,20210312,152500,0.151,0.151,0.151,0.151,43666,0
REM,5,20210315,110000,0.15,0.15,0.15,0.15,3202,0
REM,5,20210316,150000,0.18,0.18,0.18,0.18,20,0
REM,5,20210316,151000,0.18,0.18,0.18,0.18,2465,0
REM,5,20210316,151500,0.18,0.18,0.18,0.18,7515,0
REM,5,20210317,110000,0.17,0.17,0.17,0.17,20000,0
REM,5,20210317,150000,0.165,0.165,0.165,0.165,16200,0
REM,5,20210317,152500,0.165,0.165,0.165,0.165,11194,0
REM,5,20210318,110000,0.189,0.189,0.189,0.189,4000,0
REM,5,20210318,150000,0.19,0.19,0.19,0.19,11179,0
REM,5,20210319,110000,0.19,0.19,0.19,0.19,10025,0
REM,5,20210322,110000,0.18,0.18,0.18,0.18,7975,0
REM,5,20210322,150000,0.18,0.18,0.18,0.18,2135,0
REM,5,20210323,110000,0.15,0.15,0.15,0.15,48372,0
REM,5,20210323,110500,0.15,0.15,0.15,0.15,4262,0
REM,5,20210323,112500,0.15,0.15,0.15,0.15,2238,0
REM,5,20210323,150000,0.15,0.15,0.15,0.15,10406,0
REM,5,20210323,150500,0.15,0.15,0.15,0.15,3000,0
REM,5,20210324,110000,0.16,0.16,0.16,0.16,6250,0
REM,5,20210325,150000,0.16,0.16,0.16,0.16,3200,0
REM,5,20210325,151000,0.16,0.16,0.16,0.16,6287,0
REM,5,20210325,151500,0.16,0.16,0.16,0.16,2397,0
REM,5,20210326,112500,0.16,0.16,0.16,0.16,3000,0
REM,5,20210326,150000,0.16,0.16,0.16,0.16,2222,0
