<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROV,5,20210205,150000,0.48,0.48,0.48,0.48,2865,0
ROV,5,20210208,150000,0.48,0.48,0.48,0.48,100,0
ROV,5,20210209,110000,0.48,0.48,0.48,0.48,100,0
ROV,5,20210210,110000,0.48,0.48,0.48,0.48,100,0
ROV,5,20210210,150000,0.48,0.48,0.48,0.48,100,0
ROV,5,20210211,110000,0.52,0.52,0.52,0.52,370,0
ROV,5,20210211,110500,0.52,0.52,0.52,0.52,630,0
ROV,5,20210211,150000,0.54,0.54,0.54,0.54,25,0
ROV,5,20210212,150000,0.54,0.54,0.54,0.54,945,0
ROV,5,20210212,151000,0.54,0.54,0.54,0.54,120,0
ROV,5,20210215,150000,0.488,0.488,0.488,0.488,100,0
ROV,5,20210216,110000,0.488,0.488,0.488,0.488,100,0
ROV,5,20210217,112500,0.488,0.488,0.488,0.488,50,0
ROV,5,20210217,150000,0.488,0.488,0.488,0.488,1300,0
ROV,5,20210219,112500,0.488,0.488,0.488,0.488,100,0
ROV,5,20210223,150000,0.488,0.488,0.488,0.488,50,0
ROV,5,20210224,150000,0.488,0.488,0.488,0.488,100,0
ROV,5,20210225,110000,0.488,0.488,0.488,0.488,50,0
ROV,5,20210226,110000,0.488,0.488,0.488,0.488,715,0
ROV,5,20210301,150000,0.41,0.41,0.41,0.41,700,0
ROV,5,20210302,110000,0.38,0.38,0.38,0.38,868,0
ROV,5,20210302,150000,0.41,0.41,0.41,0.41,150,0
ROV,5,20210304,150000,0.41,0.41,0.41,0.41,100,0
ROV,5,20210305,112000,0.41,0.41,0.41,0.41,100,0
ROV,5,20210308,110000,0.42,0.42,0.42,0.42,600,0
ROV,5,20210309,110000,0.42,0.42,0.42,0.42,100,0
ROV,5,20210317,110000,0.4,0.4,0.4,0.4,100,0
ROV,5,20210318,110000,0.4,0.4,0.4,0.4,50,0
ROV,5,20210318,112000,0.4,0.4,0.4,0.4,100,0
ROV,5,20210319,110000,0.4,0.4,0.4,0.4,100,0
ROV,5,20210322,150000,0.4,0.4,0.4,0.4,100,0
ROV,5,20210323,150000,0.4,0.4,0.4,0.4,100,0
ROV,5,20210325,112500,0.4,0.4,0.4,0.4,100,0
ROV,5,20210326,150000,0.4,0.4,0.4,0.4,100,0
