<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSP,5,20210204,090000,5.22,5.58,5.22,5.58,98,0
RSP,5,20210204,101000,5.56,5.6,5.56,5.6,1654,0
RSP,5,20210204,101500,5.6,5.6,5.6,5.6,305,0
RSP,5,20210204,104500,5.72,5.72,5.72,5.72,3,0
RSP,5,20210204,130500,5.62,5.62,5.62,5.62,125,0
RSP,5,20210204,131000,5.62,5.62,5.4,5.4,2000,0
RSP,5,20210204,132000,5.4,5.4,5.4,5.4,800,0
RSP,5,20210204,140500,5.42,5.42,5.42,5.42,300,0
RSP,5,20210204,150000,5.64,5.66,5.64,5.66,125,0
RSP,5,20210204,155000,5.66,5.66,5.66,5.66,100,0
RSP,5,20210204,155500,5.66,5.66,5.66,5.66,184,0
RSP,5,20210205,090000,5.68,5.68,5.68,5.68,10,0
RSP,5,20210205,091000,5.34,5.72,5.34,5.72,472,0
RSP,5,20210205,120000,5.68,5.68,5.68,5.68,100,0
RSP,5,20210205,120500,5.7,5.72,5.7,5.72,500,0
RSP,5,20210205,121000,5.72,5.74,5.72,5.74,756,0
RSP,5,20210205,121500,5.8,5.8,5.8,5.8,5,0
RSP,5,20210205,122500,5.8,5.84,5.8,5.84,600,0
RSP,5,20210205,124500,5.84,5.88,5.84,5.88,150,0
RSP,5,20210205,141500,5.8,5.8,5.8,5.8,200,0
RSP,5,20210205,144000,5.82,5.84,5.6,5.6,3171,0
RSP,5,20210205,151500,5.8,5.82,5.8,5.82,130,0
RSP,5,20210205,152000,5.62,5.62,5.5,5.5,1000,0
RSP,5,20210205,152500,5.78,5.78,5.78,5.78,10,0
RSP,5,20210205,160500,5.52,5.52,5.48,5.48,924,0
RSP,5,20210205,161000,5.76,5.76,5.76,5.76,4,0
RSP,5,20210208,100500,5.7,5.7,5.7,5.7,87,0
RSP,5,20210208,121000,5.72,5.76,5.72,5.76,1000,0
RSP,5,20210208,153500,5.76,5.76,5.76,5.76,3,0
RSP,5,20210208,154000,5.76,5.76,5.76,5.76,180,0
RSP,5,20210208,154500,5.76,5.78,5.76,5.78,134,0
RSP,5,20210208,155000,5.78,5.78,5.78,5.78,100,0
RSP,5,20210208,164500,5.56,5.56,5.56,5.56,150,0
RSP,5,20210209,090500,5.6,5.66,5.58,5.66,1428,0
RSP,5,20210209,091000,5.76,5.82,5.76,5.82,56,0
RSP,5,20210209,091500,5.66,5.66,5.6,5.6,372,0
RSP,5,20210209,092500,5.82,5.82,5.82,5.82,40,0
RSP,5,20210209,100500,5.58,5.58,5.58,5.58,10,0
RSP,5,20210209,102000,5.82,5.82,5.82,5.82,5,0
RSP,5,20210209,105500,5.58,5.58,5.58,5.58,47,0
RSP,5,20210209,121000,5.58,5.58,5.58,5.58,500,0
RSP,5,20210209,132500,5.78,5.78,5.78,5.78,3,0
RSP,5,20210209,143500,5.58,5.58,5.58,5.58,36,0
RSP,5,20210209,163500,5.58,5.76,5.58,5.76,65,0
RSP,5,20210210,090000,5.66,5.66,5.66,5.66,200,0
RSP,5,20210210,090500,5.78,5.78,5.78,5.78,37,0
RSP,5,20210210,095000,5.78,5.78,5.78,5.78,180,0
RSP,5,20210210,120500,5.52,5.52,5.46,5.46,500,0
RSP,5,20210210,121000,5.46,5.66,5.46,5.66,1150,0
RSP,5,20210210,121500,5.48,5.66,5.48,5.66,230,0
RSP,5,20210210,122000,5.48,5.76,5.48,5.76,81,0
RSP,5,20210210,123000,5.5,5.76,5.42,5.76,501,0
RSP,5,20210210,155500,5.6,5.6,5.6,5.6,15,0
RSP,5,20210210,162500,5.74,5.74,5.74,5.74,150,0
RSP,5,20210210,163500,5.6,5.6,5.44,5.44,900,0
RSP,5,20210210,164000,5.46,5.46,5.42,5.42,1000,0
RSP,5,20210210,164500,5.44,5.7,5.44,5.7,199,0
RSP,5,20210211,093000,5.48,5.48,5.46,5.46,1000,0
RSP,5,20210211,094000,5.58,5.58,5.58,5.58,7,0
RSP,5,20210211,144000,5.52,5.52,5.5,5.5,390,0
RSP,5,20210211,152000,5.64,5.64,5.64,5.64,36,0
RSP,5,20210211,162000,5.5,5.5,5.5,5.5,500,0
RSP,5,20210211,164500,5.62,5.62,5.62,5.62,283,0
RSP,5,20210212,100000,5.5,5.5,5.5,5.5,53,0
RSP,5,20210212,103000,5.6,5.6,5.6,5.6,100,0
RSP,5,20210212,103500,5.5,5.5,5.5,5.5,1500,0
RSP,5,20210212,104500,5.5,5.5,5.5,5.5,265,0
RSP,5,20210212,115000,5.6,5.62,5.6,5.62,20,0
RSP,5,20210212,123500,5.6,5.6,5.6,5.6,500,0
RSP,5,20210212,130000,5.62,5.62,5.62,5.62,30,0
RSP,5,20210212,134500,5.5,5.5,5.5,5.5,500,0
RSP,5,20210212,135500,5.6,5.6,5.6,5.6,20,0
RSP,5,20210212,141500,5.52,5.52,5.5,5.5,600,0
RSP,5,20210212,143500,5.6,5.6,5.6,5.6,20,0
RSP,5,20210212,145500,5.5,5.5,5.5,5.5,400,0
RSP,5,20210212,154500,5.56,5.56,5.56,5.56,400,0
RSP,5,20210212,161500,5.6,5.62,5.6,5.62,550,0
RSP,5,20210212,163000,5.62,5.62,5.62,5.62,979,0
RSP,5,20210212,164000,5.62,5.66,5.62,5.66,753,0
RSP,5,20210215,090000,5.8,5.8,5.78,5.8,1065,0
RSP,5,20210215,090500,5.7,5.7,5.7,5.7,2000,0
RSP,5,20210215,091000,5.7,5.7,5.7,5.7,786,0
RSP,5,20210215,093000,5.78,5.78,5.78,5.78,95,0
RSP,5,20210215,093500,5.8,5.8,5.8,5.8,724,0
RSP,5,20210215,094000,5.8,5.8,5.7,5.7,1000,0
RSP,5,20210215,094500,5.7,5.7,5.7,5.7,500,0
RSP,5,20210215,095500,5.72,5.72,5.62,5.62,416,0
RSP,5,20210215,100000,5.64,5.64,5.62,5.62,579,0
RSP,5,20210215,100500,5.84,5.88,5.84,5.88,1730,0
RSP,5,20210215,105500,5.86,5.86,5.86,5.86,170,0
RSP,5,20210215,110500,5.86,5.9,5.86,5.9,4069,0
RSP,5,20210215,111000,5.98,5.98,5.98,5.98,317,0
RSP,5,20210215,113500,5.96,6,5.96,6,220,0
