<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S4E,5,20210205,135000,3.7,3.8,3.7,3.8,224,0
S4E,5,20210205,154000,3.6,3.6,3.6,3.6,50,0
S4E,5,20210205,160000,3.98,3.98,3.98,3.98,25,0
S4E,5,20210210,090000,3.98,3.98,3.98,3.98,50,0
S4E,5,20210210,092000,3.8,3.8,3.8,3.8,50,0
S4E,5,20210210,142500,3.9,3.98,3.9,3.98,300,0
S4E,5,20210210,152000,3.98,4.5,3.98,4.5,785,0
S4E,5,20210211,090000,4.6,4.6,4.6,4.6,190,0
S4E,5,20210211,090500,4.6,4.6,4.6,4.6,200,0
S4E,5,20210211,095000,4.6,4.6,4.6,4.6,1010,0
S4E,5,20210211,101500,4.4,4.4,4.4,4.4,160,0
S4E,5,20210211,111000,5,5,5,5,1,0
S4E,5,20210211,130000,4.8,5,4.8,5,369,0
S4E,5,20210211,130500,5,5,5,5,200,0
S4E,5,20210211,131500,5,5,5,5,89,0
S4E,5,20210211,132000,5,5,5,5,100,0
S4E,5,20210211,150000,5,5,5,5,42,0
S4E,5,20210211,153500,4.6,4.6,4.6,4.6,250,0
S4E,5,20210212,092000,5.15,5.15,5.15,5.15,1,0
S4E,5,20210212,163500,4.5,4.5,4.5,4.5,50,0
S4E,5,20210212,164500,4.5,4.5,4.5,4.5,150,0
S4E,5,20210215,100000,4.5,4.5,4.5,4.5,100,0
S4E,5,20210216,163500,5,5,5,5,3,0
S4E,5,20210218,110500,4.3,4.3,4.3,4.3,450,0
S4E,5,20210218,130500,4.3,4.3,4.3,4.3,50,0
S4E,5,20210218,150000,5,5,5,5,1,0
S4E,5,20210302,135000,4.4,4.4,3.7,3.7,360,0
S4E,5,20210302,140000,3.8,3.8,3.8,3.8,50,0
S4E,5,20210302,140500,4,4,4,4,50,0
S4E,5,20210302,142500,4.1,4.1,4.1,4.1,150,0
S4E,5,20210302,151500,3.86,3.86,3.82,3.82,140,0
S4E,5,20210302,152000,3.82,3.82,3.82,3.82,400,0
S4E,5,20210302,154000,4.2,4.4,4.2,4.4,51,0
S4E,5,20210304,135500,4.1,4.1,4,4,100,0
S4E,5,20210304,161500,4.1,4.2,4.1,4.2,51,0
S4E,5,20210305,090000,4.2,4.2,4.2,4.2,415,0
S4E,5,20210305,150500,4.4,4.5,4.2,4.2,55,0
S4E,5,20210305,151000,4.2,4.2,4.2,4.2,45,0
S4E,5,20210315,092000,4.2,4.2,4.2,4.2,250,0
S4E,5,20210315,094500,4,4,3.8,3.8,73,0
S4E,5,20210315,112500,4.1,4.1,4.1,4.1,50,0
S4E,5,20210315,122000,4.3,4.3,4.2,4.2,76,0
S4E,5,20210315,145000,4.2,4.2,4.2,4.2,120,0
S4E,5,20210316,121000,4.2,4.2,4.2,4.2,170,0
S4E,5,20210317,112000,4.1,4.1,4.1,4.1,20,0
S4E,5,20210318,090000,4.1,4.1,4.1,4.1,55,0
S4E,5,20210318,091000,4.1,4.3,4.1,4.1,600,0
S4E,5,20210318,092500,4.2,4.3,4.1,4.1,600,0
S4E,5,20210318,093500,4.2,4.3,4.1,4.1,410,0
S4E,5,20210318,112500,4.2,4.3,4.2,4.3,200,0
S4E,5,20210318,115000,4.1,4.1,4.1,4.1,180,0
S4E,5,20210318,122500,4.2,4.3,4.2,4.3,220,0
S4E,5,20210318,124000,4.3,4.4,4.1,4.1,1500,0
S4E,5,20210318,124500,4.2,4.2,4.1,4.1,1000,0
S4E,5,20210318,125000,4,4,3.5,4,527,0
S4E,5,20210318,141500,4.1,4.3,4.1,4.1,1200,0
S4E,5,20210322,164500,4.1,4.1,4.1,4.1,3000,0
S4E,5,20210323,163500,4.2,4.3,4.2,4.3,300,0
S4E,5,20210323,165500,4.1,4.1,4.1,4.1,3000,0
S4E,5,20210324,090000,4.1,4.1,4.1,4.1,2131,0
S4E,5,20210324,094000,4.1,4.1,4.1,4.1,800,0
S4E,5,20210324,120500,4.4,4.5,4.4,4.5,112,0
S4E,5,20210324,125000,4.3,4.3,4.3,4.3,50,0
S4E,5,20210324,130500,4.22,4.3,4.2,4.3,350,0
S4E,5,20210324,152000,4.22,4.22,4.2,4.2,572,0
S4E,5,20210324,165500,4.38,4.38,4.38,4.38,1,0
S4E,5,20210325,094000,4.38,4.38,4.38,4.38,320,0
S4E,5,20210325,102000,4.4,4.4,4.4,4.4,50,0
S4E,5,20210325,110000,4.5,4.5,4.5,4.5,1037,0
S4E,5,20210325,112500,4.7,4.7,4.7,4.7,100,0
S4E,5,20210325,113500,4.8,5,4.8,5,2895,0
S4E,5,20210325,114500,5.15,5.15,5,5,400,0
S4E,5,20210325,124500,4.8,4.8,4.8,4.8,50,0
S4E,5,20210325,130000,4.6,4.6,4.56,4.56,2081,0
S4E,5,20210325,131000,4.58,4.58,4.56,4.56,1000,0
S4E,5,20210325,164500,4.7,4.7,4.7,4.7,1,0
S4E,5,20210325,165500,4.7,4.7,4.7,4.7,1,0
S4E,5,20210326,134500,4.7,5,4.7,5,798,0
S4E,5,20210326,135000,5.05,5.05,5.05,5.05,502,0
S4E,5,20210326,140500,5.15,5.25,5.15,5.25,2020,0
S4E,5,20210326,145500,5.15,5.15,5.15,5.15,134,0
S4E,5,20210326,160000,5.15,5.2,5,5,800,0
S4E,5,20210326,161000,5.2,5.25,5.2,5.25,200,0
