<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCP,5,20210204,090000,142.5,142.5,142.5,142.5,18,0
SCP,5,20210204,091000,140,140,140,140,10,0
SCP,5,20210204,092500,139,139,138,138,73,0
SCP,5,20210204,093000,138.5,138.5,138.5,138.5,10,0
SCP,5,20210204,094000,138.5,139,138.5,139,12,0
SCP,5,20210204,094500,138.5,138.5,138.5,138.5,6,0
SCP,5,20210204,095000,138.5,138.5,138.5,138.5,10,0
SCP,5,20210204,095500,138.5,138.5,138.5,138.5,1,0
SCP,5,20210204,100000,138,138,138,138,25,0
SCP,5,20210204,101000,136.5,136.5,136,136,242,0
SCP,5,20210204,101500,138.5,138.5,138.5,138.5,23,0
SCP,5,20210204,103500,137,137,137,137,9,0
SCP,5,20210204,104000,137,137,136.5,136.5,66,0
SCP,5,20210204,104500,137,137,137,137,6,0
SCP,5,20210204,105000,137,138.5,137,138.5,69,0
SCP,5,20210204,105500,138.5,139,138.5,139,100,0
SCP,5,20210204,110000,137,137,137,137,7,0
SCP,5,20210204,111000,137,138.5,137,138.5,26,0
SCP,5,20210204,111500,138.5,138.5,138.5,138.5,5,0
SCP,5,20210204,112000,138.5,138.5,138.5,138.5,17,0
SCP,5,20210204,113000,139,139,139,139,10,0
SCP,5,20210204,121500,137,137,137,137,8,0
SCP,5,20210204,122000,138,138,137,137,30,0
SCP,5,20210204,131500,138,138,138,138,5,0
SCP,5,20210204,134000,138,138,138,138,5,0
SCP,5,20210204,140000,137.5,137.5,137.5,137.5,10,0
SCP,5,20210204,140500,138,138,138,138,25,0
SCP,5,20210204,145500,137.5,137.5,137.5,137.5,10,0
SCP,5,20210204,152000,137.5,137.5,137.5,137.5,11,0
SCP,5,20210204,152500,137.5,138,137.5,138,10,0
SCP,5,20210204,161500,137,137,137,137,200,0
SCP,5,20210204,162000,138,138,137,137,164,0
SCP,5,20210204,162500,137,137,136.5,136.5,27,0
SCP,5,20210204,164000,136.5,136.5,136.5,136.5,43,0
SCP,5,20210204,164500,137.5,137.5,137.5,137.5,35,0
SCP,5,20210205,090000,138,140,138,140,19,0
SCP,5,20210205,091000,139.5,139.5,139.5,139.5,3,0
SCP,5,20210205,091500,138,138,138,138,20,0
SCP,5,20210205,092500,139,139,139,139,30,0
SCP,5,20210205,093500,138,138,138,138,16,0
SCP,5,20210205,094000,138,138,138,138,6,0
SCP,5,20210205,095500,139,139,139,139,10,0
