<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDG,5,20210204,090000,17,17,17,17,2,0
SDG,5,20210204,090500,19,19,19,19,10,0
SDG,5,20210204,092000,19.8,20,19.8,20,23,0
SDG,5,20210205,090000,24,26,24,26,160,0
SDG,5,20210205,113500,27,27,27,27,347,0
SDG,5,20210205,115500,25.2,25.2,25.2,25.2,288,0
SDG,5,20210205,124000,24.8,24.8,24.8,24.8,200,0
SDG,5,20210205,125500,24.8,25,24.6,24.6,146,0
SDG,5,20210205,130500,24.6,24.6,24.6,24.6,150,0
SDG,5,20210205,132500,24.6,24.6,24.6,24.6,16,0
SDG,5,20210205,145000,20.2,20.2,20.2,20.2,50,0
SDG,5,20210205,150000,20,20,20,20,34,0
SDG,5,20210205,163500,23.8,23.8,23.8,23.8,5,0
SDG,5,20210208,090000,24,24,23.8,23.8,60,0
SDG,5,20210208,091000,23.8,23.8,23.8,23.8,16,0
SDG,5,20210208,134000,24,24,24,24,321,0
SDG,5,20210208,164500,24,24,24,24,120,0
SDG,5,20210209,090000,24.2,24.2,24.2,24.2,6,0
SDG,5,20210209,115500,24,24,24,24,234,0
SDG,5,20210209,121000,24,24,24,24,61,0
SDG,5,20210209,151000,24,24,24,24,156,0
SDG,5,20210210,092500,24.4,24.4,24.4,24.4,5,0
SDG,5,20210210,095500,24.4,24.4,24.4,24.4,101,0
SDG,5,20210210,100000,24.4,24.4,24.4,24.4,36,0
SDG,5,20210210,101500,24.4,24.4,24.4,24.4,103,0
SDG,5,20210210,103500,24.4,24.4,24.4,24.4,170,0
SDG,5,20210210,150500,24.4,24.6,24.4,24.6,110,0
SDG,5,20210210,162000,24.8,25,24.8,25,15,0
SDG,5,20210211,090000,25,25,25,25,2,0
SDG,5,20210212,115500,25,25,25,25,10,0
SDG,5,20210215,090500,25,25,25,25,1,0
SDG,5,20210215,113500,25,25,25,25,191,0
SDG,5,20210216,090000,25,25,25,25,1,0
SDG,5,20210216,092000,23.8,23.8,23.6,23.6,13,0
SDG,5,20210217,154500,23.6,23.6,23.6,23.6,12,0
SDG,5,20210217,155000,23.2,23.2,23.2,23.2,88,0
SDG,5,20210217,155500,23.2,23.2,23.2,23.2,70,0
SDG,5,20210217,160000,23.2,23.2,23.2,23.2,100,0
SDG,5,20210217,161000,23.2,23.2,23.2,23.2,96,0
SDG,5,20210218,101500,24.4,24.4,24.4,24.4,5,0
SDG,5,20210218,121500,22.8,22.8,22,22,30,0
SDG,5,20210218,140000,22,22,21,21,15,0
SDG,5,20210218,141000,21,21,21,21,10,0
SDG,5,20210218,142000,21.4,21.4,20,20,310,0
SDG,5,20210218,142500,19.6,19.6,19.6,19.6,130,0
SDG,5,20210218,143500,19,19,19,19,208,0
SDG,5,20210218,160500,20.8,20.8,20.8,20.8,1,0
SDG,5,20210219,150500,18,18,18,18,15,0
SDG,5,20210219,151000,18.1,18.1,18.1,18.1,5,0
SDG,5,20210219,152000,21.4,21.4,21.4,21.4,1,0
SDG,5,20210222,145000,20.6,20.8,20.6,20.8,250,0
SDG,5,20210222,163000,20.8,20.8,20.8,20.8,89,0
SDG,5,20210223,091500,20.2,20.2,20.2,20.2,100,0
SDG,5,20210223,113500,20.2,20.2,20.2,20.2,293,0
SDG,5,20210224,092000,20.2,20.2,20.2,20.2,5,0
SDG,5,20210224,103500,20.8,20.8,20.8,20.8,211,0
SDG,5,20210224,105500,21.2,21.2,21.2,21.2,36,0
SDG,5,20210225,101500,20.4,20.4,20.4,20.4,5,0
SDG,5,20210225,160500,20.4,21.4,20.4,21.4,193,0
SDG,5,20210225,163500,22,22,22,22,5,0
SDG,5,20210301,090000,21.2,21.2,21.2,21.2,5,0
SDG,5,20210302,091500,20.8,20.8,20.8,20.8,1,0
SDG,5,20210303,095000,19.8,19.8,19.8,19.8,5,0
SDG,5,20210303,122500,19.8,19.8,19.8,19.8,4,0
SDG,5,20210305,093500,19.8,19.8,19.8,19.8,4,0
SDG,5,20210305,102000,19.8,19.8,19.8,19.8,1,0
SDG,5,20210305,102500,19.7,19.8,19.7,19.8,65,0
SDG,5,20210305,104500,19.8,19.8,19.8,19.8,86,0
SDG,5,20210305,105500,20,20,20,20,100,0
SDG,5,20210305,110000,20,20,20,20,100,0
SDG,5,20210305,111500,20,20,20,20,95,0
SDG,5,20210305,131500,19.8,19.8,19.8,19.8,52,0
SDG,5,20210305,150000,20,20.2,20,20.2,298,0
SDG,5,20210305,160000,20.2,20.2,20.2,20.2,99,0
SDG,5,20210305,163000,20.2,20.2,20.2,20.2,146,0
SDG,5,20210308,132000,20.4,20.6,20.4,20.6,219,0
SDG,5,20210308,132500,20.6,20.6,20.6,20.6,86,0
SDG,5,20210308,133000,20.6,20.6,20.6,20.6,75,0
SDG,5,20210308,142000,20.6,20.8,20.6,20.8,329,0
SDG,5,20210308,151000,20.8,20.8,20.8,20.8,23,0
SDG,5,20210309,102000,20.4,20.4,20.4,20.4,100,0
SDG,5,20210309,102500,20.4,20.6,20.4,20.6,140,0
SDG,5,20210309,103000,20.6,20.6,20.6,20.6,100,0
SDG,5,20210309,114000,20.6,20.6,20.6,20.6,77,0
SDG,5,20210309,154500,20.6,20.6,20.6,20.6,81,0
SDG,5,20210310,093500,20.2,21,20.2,21,171,0
SDG,5,20210310,101000,21,21,21,21,5,0
SDG,5,20210310,130000,21.2,21.2,21.2,21.2,139,0
SDG,5,20210310,131500,20.6,21.2,20.6,21.2,172,0
SDG,5,20210311,090000,21.2,21.2,20.6,20.6,79,0
SDG,5,20210311,092000,21.2,21.2,21.2,21.2,172,0
SDG,5,20210311,093500,20.4,20.4,20.4,20.4,31,0
SDG,5,20210311,094000,20.4,20.4,20.4,20.4,80,0
SDG,5,20210311,101500,20.4,20.4,20.4,20.4,55,0
SDG,5,20210311,113500,20.4,20.4,20.4,20.4,65,0
SDG,5,20210311,132500,20.4,20.4,20.4,20.4,14,0
SDG,5,20210312,094000,20.2,20.4,20.2,20.4,104,0
SDG,5,20210312,112500,20.4,20.4,20.4,20.4,104,0
SDG,5,20210312,160000,20.4,20.6,20.4,20.6,200,0
SDG,5,20210312,162500,20.6,20.6,20.6,20.6,11,0
SDG,5,20210315,160000,20.4,20.8,20.4,20.8,270,0
SDG,5,20210315,160500,20.8,20.8,20.8,20.8,95,0
SDG,5,20210316,150500,20.6,20.6,20.6,20.6,329,0
SDG,5,20210318,153500,20.6,20.6,20.6,20.6,48,0
SDG,5,20210318,154000,20.6,20.6,20.6,20.6,213,0
SDG,5,20210322,095500,20.4,20.4,20.4,20.4,5,0
SDG,5,20210323,090000,20.4,20.4,20.4,20.4,10,0
SDG,5,20210324,090000,20.4,20.4,20.4,20.4,10,0
SDG,5,20210325,090000,20.4,20.4,20.4,20.4,5,0
SDG,5,20210326,092500,20.4,20.4,20.4,20.4,5,0
