<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEV,5,20210204,090500,3.5,3.5,3.5,3.5,145,0
SEV,5,20210204,091500,3.5,3.5,3.42,3.42,2212,0
SEV,5,20210204,093500,3.58,3.58,3.5,3.5,6,0
SEV,5,20210204,095000,3.58,3.58,3.58,3.58,255,0
SEV,5,20210204,100500,3.52,3.52,3.52,3.52,1,0
SEV,5,20210204,101000,3.58,3.58,3.58,3.58,1740,0
SEV,5,20210204,101500,3.6,3.6,3.6,3.6,5,0
SEV,5,20210204,102000,3.6,3.6,3.6,3.6,1595,0
SEV,5,20210204,102500,3.54,3.54,3.54,3.54,1000,0
SEV,5,20210204,105500,3.6,3.6,3.54,3.54,7299,0
SEV,5,20210204,110500,3.6,3.6,3.6,3.6,5,0
SEV,5,20210204,114500,3.6,3.6,3.6,3.6,400,0
SEV,5,20210204,122000,3.54,3.54,3.54,3.54,422,0
SEV,5,20210204,123000,3.54,3.54,3.54,3.54,1078,0
SEV,5,20210204,123500,3.58,3.58,3.58,3.58,5,0
SEV,5,20210204,124500,3.58,3.58,3.58,3.58,150,0
SEV,5,20210204,134000,3.54,3.54,3.54,3.54,411,0
SEV,5,20210204,142500,3.58,3.58,3.58,3.58,5,0
SEV,5,20210204,163000,3.58,3.58,3.58,3.58,1840,0
SEV,5,20210204,163500,3.58,3.6,3.58,3.6,863,0
SEV,5,20210205,090000,3.66,3.7,3.66,3.7,17527,0
SEV,5,20210205,090500,3.8,3.8,3.8,3.8,1600,0
SEV,5,20210205,091000,3.8,3.8,3.8,3.8,1180,0
SEV,5,20210205,091500,3.78,4,3.78,4,5171,0
SEV,5,20210205,092000,4,4,3.9,3.9,2430,0
SEV,5,20210205,092500,3.86,3.86,3.86,3.86,226,0
SEV,5,20210205,093000,3.88,3.88,3.88,3.88,300,0
SEV,5,20210205,093500,3.86,3.86,3.86,3.86,800,0
