<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFD,5,20210204,090000,3.88,3.98,3.88,3.98,270,0
SFD,5,20210204,100000,3.9,3.9,3.9,3.9,5000,0
SFD,5,20210204,111500,3.9,3.9,3.9,3.9,899,0
SFD,5,20210204,120000,4,4,4,4,100,0
SFD,5,20210204,123500,3.92,3.92,3.92,3.92,500,0
SFD,5,20210204,132000,3.96,3.96,3.96,3.96,100,0
SFD,5,20210204,134500,3.94,3.94,3.92,3.92,500,0
SFD,5,20210204,135000,3.92,3.92,3.9,3.9,886,0
SFD,5,20210204,135500,3.9,3.9,3.84,3.84,2746,0
SFD,5,20210204,143500,3.88,3.88,3.88,3.88,900,0
SFD,5,20210204,155500,3.9,3.9,3.9,3.9,459,0
SFD,5,20210204,160500,3.9,3.9,3.9,3.9,141,0
SFD,5,20210204,162500,3.94,3.94,3.94,3.94,300,0
SFD,5,20210205,090500,3.96,3.96,3.96,3.96,1,0
SFD,5,20210205,092000,3.88,3.88,3.88,3.88,100,0
SFD,5,20210205,093000,3.96,3.96,3.96,3.96,5,0
SFD,5,20210205,094000,3.88,3.88,3.88,3.88,498,0
SFD,5,20210205,095000,3.96,3.96,3.96,3.96,94,0
SFD,5,20210205,101000,3.96,4,3.96,4,1000,0
SFD,5,20210205,105500,3.94,4.02,3.94,4.02,991,0
SFD,5,20210205,124500,3.98,3.98,3.98,3.98,100,0
SFD,5,20210205,134500,3.98,3.98,3.98,3.98,6,0
SFD,5,20210205,143000,3.96,3.96,3.96,3.96,300,0
SFD,5,20210205,155500,3.96,3.96,3.96,3.96,180,0
SFD,5,20210205,161500,3.98,4.02,3.98,4.02,654,0
SFD,5,20210208,090000,4.08,4.2,4.08,4.2,2829,0
SFD,5,20210208,090500,4.2,4.2,4.2,4.2,100,0
SFD,5,20210208,092000,4.12,4.12,4.12,4.12,1,0
SFD,5,20210208,093000,4.12,4.12,4.1,4.1,4535,0
SFD,5,20210208,100000,4.16,4.16,4.16,4.16,400,0
SFD,5,20210208,103000,4.16,4.2,4.16,4.2,3842,0
SFD,5,20210208,104000,4.2,4.2,4.2,4.2,100,0
SFD,5,20210208,105000,4.26,4.26,4.26,4.26,300,0
SFD,5,20210208,105500,4.26,4.26,4.26,4.26,540,0
SFD,5,20210208,110000,4.26,4.3,4.26,4.3,2510,0
SFD,5,20210208,110500,4.28,4.28,4.28,4.28,400,0
SFD,5,20210208,111000,4.3,4.3,4.3,4.3,340,0
SFD,5,20210208,111500,4.3,4.3,4.28,4.28,848,0
SFD,5,20210208,115500,4.26,4.28,4.24,4.28,10691,0
SFD,5,20210208,120000,4.24,4.24,4.2,4.2,899,0
SFD,5,20210208,123000,4.16,4.16,4.16,4.16,1359,0
SFD,5,20210208,124500,4.16,4.16,4.16,4.16,1641,0
SFD,5,20210208,130500,4.26,4.26,4.26,4.26,1,0
SFD,5,20210208,131000,4.12,4.12,4.12,4.12,123,0
SFD,5,20210208,155000,4.2,4.2,4.2,4.2,1300,0
SFD,5,20210208,155500,4.26,4.26,4.26,4.26,233,0
SFD,5,20210208,162000,4.22,4.22,4.22,4.22,1000,0
SFD,5,20210208,162500,4.2,4.2,4.16,4.16,100,0
SFD,5,20210208,164000,4.18,4.18,4.18,4.18,1000,0
SFD,5,20210208,164500,4.26,4.26,4.26,4.26,1,0
SFD,5,20210209,090000,4.26,4.26,4.26,4.26,200,0
SFD,5,20210209,091000,4.26,4.26,4.26,4.26,1028,0
SFD,5,20210209,091500,4.26,4.26,4.26,4.26,472,0
SFD,5,20210209,092000,4.26,4.26,4.26,4.26,55,0
SFD,5,20210209,095500,4.2,4.2,4.2,4.2,25,0
SFD,5,20210209,104000,4.2,4.2,4.2,4.2,400,0
SFD,5,20210209,105000,4.2,4.2,4.18,4.18,600,0
SFD,5,20210209,111500,4.18,4.18,4.1,4.1,500,0
SFD,5,20210209,132000,4.12,4.12,4.12,4.12,541,0
SFD,5,20210209,132500,4.12,4.12,4.12,4.12,100,0
SFD,5,20210209,134500,4.12,4.12,4.12,4.12,100,0
SFD,5,20210209,135500,4.12,4.12,4.12,4.12,2518,0
SFD,5,20210209,141500,4.12,4.12,4.12,4.12,720,0
SFD,5,20210209,142500,4.12,4.12,4.12,4.12,21,0
SFD,5,20210209,144000,4.2,4.2,4.2,4.2,229,0
SFD,5,20210209,160500,4.2,4.2,4.2,4.2,171,0
SFD,5,20210209,164500,4.2,4.2,4.2,4.2,500,0
SFD,5,20210210,090000,4.26,4.26,4.26,4.26,10,0
SFD,5,20210210,093000,4.24,4.24,4.24,4.24,100,0
SFD,5,20210210,101500,4.24,4.26,4.24,4.26,900,0
SFD,5,20210210,102500,4.26,4.26,4.26,4.26,4903,0
SFD,5,20210210,111500,4.26,4.26,4.26,4.26,116,0
SFD,5,20210210,121000,4.26,4.26,4.26,4.26,2114,0
SFD,5,20210210,122000,4.28,4.28,4.28,4.28,118,0
SFD,5,20210210,133500,4.26,4.26,4.26,4.26,2350,0
SFD,5,20210210,135500,4.26,4.26,4.26,4.26,116,0
SFD,5,20210210,143500,4.26,4.26,4.26,4.26,68,0
SFD,5,20210210,155500,4.26,4.28,4.26,4.28,3248,0
SFD,5,20210210,160000,4.3,4.3,4.3,4.3,1,0
SFD,5,20210210,163500,4.3,4.3,4.3,4.3,3995,0
SFD,5,20210210,164000,4.3,4.3,4.3,4.3,1000,0
SFD,5,20210211,090000,4.3,4.3,4.3,4.3,200,0
SFD,5,20210211,091000,4.32,4.32,4.32,4.32,200,0
SFD,5,20210211,093500,4.32,4.32,4.3,4.32,2050,0
SFD,5,20210211,094000,4.3,4.3,4.3,4.3,79,0
SFD,5,20210211,110000,4.26,4.26,4.16,4.16,1355,0
SFD,5,20210211,120500,4.16,4.16,4.16,4.16,94,0
SFD,5,20210211,121500,4.18,4.18,4.18,4.18,100,0
SFD,5,20210211,124500,4.18,4.18,4.18,4.18,3500,0
SFD,5,20210211,125000,4.18,4.18,4.18,4.18,6,0
SFD,5,20210211,143000,4.16,4.16,4.16,4.16,441,0
SFD,5,20210211,144000,4.1,4.1,4.1,4.1,919,0
SFD,5,20210211,151500,4.12,4.12,4.12,4.12,5,0
SFD,5,20210211,162000,4.12,4.12,4.1,4.1,6128,0
SFD,5,20210211,162500,4.12,4.2,4.12,4.2,530,0
SFD,5,20210212,090000,4.2,4.2,4.2,4.2,545,0
SFD,5,20210212,095500,4.2,4.2,4.2,4.2,61,0
SFD,5,20210212,102500,4.2,4.2,4.2,4.2,100,0
SFD,5,20210212,115000,4.12,4.12,4.12,4.12,275,0
SFD,5,20210212,121000,4.2,4.2,4.2,4.2,20,0
SFD,5,20210212,123000,4.2,4.2,4.2,4.2,250,0
SFD,5,20210215,090000,4.38,4.68,4.3,4.58,32863,0
SFD,5,20210215,090500,4.62,4.76,4.62,4.76,6824,0
SFD,5,20210215,091000,4.78,4.94,4.76,4.9,6682,0
SFD,5,20210215,091500,4.88,4.88,4.88,4.88,1010,0
SFD,5,20210215,092000,4.86,4.86,4.58,4.58,5703,0
SFD,5,20210215,092500,4.52,4.7,4.52,4.7,4543,0
SFD,5,20210215,093000,4.7,4.72,4.7,4.72,7080,0
SFD,5,20210215,093500,4.72,4.8,4.72,4.8,3474,0
SFD,5,20210215,094000,4.84,4.84,4.76,4.76,802,0
SFD,5,20210215,094500,4.8,4.8,4.8,4.8,250,0
SFD,5,20210215,095000,4.76,4.76,4.76,4.76,450,0
SFD,5,20210215,095500,4.72,4.72,4.64,4.64,2074,0
SFD,5,20210215,100000,4.66,4.66,4.66,4.66,1830,0
SFD,5,20210215,100500,4.7,4.7,4.7,4.7,1500,0
SFD,5,20210215,101000,4.7,4.7,4.7,4.7,757,0
SFD,5,20210215,101500,4.72,4.74,4.72,4.72,2950,0
SFD,5,20210215,102000,4.74,4.74,4.74,4.74,30,0
SFD,5,20210215,102500,4.72,4.72,4.7,4.72,3000,0
SFD,5,20210215,103000,4.72,4.72,4.68,4.68,1602,0
SFD,5,20210215,103500,4.68,4.7,4.68,4.7,514,0
SFD,5,20210215,104000,4.7,4.7,4.7,4.7,250,0
SFD,5,20210215,105500,4.7,4.7,4.7,4.7,269,0
SFD,5,20210215,110000,4.7,4.7,4.7,4.7,169,0
SFD,5,20210215,110500,4.7,4.7,4.7,4.7,139,0
SFD,5,20210215,111500,4.68,4.68,4.66,4.66,500,0
SFD,5,20210215,112000,4.66,4.66,4.66,4.66,550,0
SFD,5,20210215,113500,4.7,4.7,4.7,4.7,30,0
SFD,5,20210215,114000,4.7,4.7,4.7,4.7,1000,0
SFD,5,20210215,115000,4.7,4.7,4.7,4.7,52,0
SFD,5,20210215,115500,4.72,4.72,4.72,4.72,12,0
SFD,5,20210215,121000,4.72,4.72,4.72,4.72,480,0
SFD,5,20210215,121500,4.68,4.68,4.68,4.68,462,0
SFD,5,20210215,123000,4.72,4.72,4.72,4.72,58,0
SFD,5,20210215,124500,4.74,4.74,4.74,4.74,58,0
SFD,5,20210215,125000,4.74,4.74,4.74,4.74,1,0
SFD,5,20210215,131500,4.72,4.72,4.72,4.72,9,0
SFD,5,20210215,133500,4.68,4.68,4.68,4.68,334,0
SFD,5,20210215,135000,4.68,4.68,4.68,4.68,2204,0
SFD,5,20210215,135500,4.66,4.66,4.58,4.58,9625,0
SFD,5,20210215,140500,4.58,4.58,4.56,4.58,839,0
SFD,5,20210215,141500,4.68,4.68,4.68,4.68,58,0
SFD,5,20210215,143000,4.68,4.7,4.68,4.7,99,0
SFD,5,20210215,144500,4.7,4.7,4.7,4.7,1090,0
SFD,5,20210215,145500,4.7,4.7,4.7,4.7,19,0
SFD,5,20210215,150000,4.7,4.7,4.7,4.7,1437,0
SFD,5,20210215,150500,4.7,4.7,4.7,4.7,220,0
SFD,5,20210215,151000,4.7,4.7,4.7,4.7,1270,0
SFD,5,20210215,151500,4.7,4.7,4.7,4.7,1000,0
SFD,5,20210215,152000,4.7,4.7,4.7,4.7,245,0
SFD,5,20210215,152500,4.72,4.72,4.72,4.72,2423,0
SFD,5,20210215,153000,4.72,4.72,4.72,4.72,49,0
SFD,5,20210215,155000,4.72,4.72,4.72,4.72,216,0
SFD,5,20210215,155500,4.66,4.66,4.66,4.66,2200,0
SFD,5,20210215,161500,4.62,4.62,4.62,4.62,919,0
SFD,5,20210215,162000,4.72,4.72,4.72,4.72,846,0
SFD,5,20210215,164000,4.72,4.72,4.72,4.72,630,0
SFD,5,20210215,164500,4.72,4.72,4.72,4.72,2524,0
SFD,5,20210216,090000,4.78,4.8,4.78,4.8,6917,0
SFD,5,20210216,090500,4.78,4.78,4.62,4.62,2924,0
SFD,5,20210216,091000,4.7,4.7,4.7,4.7,500,0
SFD,5,20210216,091500,4.7,4.7,4.7,4.7,155,0
SFD,5,20210216,092000,4.7,4.7,4.7,4.7,645,0
SFD,5,20210216,093000,4.62,4.62,4.62,4.62,130,0
SFD,5,20210216,093500,4.62,4.68,4.6,4.68,1035,0
SFD,5,20210216,094000,4.68,4.68,4.68,4.68,795,0
SFD,5,20210216,095500,4.7,4.7,4.7,4.7,20,0
SFD,5,20210216,100000,4.7,4.72,4.7,4.72,1955,0
SFD,5,20210216,101000,4.72,4.72,4.68,4.68,1610,0
