<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFN,5,20210204,090000,1.025,1.025,1.025,1.025,20,0
SFN,5,20210204,092000,1,1,0.99,0.99,240,0
SFN,5,20210204,101500,1.025,1.025,1.025,1.025,1448,0
SFN,5,20210204,105500,1.025,1.025,1.025,1.025,52,0
SFN,5,20210204,110500,1.025,1.025,1.025,1.025,1247,0
SFN,5,20210204,152500,1.025,1.025,1.025,1.025,500,0
SFN,5,20210205,092000,1.035,1.05,1.035,1.05,604,0
SFN,5,20210205,092500,1.04,1.05,1.04,1.05,2000,0
SFN,5,20210205,125000,1.015,1.045,1,1.045,8400,0
SFN,5,20210205,130500,1.04,1.04,1.04,1.04,2000,0
SFN,5,20210205,131000,1.045,1.045,1.045,1.045,1120,0
SFN,5,20210205,133000,1.05,1.055,1.05,1.055,1800,0
SFN,5,20210208,091000,1.055,1.055,1.055,1.055,20,0
SFN,5,20210208,115000,1.05,1.05,1.05,1.05,2000,0
SFN,5,20210208,122000,0.996,0.996,0.996,0.996,100,0
SFN,5,20210208,154500,1.05,1.05,1.05,1.05,2000,0
SFN,5,20210208,160000,0.998,0.998,0.996,0.996,4257,0
SFN,5,20210208,160500,0.994,0.994,0.97,0.97,2319,0
SFN,5,20210208,161000,1.02,1.02,1.02,1.02,200,0
SFN,5,20210209,134000,1.025,1.05,1.025,1.05,6010,0
SFN,5,20210209,152000,1.005,1.005,1.005,1.005,650,0
SFN,5,20210209,164000,1.045,1.045,1.045,1.045,10,0
SFN,5,20210210,090500,1.05,1.05,1.05,1.05,30,0
SFN,5,20210210,115500,1.05,1.055,1.05,1.055,3105,0
SFN,5,20210210,120000,1.06,1.06,1.06,1.06,200,0
SFN,5,20210210,123000,1.06,1.06,1.06,1.06,1000,0
SFN,5,20210210,123500,1.065,1.065,1.065,1.065,950,0
SFN,5,20210210,125000,1.065,1.07,1.065,1.07,1300,0
SFN,5,20210210,131500,1.07,1.095,1.07,1.095,3700,0
SFN,5,20210210,132000,1.1,1.115,1.05,1.05,1087,0
SFN,5,20210210,132500,1.08,1.08,1.08,1.08,50,0
SFN,5,20210210,133500,1.08,1.17,1.08,1.17,4169,0
SFN,5,20210210,164000,1.075,1.16,1.07,1.16,3105,0
SFN,5,20210211,090000,1.15,1.15,1.15,1.15,400,0
SFN,5,20210211,094500,1.15,1.15,1.15,1.15,300,0
SFN,5,20210211,133500,1.11,1.11,1.11,1.11,1500,0
SFN,5,20210211,151000,1.15,1.15,1.15,1.15,45,0
SFN,5,20210211,155000,1.15,1.155,1.15,1.155,1955,0
SFN,5,20210211,160000,1.155,1.155,1.155,1.155,1955,0
SFN,5,20210212,111500,1.16,1.16,1.16,1.16,200,0
SFN,5,20210215,161500,1.06,1.06,1.06,1.06,1000,0
SFN,5,20210216,091000,1.13,1.13,1.13,1.13,50,0
SFN,5,20210216,091500,1.13,1.14,1.13,1.14,1500,0
SFN,5,20210216,095500,1.08,1.08,1.08,1.08,200,0
SFN,5,20210216,100500,1.13,1.13,1.13,1.13,50,0
SFN,5,20210216,113500,1.13,1.135,1.13,1.135,2000,0
SFN,5,20210216,114000,1.135,1.17,1.135,1.165,5310,0
SFN,5,20210216,120000,1.1,1.16,1.1,1.16,321,0
SFN,5,20210216,120500,1.15,1.15,1.15,1.15,200,0
SFN,5,20210216,122500,1.12,1.12,1.12,1.12,100,0
SFN,5,20210216,125000,1.155,1.155,1.155,1.155,1000,0
SFN,5,20210216,152500,1.15,1.15,1.15,1.15,500,0
SFN,5,20210216,161500,1.15,1.15,1.15,1.15,2500,0
SFN,5,20210216,162000,1.15,1.15,1.15,1.15,936,0
SFN,5,20210217,154000,1.15,1.15,1.15,1.15,1064,0
SFN,5,20210218,090000,1.11,1.11,1.11,1.11,1490,0
