<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIM,5,20210204,090000,25.95,25.98,25.95,25.98,214,0
SIM,5,20210204,090500,25.98,25.98,25.98,25.98,30,0
SIM,5,20210204,091000,25.95,25.95,25.9,25.9,401,0
SIM,5,20210204,091500,25.89,25.89,25.89,25.89,100,0
SIM,5,20210204,093500,25.2,25.85,25,25.85,625,0
SIM,5,20210204,094500,25.48,25.48,25.48,25.48,76,0
SIM,5,20210204,100000,25.88,25.89,25.88,25.89,27,0
SIM,5,20210204,101500,25.4,25.5,25,25.5,326,0
SIM,5,20210204,102500,25,25.7,25,25.7,50,0
SIM,5,20210204,103500,25,25.7,25,25.1,440,0
SIM,5,20210204,104500,25.7,25.7,25.7,25.7,1,0
SIM,5,20210204,112500,25.06,25.06,25,25,150,0
SIM,5,20210204,115000,25.1,25.1,25,25,170,0
SIM,5,20210204,115500,24.99,24.99,24.99,24.99,120,0
SIM,5,20210204,121000,24.95,24.95,24.9,24.9,177,0
SIM,5,20210204,121500,24.9,24.9,24.5,24.51,266,0
SIM,5,20210204,125500,24.52,24.52,24.52,24.52,50,0
SIM,5,20210204,130000,24.52,24.52,24.44,24.44,418,0
SIM,5,20210204,130500,24.44,24.44,24.44,24.44,1,0
SIM,5,20210204,131500,24.24,24.24,24,24,905,0
SIM,5,20210204,132000,24,24.65,24,24.65,384,0
SIM,5,20210204,132500,24.65,24.65,24.65,24.65,25,0
SIM,5,20210204,133000,24.65,24.65,24.65,24.65,15,0
SIM,5,20210204,134000,24.65,24.74,24.65,24.74,39,0
SIM,5,20210204,134500,24.74,24.74,24.74,24.74,33,0
SIM,5,20210204,140500,24.74,24.74,24.74,24.74,3,0
SIM,5,20210204,143500,25.18,25.43,25.18,25.4,214,0
SIM,5,20210204,144000,25.4,25.5,25.4,25.48,134,0
SIM,5,20210204,150500,24.8,24.8,24.8,24.8,50,0
SIM,5,20210204,152000,24.8,24.8,24.8,24.8,132,0
SIM,5,20210204,152500,24.8,24.8,24.7,24.7,140,0
SIM,5,20210204,153000,24.65,25,24.65,25,51,0
SIM,5,20210204,155500,24.95,24.95,24.95,24.95,30,0
SIM,5,20210204,160000,24.95,24.99,24.95,24.99,56,0
SIM,5,20210204,164500,24.65,24.65,24.51,24.51,260,0
SIM,5,20210205,091000,25,25.09,25,25.09,50,0
SIM,5,20210205,091500,25.19,25.2,25.19,25.2,100,0
SIM,5,20210205,092500,24.6,24.98,24.6,24.98,8,0
SIM,5,20210205,094500,24.98,25.3,24.98,25.3,48,0
SIM,5,20210205,111000,25.2,26,25.2,26,1279,0
SIM,5,20210205,115500,25.12,25.12,25.1,25.1,101,0
SIM,5,20210205,121000,25.96,25.96,25.96,25.96,40,0
SIM,5,20210205,121500,25.96,25.96,25.96,25.96,95,0
SIM,5,20210205,125000,25.21,25.21,25.17,25.17,88,0
SIM,5,20210205,133000,25.9,25.92,25.9,25.92,57,0
SIM,5,20210205,135500,25.9,25.9,25.9,25.9,22,0
SIM,5,20210205,142500,25.9,26,25.9,26,230,0
SIM,5,20210205,144000,25.9,25.9,25.9,25.9,25,0
SIM,5,20210205,144500,25.9,25.9,25.9,25.9,9,0
SIM,5,20210205,145500,25.9,25.95,25.9,25.95,200,0
SIM,5,20210205,152000,25.17,25.17,25.12,25.12,100,0
SIM,5,20210205,153500,25.9,25.9,25.9,25.9,1,0
SIM,5,20210205,164500,25.13,25.39,25.12,25.39,152,0
SIM,5,20210208,090000,25.74,25.74,25.74,25.74,1,0
SIM,5,20210208,090500,25.6,25.6,25.39,25.39,115,0
SIM,5,20210208,091000,25.13,25.13,24.71,24.75,432,0
SIM,5,20210208,091500,24.75,24.75,24.7,24.7,179,0
SIM,5,20210208,092500,24.7,24.7,24.7,24.7,127,0
SIM,5,20210208,093000,24.53,24.53,24.53,24.53,20,0
SIM,5,20210208,095000,24.7,24.7,24.7,24.7,280,0
SIM,5,20210208,095500,24.52,24.52,24.5,24.5,122,0
SIM,5,20210208,100500,24.5,24.5,24.5,24.5,186,0
SIM,5,20210208,102000,24.7,24.7,24.7,24.7,220,0
SIM,5,20210208,102500,24.5,24.5,24.5,24.5,253,0
SIM,5,20210208,103000,24.2,24.2,24.2,24.2,256,0
SIM,5,20210208,103500,24.6,24.6,24.6,24.6,40,0
SIM,5,20210208,110000,24.2,24.44,24.2,24.44,76,0
SIM,5,20210208,111000,24.2,24.2,24.2,24.2,49,0
SIM,5,20210208,112000,24.2,24.2,24.2,24.2,16,0
SIM,5,20210208,122000,24.65,24.65,24.65,24.65,50,0
SIM,5,20210208,123500,24.64,24.65,24.64,24.65,133,0
SIM,5,20210208,124500,24.65,24.7,24.65,24.7,14,0
SIM,5,20210208,125500,24.7,24.7,24.7,24.7,20,0
