<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIN,5,20210204,090000,2.68,2.74,2.68,2.7,12244,0
SIN,5,20210204,090500,2.7,2.7,2.7,2.7,700,0
SIN,5,20210204,091000,2.68,2.7,2.68,2.7,4000,0
SIN,5,20210204,092000,2.7,2.72,2.7,2.72,11268,0
SIN,5,20210204,092500,2.72,2.74,2.72,2.72,2805,0
SIN,5,20210204,093000,2.74,2.86,2.74,2.86,32590,0
SIN,5,20210204,093500,2.86,2.86,2.82,2.84,5300,0
SIN,5,20210204,094000,2.84,3,2.84,2.96,41211,0
SIN,5,20210204,094500,2.94,2.94,2.84,2.9,11930,0
SIN,5,20210204,095000,2.9,2.94,2.9,2.9,10146,0
SIN,5,20210204,095500,2.9,3,2.84,3,57075,0
SIN,5,20210204,100000,3,3.2,3,3.12,102904,0
SIN,5,20210204,100500,3.14,3.14,3.04,3.06,35355,0
SIN,5,20210204,101000,3.08,3.12,3.04,3.1,9310,0
SIN,5,20210204,101500,3.08,3.1,3.06,3.1,9476,0
SIN,5,20210204,102000,3.08,3.1,3.02,3.02,11503,0
SIN,5,20210204,102500,3.02,3.04,3,3,14244,0
SIN,5,20210204,103000,3,3.04,2.98,3.02,9268,0
SIN,5,20210204,103500,3.02,3.06,3.02,3.06,8323,0
SIN,5,20210204,104000,3,3.1,3,3.08,9565,0
SIN,5,20210204,104500,3.08,3.1,3.08,3.08,2170,0
SIN,5,20210204,105000,3.06,3.08,3.04,3.04,13022,0
SIN,5,20210204,105500,3.02,3.04,3,3.02,5590,0
SIN,5,20210204,110000,3.04,3.08,3.04,3.08,4846,0
SIN,5,20210204,110500,3.08,3.1,3.04,3.04,9500,0
SIN,5,20210204,111000,3.06,3.08,3.06,3.06,5784,0
SIN,5,20210204,111500,3.08,3.08,3.08,3.08,1000,0
SIN,5,20210204,112000,3.08,3.1,3.08,3.1,317,0
SIN,5,20210204,112500,3.1,3.1,3.1,3.1,3824,0
SIN,5,20210204,113000,3.08,3.08,3.04,3.04,2986,0
SIN,5,20210204,113500,3.06,3.08,3.04,3.08,1700,0
SIN,5,20210204,114000,3.08,3.08,3.06,3.08,3559,0
SIN,5,20210204,114500,3.06,3.08,3.06,3.08,872,0
SIN,5,20210204,115000,3.08,3.08,3.08,3.08,1190,0
SIN,5,20210204,120000,3.08,3.12,3.08,3.12,16373,0
SIN,5,20210204,120500,3.14,3.18,3.14,3.18,32985,0
SIN,5,20210204,121000,3.16,3.2,3.16,3.2,36238,0
SIN,5,20210204,121500,3.2,3.2,3.2,3.2,15575,0
SIN,5,20210204,122500,3.26,3.32,3.22,3.24,70758,0
SIN,5,20210204,123000,3.22,3.22,3.16,3.16,18966,0
SIN,5,20210204,123500,3.14,3.14,3.14,3.14,4250,0
SIN,5,20210204,124000,3.16,3.24,3.16,3.22,12540,0
SIN,5,20210204,124500,3.22,3.28,3.22,3.28,7652,0
SIN,5,20210204,125000,3.28,3.3,3.28,3.3,4073,0
SIN,5,20210204,125500,3.28,3.28,3.18,3.2,9643,0
SIN,5,20210204,130000,3.2,3.2,3.2,3.2,1350,0
SIN,5,20210204,130500,3.2,3.24,3.2,3.24,4654,0
SIN,5,20210204,131000,3.24,3.28,3.24,3.28,3070,0
SIN,5,20210204,131500,3.28,3.28,3.26,3.26,2423,0
SIN,5,20210204,132000,3.26,3.26,3.26,3.26,2277,0
SIN,5,20210204,132500,3.28,3.4,3.26,3.4,62966,0
SIN,5,20210204,133000,3.4,3.5,3.4,3.42,42590,0
SIN,5,20210204,133500,3.44,3.46,3.36,3.46,7864,0
SIN,5,20210204,134000,3.4,3.42,3.4,3.42,5092,0
SIN,5,20210204,134500,3.46,3.48,3.42,3.48,4716,0
SIN,5,20210204,135000,3.46,3.48,3.46,3.48,5314,0
SIN,5,20210204,135500,3.44,3.6,3.44,3.5,44313,0
SIN,5,20210204,140000,3.56,3.58,3.48,3.58,15473,0
SIN,5,20210204,140500,3.52,3.58,3.52,3.58,1700,0
SIN,5,20210204,141000,3.56,3.58,3.52,3.54,20608,0
SIN,5,20210204,141500,3.58,3.68,3.54,3.66,40838,0
SIN,5,20210204,142000,3.66,3.76,3.66,3.7,50234,0
SIN,5,20210204,142500,3.7,3.7,3.6,3.6,14436,0
SIN,5,20210204,143000,3.62,3.68,3.62,3.68,3937,0
SIN,5,20210204,143500,3.64,3.64,3.58,3.62,7655,0
SIN,5,20210204,144000,3.6,3.6,3.52,3.52,11421,0
SIN,5,20210204,144500,3.56,3.66,3.42,3.66,4668,0
SIN,5,20210204,145000,3.66,3.66,3.52,3.52,2343,0
SIN,5,20210204,145500,3.5,3.6,3.5,3.54,11758,0
SIN,5,20210204,150000,3.54,3.6,3.5,3.6,11467,0
SIN,5,20210204,150500,3.56,3.56,3.54,3.54,2978,0
SIN,5,20210204,151000,3.54,3.58,3.52,3.52,5521,0
SIN,5,20210204,152000,3.54,3.58,3.54,3.56,4379,0
SIN,5,20210204,152500,3.56,3.58,3.54,3.56,1718,0
SIN,5,20210204,153000,3.54,3.54,3.52,3.54,3231,0
SIN,5,20210204,153500,3.56,3.66,3.56,3.66,10506,0
SIN,5,20210204,154000,3.66,3.78,3.66,3.78,34692,0
SIN,5,20210204,154500,3.76,3.76,3.6,3.68,19914,0
SIN,5,20210204,155000,3.72,3.72,3.72,3.72,2510,0
SIN,5,20210204,155500,3.72,3.84,3.72,3.82,100033,0
SIN,5,20210204,160000,3.8,3.84,3.76,3.84,54996,0
SIN,5,20210204,164500,4,4,4,4,93272,0
SIN,5,20210205,090000,3.96,3.96,3.62,3.62,128631,0
SIN,5,20210205,090500,3.68,3.78,3.58,3.6,32977,0
SIN,5,20210205,091000,3.58,3.58,3.18,3.4,158316,0
SIN,5,20210205,091500,3.4,3.58,3.36,3.48,59521,0
SIN,5,20210205,092000,3.46,3.6,3.46,3.5,33458,0
SIN,5,20210205,092500,3.46,3.5,3.36,3.4,39879,0
SIN,5,20210205,093000,3.4,3.58,3.4,3.58,24053,0
SIN,5,20210205,093500,3.58,3.58,3.5,3.5,3605,0
SIN,5,20210205,094000,3.48,3.54,3.48,3.54,9753,0
SIN,5,20210205,094500,3.54,3.56,3.5,3.52,8207,0
SIN,5,20210205,095000,3.52,3.52,3.4,3.44,27452,0
SIN,5,20210205,095500,3.44,3.44,3.44,3.44,4120,0
SIN,5,20210205,100000,3.44,3.48,3.44,3.48,2612,0
SIN,5,20210205,100500,3.48,3.52,3.4,3.4,19306,0
SIN,5,20210205,101000,3.42,3.42,3.36,3.36,19632,0
SIN,5,20210205,101500,3.4,3.4,3.4,3.4,468,0
SIN,5,20210205,102000,3.38,3.38,3.22,3.3,50469,0
SIN,5,20210205,102500,3.3,3.32,3.26,3.26,17196,0
SIN,5,20210205,103000,3.26,3.36,3.26,3.34,33394,0
SIN,5,20210205,103500,3.32,3.32,3.28,3.3,3062,0
SIN,5,20210205,104000,3.28,3.28,3.2,3.2,49500,0
SIN,5,20210205,104500,3.22,3.22,3.18,3.18,18991,0
SIN,5,20210205,105500,3.12,3.18,3,3.18,121300,0
SIN,5,20210205,110000,3.16,3.18,3.14,3.16,5495,0
SIN,5,20210205,110500,3.18,3.2,3.18,3.2,10112,0
SIN,5,20210205,111000,3.18,3.22,3.16,3.22,4691,0
SIN,5,20210205,111500,3.22,3.24,3.18,3.24,23155,0
SIN,5,20210205,112000,3.24,3.28,3.24,3.28,9090,0
SIN,5,20210205,112500,3.28,3.28,3.26,3.26,2110,0
SIN,5,20210205,113000,3.26,3.34,3.26,3.34,16256,0
SIN,5,20210205,113500,3.3,3.36,3.3,3.36,16174,0
SIN,5,20210205,114000,3.36,3.44,3.3,3.3,50138,0
SIN,5,20210205,114500,3.3,3.36,3.28,3.28,6469,0
SIN,5,20210205,115000,3.28,3.28,3.2,3.2,4910,0
SIN,5,20210205,115500,3.26,3.26,3.26,3.26,95,0
SIN,5,20210205,120000,3.32,3.32,3.22,3.22,2257,0
SIN,5,20210205,120500,3.22,3.3,3.22,3.3,3134,0
SIN,5,20210205,121000,3.3,3.3,3.26,3.26,2176,0
SIN,5,20210205,121500,3.24,3.24,3.22,3.22,200,0
SIN,5,20210205,122500,3.26,3.26,3.26,3.26,1150,0
SIN,5,20210205,123500,3.3,3.3,3.3,3.3,400,0
SIN,5,20210205,124000,3.3,3.3,3.3,3.3,900,0
SIN,5,20210205,124500,3.3,3.3,3.28,3.28,600,0
SIN,5,20210205,125000,3.28,3.3,3.28,3.3,510,0
SIN,5,20210205,125500,3.28,3.32,3.28,3.32,2482,0
SIN,5,20210205,130000,3.34,3.36,3.34,3.36,2811,0
SIN,5,20210205,130500,3.36,3.4,3.36,3.36,13729,0
SIN,5,20210205,131000,3.36,3.36,3.32,3.32,3505,0
SIN,5,20210205,132000,3.32,3.34,3.32,3.34,4480,0
SIN,5,20210205,132500,3.34,3.34,3.34,3.34,2280,0
SIN,5,20210205,133000,3.34,3.34,3.32,3.34,6506,0
SIN,5,20210205,133500,3.3,3.3,3.24,3.24,7390,0
SIN,5,20210205,134000,3.24,3.24,3.24,3.24,1385,0
SIN,5,20210205,134500,3.3,3.3,3.3,3.3,1230,0
SIN,5,20210205,135000,3.3,3.3,3.3,3.3,3945,0
SIN,5,20210205,135500,3.3,3.3,3.3,3.3,4931,0
SIN,5,20210205,141500,3.3,3.3,3.3,3.3,2641,0
SIN,5,20210205,142000,3.26,3.26,3.26,3.26,1147,0
SIN,5,20210205,142500,3.28,3.28,3.28,3.28,596,0
SIN,5,20210205,143000,3.28,3.28,3.24,3.24,1748,0
SIN,5,20210205,143500,3.26,3.28,3.24,3.28,1426,0
SIN,5,20210205,144000,3.28,3.28,3.28,3.28,1638,0
SIN,5,20210205,144500,3.26,3.28,3.26,3.28,1037,0
SIN,5,20210205,145000,3.26,3.28,3.26,3.28,567,0
SIN,5,20210205,145500,3.26,3.26,3.26,3.26,869,0
SIN,5,20210205,150500,3.28,3.28,3.28,3.28,800,0
SIN,5,20210205,151000,3.26,3.26,3.2,3.2,17887,0
SIN,5,20210205,151500,3.26,3.26,3.12,3.12,28155,0
SIN,5,20210205,152000,3.16,3.16,3.16,3.16,2100,0
SIN,5,20210205,152500,3.2,3.2,3.2,3.2,555,0
SIN,5,20210205,153000,3.18,3.18,3.16,3.16,3087,0
SIN,5,20210205,153500,3.16,3.18,3.16,3.16,1170,0
SIN,5,20210205,154000,3.16,3.16,3.1,3.1,14024,0
SIN,5,20210205,154500,3.1,3.1,3.1,3.1,1750,0
SIN,5,20210205,155000,3.1,3.12,3.1,3.1,2907,0
SIN,5,20210205,155500,3.12,3.12,3.12,3.12,601,0
SIN,5,20210205,160000,3.14,3.18,3.14,3.18,4739,0
SIN,5,20210205,160500,3.18,3.18,3.18,3.18,759,0
SIN,5,20210205,161000,3.14,3.16,3.12,3.14,6088,0
SIN,5,20210205,161500,3.14,3.14,3.14,3.14,4102,0
SIN,5,20210205,162000,3.14,3.16,3.14,3.16,597,0
SIN,5,20210205,162500,3.16,3.18,3.16,3.18,5390,0
SIN,5,20210205,163000,3.18,3.22,3.18,3.2,2576,0
SIN,5,20210205,163500,3.18,3.18,3.16,3.18,2900,0
SIN,5,20210205,164000,3.18,3.18,3.18,3.18,30,0
SIN,5,20210205,164500,3.18,3.18,3.12,3.12,13414,0
SIN,5,20210208,090000,3.14,3.14,3.06,3.06,9913,0
SIN,5,20210208,090500,3.06,3.06,3.04,3.06,2224,0
SIN,5,20210208,091000,3.06,3.06,3.02,3.04,5196,0
SIN,5,20210208,091500,3.06,3.1,3.06,3.1,2270,0
SIN,5,20210208,092000,3.14,3.14,3.12,3.12,1317,0
SIN,5,20210208,092500,3.12,3.12,3.1,3.1,699,0
SIN,5,20210208,093000,3.1,3.1,3.08,3.08,1300,0
SIN,5,20210208,093500,3.12,3.14,3.12,3.14,1500,0
SIN,5,20210208,094000,3.14,3.3,3.14,3.26,19103,0
SIN,5,20210208,094500,3.26,3.26,3.24,3.24,1126,0
SIN,5,20210208,095000,3.24,3.24,3.24,3.24,1374,0
SIN,5,20210208,095500,3.22,3.24,3.22,3.22,1986,0
SIN,5,20210208,100000,3.22,3.24,3.22,3.24,1941,0
SIN,5,20210208,100500,3.24,3.24,3.24,3.24,1000,0
SIN,5,20210208,101500,3.26,3.26,3.26,3.26,1261,0
SIN,5,20210208,102500,3.22,3.24,3.22,3.22,890,0
SIN,5,20210208,103000,3.2,3.2,3.18,3.18,2603,0
SIN,5,20210208,103500,3.18,3.18,3.16,3.16,939,0
SIN,5,20210208,104000,3.22,3.24,3.18,3.24,5032,0
SIN,5,20210208,105000,3.18,3.24,3.18,3.24,151,0
SIN,5,20210208,105500,3.18,3.18,3.18,3.18,400,0
SIN,5,20210208,110000,3.24,3.24,3.24,3.24,100,0
SIN,5,20210208,110500,3.24,3.24,3.24,3.24,1500,0
SIN,5,20210208,111000,3.24,3.24,3.24,3.24,71,0
SIN,5,20210208,111500,3.24,3.24,3.2,3.2,751,0
SIN,5,20210208,113000,3.22,3.22,3.22,3.22,800,0
SIN,5,20210208,113500,3.2,3.2,3.18,3.18,2311,0
SIN,5,20210208,120000,3.18,3.18,3.18,3.18,876,0
SIN,5,20210208,120500,3.2,3.2,3.2,3.2,31,0
SIN,5,20210208,123000,3.2,3.22,3.2,3.22,2650,0
SIN,5,20210208,124000,3.18,3.18,3.16,3.16,3062,0
SIN,5,20210208,124500,3.16,3.16,3.14,3.14,2200,0
SIN,5,20210208,125000,3.2,3.2,3.2,3.2,250,0
SIN,5,20210208,130000,3.16,3.16,3,3,23863,0
SIN,5,20210208,130500,3,3.08,3,3.04,20154,0
SIN,5,20210208,131000,3.1,3.1,2.98,2.98,15409,0
SIN,5,20210208,131500,3,3,2.98,3,5988,0
SIN,5,20210208,132000,3,3,3,3,2892,0
SIN,5,20210208,132500,3,3.06,3,3.06,5550,0
SIN,5,20210208,133000,3.06,3.1,3.06,3.1,5692,0
SIN,5,20210208,133500,3.06,3.1,3,3.1,10762,0
SIN,5,20210208,134500,3,3,3,3,2000,0
SIN,5,20210208,135000,3.06,3.06,3.06,3.06,1000,0
SIN,5,20210208,135500,3.06,3.06,3.06,3.06,222,0
SIN,5,20210208,140000,3.06,3.06,3.06,3.06,1320,0
SIN,5,20210208,141000,3.02,3.02,3,3,15270,0
SIN,5,20210208,141500,2.98,2.98,2.96,2.96,2249,0
SIN,5,20210208,143500,3.04,3.04,3.04,3.04,1100,0
SIN,5,20210208,144000,3.02,3.04,2.98,3.04,1998,0
SIN,5,20210208,145000,3.04,3.04,3,3,3245,0
SIN,5,20210208,150000,3.02,3.02,3.02,3.02,972,0
SIN,5,20210208,150500,2.98,2.98,2.9,2.92,35994,0
SIN,5,20210208,151000,2.92,2.96,2.92,2.96,3500,0
SIN,5,20210208,151500,2.96,3,2.96,3,4342,0
SIN,5,20210208,152000,2.96,2.96,2.96,2.96,1000,0
SIN,5,20210208,153000,2.98,2.98,2.98,2.98,600,0
SIN,5,20210208,153500,3,3,3,3,2209,0
SIN,5,20210208,154000,3,3,3,3,300,0
SIN,5,20210208,154500,2.96,2.98,2.96,2.98,678,0
SIN,5,20210208,155500,3,3,2.98,2.98,1072,0
SIN,5,20210208,160000,2.98,2.98,2.98,2.98,1700,0
SIN,5,20210208,160500,2.98,2.98,2.98,2.98,150,0
SIN,5,20210208,161000,3,3.02,3,3.02,1556,0
SIN,5,20210208,161500,2.98,3.04,2.98,3.04,132,0
SIN,5,20210208,162500,3.02,3.04,3.02,3.04,991,0
SIN,5,20210208,163000,3.02,3.02,3.02,3.02,1379,0
SIN,5,20210208,164000,3.02,3.08,3.02,3.08,10736,0
SIN,5,20210208,164500,3.08,3.14,3.08,3.14,19423,0
SIN,5,20210209,090000,3.14,3.14,3.14,3.14,774,0
SIN,5,20210209,090500,3.14,3.2,3.14,3.2,1297,0
SIN,5,20210209,091000,3.1,3.16,3,3,16139,0
SIN,5,20210209,091500,3.02,3.1,3,3.1,3787,0
SIN,5,20210209,092000,3.1,3.1,3.04,3.04,2153,0
SIN,5,20210209,092500,3.1,3.1,3.1,3.1,1338,0
SIN,5,20210209,093000,3.1,3.1,3.02,3.02,3507,0
SIN,5,20210209,093500,3.02,3.04,3.02,3.04,2280,0
SIN,5,20210209,094000,3.02,3.02,3.02,3.02,400,0
SIN,5,20210209,094500,3.04,3.04,3.02,3.02,2149,0
SIN,5,20210209,095000,3.04,3.04,3.02,3.04,2839,0
SIN,5,20210209,095500,3.04,3.04,3.04,3.04,1447,0
SIN,5,20210209,100000,3.04,3.1,3.04,3.1,1544,0
SIN,5,20210209,101000,3.1,3.1,3.1,3.1,2702,0
SIN,5,20210209,101500,3.06,3.06,3.06,3.06,25,0
SIN,5,20210209,103000,3.06,3.08,3.06,3.08,950,0
SIN,5,20210209,103500,3.08,3.08,3.08,3.08,360,0
