<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKN,5,20210205,112000,0.28,0.28,0.274,0.274,1601,0
SKN,5,20210205,112500,0.31,0.31,0.31,0.31,100,0
SKN,5,20210205,130000,0.31,0.31,0.31,0.31,650,0
SKN,5,20210205,140000,0.31,0.31,0.31,0.31,3162,0
SKN,5,20210208,091500,0.308,0.308,0.308,0.308,5000,0
SKN,5,20210208,114000,0.308,0.308,0.308,0.308,551,0
SKN,5,20210208,121000,0.308,0.308,0.308,0.308,748,0
SKN,5,20210208,153500,0.31,0.31,0.31,0.31,13000,0
SKN,5,20210209,090000,0.31,0.32,0.31,0.32,13500,0
SKN,5,20210209,090500,0.338,0.338,0.338,0.338,3000,0
SKN,5,20210209,091000,0.34,0.34,0.34,0.34,400,0
SKN,5,20210209,091500,0.338,0.338,0.338,0.338,2600,0
SKN,5,20210209,101000,0.338,0.34,0.338,0.34,3600,0
SKN,5,20210209,145500,0.34,0.34,0.34,0.34,200,0
SKN,5,20210209,150500,0.34,0.34,0.34,0.34,450,0
SKN,5,20210209,155000,0.33,0.33,0.33,0.33,3000,0
SKN,5,20210209,161000,0.33,0.34,0.33,0.34,1400,0
SKN,5,20210209,164500,0.302,0.302,0.302,0.302,40,0
SKN,5,20210210,090000,0.302,0.33,0.302,0.33,5369,0
SKN,5,20210210,091000,0.302,0.302,0.302,0.302,3391,0
SKN,5,20210210,092000,0.328,0.328,0.328,0.328,2600,0
SKN,5,20210210,094000,0.32,0.324,0.32,0.324,6900,0
SKN,5,20210210,101000,0.31,0.31,0.31,0.31,1000,0
SKN,5,20210210,102500,0.326,0.326,0.326,0.326,500,0
SKN,5,20210210,152500,0.326,0.326,0.326,0.326,4209,0
SKN,5,20210210,154500,0.326,0.33,0.326,0.33,3400,0
SKN,5,20210210,161500,0.32,0.33,0.296,0.33,7000,0
SKN,5,20210211,103500,0.328,0.33,0.328,0.33,6000,0
SKN,5,20210211,110000,0.33,0.33,0.33,0.33,3000,0
SKN,5,20210211,112000,0.316,0.33,0.312,0.33,6500,0
SKN,5,20210211,134000,0.33,0.33,0.33,0.33,3300,0
SKN,5,20210211,150000,0.314,0.33,0.312,0.33,17000,0
SKN,5,20210212,090000,0.328,0.34,0.328,0.34,4650,0
SKN,5,20210212,153500,0.336,0.392,0.336,0.392,27087,0
SKN,5,20210212,154000,0.36,0.392,0.35,0.39,23187,0
SKN,5,20210212,155500,0.38,0.384,0.38,0.384,5000,0
SKN,5,20210212,160000,0.386,0.392,0.386,0.392,32000,0
SKN,5,20210212,162000,0.408,0.438,0.408,0.438,3451,0
SKN,5,20210212,162500,0.438,0.438,0.438,0.438,1500,0
SKN,5,20210212,163500,0.42,0.42,0.42,0.42,2500,0
SKN,5,20210212,164000,0.43,0.432,0.43,0.432,2900,0
SKN,5,20210212,164500,0.432,0.458,0.432,0.458,15180,0
