<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMT,5,20210218,110000,27.1,31,27.1,31,9453,0
SMT,5,20210218,110500,31,31.5,30,30.2,1972,0
SMT,5,20210218,111000,30.1,30.875,30,30.87,458,0
SMT,5,20210218,111500,30.87,30.88,30,30.795,334,0
SMT,5,20210218,112000,30.795,30.8,30.005,30.5,197,0
SMT,5,20210218,112500,30.5,32.005,30.5,32,2860,0
SMT,5,20210218,113000,32.005,32.005,30.03,31,2785,0
SMT,5,20210218,113500,31.005,31.5,31,31.5,450,0
SMT,5,20210218,114000,31.49,31.5,31.49,31.5,130,0
SMT,5,20210218,114500,31.4,31.4,31.4,31.4,83,0
SMT,5,20210218,115000,31.3,31.4,31.3,31.4,107,0
SMT,5,20210218,120000,31.5,31.5,31.5,31.5,60,0
SMT,5,20210218,120500,31.505,31.505,31.505,31.505,100,0
SMT,5,20210218,121000,31.505,31.505,31.5,31.5,308,0
SMT,5,20210218,122500,31.74,32.5,31.74,32.5,1048,0
SMT,5,20210218,123000,32.49,32.9,31.2,31.2,1088,0
SMT,5,20210218,123500,31.205,32.895,31,32,1308,0
SMT,5,20210218,124000,32.495,32.495,32.495,32.495,32,0
SMT,5,20210218,124500,32.005,32.005,32,32,352,0
SMT,5,20210218,125000,31.995,32,31.995,32,98,0
SMT,5,20210218,131000,31.99,32,31.99,32,109,0
SMT,5,20210218,131500,31.505,31.505,31.505,31.505,10,0
SMT,5,20210218,132000,31.51,31.51,31.5,31.5,225,0
SMT,5,20210218,133000,31.5,31.5,31.5,31.5,71,0
SMT,5,20210218,133500,31.02,31.5,31,31.5,479,0
SMT,5,20210218,134000,31.5,31.5,31.5,31.5,57,0
SMT,5,20210218,134500,32.3,32.99,32.3,32.99,643,0
SMT,5,20210218,135000,32.3,32.3,32.005,32.005,49,0
SMT,5,20210218,135500,32.2,32.99,32.005,32.985,273,0
SMT,5,20210218,140000,32.01,33,32.01,33,215,0
SMT,5,20210218,141000,32.01,32.01,32.01,32.01,31,0
SMT,5,20210218,141500,32.01,32.95,32,32.95,251,0
SMT,5,20210218,142500,32.695,32.7,32.695,32.7,80,0
SMT,5,20210218,143000,32.7,32.7,31.68,31.68,261,0
SMT,5,20210218,144000,32.68,32.95,32.68,32.95,450,0
SMT,5,20210218,145500,32.94,32.95,31.5,31.5,405,0
SMT,5,20210218,150000,31.55,32,31,32,520,0
