<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNG,5,20210204,090000,0.16,0.16,0.158,0.158,49620,0
SNG,5,20210204,092000,0.165,0.166,0.165,0.166,19000,0
SNG,5,20210204,094000,0.1655,0.167,0.1655,0.167,27934,0
SNG,5,20210204,094500,0.17,0.171,0.17,0.171,5727,0
SNG,5,20210204,095000,0.17,0.17,0.17,0.17,1000,0
SNG,5,20210204,095500,0.17,0.171,0.17,0.171,18731,0
SNG,5,20210204,100000,0.172,0.175,0.172,0.175,21913,0
SNG,5,20210204,100500,0.174,0.174,0.17,0.17,49487,0
SNG,5,20210204,101000,0.174,0.18,0.174,0.18,191000,0
SNG,5,20210204,101500,0.175,0.179,0.175,0.178,91100,0
SNG,5,20210204,102000,0.171,0.176,0.1705,0.176,50488,0
SNG,5,20210204,102500,0.176,0.18,0.176,0.18,120532,0
SNG,5,20210204,103000,0.182,0.184,0.171,0.1835,79964,0
SNG,5,20210204,103500,0.184,0.184,0.178,0.183,27001,0
SNG,5,20210204,104000,0.1835,0.1835,0.1835,0.1835,21000,0
SNG,5,20210204,104500,0.183,0.1895,0.183,0.1895,137931,0
SNG,5,20210204,105000,0.189,0.189,0.18,0.18,22000,0
SNG,5,20210204,105500,0.185,0.185,0.185,0.185,6935,0
SNG,5,20210204,110000,0.1845,0.185,0.1845,0.185,13813,0
SNG,5,20210204,110500,0.185,0.1895,0.185,0.1895,73862,0
SNG,5,20210204,111000,0.189,0.1915,0.1845,0.1915,66848,0
SNG,5,20210204,111500,0.1915,0.1915,0.19,0.19,45149,0
SNG,5,20210204,112000,0.19,0.19,0.185,0.185,52022,0
SNG,5,20210204,112500,0.185,0.19,0.185,0.19,63510,0
SNG,5,20210204,113000,0.19,0.19,0.19,0.19,28757,0
SNG,5,20210204,113500,0.189,0.189,0.189,0.189,2000,0
SNG,5,20210204,114000,0.189,0.19,0.185,0.185,18800,0
SNG,5,20210204,114500,0.19,0.192,0.19,0.192,117400,0
SNG,5,20210204,115500,0.196,0.2,0.196,0.2,199876,0
SNG,5,20210204,120000,0.201,0.214,0.201,0.208,395316,0
SNG,5,20210204,120500,0.21,0.214,0.196,0.2,128498,0
SNG,5,20210204,121000,0.196,0.212,0.194,0.212,179084,0
SNG,5,20210204,121500,0.21,0.212,0.201,0.201,49543,0
SNG,5,20210204,122000,0.201,0.204,0.194,0.198,107904,0
SNG,5,20210204,122500,0.198,0.2,0.198,0.2,1355,0
SNG,5,20210204,123000,0.198,0.205,0.194,0.205,59441,0
SNG,5,20210204,123500,0.2,0.204,0.2,0.2,16229,0
SNG,5,20210204,124000,0.197,0.204,0.197,0.2,19048,0
SNG,5,20210204,124500,0.198,0.198,0.198,0.198,4500,0
SNG,5,20210204,125000,0.198,0.198,0.198,0.198,230,0
SNG,5,20210204,125500,0.198,0.198,0.196,0.198,39322,0
SNG,5,20210204,130000,0.197,0.1975,0.191,0.191,99456,0
SNG,5,20210204,130500,0.191,0.191,0.19,0.19,29925,0
SNG,5,20210204,131000,0.191,0.1975,0.189,0.1975,13696,0
SNG,5,20210204,131500,0.19,0.19,0.19,0.19,37458,0
SNG,5,20210204,132000,0.189,0.194,0.186,0.186,30006,0
SNG,5,20210204,132500,0.194,0.194,0.186,0.186,17296,0
SNG,5,20210204,133000,0.19,0.194,0.186,0.194,47592,0
SNG,5,20210204,133500,0.194,0.194,0.194,0.194,9617,0
SNG,5,20210204,134000,0.194,0.194,0.186,0.186,7019,0
SNG,5,20210204,135500,0.1925,0.195,0.1925,0.195,30200,0
SNG,5,20210204,140000,0.195,0.197,0.195,0.196,50253,0
SNG,5,20210204,140500,0.196,0.196,0.196,0.196,60,0
SNG,5,20210204,141500,0.196,0.197,0.195,0.197,24489,0
SNG,5,20210204,142000,0.1975,0.198,0.1975,0.198,17541,0
SNG,5,20210204,142500,0.1975,0.206,0.1975,0.206,239058,0
SNG,5,20210204,143000,0.208,0.212,0.205,0.209,213382,0
SNG,5,20210204,143500,0.209,0.209,0.208,0.208,14314,0
SNG,5,20210204,144000,0.204,0.208,0.2,0.2,92599,0
SNG,5,20210204,144500,0.2,0.205,0.2,0.2,80967,0
SNG,5,20210204,145000,0.2,0.2,0.2,0.2,104000,0
SNG,5,20210204,145500,0.195,0.195,0.195,0.195,97,0
SNG,5,20210204,150500,0.204,0.204,0.204,0.204,1,0
SNG,5,20210204,151000,0.196,0.203,0.196,0.203,9203,0
SNG,5,20210204,151500,0.202,0.202,0.202,0.202,6000,0
SNG,5,20210204,152000,0.202,0.202,0.2,0.2,26360,0
SNG,5,20210204,152500,0.2,0.2,0.198,0.198,5402,0
SNG,5,20210204,153000,0.202,0.224,0.202,0.223,959696,0
SNG,5,20210204,153500,0.224,0.23,0.224,0.23,340717,0
SNG,5,20210204,160000,0.23,0.23,0.23,0.23,227088,0
SNG,5,20210204,160500,0.23,0.23,0.23,0.23,25674,0
SNG,5,20210204,161000,0.23,0.23,0.225,0.23,317511,0
SNG,5,20210204,161500,0.23,0.23,0.225,0.225,179341,0
SNG,5,20210204,162000,0.225,0.229,0.21,0.226,572965,0
SNG,5,20210204,162500,0.22,0.225,0.204,0.222,198302,0
SNG,5,20210204,163000,0.214,0.218,0.214,0.216,18050,0
SNG,5,20210204,163500,0.215,0.215,0.205,0.205,24552,0
SNG,5,20210204,164000,0.208,0.21,0.204,0.204,86062,0
SNG,5,20210204,164500,0.204,0.205,0.193,0.194,368667,0
SNG,5,20210205,090000,0.197,0.2,0.195,0.2,85686,0
SNG,5,20210205,090500,0.2,0.209,0.194,0.195,140970,0
SNG,5,20210205,091000,0.199,0.199,0.191,0.191,21451,0
SNG,5,20210205,091500,0.191,0.197,0.191,0.197,10001,0
SNG,5,20210205,092000,0.1965,0.1965,0.184,0.184,93258,0
SNG,5,20210205,092500,0.19,0.2,0.19,0.2,150028,0
SNG,5,20210205,093000,0.2,0.2,0.19,0.1995,31617,0
SNG,5,20210205,093500,0.19,0.2,0.19,0.199,94878,0
SNG,5,20210205,094500,0.1915,0.199,0.191,0.199,49192,0
SNG,5,20210205,095000,0.192,0.192,0.192,0.192,4990,0
SNG,5,20210205,095500,0.192,0.1985,0.191,0.1985,15192,0
SNG,5,20210205,100000,0.198,0.198,0.187,0.187,64250,0
SNG,5,20210205,100500,0.1945,0.196,0.1945,0.195,14938,0
SNG,5,20210205,101000,0.195,0.195,0.195,0.195,11683,0
SNG,5,20210205,101500,0.1975,0.1975,0.1975,0.1975,7000,0
SNG,5,20210205,102000,0.1975,0.1995,0.1975,0.1995,86100,0
SNG,5,20210205,102500,0.195,0.195,0.195,0.195,5000,0
SNG,5,20210205,103000,0.1915,0.195,0.1915,0.195,7890,0
SNG,5,20210205,103500,0.198,0.198,0.198,0.198,14503,0
SNG,5,20210205,104000,0.198,0.198,0.198,0.198,10000,0
SNG,5,20210205,104500,0.1985,0.1985,0.1985,0.1985,54605,0
SNG,5,20210205,105000,0.199,0.199,0.199,0.199,10000,0
SNG,5,20210205,105500,0.199,0.199,0.199,0.199,1610,0
SNG,5,20210205,110000,0.199,0.206,0.199,0.206,524476,0
SNG,5,20210205,110500,0.206,0.206,0.206,0.206,61399,0
SNG,5,20210205,111000,0.205,0.205,0.205,0.205,9000,0
SNG,5,20210205,111500,0.205,0.205,0.205,0.205,100,0
SNG,5,20210205,112000,0.204,0.204,0.203,0.203,12903,0
SNG,5,20210205,112500,0.203,0.204,0.203,0.204,10000,0
SNG,5,20210205,113000,0.202,0.202,0.198,0.198,16244,0
SNG,5,20210205,113500,0.203,0.203,0.1915,0.202,6003,0
SNG,5,20210205,114000,0.202,0.206,0.202,0.205,58184,0
SNG,5,20210205,115000,0.1955,0.1955,0.189,0.189,174988,0
SNG,5,20210205,120000,0.1965,0.1965,0.1965,0.1965,1,0
SNG,5,20210205,121000,0.1975,0.1975,0.1975,0.1975,1599,0
SNG,5,20210205,121500,0.1975,0.1975,0.1975,0.1975,8401,0
SNG,5,20210205,122500,0.1985,0.199,0.1985,0.199,16000,0
SNG,5,20210205,123000,0.198,0.198,0.198,0.198,6000,0
SNG,5,20210205,124000,0.1925,0.1925,0.1925,0.1925,5000,0
SNG,5,20210205,124500,0.1925,0.1925,0.1925,0.1925,1000,0
SNG,5,20210205,125000,0.19,0.19,0.19,0.19,28637,0
SNG,5,20210205,125500,0.19,0.198,0.19,0.19,26625,0
SNG,5,20210205,130000,0.19,0.19,0.19,0.19,10000,0
SNG,5,20210205,130500,0.1905,0.1905,0.1905,0.1905,6000,0
SNG,5,20210205,131000,0.194,0.194,0.188,0.188,110636,0
SNG,5,20210205,131500,0.187,0.187,0.187,0.187,11000,0
SNG,5,20210205,132000,0.188,0.194,0.188,0.194,50357,0
SNG,5,20210205,133500,0.192,0.192,0.192,0.192,1,0
SNG,5,20210205,134500,0.188,0.188,0.188,0.188,27700,0
SNG,5,20210205,141000,0.1915,0.192,0.1915,0.192,14355,0
SNG,5,20210205,141500,0.192,0.192,0.192,0.192,1501,0
SNG,5,20210205,142000,0.1915,0.1915,0.1915,0.1915,6744,0
SNG,5,20210205,143000,0.194,0.194,0.194,0.194,1,0
SNG,5,20210205,143500,0.194,0.194,0.194,0.194,3050,0
SNG,5,20210205,144000,0.194,0.194,0.194,0.194,3450,0
SNG,5,20210205,144500,0.197,0.197,0.197,0.197,4294,0
SNG,5,20210205,145000,0.19,0.19,0.19,0.19,20000,0
SNG,5,20210205,150000,0.1965,0.1965,0.1965,0.1965,1001,0
SNG,5,20210205,150500,0.1965,0.1965,0.1965,0.1965,750,0
SNG,5,20210205,162000,0.19,0.19,0.19,0.19,64,0
SNG,5,20210205,162500,0.188,0.188,0.188,0.188,7100,0
SNG,5,20210205,163000,0.192,0.192,0.192,0.192,1,0
SNG,5,20210205,163500,0.188,0.1895,0.185,0.185,58736,0
SNG,5,20210205,164000,0.1895,0.1895,0.185,0.185,28905,0
SNG,5,20210205,164500,0.1895,0.192,0.1895,0.192,4486,0
SNG,5,20210208,090000,0.188,0.19,0.18,0.18,60284,0
SNG,5,20210208,090500,0.18,0.186,0.18,0.1805,85786,0
SNG,5,20210208,091000,0.1805,0.1805,0.1805,0.1805,4753,0
SNG,5,20210208,091500,0.181,0.181,0.178,0.181,24015,0
SNG,5,20210208,092000,0.181,0.181,0.181,0.181,21906,0
SNG,5,20210208,092500,0.181,0.181,0.18,0.1805,21010,0
SNG,5,20210208,094000,0.1805,0.1805,0.1805,0.1805,248,0
SNG,5,20210208,094500,0.18,0.185,0.18,0.185,10000,0
SNG,5,20210208,095000,0.185,0.185,0.18,0.18,4100,0
SNG,5,20210208,095500,0.184,0.186,0.184,0.186,14809,0
SNG,5,20210208,100000,0.186,0.186,0.1825,0.1825,12099,0
SNG,5,20210208,100500,0.182,0.185,0.182,0.185,10356,0
SNG,5,20210208,101000,0.1825,0.1825,0.1825,0.1825,10000,0
SNG,5,20210208,101500,0.182,0.182,0.182,0.182,1600,0
SNG,5,20210208,102000,0.1815,0.1815,0.1805,0.1805,18300,0
SNG,5,20210208,102500,0.182,0.182,0.178,0.178,55400,0
SNG,5,20210208,103000,0.178,0.178,0.178,0.178,20000,0
SNG,5,20210208,103500,0.1785,0.1825,0.175,0.1825,50111,0
SNG,5,20210208,104000,0.181,0.181,0.181,0.181,3000,0
SNG,5,20210208,105000,0.177,0.177,0.176,0.176,44558,0
SNG,5,20210208,105500,0.18,0.18,0.175,0.175,61111,0
SNG,5,20210208,110000,0.1795,0.1825,0.1795,0.1825,29889,0
SNG,5,20210208,110500,0.182,0.183,0.182,0.183,37985,0
SNG,5,20210208,111000,0.1845,0.19,0.184,0.19,34565,0
SNG,5,20210208,111500,0.19,0.1915,0.19,0.1915,29674,0
SNG,5,20210208,112000,0.1915,0.1915,0.1915,0.1915,12000,0
SNG,5,20210208,113000,0.1915,0.1915,0.1845,0.1915,5002,0
SNG,5,20210208,115000,0.1915,0.1915,0.1915,0.1915,2000,0
SNG,5,20210208,115500,0.1845,0.192,0.1845,0.192,255000,0
SNG,5,20210208,122500,0.191,0.191,0.191,0.191,2989,0
SNG,5,20210208,123500,0.191,0.191,0.191,0.191,1000,0
SNG,5,20210208,131000,0.1855,0.1855,0.1855,0.1855,4035,0
SNG,5,20210208,131500,0.185,0.185,0.185,0.185,3000,0
SNG,5,20210208,133000,0.185,0.185,0.185,0.185,2686,0
SNG,5,20210208,134000,0.1845,0.1845,0.18,0.1835,241400,0
SNG,5,20210208,134500,0.1805,0.1835,0.178,0.1835,46581,0
SNG,5,20210208,135000,0.183,0.183,0.183,0.183,12100,0
SNG,5,20210208,140000,0.183,0.183,0.1825,0.1825,2730,0
SNG,5,20210208,140500,0.177,0.177,0.174,0.174,100806,0
SNG,5,20210208,141500,0.1765,0.182,0.1765,0.182,14081,0
SNG,5,20210208,142000,0.1755,0.1815,0.1755,0.1815,10978,0
SNG,5,20210208,143000,0.1815,0.1815,0.176,0.176,26525,0
SNG,5,20210208,144000,0.18,0.18,0.18,0.18,11500,0
SNG,5,20210208,144500,0.1815,0.1815,0.1815,0.1815,10947,0
SNG,5,20210208,145500,0.178,0.1815,0.178,0.1815,22189,0
SNG,5,20210208,153000,0.177,0.177,0.177,0.177,1729,0
SNG,5,20210208,155000,0.18,0.18,0.18,0.18,2367,0
SNG,5,20210208,160000,0.18,0.18,0.18,0.18,600,0
SNG,5,20210208,160500,0.18,0.18,0.18,0.18,666,0
SNG,5,20210208,161000,0.18,0.181,0.18,0.181,9184,0
SNG,5,20210208,161500,0.18,0.18,0.18,0.18,9816,0
SNG,5,20210208,162000,0.1815,0.1815,0.1815,0.1815,10000,0
SNG,5,20210208,163000,0.1815,0.1815,0.175,0.175,302516,0
SNG,5,20210208,163500,0.175,0.176,0.17,0.176,367261,0
SNG,5,20210208,164000,0.172,0.1765,0.17,0.1765,206161,0
SNG,5,20210208,164500,0.171,0.176,0.17,0.176,140904,0
SNG,5,20210209,090000,0.172,0.172,0.172,0.172,9139,0
SNG,5,20210209,090500,0.17,0.17,0.169,0.169,25000,0
SNG,5,20210209,091000,0.168,0.1755,0.161,0.1755,148393,0
SNG,5,20210209,092000,0.17,0.17,0.17,0.17,5000,0
SNG,5,20210209,093000,0.1665,0.1745,0.166,0.1745,18166,0
SNG,5,20210209,093500,0.166,0.1745,0.166,0.1745,13711,0
SNG,5,20210209,094000,0.173,0.173,0.173,0.173,2000,0
SNG,5,20210209,094500,0.1725,0.1745,0.1725,0.174,13862,0
SNG,5,20210209,095000,0.175,0.177,0.175,0.1765,45944,0
SNG,5,20210209,095500,0.1765,0.1765,0.1755,0.1755,1243,0
SNG,5,20210209,101000,0.1675,0.1675,0.1675,0.1675,5403,0
SNG,5,20210209,103000,0.17,0.17,0.17,0.17,5000,0
SNG,5,20210209,103500,0.171,0.1745,0.169,0.1745,46345,0
SNG,5,20210209,104500,0.171,0.171,0.171,0.171,5000,0
SNG,5,20210209,105000,0.1745,0.1745,0.1745,0.1745,1000,0
SNG,5,20210209,105500,0.1745,0.1745,0.1745,0.1745,7500,0
SNG,5,20210209,110000,0.1705,0.1705,0.166,0.166,56980,0
