<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOK,5,20210204,093500,9.6,9.6,9.6,9.6,520,0
SOK,5,20210204,101000,9.6,9.6,9.52,9.52,200,0
SOK,5,20210204,104500,9.6,9.87,9.6,9.87,80,0
SOK,5,20210204,111000,9.87,9.87,9.87,9.87,82,0
SOK,5,20210204,120000,9.8,9.8,9.8,9.8,100,0
SOK,5,20210204,132500,9.87,9.87,9.87,9.87,618,0
SOK,5,20210204,135000,9.8,9.8,9.8,9.8,5,0
SOK,5,20210204,141000,9.8,9.8,9.8,9.8,35,0
SOK,5,20210204,143000,9.88,9.9,9.88,9.9,80,0
SOK,5,20210204,160000,9.8,9.8,9.7,9.7,100,0
SOK,5,20210204,161000,9.89,9.89,9.89,9.89,20,0
SOK,5,20210204,164500,9.71,9.71,9.71,9.71,20,0
SOK,5,20210205,091000,9.7,9.7,9.7,9.7,30,0
SOK,5,20210205,101000,9.63,9.63,9.52,9.52,480,0
SOK,5,20210205,110500,9.52,9.52,9.51,9.51,40,0
SOK,5,20210205,125500,9.5,9.5,9.5,9.5,60,0
SOK,5,20210205,130000,9.5,9.5,9.5,9.5,1,0
SOK,5,20210205,135500,9.68,9.7,9.68,9.7,939,0
SOK,5,20210205,145000,9.5,9.5,9.5,9.5,176,0
SOK,5,20210205,164500,9.7,9.7,9.7,9.7,100,0
SOK,5,20210208,090000,9.52,9.52,9.52,9.52,200,0
SOK,5,20210208,100000,9.69,9.7,9.69,9.7,270,0
SOK,5,20210208,101500,9.6,9.6,9.53,9.53,139,0
SOK,5,20210208,113500,9.7,9.7,9.7,9.7,51,0
SOK,5,20210208,122500,9.7,9.7,9.7,9.7,840,0
SOK,5,20210208,123500,9.79,9.79,9.79,9.79,20,0
SOK,5,20210208,144500,9.8,9.8,9.8,9.8,1000,0
SOK,5,20210208,161000,9.8,9.8,9.8,9.8,500,0
SOK,5,20210209,093500,9.6,9.6,9.6,9.6,450,0
SOK,5,20210209,131500,9.7,9.7,9.7,9.7,359,0
SOK,5,20210209,135500,9.7,9.8,9.7,9.8,276,0
SOK,5,20210209,142500,9.8,9.8,9.8,9.8,20,0
SOK,5,20210209,155000,9.7,9.7,9.7,9.7,39,0
SOK,5,20210210,091000,9.7,9.7,9.7,9.7,140,0
SOK,5,20210210,093000,9.7,9.7,9.58,9.58,200,0
SOK,5,20210210,093500,9.57,9.57,9.5,9.5,2820,0
SOK,5,20210210,100500,9.7,9.74,9.5,9.5,240,0
SOK,5,20210210,114500,9.7,9.7,9.7,9.7,20,0
SOK,5,20210210,120500,9.6,9.74,9.5,9.74,63,0
SOK,5,20210210,124000,9.7,9.7,9.7,9.7,20,0
SOK,5,20210210,125500,9.74,9.74,9.74,9.74,137,0
SOK,5,20210210,130000,9.8,9.8,9.8,9.8,218,0
SOK,5,20210210,140000,9.7,9.7,9.7,9.7,80,0
SOK,5,20210210,163500,9.58,9.58,9.5,9.5,215,0
SOK,5,20210211,101000,9.54,9.54,9.5,9.5,500,0
SOK,5,20210211,122500,9.5,9.5,9.5,9.5,478,0
SOK,5,20210211,130500,9.6,9.6,9.6,9.6,20,0
SOK,5,20210211,155000,9.6,9.6,9.6,9.6,105,0
SOK,5,20210211,161000,9.7,9.7,9.7,9.7,20,0
SOK,5,20210212,093500,9.46,9.46,9.45,9.45,1209,0
SOK,5,20210212,104500,9.7,9.7,9.7,9.7,1,0
SOK,5,20210212,121500,9.56,9.56,9.56,9.56,9,0
SOK,5,20210212,123000,9.56,9.56,9.52,9.52,204,0
SOK,5,20210212,125000,9.52,9.52,9.12,9.3,3501,0
