<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPK,5,20210209,120500,1.76,1.76,1.61,1.61,611,0
SPK,5,20210210,090000,1.6,1.6,1.6,1.6,10,0
SPK,5,20210210,102500,1.6,1.6,1.6,1.6,39,0
SPK,5,20210211,093000,1.6,1.6,1.6,1.6,635,0
SPK,5,20210212,123000,1.55,1.55,1.35,1.35,4000,0
SPK,5,20210215,111500,1.4,1.4,1.4,1.4,10,0
SPK,5,20210216,121500,1.4,1.4,1.4,1.4,10,0
SPK,5,20210219,164000,1.5,1.65,1.5,1.65,705,0
SPK,5,20210219,164500,1.8,1.8,1.8,1.8,25,0
SPK,5,20210222,094500,1.5,1.5,1.5,1.5,675,0
SPK,5,20210222,110000,1.65,1.65,1.65,1.65,325,0
SPK,5,20210222,111500,1.65,1.8,1.65,1.8,540,0
SPK,5,20210222,164500,1.85,1.85,1.85,1.85,20,0
SPK,5,20210223,093000,2.3,2.3,2.3,2.3,65,0
SPK,5,20210223,093500,2.3,2.3,2.3,2.3,35,0
SPK,5,20210223,104000,2.2,2.2,2.2,2.2,100,0
SPK,5,20210223,135500,2.2,2.4,2.2,2.4,365,0
SPK,5,20210223,152000,2.6,2.6,2.6,2.6,100,0
SPK,5,20210223,161500,2.6,2.66,2.6,2.66,950,0
SPK,5,20210223,164000,2.76,2.76,2.76,2.76,1990,0
SPK,5,20210223,164500,2.76,2.76,2.76,2.76,170,0
SPK,5,20210224,090500,2.96,3,2.96,3,635,0
SPK,5,20210224,091000,3.2,3.2,3.2,3.2,681,0
SPK,5,20210224,092000,3.4,3.4,3.4,3.4,10,0
SPK,5,20210224,092500,3.3,3.3,3.3,3.3,26,0
SPK,5,20210224,102000,3.4,3.4,3.4,3.4,230,0
SPK,5,20210224,103500,3.4,3.4,3.4,3.4,304,0
SPK,5,20210224,104000,3.3,3.3,3.3,3.3,44,0
SPK,5,20210224,135500,3,3,3,3,25,0
SPK,5,20210224,164500,3.3,3.3,3.3,3.3,2,0
SPK,5,20210225,125000,3.3,3.94,3.3,3.94,50,0
SPK,5,20210225,131000,3.94,3.94,3.94,3.94,1000,0
SPK,5,20210225,132000,3.94,3.94,3.94,3.94,18,0
SPK,5,20210225,160000,3.7,3.7,3.7,3.7,20,0
