<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPR,5,20210204,095500,175,175,175,175,1,0
SPR,5,20210204,144500,177,177,177,177,1,0
SPR,5,20210205,153500,180,180,180,180,10,0
SPR,5,20210205,164000,177,177,177,177,1,0
SPR,5,20210208,092000,177,177,177,177,1,0
SPR,5,20210209,103000,177,177,177,177,1,0
SPR,5,20210210,101000,177,177,177,177,1,0
SPR,5,20210210,123000,180,180,180,180,1,0
SPR,5,20210210,141000,180,180,180,180,4,0
SPR,5,20210210,141500,180,180,180,180,6,0
SPR,5,20210211,102500,180,180,180,180,1,0
SPR,5,20210211,103500,179,179,179,179,5,0
SPR,5,20210211,110000,182,182,182,182,5,0
SPR,5,20210211,112000,180.1,180.1,180.1,180.1,30,0
SPR,5,20210212,091000,180,191,180,191,20,0
SPR,5,20210212,093000,188,188,188,188,1,0
SPR,5,20210212,094000,188,188,188,188,6,0
SPR,5,20210212,101000,188,188,188,188,29,0
SPR,5,20210212,135500,190,190,190,190,1,0
SPR,5,20210212,150500,190,190,190,190,60,0
SPR,5,20210212,164500,190,190,190,190,31,0
SPR,5,20210215,090000,186.1,186.1,186.1,186.1,17,0
SPR,5,20210215,092500,190,190,190,190,11,0
SPR,5,20210215,114000,190,204.8,190,204.8,101,0
SPR,5,20210215,115500,200,200,196.1,196.1,11,0
SPR,5,20210215,125500,196.2,196.2,196.2,196.2,1,0
SPR,5,20210215,132000,199.6,199.6,199.6,199.6,5,0
SPR,5,20210215,135000,196,196,196,196,20,0
SPR,5,20210215,161000,197,197,197,197,12,0
SPR,5,20210216,094500,192,192,189,189,17,0
SPR,5,20210216,095500,189.98,190,189.98,190,23,0
SPR,5,20210216,151500,193,196.8,193,196.8,10,0
SPR,5,20210216,152000,196.7,196.7,196.7,196.7,10,0
SPR,5,20210216,153500,196.7,196.7,196.7,196.7,10,0
SPR,5,20210217,095500,189,189,189,189,1,0
SPR,5,20210217,101000,189,189,189,189,1,0
SPR,5,20210217,103000,189,189,189,189,7,0
SPR,5,20210217,111000,189,189,189,189,9,0
SPR,5,20210217,111500,191,191.8,191,191.8,10,0
SPR,5,20210217,121000,189,189,189,189,17,0
SPR,5,20210217,132500,187,187,187,187,1,0
SPR,5,20210217,133000,187,187,187,187,15,0
SPR,5,20210217,143500,185,185,185,185,25,0
SPR,5,20210218,134500,188,190,188,190,6,0
SPR,5,20210218,135000,194,198,194,198,68,0
SPR,5,20210218,135500,198,198,198,198,10,0
SPR,5,20210218,154500,195,195,195,195,1,0
SPR,5,20210218,164000,195,195,195,195,106,0
SPR,5,20210219,105500,195,195,195,195,1,0
SPR,5,20210219,132000,195,195,195,195,70,0
SPR,5,20210219,135000,195,195,195,195,110,0
SPR,5,20210219,140000,199.98,200,199.98,200,7,0
SPR,5,20210222,090000,200,204,200,204,101,0
SPR,5,20210222,092000,205,210,205,210,132,0
SPR,5,20210222,092500,210,210,210,210,87,0
SPR,5,20210222,100000,208,208,208,208,7,0
SPR,5,20210222,113000,213,213,213,213,1,0
