<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSK,5,20210204,095000,2.4,2.5,2.4,2.5,255,0
SSK,5,20210204,114000,2.42,2.54,2.42,2.54,2200,0
SSK,5,20210205,130000,2.5,2.5,2.5,2.5,50,0
SSK,5,20210205,130500,2.52,2.54,2.52,2.54,425,0
SSK,5,20210205,131000,2.5,2.5,2.5,2.5,50,0
SSK,5,20210205,142000,2.5,2.54,2.5,2.54,400,0
SSK,5,20210205,155000,2.5,2.5,2.5,2.5,425,0
SSK,5,20210205,160500,2.5,2.5,2.5,2.5,2000,0
SSK,5,20210205,161500,2.5,2.5,2.5,2.5,1675,0
SSK,5,20210208,090500,2.46,2.46,2.46,2.46,1,0
SSK,5,20210208,092000,2.46,2.46,2.46,2.46,360,0
SSK,5,20210208,131000,2.36,2.36,2.34,2.34,1770,0
SSK,5,20210208,131500,2.34,2.34,2.34,2.34,683,0
SSK,5,20210208,132000,2.34,2.34,2.1,2.1,7427,0
SSK,5,20210208,132500,2.24,2.24,2.24,2.24,50,0
SSK,5,20210208,133000,2.3,2.3,2.3,2.3,50,0
SSK,5,20210208,135000,2.38,2.38,2.38,2.38,480,0
SSK,5,20210208,145000,2.3,2.3,2.14,2.14,19597,0
SSK,5,20210208,145500,2.14,2.14,2.14,2.14,3260,0
SSK,5,20210208,150500,2.16,2.16,2.16,2.16,1026,0
SSK,5,20210208,162500,2.34,2.38,2.34,2.38,250,0
SSK,5,20210208,164500,2.38,2.42,2.38,2.42,70,0
SSK,5,20210209,114000,2.2,2.2,2.2,2.2,1,0
SSK,5,20210209,114500,2.4,2.42,2.4,2.42,55,0
SSK,5,20210209,140000,2.4,2.42,2.4,2.42,115,0
SSK,5,20210209,164500,2.24,2.24,2.24,2.24,1,0
SSK,5,20210210,090000,2.12,2.32,2.12,2.32,1010,0
SSK,5,20210210,101500,2.14,2.14,2.14,2.14,1,0
SSK,5,20210210,103500,2.3,2.3,2.3,2.3,1,0
SSK,5,20210210,111500,2.18,2.4,2.16,2.4,3200,0
SSK,5,20210210,112000,2.38,2.4,2.38,2.4,500,0
SSK,5,20210210,113500,2.42,2.42,2.42,2.42,10,0
SSK,5,20210210,114500,2.42,2.46,2.42,2.46,2400,0
SSK,5,20210210,115000,2.46,2.46,2.46,2.46,1000,0
SSK,5,20210210,151500,2.46,2.46,2.46,2.46,700,0
SSK,5,20210210,152000,2.46,2.48,2.46,2.48,320,0
SSK,5,20210210,164500,2.2,2.2,2.2,2.2,1,0
SSK,5,20210211,090500,2.24,2.24,2.22,2.22,150,0
SSK,5,20210211,092000,2.4,2.44,2.4,2.44,155,0
SSK,5,20210211,093000,2.44,2.46,2.44,2.46,750,0
SSK,5,20210211,120500,2.3,2.46,2.3,2.46,251,0
SSK,5,20210211,141500,2.46,2.46,2.46,2.46,700,0
SSK,5,20210211,143500,2.46,2.46,2.46,2.46,5,0
SSK,5,20210211,162500,2.44,2.46,2.44,2.46,300,0
SSK,5,20210211,163500,2.3,2.46,2.26,2.46,426,0
SSK,5,20210212,090000,2.46,2.46,2.46,2.46,404,0
SSK,5,20210212,091000,2.3,2.46,2.3,2.46,441,0
SSK,5,20210212,120500,2.3,2.46,2.3,2.46,456,0
SSK,5,20210215,090500,2.32,2.32,2.3,2.3,1425,0
SSK,5,20210215,093000,2.26,2.26,2.24,2.24,950,0
SSK,5,20210215,094500,2.2,2.2,2.16,2.16,1997,0
SSK,5,20210215,100000,2.24,2.24,2.24,2.24,50,0
SSK,5,20210215,100500,2.24,2.24,2.24,2.24,50,0
SSK,5,20210215,101500,2.2,2.2,2.2,2.2,2500,0
SSK,5,20210215,104500,2.2,2.26,2.2,2.26,600,0
SSK,5,20210215,115500,2.2,2.2,2.2,2.2,500,0
SSK,5,20210215,121000,2.2,2.2,2.2,2.2,630,0
SSK,5,20210215,132500,2.2,2.2,2.2,2.2,300,0
SSK,5,20210215,133000,2.18,2.18,2.18,2.18,520,0
SSK,5,20210215,133500,2.16,2.16,2.16,2.16,705,0
SSK,5,20210215,135000,2.16,2.32,2.14,2.32,1860,0
SSK,5,20210215,135500,2.14,2.14,2.14,2.14,1,0
SSK,5,20210215,144500,2.14,2.14,2.1,2.1,13486,0
SSK,5,20210215,145000,2.08,2.08,2.08,2.08,518,0
SSK,5,20210215,150500,2.1,2.1,2.1,2.1,3555,0
SSK,5,20210215,151500,2.08,2.08,2.08,2.08,3982,0
SSK,5,20210215,153000,2.04,2.04,2.04,2.04,2650,0
SSK,5,20210215,154500,2.08,2.08,2.06,2.06,2000,0
SSK,5,20210215,155500,2.16,2.16,2.16,2.16,150,0
SSK,5,20210215,161000,2.06,2.14,2.06,2.14,1178,0
SSK,5,20210215,161500,2.14,2.16,2.14,2.16,2848,0
SSK,5,20210215,164500,2.18,2.2,2.18,2.2,300,0
SSK,5,20210216,090000,2.22,2.22,2.08,2.08,3665,0
SSK,5,20210216,090500,2.06,2.06,2.04,2.04,120,0
SSK,5,20210216,091000,2.06,2.06,2.04,2.04,3930,0
SSK,5,20210216,093500,2.26,2.28,2.26,2.28,809,0
SSK,5,20210216,100500,2.08,2.08,2,2,10000,0
SSK,5,20210216,104500,2,2.18,2,2.18,2000,0
SSK,5,20210216,110500,2.1,2.1,2.1,2.1,1350,0
SSK,5,20210216,111000,2.18,2.18,2.18,2.18,400,0
SSK,5,20210216,112500,2.06,2.06,2.02,2.02,1250,0
SSK,5,20210216,113000,2.14,2.16,2.14,2.16,100,0
SSK,5,20210216,120500,2.04,2.04,2,2,5000,0
SSK,5,20210216,122000,2.14,2.16,2.14,2.16,100,0
SSK,5,20210216,130500,2.02,2.02,2.02,2.02,500,0
SSK,5,20210216,144000,2.06,2.06,2.06,2.06,33,0
SSK,5,20210216,160500,2.06,2.06,2.06,2.06,1500,0
SSK,5,20210216,164000,2.1,2.14,2.1,2.14,70,0
SSK,5,20210217,113000,2.1,2.12,2.1,2.12,553,0
SSK,5,20210217,134500,2.12,2.14,2.12,2.14,1940,0
SSK,5,20210217,150500,2.14,2.14,2.14,2.14,500,0
SSK,5,20210217,155500,2.12,2.12,2.12,2.12,1400,0
SSK,5,20210217,160000,2.14,2.14,2.14,2.14,724,0
SSK,5,20210218,090000,2.14,2.14,2.14,2.14,460,0
SSK,5,20210218,093000,2.14,2.16,2.14,2.16,540,0
SSK,5,20210218,093500,2.16,2.16,2.16,2.16,710,0
SSK,5,20210218,095000,2.16,2.16,2.16,2.16,290,0
SSK,5,20210218,095500,2.18,2.18,2.18,2.18,463,0
SSK,5,20210218,100000,2.18,2.18,2.18,2.18,537,0
SSK,5,20210218,100500,2.22,2.28,2.22,2.28,1050,0
SSK,5,20210218,105500,2.26,2.26,2.26,2.26,900,0
SSK,5,20210218,111500,2.2,2.2,2.2,2.2,500,0
SSK,5,20210218,112500,2.26,2.28,2.2,2.2,4492,0
SSK,5,20210218,113000,2.2,2.2,2.2,2.2,2349,0
SSK,5,20210218,114000,2.3,2.3,2.3,2.3,50,0
SSK,5,20210218,114500,2.3,2.3,2.3,2.3,650,0
SSK,5,20210218,115500,2.34,2.34,2.34,2.34,1300,0
SSK,5,20210218,120000,2.38,2.38,2.38,2.38,50,0
SSK,5,20210218,120500,2.38,2.38,2.38,2.38,1950,0
SSK,5,20210218,121500,2.38,2.38,2.38,2.38,1000,0
SSK,5,20210218,123000,2.38,2.38,2.38,2.38,1000,0
