<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUN,5,20210204,090000,1.4,1.4,1.4,1.4,5625,0
SUN,5,20210204,091500,1.4,1.45,1.4,1.45,300,0
SUN,5,20210204,094500,1.35,1.35,1.35,1.35,29000,0
SUN,5,20210204,095000,1.41,1.41,1.41,1.41,5,0
SUN,5,20210204,100000,1.4,1.4,1.4,1.4,1100,0
SUN,5,20210204,111000,1.35,1.35,1.35,1.35,400,0
SUN,5,20210204,115500,1.35,1.35,1.35,1.35,162,0
SUN,5,20210204,124500,1.35,1.35,1.35,1.35,638,0
SUN,5,20210204,125000,1.35,1.36,1.35,1.36,400,0
SUN,5,20210204,152500,1.35,1.35,1.35,1.35,100,0
SUN,5,20210204,153000,1.35,1.35,1.35,1.35,10,0
SUN,5,20210204,154000,1.34,1.34,1.34,1.34,190,0
SUN,5,20210204,161000,1.34,1.34,1.34,1.34,1810,0
SUN,5,20210204,164500,1.36,1.36,1.36,1.36,5,0
SUN,5,20210205,092500,1.39,1.39,1.39,1.39,5,0
SUN,5,20210205,093500,1.39,1.39,1.39,1.39,200,0
SUN,5,20210205,100000,1.38,1.38,1.38,1.38,744,0
SUN,5,20210205,160500,1.35,1.37,1.35,1.37,2040,0
SUN,5,20210205,161000,1.37,1.37,1.37,1.37,724,0
SUN,5,20210205,161500,1.34,1.34,1.34,1.34,1181,0
SUN,5,20210205,164500,1.37,1.37,1.37,1.37,10,0
SUN,5,20210208,094500,1.41,1.41,1.41,1.41,250,0
SUN,5,20210208,141000,1.36,1.36,1.36,1.36,710,0
SUN,5,20210208,164500,1.34,1.36,1.34,1.36,505,0
SUN,5,20210209,090000,1.39,1.39,1.39,1.39,2000,0
SUN,5,20210209,102500,1.39,1.39,1.39,1.39,60,0
SUN,5,20210209,111500,1.36,1.36,1.36,1.36,1999,0
SUN,5,20210209,112000,1.35,1.35,1.35,1.35,1240,0
SUN,5,20210209,131000,1.36,1.36,1.36,1.36,1257,0
SUN,5,20210209,135500,1.36,1.36,1.35,1.35,69898,0
SUN,5,20210209,141000,1.39,1.39,1.39,1.39,100,0
SUN,5,20210209,143500,1.33,1.33,1.21,1.21,4000,0
SUN,5,20210209,144000,1.3,1.35,1.3,1.35,200,0
SUN,5,20210209,160000,1.3,1.3,1.3,1.3,100,0
SUN,5,20210209,160500,1.3,1.3,1.3,1.3,100,0
SUN,5,20210209,161000,1.35,1.37,1.35,1.37,105,0
SUN,5,20210209,162500,1.33,1.33,1.33,1.33,5000,0
SUN,5,20210209,164500,1.31,1.36,1.3,1.36,36800,0
SUN,5,20210210,090000,1.33,1.33,1.33,1.33,13900,0
SUN,5,20210210,094500,1.34,1.34,1.34,1.34,2600,0
SUN,5,20210210,102500,1.35,1.35,1.35,1.35,250,0
SUN,5,20210210,105000,1.34,1.34,1.33,1.33,1750,0
SUN,5,20210210,111000,1.36,1.41,1.36,1.41,1010,0
SUN,5,20210210,121500,1.4,1.4,1.4,1.4,1000,0
SUN,5,20210210,122500,1.4,1.41,1.4,1.41,10079,0
SUN,5,20210210,123000,1.43,1.45,1.42,1.42,13400,0
SUN,5,20210210,123500,1.45,1.45,1.45,1.45,881,0
SUN,5,20210210,124000,1.46,1.46,1.46,1.46,5,0
SUN,5,20210210,125000,1.42,1.42,1.39,1.42,73479,0
SUN,5,20210210,125500,1.39,1.39,1.39,1.39,2400,0
SUN,5,20210210,130000,1.39,1.39,1.39,1.39,1000,0
SUN,5,20210210,131000,1.39,1.39,1.39,1.39,4834,0
SUN,5,20210210,132000,1.4,1.4,1.4,1.4,2800,0
SUN,5,20210210,134500,1.4,1.44,1.4,1.44,2400,0
SUN,5,20210210,135000,1.44,1.44,1.44,1.44,829,0
SUN,5,20210210,143000,1.42,1.43,1.42,1.43,1400,0
SUN,5,20210210,151000,1.44,1.45,1.44,1.45,5591,0
SUN,5,20210210,152000,1.46,1.46,1.46,1.46,9497,0
SUN,5,20210210,152500,1.48,1.48,1.48,1.48,700,0
SUN,5,20210210,154000,1.46,1.46,1.46,1.46,3124,0
SUN,5,20210210,154500,1.48,1.48,1.48,1.48,500,0
SUN,5,20210210,160000,1.46,1.46,1.46,1.46,676,0
SUN,5,20210211,090000,1.5,1.5,1.5,1.5,2000,0
SUN,5,20210211,102500,1.47,1.47,1.47,1.47,2337,0
SUN,5,20210211,103000,1.47,1.47,1.47,1.47,2100,0
SUN,5,20210211,104000,1.45,1.45,1.42,1.42,651,0
SUN,5,20210211,105500,1.42,1.46,1.42,1.46,8085,0
SUN,5,20210211,110000,1.46,1.46,1.46,1.46,379,0
SUN,5,20210211,122500,1.46,1.46,1.46,1.46,2621,0
SUN,5,20210211,130500,1.47,1.47,1.47,1.47,4000,0
SUN,5,20210211,131000,1.47,1.49,1.47,1.49,5500,0
SUN,5,20210211,131500,1.49,1.5,1.49,1.5,10000,0
SUN,5,20210211,132000,1.5,1.51,1.5,1.51,17000,0
SUN,5,20210211,132500,1.51,1.52,1.51,1.52,11554,0
SUN,5,20210211,134000,1.51,1.54,1.51,1.54,38796,0
SUN,5,20210211,134500,1.56,1.6,1.56,1.6,2000,0
SUN,5,20210211,135000,1.59,1.59,1.59,1.59,1738,0
SUN,5,20210211,135500,1.55,1.57,1.55,1.57,11500,0
SUN,5,20210211,140000,1.57,1.58,1.43,1.58,49000,0
SUN,5,20210211,140500,1.58,1.58,1.45,1.58,43822,0
SUN,5,20210211,141000,1.47,1.58,1.47,1.58,25789,0
SUN,5,20210211,141500,1.5,1.58,1.45,1.58,30000,0
SUN,5,20210211,143000,1.54,1.54,1.54,1.54,247,0
SUN,5,20210211,145500,1.45,1.55,1.43,1.55,23000,0
SUN,5,20210211,152000,1.46,1.46,1.46,1.46,1000,0
SUN,5,20210211,152500,1.48,1.5,1.47,1.5,4285,0
SUN,5,20210211,160500,1.52,1.52,1.52,1.52,520,0
SUN,5,20210211,162500,1.52,1.52,1.52,1.52,200,0
SUN,5,20210211,163500,1.52,1.52,1.52,1.52,100,0
SUN,5,20210211,164000,1.49,1.49,1.49,1.49,1015,0
SUN,5,20210211,164500,1.52,1.53,1.52,1.53,100,0
SUN,5,20210212,090000,1.52,1.52,1.52,1.52,2500,0
SUN,5,20210212,093000,1.52,1.52,1.52,1.52,4500,0
SUN,5,20210212,093500,1.52,1.52,1.52,1.52,500,0
SUN,5,20210212,094500,1.57,1.57,1.57,1.57,326,0
SUN,5,20210212,100500,1.57,1.57,1.57,1.57,633,0
SUN,5,20210212,101000,1.48,1.48,1.48,1.48,326,0
SUN,5,20210212,102500,1.57,1.57,1.57,1.57,1000,0
SUN,5,20210212,103000,1.51,1.55,1.51,1.55,3980,0
SUN,5,20210212,103500,1.57,1.58,1.57,1.58,1641,0
SUN,5,20210212,104000,1.59,1.59,1.59,1.59,689,0
SUN,5,20210212,110000,1.57,1.57,1.57,1.57,1164,0
SUN,5,20210212,110500,1.57,1.58,1.57,1.58,205,0
SUN,5,20210212,112000,1.53,1.53,1.53,1.53,600,0
SUN,5,20210212,113500,1.5,1.56,1.5,1.56,2362,0
SUN,5,20210212,115500,1.56,1.56,1.56,1.56,330,0
SUN,5,20210212,120500,1.5,1.59,1.5,1.59,23000,0
SUN,5,20210212,121000,1.59,1.6,1.5,1.6,13781,0
SUN,5,20210212,121500,1.51,1.6,1.51,1.6,10200,0
SUN,5,20210212,124000,1.55,1.59,1.51,1.59,26400,0
SUN,5,20210212,124500,1.59,1.6,1.53,1.6,13000,0
SUN,5,20210212,125000,1.53,1.59,1.51,1.59,12000,0
SUN,5,20210212,130000,1.55,1.62,1.54,1.62,22000,0
SUN,5,20210212,130500,1.54,1.6,1.54,1.6,19000,0
SUN,5,20210212,131500,1.56,1.62,1.55,1.56,27035,0
SUN,5,20210212,132000,1.6,1.62,1.6,1.62,6291,0
SUN,5,20210212,132500,1.62,1.63,1.62,1.63,13456,0
SUN,5,20210212,133000,1.57,1.63,1.5,1.5,34000,0
SUN,5,20210212,133500,1.59,1.79,1.59,1.79,100774,0
SUN,5,20210212,134000,1.79,1.82,1.71,1.82,28733,0
SUN,5,20210212,134500,1.94,1.94,1.9,1.9,20806,0
SUN,5,20210212,135000,1.9,1.94,1.77,1.83,37040,0
SUN,5,20210212,135500,1.8,1.85,1.5,1.52,175960,0
SUN,5,20210212,140000,1.6,1.7,1.6,1.65,54232,0
SUN,5,20210212,140500,1.68,1.73,1.68,1.71,31838,0
SUN,5,20210212,141000,1.72,1.73,1.67,1.72,5587,0
SUN,5,20210212,141500,1.72,1.77,1.7,1.76,16218,0
SUN,5,20210212,142000,1.76,1.78,1.76,1.78,10799,0
SUN,5,20210212,142500,1.7,1.77,1.68,1.77,753,0
SUN,5,20210212,143500,1.76,1.78,1.76,1.78,2000,0
SUN,5,20210212,144000,1.78,1.78,1.78,1.78,2600,0
SUN,5,20210212,144500,1.79,1.8,1.79,1.8,9417,0
SUN,5,20210212,145000,1.81,1.82,1.8,1.82,5709,0
SUN,5,20210212,145500,1.82,1.88,1.77,1.81,38450,0
SUN,5,20210212,150000,1.81,1.86,1.81,1.86,1883,0
SUN,5,20210212,150500,1.83,1.88,1.83,1.86,9500,0
SUN,5,20210212,151000,1.86,1.86,1.8,1.85,17600,0
SUN,5,20210212,151500,1.85,1.9,1.85,1.9,33626,0
SUN,5,20210212,152000,1.9,1.95,1.86,1.86,41063,0
SUN,5,20210212,152500,1.87,1.9,1.76,1.85,5058,0
SUN,5,20210212,153500,1.81,1.85,1.81,1.85,3062,0
SUN,5,20210212,154000,1.85,1.86,1.77,1.77,3061,0
SUN,5,20210212,154500,1.78,1.84,1.78,1.84,1150,0
SUN,5,20210212,155000,1.83,1.86,1.83,1.86,5189,0
SUN,5,20210212,155500,1.86,1.86,1.75,1.75,19077,0
SUN,5,20210212,160000,1.75,1.8,1.75,1.8,7823,0
SUN,5,20210212,160500,1.79,1.79,1.79,1.79,2000,0
SUN,5,20210212,161000,1.79,1.79,1.73,1.73,4000,0
SUN,5,20210212,161500,1.79,1.79,1.73,1.73,525,0
SUN,5,20210212,162000,1.74,1.79,1.74,1.79,3105,0
SUN,5,20210212,163500,1.78,1.78,1.77,1.78,2914,0
SUN,5,20210212,164000,1.78,1.78,1.78,1.78,1086,0
SUN,5,20210212,164500,1.74,1.79,1.74,1.78,11331,0
SUN,5,20210215,090000,1.78,1.89,1.78,1.89,8040,0
SUN,5,20210215,090500,1.89,1.89,1.85,1.85,3735,0
SUN,5,20210215,091000,1.8,1.8,1.78,1.78,8175,0
