<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWK,5,20210204,121500,3.24,3.24,3.24,3.24,100,0
SWK,5,20210204,125000,3.26,3.26,3.26,3.26,100,0
SWK,5,20210204,135500,3.26,3.26,3.26,3.26,4,0
SWK,5,20210204,154500,3.1,3.1,3.1,3.1,2,0
SWK,5,20210204,164500,3.24,3.24,3.24,3.24,1,0
SWK,5,20210205,092500,3.12,3.12,3.12,3.12,430,0
SWK,5,20210205,120500,3.12,3.12,3.12,3.12,128,0
SWK,5,20210205,124000,3.1,3.1,3.1,3.1,78,0
SWK,5,20210205,124500,3.08,3.1,3.08,3.1,1094,0
SWK,5,20210208,160000,3.1,3.1,3.1,3.1,1400,0
SWK,5,20210209,090000,3.08,3.08,3.08,3.08,300,0
SWK,5,20210209,110500,3.12,3.12,3.12,3.12,49,0
SWK,5,20210209,141000,3.14,3.14,3.14,3.14,40,0
SWK,5,20210209,143500,3.14,3.14,3.14,3.14,460,0
SWK,5,20210209,145000,3.12,3.12,3.1,3.1,300,0
SWK,5,20210210,090000,3.1,3.1,3.1,3.1,160,0
SWK,5,20210210,102500,3.1,3.1,3.08,3.08,260,0
SWK,5,20210211,091500,3.2,3.2,3.2,3.2,100,0
SWK,5,20210211,143000,3.1,3.1,3.1,3.1,1100,0
SWK,5,20210212,102000,3.1,3.1,3.1,3.1,35,0
SWK,5,20210212,132500,3.12,3.12,3.12,3.12,200,0
SWK,5,20210212,163500,3.28,3.32,3.28,3.32,200,0
SWK,5,20210215,090000,3.3,3.3,3.3,3.3,500,0
SWK,5,20210215,090500,3.12,3.12,3.12,3.12,200,0
SWK,5,20210215,091000,3.12,3.12,3.12,3.12,212,0
SWK,5,20210215,093000,3.3,3.32,3.3,3.3,750,0
SWK,5,20210215,095500,3.22,3.22,3.22,3.22,150,0
SWK,5,20210215,112500,3.2,3.2,3.2,3.2,165,0
SWK,5,20210215,142000,3.12,3.12,3.06,3.06,500,0
SWK,5,20210215,145500,3.08,3.08,3.08,3.08,358,0
SWK,5,20210215,151500,3.08,3.08,3.08,3.08,1000,0
SWK,5,20210215,152500,3.08,3.08,3.08,3.08,1000,0
SWK,5,20210215,161500,3.08,3.08,3.08,3.08,1000,0
SWK,5,20210215,162000,3.06,3.06,3.06,3.06,1000,0
SWK,5,20210215,164000,3.08,3.08,3.08,3.08,55725,0
SWK,5,20210215,164500,3.06,3.18,3.06,3.18,1953,0
SWK,5,20210216,094000,3.06,3.06,3.06,3.06,2,0
SWK,5,20210216,094500,3.2,3.2,3.2,3.2,10,0
SWK,5,20210216,101500,3.14,3.14,3.14,3.14,250,0
SWK,5,20210216,103000,3.14,3.14,3.14,3.14,150,0
SWK,5,20210216,104000,3.1,3.1,3.1,3.1,200,0
SWK,5,20210216,122000,3.2,3.2,3.2,3.2,50,0
SWK,5,20210216,150500,3.12,3.12,3.12,3.12,328,0
SWK,5,20210216,155500,3.1,3.1,3.1,3.1,450,0
SWK,5,20210216,162000,3.12,3.12,3.12,3.12,350,0
SWK,5,20210216,164500,3.1,3.1,3.1,3.1,487,0
SWK,5,20210217,090000,3.1,3.1,3.1,3.1,28,0
SWK,5,20210217,092000,3.04,3.04,3,3,6000,0
SWK,5,20210217,093000,3.1,3.16,3.1,3.16,100,0
SWK,5,20210217,112500,3,3,3,3,70,0
SWK,5,20210217,124000,2.9,2.9,2.84,2.9,3106,0
SWK,5,20210217,134000,2.9,2.9,2.86,2.86,2000,0
SWK,5,20210217,143000,2.88,2.88,2.88,2.88,2000,0
