<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWT,5,20210204,090000,53.98,53.98,53.98,53.98,9,0
SWT,5,20210204,100500,53.98,53.98,53.98,53.98,8,0
SWT,5,20210204,102500,52.37,52.37,52.37,52.37,10,0
SWT,5,20210204,105000,53.98,53.98,53.98,53.98,10,0
SWT,5,20210204,115500,53.8,53.98,53.8,53.98,10,0
SWT,5,20210204,120000,53.98,53.99,53.98,53.99,12,0
SWT,5,20210204,121000,53.98,53.98,53.98,53.98,23,0
SWT,5,20210204,123500,53.99,53.99,53.99,53.99,20,0
SWT,5,20210204,150500,53.99,53.99,53.99,53.99,10,0
SWT,5,20210204,162000,53,53,53,53,4,0
SWT,5,20210204,164500,53.99,53.99,53.99,53.99,3,0
SWT,5,20210205,094000,54,54,54,54,2,0
SWT,5,20210205,103000,53.98,54,53.98,54,11,0
SWT,5,20210205,111000,54,54.5,54,54.5,168,0
SWT,5,20210205,113500,54,54,54,54,5,0
SWT,5,20210205,114500,54.5,54.5,54.5,54.5,1,0
SWT,5,20210205,120500,55,55,55,55,24,0
SWT,5,20210205,122500,53.02,53.02,53.02,53.02,10,0
SWT,5,20210205,124500,54.97,54.97,54.97,54.97,20,0
SWT,5,20210205,162500,54.22,54.22,54.2,54.2,50,0
SWT,5,20210205,163000,54.94,54.94,54.94,54.94,5,0
SWT,5,20210205,164500,54.94,54.94,54.94,54.94,50,0
SWT,5,20210208,092500,54.93,54.93,54,54,11,0
SWT,5,20210208,094000,54.91,54.92,54.91,54.92,100,0
SWT,5,20210208,095000,54.92,54.94,54.92,54.94,241,0
SWT,5,20210208,095500,54.94,54.94,54.94,54.94,41,0
SWT,5,20210208,100000,54.94,54.94,54.94,54.94,41,0
SWT,5,20210208,103000,54.94,54.94,54.94,54.94,41,0
SWT,5,20210208,130500,54.02,54.93,54,54.93,36,0
SWT,5,20210208,144000,53.26,53.26,53.24,53.24,151,0
SWT,5,20210208,145500,53.24,53.24,53.24,53.24,100,0
SWT,5,20210208,160000,54.91,54.91,54.91,54.91,1,0
SWT,5,20210208,164000,53.24,53.24,53.2,53.2,27,0
SWT,5,20210209,091500,53.2,53.2,53.2,53.2,20,0
SWT,5,20210209,092500,53.2,53.2,53.2,53.2,20,0
SWT,5,20210209,104000,53.2,53.2,53.2,53.2,30,0
SWT,5,20210209,122000,54.5,54.88,54.5,54.88,6,0
SWT,5,20210209,164000,53.98,54,53.98,54,19,0
SWT,5,20210210,090500,53.98,54.87,53.98,54.87,16,0
SWT,5,20210210,100000,54.77,54.8,54.77,54.8,41,0
SWT,5,20210210,112500,54.8,54.8,54.8,54.8,4,0
SWT,5,20210210,131000,54.79,54.8,54.79,54.8,50,0
SWT,5,20210210,140500,54.78,54.78,54.78,54.78,14,0
SWT,5,20210210,150500,54.78,54.79,54.78,54.79,80,0
SWT,5,20210210,152000,54.79,54.79,54.79,54.79,10,0
