<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SZR,5,20210204,090000,0.34,0.39,0.31,0.39,1362857,0
SZR,5,20210204,090500,0.39,0.39,0.33,0.348,503188,0
SZR,5,20210204,091000,0.33,0.37,0.33,0.34,317282,0
SZR,5,20210204,091500,0.34,0.36,0.34,0.36,165270,0
SZR,5,20210204,092000,0.36,0.36,0.34,0.358,99846,0
SZR,5,20210204,092500,0.358,0.36,0.34,0.356,110660,0
SZR,5,20210204,093000,0.35,0.358,0.344,0.356,71124,0
SZR,5,20210204,093500,0.344,0.356,0.304,0.304,533440,0
SZR,5,20210204,094000,0.32,0.34,0.32,0.34,78044,0
SZR,5,20210204,094500,0.34,0.35,0.304,0.33,147478,0
SZR,5,20210204,095000,0.33,0.346,0.3,0.3,315757,0
SZR,5,20210204,095500,0.298,0.33,0.298,0.31,32163,0
SZR,5,20210204,100000,0.31,0.318,0.3,0.3,113249,0
SZR,5,20210204,100500,0.308,0.316,0.3,0.316,97325,0
SZR,5,20210204,101000,0.3,0.322,0.3,0.322,64591,0
SZR,5,20210204,101500,0.318,0.322,0.318,0.32,34338,0
SZR,5,20210204,102000,0.31,0.318,0.3,0.318,50736,0
SZR,5,20210204,102500,0.3,0.316,0.3,0.314,43904,0
SZR,5,20210204,103000,0.31,0.31,0.298,0.308,41089,0
SZR,5,20210204,103500,0.294,0.306,0.29,0.292,128773,0
SZR,5,20210204,104000,0.29,0.306,0.29,0.3,85976,0
SZR,5,20210204,104500,0.3,0.3,0.292,0.3,347022,0
SZR,5,20210204,105000,0.3,0.3,0.292,0.292,85031,0
SZR,5,20210204,105500,0.294,0.3,0.29,0.29,164943,0
SZR,5,20210204,110000,0.29,0.294,0.29,0.294,6009,0
SZR,5,20210204,110500,0.294,0.3,0.294,0.3,400,0
SZR,5,20210204,111000,0.3,0.3,0.274,0.274,87981,0
SZR,5,20210204,111500,0.274,0.28,0.26,0.262,130249,0
SZR,5,20210204,112000,0.26,0.27,0.26,0.262,77319,0
SZR,5,20210204,112500,0.26,0.26,0.26,0.26,28229,0
SZR,5,20210204,113000,0.256,0.26,0.256,0.26,57080,0
SZR,5,20210204,113500,0.26,0.26,0.25,0.254,56459,0
SZR,5,20210204,114000,0.254,0.26,0.25,0.26,35791,0
SZR,5,20210204,114500,0.252,0.26,0.25,0.25,58618,0
SZR,5,20210204,115000,0.25,0.25,0.242,0.25,78168,0
SZR,5,20210204,115500,0.25,0.27,0.25,0.27,82796,0
SZR,5,20210204,120000,0.27,0.274,0.26,0.27,17551,0
SZR,5,20210204,120500,0.26,0.27,0.26,0.27,7000,0
SZR,5,20210204,121000,0.262,0.262,0.262,0.262,22000,0
SZR,5,20210204,121500,0.262,0.262,0.252,0.252,61100,0
SZR,5,20210204,122000,0.262,0.262,0.254,0.254,24706,0
SZR,5,20210204,122500,0.254,0.254,0.25,0.254,14412,0
SZR,5,20210204,123000,0.254,0.254,0.25,0.252,17893,0
SZR,5,20210204,123500,0.252,0.254,0.252,0.254,530,0
SZR,5,20210204,124000,0.262,0.262,0.262,0.262,1,0
SZR,5,20210204,124500,0.256,0.264,0.256,0.264,31160,0
SZR,5,20210204,125000,0.256,0.264,0.25,0.264,63400,0
SZR,5,20210204,125500,0.25,0.25,0.25,0.25,2322,0
SZR,5,20210204,130000,0.25,0.25,0.246,0.246,4877,0
SZR,5,20210204,130500,0.25,0.25,0.248,0.248,7600,0
SZR,5,20210204,131000,0.248,0.248,0.248,0.248,13,0
SZR,5,20210204,131500,0.258,0.258,0.258,0.258,2000,0
SZR,5,20210204,132500,0.258,0.26,0.258,0.26,4500,0
SZR,5,20210204,133000,0.258,0.262,0.258,0.262,40617,0
SZR,5,20210204,134000,0.254,0.254,0.254,0.254,15464,0
SZR,5,20210204,134500,0.254,0.27,0.252,0.27,50116,0
SZR,5,20210204,135000,0.276,0.276,0.27,0.276,53854,0
SZR,5,20210204,135500,0.28,0.28,0.276,0.276,19225,0
