<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
T2P,5,20210204,090000,0.49,0.49,0.49,0.49,8150,0
T2P,5,20210204,091000,0.485,0.485,0.483,0.483,12000,0
T2P,5,20210204,091500,0.483,0.483,0.483,0.483,1000,0
T2P,5,20210204,093000,0.5,0.514,0.5,0.514,10000,0
T2P,5,20210204,101000,0.514,0.514,0.514,0.514,2000,0
T2P,5,20210204,102500,0.514,0.514,0.514,0.514,4263,0
T2P,5,20210204,113000,0.51,0.51,0.51,0.51,11500,0
T2P,5,20210204,115000,0.51,0.51,0.51,0.51,17630,0
T2P,5,20210204,120000,0.512,0.512,0.51,0.51,4370,0
T2P,5,20210204,123000,0.51,0.512,0.51,0.512,730,0
T2P,5,20210204,140500,0.512,0.512,0.512,0.512,2653,0
T2P,5,20210204,141500,0.512,0.512,0.512,0.512,80,0
T2P,5,20210204,142500,0.514,0.514,0.514,0.514,400,0
T2P,5,20210204,143000,0.512,0.512,0.5,0.5,1000,0
T2P,5,20210204,144000,0.514,0.53,0.514,0.53,45554,0
T2P,5,20210204,145500,0.51,0.51,0.51,0.51,8000,0
T2P,5,20210204,151000,0.53,0.53,0.53,0.53,2397,0
T2P,5,20210204,152000,0.53,0.53,0.53,0.53,903,0
T2P,5,20210204,153000,0.532,0.532,0.532,0.532,2350,0
T2P,5,20210204,153500,0.53,0.53,0.53,0.53,7990,0
T2P,5,20210204,154500,0.532,0.534,0.532,0.534,2000,0
T2P,5,20210204,155000,0.532,0.536,0.53,0.536,14648,0
T2P,5,20210204,155500,0.512,0.512,0.512,0.512,1,0
T2P,5,20210204,161000,0.534,0.536,0.534,0.536,18060,0
T2P,5,20210204,161500,0.54,0.562,0.54,0.562,21372,0
T2P,5,20210204,162000,0.56,0.56,0.56,0.56,7777,0
T2P,5,20210204,162500,0.548,0.548,0.52,0.52,11725,0
T2P,5,20210204,164500,0.546,0.546,0.546,0.546,7862,0
T2P,5,20210205,090000,0.54,0.556,0.54,0.556,37876,0
T2P,5,20210205,090500,0.56,0.562,0.56,0.562,12900,0
T2P,5,20210205,091000,0.556,0.556,0.556,0.556,4200,0
T2P,5,20210205,091500,0.53,0.53,0.53,0.53,1000,0
