<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THD,5,20210204,091000,24.4,24.4,24.4,24.4,250,0
THD,5,20210204,094500,24.4,24.4,24.4,24.4,100,0
THD,5,20210204,095500,24.5,24.5,24.5,24.5,105,0
THD,5,20210204,113500,24.9,24.9,24.9,24.9,1,0
THD,5,20210204,122500,24.9,24.9,24.9,24.9,230,0
THD,5,20210204,125000,24.7,24.7,24.7,24.7,50,0
THD,5,20210204,131500,24.7,24.7,24.7,24.7,50,0
THD,5,20210204,133000,24.6,24.6,24.6,24.6,200,0
THD,5,20210204,141000,25,25,25,25,48,0
THD,5,20210205,090000,25.2,25.2,25.2,25.2,30,0
THD,5,20210205,090500,25.2,25.2,25.2,25.2,1,0
THD,5,20210205,092500,25.2,25.5,25.2,25.5,50,0
THD,5,20210205,094000,25.4,25.8,25.4,25.8,200,0
THD,5,20210205,095000,25.8,25.8,25.8,25.8,22,0
THD,5,20210205,100000,25.8,25.8,25.8,25.8,18,0
THD,5,20210205,100500,24.8,24.8,24.7,24.7,249,0
THD,5,20210205,101500,25.6,25.8,25.6,25.8,800,0
THD,5,20210205,104500,25.5,25.5,25.5,25.5,75,0
THD,5,20210205,111000,25.6,25.6,25.6,25.6,150,0
THD,5,20210205,123000,25.6,25.6,25.6,25.6,40,0
THD,5,20210205,130000,24.9,24.9,24.9,24.9,1,0
THD,5,20210205,131000,24.9,24.9,24.9,24.9,30,0
THD,5,20210205,150500,25,25,25,25,10,0
THD,5,20210205,160500,25,25,25,25,99,0
THD,5,20210205,162000,25,25,25,25,100,0
THD,5,20210208,090000,25.5,25.5,25.5,25.5,25,0
THD,5,20210208,091500,25.2,25.5,25,25.5,85,0
THD,5,20210208,095000,25.3,25.3,25.3,25.3,9,0
THD,5,20210208,100500,25,25,25,25,19,0
THD,5,20210208,111500,25,25,25,25,79,0
THD,5,20210208,112000,25,25,25,25,100,0
THD,5,20210208,115500,24.9,24.9,24.8,24.8,60,0
THD,5,20210208,120000,24.6,24.6,24.6,24.6,160,0
THD,5,20210208,121000,24.9,24.9,24.9,24.9,40,0
THD,5,20210208,124000,24.9,25,24.9,25,100,0
THD,5,20210208,131500,24.6,24.6,24.6,24.6,100,0
THD,5,20210208,132500,24.9,24.9,24.9,24.9,20,0
THD,5,20210208,133000,25,25,25,25,20,0
THD,5,20210208,141000,25,25,25,25,482,0
THD,5,20210208,150000,25,25,25,25,15,0
THD,5,20210208,160000,25,25,25,25,10,0
THD,5,20210208,160500,25,25,25,25,80,0
THD,5,20210208,162000,25.5,25.5,25.5,25.5,30,0
THD,5,20210208,163000,25.5,25.5,25.5,25.5,10,0
THD,5,20210208,163500,25.6,25.6,25.6,25.6,20,0
THD,5,20210208,164500,25.6,25.6,25.6,25.6,30,0
THD,5,20210209,091500,25.2,25.2,25.1,25.1,41,0
THD,5,20210209,094500,25,25,24.5,24.5,100,0
THD,5,20210209,095500,25.4,25.4,25.4,25.4,2,0
THD,5,20210209,102500,25,25,25,25,65,0
THD,5,20210209,114500,24.6,24.6,24.6,24.6,5,0
THD,5,20210209,115500,24.6,24.6,24.6,24.6,165,0
THD,5,20210209,120000,24.6,24.6,24.6,24.6,35,0
THD,5,20210209,121500,24.8,24.8,24.8,24.8,10,0
THD,5,20210209,125000,25.3,25.3,25.3,25.3,20,0
THD,5,20210209,130000,25.3,25.3,25.3,25.3,20,0
THD,5,20210209,142500,25.3,25.3,25.3,25.3,18,0
THD,5,20210209,144000,25.4,25.4,25.4,25.4,22,0
THD,5,20210209,150000,25,25,25,25,70,0
THD,5,20210209,151000,25.4,25.4,25.4,25.4,100,0
THD,5,20210209,153000,25.5,25.5,25.5,25.5,100,0
THD,5,20210209,154000,25.5,25.5,25.5,25.5,4,0
THD,5,20210209,161500,25.3,25.3,25.2,25.2,44,0
THD,5,20210209,162000,24.9,24.9,24.9,24.9,150,0
THD,5,20210209,164000,25.4,25.4,25.4,25.4,21,0
THD,5,20210210,091500,24.8,24.8,24.8,24.8,100,0
THD,5,20210210,092000,24.8,24.8,24.8,24.8,112,0
THD,5,20210210,092500,25.5,25.5,25.5,25.5,28,0
THD,5,20210210,124000,25,25,24.8,24.8,118,0
THD,5,20210210,130000,24.8,24.8,24.8,24.8,100,0
THD,5,20210210,133500,24.8,24.8,24.7,24.7,227,0
THD,5,20210210,145000,25.3,25.3,25.3,25.3,60,0
THD,5,20210210,152000,25.3,25.3,25.3,25.3,2,0
THD,5,20210210,160000,24.7,24.7,24.7,24.7,244,0
THD,5,20210210,164500,24.6,24.6,24.6,24.6,200,0
THD,5,20210211,091500,24.8,24.8,24.8,24.8,50,0
THD,5,20210211,092000,24.7,24.7,24.6,24.6,100,0
THD,5,20210211,092500,25,25,25,25,60,0
THD,5,20210211,093000,24.6,24.6,24.6,24.6,638,0
THD,5,20210211,093500,24.6,24.6,24.5,24.5,2160,0
THD,5,20210211,111000,24.9,24.9,24.9,24.9,100,0
THD,5,20210211,123500,24.7,24.7,24.6,24.6,100,0
THD,5,20210211,133500,24.7,24.7,24.6,24.6,170,0
THD,5,20210211,135000,24.6,24.6,24.5,24.5,240,0
THD,5,20210211,154000,24.6,24.6,24.6,24.6,15,0
THD,5,20210211,154500,24.9,24.9,24.9,24.9,20,0
THD,5,20210212,090000,24.5,24.5,24.5,24.5,6,0
THD,5,20210212,091000,24.6,24.6,23.9,23.9,600,0
THD,5,20210212,092500,24.1,24.1,24,24,235,0
THD,5,20210212,093000,23.9,23.9,23.9,23.9,40,0
THD,5,20210212,095500,24,24,24,24,120,0
THD,5,20210212,101000,24,24,23.7,23.7,493,0
THD,5,20210212,101500,23.7,23.7,23.7,23.7,83,0
THD,5,20210212,103500,24,24,23.8,23.8,115,0
THD,5,20210212,105000,24.2,24.2,24.2,24.2,60,0
THD,5,20210212,111500,24.1,24.1,24.1,24.1,100,0
THD,5,20210212,113500,24.6,24.6,24.6,24.6,80,0
THD,5,20210212,115000,24.2,24.2,24.2,24.2,60,0
THD,5,20210212,123500,24.2,24.2,24.2,24.2,33,0
THD,5,20210212,124000,24.4,24.4,24.4,24.4,1,0
THD,5,20210212,124500,24.2,24.2,24.2,24.2,54,0
THD,5,20210212,132000,24.4,24.4,24.4,24.4,19,0
THD,5,20210212,132500,24.5,24.5,24.5,24.5,98,0
THD,5,20210212,143500,24.5,24.5,24.2,24.2,100,0
THD,5,20210212,150500,24.6,24.8,24.6,24.8,700,0
THD,5,20210212,151000,24.9,25.6,24.9,25.6,550,0
THD,5,20210215,090000,25.7,25.7,24.7,24.7,243,0
THD,5,20210215,090500,24.6,24.6,24.6,24.6,218,0
THD,5,20210215,091500,25,25,25,25,30,0
THD,5,20210215,092000,25,25,25,25,30,0
THD,5,20210215,095000,25,25.4,25,25.4,12,0
THD,5,20210215,100500,24.9,24.9,24.7,24.7,98,0
THD,5,20210215,102500,25.3,25.4,25.3,25.4,96,0
