<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIG,5,20210204,091000,1.36,1.36,1.36,1.36,100,0
TIG,5,20210204,092500,1.39,1.41,1.39,1.41,1240,0
TIG,5,20210204,093000,1.41,1.41,1.41,1.41,100,0
TIG,5,20210204,103000,1.41,1.41,1.41,1.41,1000,0
TIG,5,20210204,104000,1.41,1.43,1.41,1.43,226,0
TIG,5,20210204,104500,1.45,1.46,1.45,1.46,1040,0
TIG,5,20210204,111000,1.39,1.39,1.39,1.39,1320,0
TIG,5,20210204,112500,1.39,1.39,1.37,1.37,6000,0
TIG,5,20210204,113000,1.37,1.37,1.37,1.37,500,0
TIG,5,20210204,113500,1.37,1.37,1.36,1.36,2959,0
TIG,5,20210204,121500,1.37,1.37,1.37,1.37,2000,0
TIG,5,20210204,122000,1.37,1.42,1.37,1.42,1810,0
TIG,5,20210204,123000,1.37,1.37,1.37,1.37,4000,0
TIG,5,20210204,124500,1.36,1.36,1.36,1.36,3000,0
TIG,5,20210204,131500,1.36,1.36,1.35,1.35,2000,0
TIG,5,20210204,134500,1.39,1.39,1.39,1.39,10,0
TIG,5,20210204,143000,1.39,1.39,1.39,1.39,1820,0
TIG,5,20210204,145500,1.4,1.4,1.4,1.4,3000,0
TIG,5,20210204,152000,1.36,1.36,1.36,1.36,300,0
TIG,5,20210204,152500,1.36,1.36,1.36,1.36,652,0
TIG,5,20210204,153500,1.36,1.36,1.36,1.36,2828,0
TIG,5,20210204,154000,1.36,1.36,1.36,1.36,172,0
TIG,5,20210204,160500,1.37,1.39,1.35,1.39,7500,0
TIG,5,20210204,162000,1.35,1.35,1.35,1.35,2000,0
TIG,5,20210204,163000,1.38,1.38,1.38,1.38,1,0
TIG,5,20210204,164500,1.35,1.35,1.35,1.35,980,0
TIG,5,20210205,090000,1.35,1.35,1.35,1.35,2622,0
TIG,5,20210205,090500,1.38,1.38,1.38,1.38,370,0
TIG,5,20210205,091000,1.38,1.39,1.38,1.39,1310,0
TIG,5,20210205,093000,1.39,1.43,1.39,1.43,8877,0
TIG,5,20210205,093500,1.44,1.44,1.43,1.44,3850,0
TIG,5,20210205,104500,1.39,1.39,1.38,1.38,1451,0
TIG,5,20210205,105500,1.42,1.42,1.42,1.42,10,0
TIG,5,20210205,113500,1.38,1.38,1.38,1.38,368,0
TIG,5,20210205,132500,1.38,1.38,1.38,1.38,1000,0
TIG,5,20210205,133000,1.38,1.38,1.38,1.38,561,0
TIG,5,20210205,133500,1.37,1.37,1.37,1.37,2439,0
TIG,5,20210205,142500,1.41,1.41,1.41,1.41,10,0
TIG,5,20210205,155500,1.38,1.38,1.38,1.38,1150,0
TIG,5,20210205,161500,1.38,1.39,1.38,1.39,2380,0
TIG,5,20210205,164500,1.39,1.39,1.39,1.39,1,0
TIG,5,20210208,093000,1.4,1.4,1.39,1.39,1533,0
TIG,5,20210208,100000,1.39,1.39,1.39,1.39,1467,0
TIG,5,20210208,110000,1.39,1.39,1.39,1.39,100,0
TIG,5,20210208,115500,1.39,1.39,1.39,1.39,753,0
TIG,5,20210208,122000,1.37,1.37,1.37,1.37,200,0
TIG,5,20210208,132000,1.36,1.36,1.36,1.36,100,0
TIG,5,20210208,132500,1.36,1.36,1.36,1.36,2600,0
TIG,5,20210208,133500,1.35,1.35,1.35,1.35,2774,0
TIG,5,20210208,134500,1.39,1.41,1.39,1.41,8110,0
TIG,5,20210208,140000,1.37,1.37,1.36,1.36,3500,0
TIG,5,20210208,161000,1.37,1.37,1.37,1.37,2083,0
TIG,5,20210208,163000,1.41,1.41,1.41,1.41,1500,0
TIG,5,20210208,164500,1.38,1.42,1.38,1.41,4700,0
TIG,5,20210209,090000,1.44,1.48,1.44,1.48,1202,0
TIG,5,20210209,103000,1.41,1.41,1.37,1.37,4000,0
TIG,5,20210209,103500,1.37,1.37,1.37,1.37,3127,0
TIG,5,20210209,104500,1.37,1.37,1.37,1.37,73,0
TIG,5,20210209,124500,1.38,1.38,1.38,1.38,100,0
TIG,5,20210209,142500,1.4,1.4,1.4,1.4,10,0
TIG,5,20210209,143500,1.38,1.38,1.38,1.38,2800,0
TIG,5,20210209,144500,1.4,1.41,1.4,1.41,2100,0
TIG,5,20210209,145000,1.41,1.43,1.41,1.43,1400,0
TIG,5,20210209,160500,1.38,1.38,1.37,1.37,4000,0
TIG,5,20210209,161500,1.37,1.37,1.37,1.37,3390,0
TIG,5,20210209,162000,1.37,1.37,1.37,1.37,610,0
TIG,5,20210209,164500,1.36,1.36,1.36,1.36,500,0
TIG,5,20210210,090000,1.41,1.42,1.41,1.42,5480,0
TIG,5,20210210,092500,1.41,1.41,1.41,1.41,2400,0
TIG,5,20210210,115000,1.4,1.4,1.4,1.4,2000,0
TIG,5,20210210,120000,1.4,1.41,1.4,1.41,8047,0
TIG,5,20210210,121500,1.42,1.47,1.42,1.47,9072,0
TIG,5,20210210,122000,1.47,1.47,1.46,1.46,2227,0
TIG,5,20210210,122500,1.47,1.47,1.47,1.47,24,0
TIG,5,20210210,123000,1.46,1.46,1.45,1.45,6249,0
TIG,5,20210210,123500,1.43,1.43,1.43,1.43,5230,0
TIG,5,20210210,125000,1.44,1.45,1.44,1.45,3500,0
TIG,5,20210210,125500,1.45,1.45,1.45,1.45,3730,0
TIG,5,20210210,130500,1.47,1.47,1.47,1.47,1000,0
TIG,5,20210210,131500,1.47,1.47,1.47,1.47,600,0
TIG,5,20210210,132000,1.45,1.45,1.45,1.45,1047,0
TIG,5,20210210,133000,1.45,1.45,1.45,1.45,223,0
TIG,5,20210210,143500,1.45,1.45,1.45,1.45,2513,0
TIG,5,20210210,144000,1.45,1.45,1.45,1.45,987,0
TIG,5,20210210,154000,1.46,1.48,1.46,1.48,1410,0
TIG,5,20210210,155000,1.46,1.52,1.46,1.52,8564,0
TIG,5,20210210,160500,1.51,1.51,1.51,1.51,1000,0
TIG,5,20210210,163000,1.49,1.49,1.49,1.49,100,0
TIG,5,20210210,164000,1.46,1.46,1.45,1.45,2800,0
TIG,5,20210210,164500,1.45,1.49,1.45,1.45,2101,0
TIG,5,20210211,091000,1.46,1.46,1.46,1.46,15,0
TIG,5,20210211,093000,1.46,1.46,1.42,1.42,4573,0
TIG,5,20210211,094500,1.47,1.48,1.47,1.48,1000,0
