<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLG,5,20210204,090000,0.38,0.38,0.38,0.38,7233,0
TLG,5,20210204,090500,0.38,0.38,0.38,0.38,2742,0
TLG,5,20210204,091500,0.382,0.382,0.382,0.382,1000,0
TLG,5,20210204,093000,0.386,0.388,0.386,0.388,3700,0
TLG,5,20210204,094000,0.386,0.386,0.386,0.386,2512,0
TLG,5,20210204,104000,0.386,0.386,0.386,0.386,2582,0
TLG,5,20210204,111500,0.382,0.382,0.382,0.382,3000,0
TLG,5,20210204,115500,0.382,0.382,0.382,0.382,5500,0
TLG,5,20210204,133500,0.382,0.382,0.382,0.382,3875,0
TLG,5,20210204,135000,0.384,0.388,0.384,0.388,1500,0
TLG,5,20210205,092500,0.38,0.38,0.38,0.38,200,0
TLG,5,20210205,093500,0.388,0.39,0.388,0.39,10238,0
TLG,5,20210205,094000,0.39,0.394,0.39,0.394,1666,0
TLG,5,20210205,125000,0.388,0.388,0.388,0.388,1000,0
TLG,5,20210205,130000,0.388,0.388,0.388,0.388,1000,0
TLG,5,20210208,092500,0.386,0.386,0.386,0.386,100,0
TLG,5,20210208,131500,0.374,0.374,0.374,0.374,400,0
TLG,5,20210208,143000,0.374,0.374,0.374,0.374,238,0
TLG,5,20210208,144500,0.374,0.374,0.374,0.374,3100,0
TLG,5,20210208,150000,0.374,0.374,0.372,0.372,5000,0
TLG,5,20210208,152500,0.384,0.384,0.384,0.384,1000,0
TLG,5,20210208,164500,0.38,0.38,0.38,0.38,2400,0
TLG,5,20210209,090000,0.38,0.38,0.38,0.38,600,0
TLG,5,20210209,092000,0.37,0.37,0.37,0.37,1000,0
TLG,5,20210209,092500,0.368,0.37,0.368,0.37,6163,0
TLG,5,20210209,100500,0.372,0.372,0.372,0.372,3658,0
TLG,5,20210209,104500,0.372,0.372,0.372,0.372,1342,0
TLG,5,20210209,112500,0.37,0.37,0.37,0.37,1058,0
TLG,5,20210209,124000,0.382,0.382,0.382,0.382,68,0
TLG,5,20210209,131500,0.38,0.38,0.38,0.38,4000,0
TLG,5,20210209,133000,0.372,0.372,0.37,0.37,10068,0
TLG,5,20210209,141500,0.378,0.378,0.378,0.378,593,0
TLG,5,20210209,163500,0.372,0.372,0.372,0.372,4000,0
TLG,5,20210210,090000,0.376,0.376,0.376,0.376,2500,0
TLG,5,20210210,095500,0.37,0.37,0.37,0.37,3200,0
TLG,5,20210210,100500,0.358,0.358,0.358,0.358,3000,0
TLG,5,20210210,102000,0.374,0.374,0.374,0.374,1,0
TLG,5,20210210,105000,0.36,0.36,0.35,0.35,5332,0
TLG,5,20210210,111000,0.358,0.358,0.352,0.352,12110,0
TLG,5,20210210,115000,0.356,0.356,0.354,0.354,10000,0
TLG,5,20210210,140000,0.366,0.37,0.366,0.37,4000,0
TLG,5,20210210,164500,0.368,0.37,0.368,0.37,5009,0
TLG,5,20210211,090000,0.37,0.38,0.37,0.38,17398,0
TLG,5,20210211,091000,0.378,0.378,0.378,0.378,254,0
TLG,5,20210211,091500,0.36,0.36,0.36,0.36,5200,0
TLG,5,20210211,094000,0.376,0.376,0.376,0.376,1511,0
TLG,5,20210211,123500,0.372,0.372,0.372,0.372,3000,0
TLG,5,20210211,131500,0.374,0.374,0.374,0.374,1000,0
TLG,5,20210211,144000,0.378,0.378,0.378,0.378,380,0
TLG,5,20210211,150000,0.378,0.378,0.378,0.378,5866,0
TLG,5,20210211,155000,0.38,0.38,0.38,0.38,1538,0
TLG,5,20210212,090000,0.382,0.412,0.382,0.412,99593,0
TLG,5,20210212,090500,0.418,0.448,0.418,0.42,220953,0
TLG,5,20210212,091000,0.42,0.446,0.42,0.42,21626,0
TLG,5,20210212,091500,0.43,0.44,0.43,0.44,47099,0
TLG,5,20210212,092000,0.44,0.456,0.42,0.456,97714,0
TLG,5,20210212,092500,0.456,0.458,0.456,0.458,39809,0
TLG,5,20210212,105000,0.525,0.545,0.52,0.545,156579,0
TLG,5,20210212,110000,0.535,0.535,0.535,0.535,26450,0
TLG,5,20210212,110500,0.535,0.545,0.464,0.49,159956,0
TLG,5,20210212,111000,0.52,0.52,0.48,0.48,156410,0
TLG,5,20210212,111500,0.49,0.525,0.49,0.5,89373,0
TLG,5,20210212,112000,0.52,0.52,0.5,0.505,52769,0
TLG,5,20210212,112500,0.505,0.52,0.505,0.515,18300,0
TLG,5,20210212,113000,0.505,0.525,0.486,0.525,9644,0
TLG,5,20210212,113500,0.515,0.515,0.515,0.515,1000,0
TLG,5,20210212,114000,0.51,0.51,0.51,0.51,1,0
TLG,5,20210212,114500,0.5,0.5,0.5,0.5,11971,0
TLG,5,20210212,115000,0.5,0.51,0.5,0.51,24710,0
TLG,5,20210212,120000,0.5,0.5,0.492,0.492,15775,0
TLG,5,20210212,120500,0.49,0.505,0.49,0.49,3253,0
TLG,5,20210212,121000,0.49,0.5,0.486,0.5,520,0
TLG,5,20210212,122000,0.5,0.5,0.5,0.5,7430,0
TLG,5,20210212,122500,0.505,0.51,0.505,0.51,20067,0
