<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLS,5,20210204,102000,14.6,14.6,14.6,14.6,20,0
TLS,5,20210204,103000,14.6,14.6,14.6,14.6,9,0
TLS,5,20210204,103500,14.6,14.6,14.6,14.6,80,0
TLS,5,20210204,123000,14.1,14.1,14.1,14.1,91,0
TLS,5,20210205,164500,14.4,14.4,14.4,14.4,150,0
TLS,5,20210208,090000,14.4,14.4,14.4,14.4,150,0
TLS,5,20210208,091500,14.4,14.4,14.1,14.1,169,0
TLS,5,20210209,124500,14.2,14.2,14.2,14.2,20,0
TLS,5,20210210,112500,14.7,16,14.7,16,750,0
TLS,5,20210212,090000,16,16,16,16,135,0
TLS,5,20210212,111000,15.9,15.9,15.9,15.9,200,0
TLS,5,20210212,132000,15.6,15.6,15.6,15.6,125,0
TLS,5,20210215,155000,15.6,15.6,15.6,15.6,150,0
TLS,5,20210217,091000,15.2,15.2,15.2,15.2,132,0
TLS,5,20210217,113500,15.2,15.2,15.2,15.2,200,0
TLS,5,20210217,131500,15.2,15.2,15.2,15.2,70,0
TLS,5,20210218,142000,14.6,14.6,14.6,14.6,211,0
TLS,5,20210218,162000,14.6,14.6,14.6,14.6,986,0
TLS,5,20210223,112000,15,15,15,15,93,0
TLS,5,20210223,164500,15.1,15.1,15.1,15.1,1,0
TLS,5,20210225,133000,15,15,15,15,90,0
TLS,5,20210301,091000,15,15,15,15,90,0
TLS,5,20210301,101000,15.2,15.2,15.2,15.2,532,0
TLS,5,20210301,110000,15.2,15.2,15.1,15.1,150,0
TLS,5,20210301,121500,15.1,15.1,15.1,15.1,100,0
TLS,5,20210301,160000,15.2,15.2,15.2,15.2,118,0
TLS,5,20210301,164500,15.2,15.2,15.2,15.2,182,0
TLS,5,20210302,142000,15.2,15.2,15.2,15.2,94,0
TLS,5,20210303,090000,15.3,15.3,15.3,15.3,100,0
TLS,5,20210303,093500,15.3,15.3,15.3,15.3,91,0
TLS,5,20210303,121000,15.4,15.4,15.4,15.4,150,0
TLS,5,20210305,093000,15.4,15.4,15.4,15.4,100,0
TLS,5,20210305,112000,15.8,15.8,15.8,15.8,1127,0
TLS,5,20210305,113000,16,16,16,16,1124,0
TLS,5,20210305,164500,15.6,15.6,15.6,15.6,600,0
TLS,5,20210308,093000,15.6,15.6,15.6,15.6,79,0
TLS,5,20210308,115500,15.6,15.6,15.4,15.4,1350,0
TLS,5,20210308,121000,15.4,15.4,15.4,15.4,50,0
TLS,5,20210308,124000,15.4,15.4,15.4,15.4,166,0
TLS,5,20210308,134500,15.7,16,15.7,16,3900,0
TLS,5,20210308,135000,16,16,16,16,708,0
TLS,5,20210308,142500,16,16,16,16,292,0
TLS,5,20210308,164500,15.4,15.4,15.4,15.4,1,0
TLS,5,20210309,090000,16,16,16,16,4708,0
TLS,5,20210309,091000,16,16,16,16,442,0
TLS,5,20210309,092000,16,16,16,16,1203,0
TLS,5,20210309,092500,16,16,16,16,500,0
TLS,5,20210309,093000,16,16,16,16,3855,0
TLS,5,20210309,100500,16.1,16.1,16.1,16.1,125,0
TLS,5,20210309,123000,16.1,16.1,16.1,16.1,100,0
TLS,5,20210309,145000,16.3,16.3,16.3,16.3,63,0
TLS,5,20210309,150000,16,16,16,16,1500,0
TLS,5,20210311,091000,16.5,16.5,16.5,16.5,90,0
TLS,5,20210311,095000,16,16,16,16,100,0
TLS,5,20210311,155000,16,16,16,16,2437,0
TLS,5,20210311,155500,16,16,16,16,200,0
TLS,5,20210312,120000,16.2,16.5,16.2,16.5,8687,0
TLS,5,20210315,090000,16.4,16.4,16.4,16.4,100,0
TLS,5,20210315,104000,16.5,16.5,16.5,16.5,2170,0
TLS,5,20210315,112500,16.5,16.5,16.5,16.5,60,0
TLS,5,20210315,163000,16.4,16.5,16.4,16.5,1070,0
TLS,5,20210315,163500,16.5,16.5,16.5,16.5,850,0
TLS,5,20210316,101000,16.4,16.4,16.4,16.4,100,0
TLS,5,20210316,125500,16.5,16.5,16.5,16.5,100,0
TLS,5,20210317,090000,16.4,16.6,16.4,16.6,530,0
TLS,5,20210317,090500,16.6,16.6,16.6,16.6,2500,0
TLS,5,20210317,112000,16.3,16.3,16.3,16.3,30,0
TLS,5,20210317,145000,16.3,16.3,16.3,16.3,170,0
TLS,5,20210317,145500,16.3,16.3,16.3,16.3,147,0
TLS,5,20210317,153000,16.6,16.6,16.6,16.6,1100,0
TLS,5,20210317,153500,16.7,16.7,16.7,16.7,1770,0
TLS,5,20210317,154500,16.6,16.7,16.6,16.6,3113,0
TLS,5,20210317,155000,16.7,16.7,16.7,16.7,340,0
