<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLV,5,20210204,135000,0.83,0.83,0.83,0.83,1,0
TLV,5,20210205,090000,0.94,0.94,0.81,0.81,101,0
TLV,5,20210205,152500,0.94,0.94,0.94,0.94,1290,0
TLV,5,20210205,153500,0.82,0.82,0.82,0.82,1,0
TLV,5,20210205,164500,0.95,0.95,0.95,0.95,50,0
TLV,5,20210208,104500,0.94,0.94,0.94,0.94,1050,0
TLV,5,20210208,143000,0.83,0.83,0.83,0.83,1,0
TLV,5,20210208,151000,0.94,0.94,0.94,0.94,10,0
TLV,5,20210212,104000,0.82,0.82,0.82,0.82,2232,0
TLV,5,20210212,114500,0.83,0.83,0.83,0.83,1111,0
TLV,5,20210212,153500,0.9,0.9,0.9,0.9,10,0
TLV,5,20210215,095500,0.94,0.94,0.94,0.94,1420,0
TLV,5,20210215,100000,0.83,0.83,0.83,0.83,200,0
TLV,5,20210216,145500,0.9,0.94,0.9,0.94,743,0
TLV,5,20210216,153000,0.91,0.91,0.83,0.83,6000,0
TLV,5,20210217,164500,0.94,0.94,0.94,0.94,260,0
TLV,5,20210218,092000,0.83,0.83,0.83,0.83,1,0
TLV,5,20210218,093500,0.92,0.92,0.92,0.92,50,0
TLV,5,20210218,131500,0.85,0.85,0.85,0.85,1,0
TLV,5,20210218,135500,0.92,0.92,0.92,0.92,30,0
TLV,5,20210218,140500,0.92,0.92,0.92,0.92,1820,0
TLV,5,20210218,143500,0.85,0.85,0.85,0.85,1,0
TLV,5,20210218,164500,0.92,0.92,0.92,0.92,50,0
TLV,5,20210219,090000,0.94,0.94,0.85,0.85,1001,0
TLV,5,20210219,134000,0.93,0.93,0.93,0.93,1000,0
TLV,5,20210219,143000,0.86,0.86,0.86,0.86,1,0
TLV,5,20210219,154500,0.93,0.95,0.86,0.86,8818,0
TLV,5,20210219,164500,0.97,0.97,0.97,0.97,57,0
TLV,5,20210222,091500,0.9,0.9,0.9,0.9,490,0
TLV,5,20210222,100000,0.9,0.9,0.9,0.9,1850,0
TLV,5,20210222,115000,0.87,0.87,0.87,0.87,1,0
TLV,5,20210222,140500,0.9,0.9,0.9,0.9,10,0
TLV,5,20210223,101500,0.9,0.97,0.9,0.97,160,0
TLV,5,20210223,102000,0.95,0.95,0.95,0.95,10,0
TLV,5,20210223,112000,0.87,0.87,0.87,0.87,1,0
