<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TME,5,20210211,123500,2.68,2.68,2.68,2.68,400,0
TME,5,20210211,162000,2.78,2.8,2.78,2.8,366,0
TME,5,20210212,090000,2.78,2.86,2.78,2.86,1738,0
TME,5,20210212,133000,2.84,2.84,2.84,2.84,500,0
TME,5,20210212,154500,2.62,2.62,2.62,2.62,557,0
TME,5,20210215,105000,2.8,2.8,2.8,2.8,2,0
TME,5,20210218,092500,2.62,2.62,2.62,2.62,190,0
TME,5,20210218,113000,2.62,2.62,2.62,2.62,210,0
TME,5,20210223,153500,2.54,2.54,2.54,2.54,420,0
TME,5,20210224,104000,2.54,2.54,2.54,2.54,10,0
TME,5,20210225,133500,2.5,2.5,2.5,2.5,10,0
TME,5,20210301,104500,2.5,2.5,2.5,2.5,5,0
TME,5,20210302,122000,2.5,2.5,2.5,2.5,5,0
TME,5,20210302,123500,2.4,2.4,2.38,2.38,445,0
TME,5,20210302,144000,2.34,2.34,2.34,2.34,845,0
TME,5,20210309,113000,2.38,2.38,2.38,2.38,90,0
TME,5,20210311,112000,2.38,2.38,2.38,2.38,16,0
TME,5,20210312,150000,2.38,2.7,2.38,2.7,887,0
TME,5,20210315,093000,2.66,3.18,2.66,3.18,144,0
TME,5,20210315,100500,3.18,3.18,3.18,3.18,10,0
TME,5,20210319,135500,3.1,3.68,3.1,3.68,300,0
TME,5,20210319,155500,3.4,3.4,3.2,3.2,40,0
TME,5,20210322,132500,3.1,3.1,3.1,3.1,50,0
TME,5,20210322,133500,3.1,3.1,3.1,3.1,330,0
TME,5,20210323,155000,3,3,3,3,20,0
TME,5,20210324,111500,2.94,2.94,2.94,2.94,345,0
TME,5,20210324,113000,2.8,2.8,2.7,2.7,70,0
