<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMP,5,20210204,092500,1.36,1.36,1.36,1.36,10,0
TMP,5,20210204,100000,1.28,1.28,1.28,1.28,100,0
TMP,5,20210204,101500,1.25,1.25,1.25,1.25,989,0
TMP,5,20210204,102000,1.22,1.22,1.22,1.22,700,0
TMP,5,20210204,102500,1.21,1.22,1.21,1.22,2211,0
TMP,5,20210204,103000,1.2,1.2,1.2,1.2,700,0
TMP,5,20210204,105000,1.26,1.26,1.26,1.26,100,0
TMP,5,20210204,110000,1.22,1.22,1.22,1.22,3000,0
TMP,5,20210204,112000,1.27,1.28,1.27,1.28,111,0
TMP,5,20210204,112500,1.28,1.28,1.28,1.28,1268,0
TMP,5,20210204,113000,1.3,1.31,1.3,1.31,111,0
TMP,5,20210204,141500,1.3,1.34,1.3,1.34,1000,0
TMP,5,20210204,161500,1.34,1.34,1.34,1.34,500,0
TMP,5,20210205,090000,1.25,1.25,1.25,1.25,100,0
TMP,5,20210205,094500,1.25,1.25,1.25,1.25,500,0
TMP,5,20210205,095000,1.25,1.25,1.25,1.25,500,0
TMP,5,20210205,114500,1.25,1.25,1.25,1.25,1500,0
TMP,5,20210205,120000,1.25,1.25,1.25,1.25,1000,0
TMP,5,20210205,120500,1.25,1.25,1.25,1.25,800,0
TMP,5,20210205,121000,1.25,1.25,1.25,1.25,622,0
TMP,5,20210205,125000,1.32,1.32,1.32,1.32,100,0
TMP,5,20210205,132500,1.32,1.32,1.32,1.32,11,0
TMP,5,20210208,092500,1.32,1.32,1.32,1.32,10,0
TMP,5,20210208,113500,1.29,1.29,1.29,1.29,765,0
TMP,5,20210208,120500,1.28,1.28,1.25,1.25,1150,0
TMP,5,20210208,130000,1.35,1.35,1.35,1.35,33,0
TMP,5,20210209,090000,1.35,1.35,1.35,1.35,900,0
TMP,5,20210209,093500,1.28,1.28,1.28,1.28,10,0
TMP,5,20210209,155000,1.34,1.34,1.34,1.34,33,0
TMP,5,20210210,091500,1.34,1.34,1.34,1.34,467,0
TMP,5,20210210,093500,1.34,1.34,1.27,1.27,2400,0
TMP,5,20210210,101000,1.35,1.35,1.35,1.35,22,0
TMP,5,20210210,114500,1.28,1.28,1.27,1.27,1000,0
TMP,5,20210210,145000,1.31,1.4,1.31,1.4,8462,0
TMP,5,20210210,145500,1.4,1.41,1.36,1.36,6496,0
TMP,5,20210210,151500,1.41,1.48,1.4,1.48,8276,0
TMP,5,20210210,152000,1.48,1.52,1.42,1.52,16072,0
TMP,5,20210210,152500,1.44,1.44,1.44,1.44,111,0
TMP,5,20210210,163500,1.46,1.46,1.45,1.45,3000,0
TMP,5,20210210,164500,1.45,1.45,1.45,1.45,1000,0
TMP,5,20210211,090500,1.43,1.43,1.39,1.39,3415,0
TMP,5,20210211,091500,1.41,1.43,1.41,1.43,2000,0
TMP,5,20210211,092000,1.48,1.49,1.48,1.49,630,0
TMP,5,20210211,102500,1.48,1.52,1.48,1.52,7459,0
TMP,5,20210211,104000,1.55,1.55,1.55,1.55,1593,0
TMP,5,20210211,104500,1.61,1.71,1.61,1.7,42722,0
TMP,5,20210211,105000,1.71,1.71,1.71,1.71,1100,0
TMP,5,20210211,110000,1.75,1.81,1.75,1.81,14054,0
TMP,5,20210211,110500,1.81,1.82,1.78,1.82,12549,0
TMP,5,20210211,111000,1.82,1.83,1.7,1.7,14000,0
TMP,5,20210211,112000,1.71,1.71,1.7,1.7,1560,0
