<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOS,5,20210204,090000,0.735,0.735,0.735,0.735,200,0
TOS,5,20210204,111500,0.735,0.735,0.735,0.735,10,0
TOS,5,20210204,123500,0.695,0.695,0.68,0.68,11007,0
TOS,5,20210204,124000,0.735,0.735,0.735,0.735,2,0
TOS,5,20210204,131500,0.735,0.74,0.735,0.74,4000,0
TOS,5,20210204,133500,0.695,0.695,0.695,0.695,19757,0
TOS,5,20210204,134000,0.73,0.73,0.73,0.73,1,0
TOS,5,20210204,134500,0.73,0.75,0.73,0.75,6800,0
TOS,5,20210204,141500,0.745,0.765,0.745,0.765,10703,0
TOS,5,20210204,142000,0.71,0.71,0.7,0.7,9500,0
TOS,5,20210204,142500,0.7,0.7,0.7,0.7,3500,0
TOS,5,20210204,143500,0.755,0.755,0.755,0.755,5,0
TOS,5,20210204,151500,0.695,0.75,0.69,0.75,15700,0
TOS,5,20210204,153000,0.7,0.7,0.69,0.69,17000,0
TOS,5,20210204,154000,0.725,0.725,0.68,0.68,8123,0
TOS,5,20210204,155500,0.72,0.735,0.72,0.735,1500,0
TOS,5,20210204,162500,0.7,0.7,0.7,0.7,2300,0
TOS,5,20210204,164500,0.72,0.745,0.72,0.745,2008,0
TOS,5,20210205,090000,0.745,0.77,0.745,0.77,12952,0
TOS,5,20210205,090500,0.77,0.77,0.77,0.77,2,0
TOS,5,20210205,095500,0.71,0.71,0.71,0.71,4293,0
TOS,5,20210205,102000,0.75,0.75,0.75,0.75,1,0
TOS,5,20210205,110000,0.71,0.71,0.705,0.705,1400,0
TOS,5,20210205,111500,0.745,0.745,0.745,0.745,1,0
TOS,5,20210205,130000,0.745,0.755,0.745,0.755,6500,0
TOS,5,20210205,132500,0.755,0.755,0.755,0.755,12,0
TOS,5,20210205,163000,0.755,0.76,0.755,0.76,1500,0
TOS,5,20210205,163500,0.765,0.77,0.765,0.77,2500,0
TOS,5,20210208,090000,0.77,0.77,0.75,0.75,1402,0
TOS,5,20210208,105000,0.71,0.71,0.71,0.71,1000,0
TOS,5,20210208,111000,0.75,0.75,0.75,0.75,2,0
TOS,5,20210208,122000,0.71,0.71,0.71,0.71,1000,0
TOS,5,20210208,122500,0.745,0.745,0.745,0.745,2,0
TOS,5,20210209,090000,0.745,0.745,0.745,0.745,2,0
TOS,5,20210209,090500,0.745,0.81,0.72,0.72,32000,0
TOS,5,20210209,091500,0.78,0.805,0.78,0.805,3095,0
TOS,5,20210209,092500,0.81,0.81,0.81,0.81,7524,0
TOS,5,20210209,094000,0.81,0.81,0.81,0.81,1300,0
TOS,5,20210209,100000,0.8,0.82,0.8,0.82,3000,0
TOS,5,20210209,100500,0.82,0.82,0.82,0.82,1500,0
TOS,5,20210209,111500,0.82,0.82,0.82,0.82,220,0
TOS,5,20210209,124500,0.82,0.82,0.82,0.82,1000,0
TOS,5,20210209,125500,0.78,0.78,0.77,0.77,3100,0
TOS,5,20210209,131500,0.8,0.8,0.8,0.8,4500,0
TOS,5,20210209,132500,0.81,0.82,0.81,0.81,3900,0
TOS,5,20210209,133500,0.81,0.82,0.81,0.82,2500,0
TOS,5,20210209,134000,0.79,0.79,0.79,0.79,5000,0
TOS,5,20210209,143500,0.805,0.81,0.805,0.81,1350,0
TOS,5,20210209,144000,0.81,0.85,0.81,0.85,11000,0
TOS,5,20210209,150500,0.8,0.83,0.8,0.83,250,0
TOS,5,20210209,154500,0.825,0.825,0.825,0.825,3000,0
TOS,5,20210209,164000,0.8,0.825,0.78,0.78,1752,0
TOS,5,20210209,164500,0.82,0.82,0.82,0.82,1000,0
TOS,5,20210210,090000,0.83,0.83,0.83,0.83,2820,0
TOS,5,20210210,091000,0.82,0.82,0.8,0.8,1339,0
TOS,5,20210210,091500,0.83,0.83,0.8,0.8,3790,0
TOS,5,20210210,092000,0.835,0.835,0.835,0.835,2,0
TOS,5,20210210,093000,0.8,0.8,0.8,0.8,1613,0
TOS,5,20210210,093500,0.83,0.835,0.83,0.835,1700,0
TOS,5,20210210,094500,0.825,0.835,0.825,0.835,1400,0
TOS,5,20210210,102500,0.81,0.81,0.81,0.81,5747,0
