<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXN,5,20210204,093000,1.73,1.78,1.73,1.78,500,0
TXN,5,20210204,110000,1.7,1.7,1.7,1.7,10,0
TXN,5,20210205,100000,1.63,1.7,1.63,1.7,11,0
TXN,5,20210205,110500,1.69,1.7,1.69,1.7,125,0
TXN,5,20210205,115500,1.63,1.63,1.61,1.61,60,0
TXN,5,20210205,120000,1.69,1.69,1.69,1.69,1,0
TXN,5,20210205,120500,1.6,1.6,1.6,1.6,50,0
TXN,5,20210205,121500,1.5,1.64,1.5,1.64,2009,0
TXN,5,20210208,094500,1.64,1.69,1.64,1.69,150,0
TXN,5,20210208,141000,1.62,1.69,1.62,1.69,650,0
TXN,5,20210208,155500,1.66,1.66,1.66,1.66,350,0
TXN,5,20210208,162000,1.66,1.66,1.66,1.66,200,0
TXN,5,20210209,090000,1.69,1.69,1.69,1.69,210,0
TXN,5,20210209,090500,1.66,1.69,1.4,1.69,2154,0
TXN,5,20210210,121500,1.67,1.67,1.67,1.67,200,0
TXN,5,20210212,114500,1.6,1.6,1.5,1.5,1110,0
TXN,5,20210212,115000,1.36,1.36,1.36,1.36,750,0
TXN,5,20210212,115500,1.45,1.45,1.45,1.45,200,0
TXN,5,20210212,120000,1.36,1.36,1.36,1.36,200,0
TXN,5,20210212,120500,1.35,1.35,1.35,1.35,200,0
TXN,5,20210212,122500,1.45,1.5,1.45,1.5,250,0
TXN,5,20210212,125000,1.4,1.4,1.4,1.4,4000,0
TXN,5,20210212,130000,1.5,1.5,1.5,1.5,1,0
TXN,5,20210212,162000,1.5,1.5,1.5,1.5,710,0
TXN,5,20210215,091500,1.45,1.45,1.45,1.45,320,0
TXN,5,20210215,093000,1.35,1.35,1.35,1.35,300,0
TXN,5,20210215,093500,1.35,1.35,1.35,1.35,19,0
TXN,5,20210215,102000,1.36,1.49,1.36,1.49,307,0
TXN,5,20210215,112000,1.37,1.37,1.37,1.37,100,0
TXN,5,20210215,112500,1.37,1.37,1.37,1.37,700,0
TXN,5,20210215,115500,1.44,1.44,1.44,1.44,100,0
TXN,5,20210215,131500,1.49,1.49,1.49,1.49,1200,0
TXN,5,20210215,133000,1.37,1.37,1.37,1.37,49,0
TXN,5,20210215,135500,1.38,1.38,1.38,1.38,300,0
TXN,5,20210215,140500,1.38,1.38,1.38,1.38,324,0
TXN,5,20210215,141000,1.49,1.49,1.49,1.49,26,0
TXN,5,20210216,122000,1.48,1.48,1.48,1.48,20,0
TXN,5,20210217,110000,1.48,1.48,1.48,1.48,10,0
TXN,5,20210219,125500,1.42,1.42,1.35,1.35,300,0
TXN,5,20210219,131000,1.35,1.35,1.35,1.35,1060,0
TXN,5,20210219,131500,1.35,1.35,1.35,1.35,400,0
TXN,5,20210219,144000,1.35,1.35,1.35,1.35,300,0
TXN,5,20210219,144500,1.35,1.47,1.35,1.47,350,0
TXN,5,20210222,111000,1.41,1.41,1.35,1.35,1000,0
TXN,5,20210222,111500,1.4,1.4,1.4,1.4,10,0
TXN,5,20210222,115000,1.35,1.35,1.35,1.35,160,0
TXN,5,20210222,134500,1.33,1.33,1.28,1.28,230,0
TXN,5,20210222,142000,1.35,1.35,1.35,1.35,100,0
TXN,5,20210222,143000,1.35,1.35,1.35,1.35,350,0
TXN,5,20210223,133000,1.4,1.4,1.4,1.4,20,0
TXN,5,20210223,164500,1.4,1.4,1.4,1.4,25,0
TXN,5,20210224,124000,1.35,1.35,1.3,1.3,725,0
TXN,5,20210224,125500,1.4,1.4,1.4,1.4,50,0
TXN,5,20210226,160000,1.4,1.67,1.4,1.67,820,0
TXN,5,20210226,160500,1.54,1.54,1.54,1.54,10,0
TXN,5,20210226,161000,1.54,1.6,1.54,1.6,100,0
TXN,5,20210301,095500,1.64,1.64,1.64,1.64,77,0
TXN,5,20210301,160500,1.56,1.56,1.56,1.56,10,0
TXN,5,20210302,090000,1.56,1.56,1.56,1.56,200,0
TXN,5,20210302,122000,1.56,1.56,1.56,1.56,20,0
TXN,5,20210302,132000,1.5,1.5,1.4,1.4,1954,0
TXN,5,20210302,132500,1.5,1.54,1.5,1.54,115,0
TXN,5,20210302,145000,1.54,1.56,1.54,1.56,100,0
TXN,5,20210303,090000,1.5,1.5,1.5,1.5,2050,0
TXN,5,20210303,090500,1.5,1.5,1.5,1.5,1950,0
TXN,5,20210303,091500,1.56,1.6,1.56,1.6,465,0
TXN,5,20210303,095000,1.56,1.56,1.5,1.5,5900,0
TXN,5,20210303,101000,1.62,1.64,1.62,1.64,640,0
TXN,5,20210303,101500,1.64,1.68,1.64,1.68,1460,0
TXN,5,20210303,102000,1.64,1.64,1.64,1.64,1440,0
TXN,5,20210303,102500,1.64,1.64,1.64,1.64,528,0
TXN,5,20210303,104500,1.64,1.65,1.64,1.65,154,0
TXN,5,20210303,111500,1.65,1.65,1.65,1.65,452,0
TXN,5,20210303,132000,1.65,1.65,1.65,1.65,300,0
TXN,5,20210304,104500,1.65,1.65,1.65,1.65,10,0
TXN,5,20210304,153500,1.65,1.67,1.65,1.67,520,0
TXN,5,20210304,163500,1.61,1.67,1.61,1.67,1215,0
TXN,5,20210304,164500,1.59,1.59,1.59,1.59,1000,0
TXN,5,20210305,094000,1.65,1.65,1.65,1.65,10,0
TXN,5,20210305,095500,1.64,1.64,1.64,1.64,600,0
TXN,5,20210305,100000,1.58,1.58,1.35,1.35,1800,0
TXN,5,20210305,101000,1.51,1.55,1.51,1.55,11,0
TXN,5,20210305,103500,1.55,1.65,1.55,1.65,700,0
TXN,5,20210309,091000,1.57,1.64,1.44,1.64,160,0
TXN,5,20210309,092500,1.44,1.44,1.38,1.38,1000,0
TXN,5,20210309,093500,1.5,1.5,1.5,1.5,10,0
TXN,5,20210309,095000,1.5,1.5,1.5,1.5,110,0
TXN,5,20210309,100500,1.4,1.65,1.4,1.65,602,0
TXN,5,20210309,102500,1.5,1.5,1.45,1.45,320,0
TXN,5,20210309,103000,1.64,1.64,1.64,1.64,50,0
TXN,5,20210309,105500,1.58,1.58,1.58,1.58,97,0
TXN,5,20210309,113500,1.58,1.58,1.58,1.58,400,0
TXN,5,20210309,114000,1.62,1.62,1.62,1.62,120,0
TXN,5,20210309,150500,1.62,1.64,1.62,1.64,100,0
TXN,5,20210310,090500,1.58,1.58,1.58,1.58,13,0
TXN,5,20210310,093500,1.58,1.64,1.58,1.64,20,0
TXN,5,20210310,121000,1.57,1.57,1.57,1.57,10,0
TXN,5,20210310,124500,1.64,1.64,1.64,1.64,10,0
TXN,5,20210312,102500,1.6,1.64,1.6,1.64,330,0
TXN,5,20210312,141500,1.64,1.64,1.64,1.64,157,0
TXN,5,20210316,105000,1.6,1.6,1.6,1.6,10,0
TXN,5,20210316,112000,1.55,1.55,1.45,1.45,350,0
TXN,5,20210316,112500,1.59,1.6,1.59,1.6,11,0
TXN,5,20210317,100500,1.6,1.6,1.6,1.6,20,0
TXN,5,20210317,130500,1.53,1.53,1.45,1.45,280,0
TXN,5,20210317,133000,1.59,1.6,1.59,1.6,11,0
TXN,5,20210318,102000,1.6,1.6,1.6,1.6,15,0
TXN,5,20210318,142500,1.6,1.6,1.6,1.6,80,0
TXN,5,20210319,092000,1.62,1.62,1.62,1.62,10,0
TXN,5,20210319,092500,1.62,1.64,1.62,1.64,100,0
TXN,5,20210322,102500,1.64,1.64,1.64,1.64,10,0
TXN,5,20210322,124000,1.56,1.56,1.56,1.56,10,0
TXN,5,20210322,130500,1.45,1.45,1.45,1.45,100,0
TXN,5,20210322,131500,1.56,1.56,1.56,1.56,5,0
TXN,5,20210322,140000,1.45,1.45,1.45,1.45,200,0
TXN,5,20210322,143000,1.5,1.5,1.5,1.5,5,0
TXN,5,20210322,153000,1.5,1.5,1.5,1.5,130,0
TXN,5,20210322,160500,1.5,1.56,1.5,1.56,70,0
TXN,5,20210323,090000,1.56,1.56,1.56,1.56,10,0
TXN,5,20210323,090500,1.57,1.64,1.57,1.64,11,0
TXN,5,20210323,122000,1.51,1.51,1.45,1.45,120,0
TXN,5,20210323,125500,1.58,1.58,1.58,1.58,5,0
TXN,5,20210324,124500,1.6,1.6,1.6,1.6,5,0
TXN,5,20210324,150000,1.5,1.5,1.5,1.5,60,0
TXN,5,20210324,151500,1.45,1.45,1.45,1.45,300,0
TXN,5,20210324,152000,1.45,1.56,1.45,1.56,290,0
TXN,5,20210325,102000,1.6,1.6,1.6,1.6,5,0
TXN,5,20210326,155000,1.6,1.64,1.6,1.64,1845,0
