<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TYP,5,20210204,090500,0.432,0.432,0.432,0.432,1847,0
TYP,5,20210204,095000,0.438,0.438,0.432,0.432,5653,0
TYP,5,20210204,095500,0.46,0.46,0.46,0.46,200,0
TYP,5,20210204,100000,0.46,0.46,0.46,0.46,869,0
TYP,5,20210204,121000,0.44,0.44,0.44,0.44,10000,0
TYP,5,20210204,152000,0.44,0.458,0.44,0.458,6700,0
TYP,5,20210205,090000,0.44,0.44,0.434,0.434,15000,0
TYP,5,20210205,094000,0.434,0.434,0.43,0.43,2900,0
TYP,5,20210205,095500,0.444,0.444,0.444,0.444,4500,0
TYP,5,20210205,131000,0.44,0.44,0.438,0.438,2999,0
TYP,5,20210205,131500,0.44,0.44,0.44,0.44,740,0
TYP,5,20210205,132500,0.44,0.448,0.44,0.448,25639,0
TYP,5,20210205,140500,0.466,0.466,0.466,0.466,1,0
TYP,5,20210205,161500,0.462,0.462,0.462,0.462,14502,0
TYP,5,20210208,090000,0.432,0.432,0.432,0.432,3000,0
TYP,5,20210208,100000,0.45,0.45,0.45,0.45,1000,0
TYP,5,20210208,110000,0.44,0.44,0.438,0.438,5000,0
TYP,5,20210208,111500,0.434,0.434,0.426,0.426,15236,0
TYP,5,20210208,122000,0.438,0.438,0.438,0.438,1000,0
TYP,5,20210208,125500,0.432,0.432,0.42,0.42,43738,0
TYP,5,20210208,131500,0.42,0.42,0.414,0.414,10000,0
TYP,5,20210208,132000,0.414,0.414,0.4,0.4,18000,0
TYP,5,20210208,132500,0.4,0.42,0.4,0.42,15000,0
TYP,5,20210208,133000,0.42,0.42,0.42,0.42,2500,0
TYP,5,20210208,133500,0.42,0.42,0.42,0.42,5898,0
TYP,5,20210208,140000,0.428,0.428,0.428,0.428,2353,0
TYP,5,20210208,141000,0.422,0.422,0.422,0.422,147,0
TYP,5,20210208,142000,0.43,0.43,0.43,0.43,500,0
TYP,5,20210208,143000,0.43,0.43,0.43,0.43,2034,0
TYP,5,20210208,145500,0.43,0.44,0.43,0.44,25000,0
TYP,5,20210209,090000,0.44,0.44,0.44,0.44,880,0
TYP,5,20210209,094000,0.438,0.438,0.438,0.438,61,0
TYP,5,20210209,102000,0.43,0.43,0.43,0.43,120,0
TYP,5,20210209,104500,0.43,0.446,0.43,0.446,1220,0
TYP,5,20210209,111000,0.442,0.442,0.442,0.442,3120,0
TYP,5,20210209,113500,0.442,0.442,0.442,0.442,2399,0
TYP,5,20210209,162500,0.442,0.442,0.442,0.442,2500,0
TYP,5,20210209,163000,0.442,0.442,0.442,0.442,209,0
TYP,5,20210210,090000,0.444,0.444,0.444,0.444,10956,0
TYP,5,20210210,091000,0.444,0.444,0.42,0.42,14502,0
TYP,5,20210210,094500,0.44,0.44,0.44,0.44,1000,0
TYP,5,20210210,111500,0.438,0.438,0.438,0.438,300,0
TYP,5,20210210,113500,0.438,0.438,0.438,0.438,100,0
TYP,5,20210210,114500,0.438,0.438,0.422,0.422,3000,0
TYP,5,20210210,153500,0.44,0.44,0.44,0.44,29448,0
TYP,5,20210210,164500,0.456,0.456,0.456,0.456,6100,0
TYP,5,20210211,090000,0.46,0.48,0.46,0.48,16444,0
TYP,5,20210211,090500,0.48,0.51,0.48,0.51,5442,0
TYP,5,20210211,091000,0.505,0.505,0.505,0.505,2220,0
TYP,5,20210211,092500,0.488,0.488,0.488,0.488,400,0
TYP,5,20210211,093500,0.49,0.494,0.49,0.494,9406,0
TYP,5,20210211,100500,0.49,0.49,0.49,0.49,625,0
